Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1
Sample Interval,0.01
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
2.730e+00,0.9
2.740e+00,0.908
2.750e+00,0.9
2.760e+00,0.908
2.770e+00,0.908
2.780e+00,0.916
2.790e+00,0.892
2.800e+00,0.892
2.810e+00,0.892
2.820e+00,0.892
2.830e+00,0.908
2.840e+00,0.908
2.850e+00,0.892
2.860e+00,0.9
2.870e+00,0.908
2.880e+00,0.908
2.890e+00,0.908
2.900e+00,0.908
2.910e+00,0.9
2.920e+00,0.908
2.930e+00,0.908
2.940e+00,0.892
2.950e+00,0.9
2.960e+00,0.9
2.970e+00,0.908
2.980e+00,0.9
2.990e+00,0.908
3.000e+00,0.908
3.010e+00,0.908
3.020e+00,0.892
3.030e+00,0.908
3.040e+00,0.892
3.050e+00,0.908
3.060e+00,0.908
3.070e+00,0.892
3.080e+00,0.892
3.090e+00,0.9
3.100e+00,0.908
3.110e+00,0.908
3.120e+00,0.9
3.130e+00,0.9
3.140e+00,0.908
3.150e+00,0.908
3.160e+00,0.9
3.170e+00,0.908
3.180e+00,0.9
3.190e+00,0.9
3.200e+00,0.908
3.210e+00,0.908
3.220e+00,0.908
3.230e+00,0.9
3.240e+00,0.908
3.250e+00,0.908
3.260e+00,0.916
3.270e+00,0.884
3.280e+00,0.9
3.290e+00,0.908
3.300e+00,0.908
3.310e+00,0.908
3.320e+00,0.908
3.330e+00,0.892
3.340e+00,0.9
3.350e+00,0.9
3.360e+00,0.908
3.370e+00,0.9
3.380e+00,0.916
3.390e+00,0.892
3.400e+00,0.9
3.410e+00,0.908
3.420e+00,0.9
3.430e+00,0.9
3.440e+00,0.908
3.450e+00,0.908
3.460e+00,0.892
3.470e+00,0.9
3.480e+00,0.916
3.490e+00,0.908
3.500e+00,0.908
3.510e+00,0.908
3.520e+00,0.892
3.530e+00,0.908
3.540e+00,0.892
3.550e+00,0.908
3.560e+00,0.9
3.570e+00,0.892
3.580e+00,0.9
3.590e+00,0.908
3.600e+00,0.892
3.610e+00,0.908
3.620e+00,0.9
3.630e+00,0.908
3.640e+00,0.9
3.650e+00,0.908
3.660e+00,0.892
3.670e+00,0.9
3.680e+00,0.908
3.690e+00,0.908
3.700e+00,0.908
3.710e+00,0.9
3.720e+00,0.908
3.730e+00,0.916
3.740e+00,0.9
3.750e+00,0.916
3.760e+00,0.908
