 	Mean	X	Y	Slice
1	237	11.000	15.000	1
2	240	22.000	15.000	1
3	240	32.000	16.000	1
4	249	41.000	15.000	1
5	241	52.000	18.000	1
6	240	61.000	17.000	1
7	246	71.000	18.000	1
8	235	80.000	16.000	1
9	241	90.000	19.000	1
10	240	101.000	33.000	1
11	221	112.000	48.000	1
12	231	122.000	63.000	1
13	169	132.000	67.000	1
14	208	142.000	67.000	1
15	225	151.000	68.000	1
16	208	163.000	68.000	1
17	148	172.000	67.000	1
18	219	182.000	67.000	1
19	87	192.000	67.000	1
20	230	202.000	68.000	1
21	232	212.000	68.000	1
22	226	221.000	68.000	1
23	241	231.000	68.000	1
24	210	241.000	68.000	1
25	159	252.000	82.000	1
26	196	262.000	99.000	1
27	183	271.000	115.000	1
28	208	281.000	130.000	1
29	198	291.000	146.000	1
30	182	301.000	161.000	1
31	146	312.000	177.000	1
32	235	322.000	189.000	1
33	204	332.000	187.000	1
34	216	342.000	187.000	1
35	215	352.000	188.000	1
36	192	363.000	188.000	1
37	243	372.000	188.000	1
38	206	382.000	188.000	1
39	245	393.000	188.000	1
40	231	402.000	187.000	1
41	235	414.000	189.000	1
42	135	423.000	187.000	1
43	158	432.000	187.000	1
44	241	442.000	187.000	1
45	221	451.000	188.000	1
46	240	461.000	187.000	1
47	135	472.000	183.000	1
48	198	482.000	165.000	1
49	172	492.000	149.000	1
50	123	501.000	136.000	1
51	173	511.000	117.000	1
52	183	521.000	100.000	1
53	104	533.000	84.000	1
54	227	540.000	68.000	1
55	220	551.000	69.000	1
56	139	563.000	67.000	1
57	219	571.000	68.000	1
58	247	583.000	68.000	1
59	234	593.000	67.000	1
60	211	602.000	68.000	1
61	229	612.000	68.000	1
62	234	622.000	68.000	1
63	238	632.000	68.000	1
