 	Mean	X	Y	Slice
1	181	287.000	44.000	1
2	220	287.000	104.000	1
3	219	6.000	99.000	1
4	228	15.000	99.000	1
5	223	26.000	99.000	1
6	195	37.000	99.000	1
7	168	46.000	102.000	1
8	167	55.000	114.000	1
9	169	64.000	126.000	1
10	162	76.000	138.000	1
11	114	86.000	150.000	1
12	164	96.000	161.000	1
13	229	105.000	173.000	1
14	178	117.000	186.000	1
15	188	126.000	200.000	1
16	189	135.000	210.000	1
17	164	146.000	226.000	1
18	212	155.000	237.000	1
19	247	166.000	239.000	1
20	205	175.000	240.000	1
21	231	186.000	239.000	1
22	195	196.000	239.000	1
23	225	205.000	240.000	1
24	245	216.000	240.000	1
25	227	226.000	240.000	1
26	207	236.000	240.000	1
27	220	246.000	239.000	1
28	231	255.000	240.000	1
29	224	266.000	241.000	1
30	255	275.000	241.000	1
31	221	286.000	241.000	1
32	183	296.000	240.000	1
33	253	305.000	248.000	1
34	239	316.000	248.000	1
35	255	326.000	248.000	1
36	236	336.000	248.000	1
37	143	346.000	248.000	1
38	246	356.000	249.000	1
39	180	366.000	249.000	1
40	245	376.000	249.000	1
41	250	385.000	250.000	1
42	127	396.000	241.000	1
43	149	406.000	227.000	1
44	181	416.000	212.000	1
45	146	426.000	200.000	1
46	197	436.000	186.000	1
47	238	446.000	174.000	1
48	181	455.000	164.000	1
49	63	466.000	152.000	1
50	164	475.000	140.000	1
51	217	485.000	128.000	1
52	190	497.000	113.000	1
53	107	507.000	104.000	1
54	170	518.000	105.000	1
55	53	529.000	105.000	1
56	43	541.000	103.000	1
57	7	556.000	102.000	1
