Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,4e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Label,,
TIME,CH1,CH2
-1.216e-05,0.12,-0.1
-1.212e-05,0.04,-0.1
-1.208e-05,0.12,0.02
-1.204e-05,0.12,-0.02
-1.200e-05,0.04,-0.02
-1.196e-05,0.04,-0.02
-1.192e-05,0.2,-0.06
-1.188e-05,0.04,-0.06
-1.184e-05,0.04,-0.06
-1.180e-05,0.04,0.02
-1.176e-05,-0.04,-0.02
-1.172e-05,0.04,-0.06
-1.168e-05,0.2,0.02
-1.164e-05,0.04,-0.06
-1.160e-05,0.04,-0.02
-1.156e-05,-0.04,0.02
-1.152e-05,0.04,0.02
-1.148e-05,0.04,-0.02
-1.144e-05,0.12,-0.06
-1.140e-05,-0.04,-0.1
-1.136e-05,0.04,0.06
-1.132e-05,0.04,-0.02
-1.128e-05,0.2,0.02
-1.124e-05,0.04,-0.1
-1.120e-05,0.2,-0.02
-1.116e-05,0.12,0.02
-1.112e-05,0.04,-0.02
-1.108e-05,0.12,-0.02
-1.104e-05,0.12,0.06
-1.100e-05,0.12,-0.02
-1.096e-05,0.04,-0.02
-1.092e-05,0.04,-0.06
-1.088e-05,-0.04,0.02
-1.084e-05,0.28,0.02
-1.080e-05,0.04,0.02
-1.076e-05,0.12,-0.02
-1.072e-05,0.2,0.02
-1.068e-05,0.04,-0.14
-1.064e-05,0.12,0.02
-1.060e-05,0.12,-0.02
-1.056e-05,0.12,0.14
-1.052e-05,0.12,0.02
-1.048e-05,0.12,-0.02
-1.044e-05,0.12,0.02
-1.040e-05,0.12,0.02
-1.036e-05,0.12,0.02
-1.032e-05,0.12,0.02
-1.028e-05,0.28,0.02
-1.024e-05,0.2,0.06
-1.020e-05,0.12,0.02
-1.016e-05,0.28,0.06
-1.012e-05,0.28,0.06
-1.008e-05,0.12,0.02
-1.004e-05,0.44,0.06
-1.000e-05,0.36,0.1
-9.960e-06,0.28,0.1
-9.920e-06,0.36,0.06
-9.880e-06,0.52,0.02
-9.840e-06,0.36,0.14
-9.800e-06,0.52,0.1
-9.760e-06,0.6,0.18
-9.720e-06,0.36,0.14
-9.680e-06,0.36,0.14
-9.640e-06,0.52,0.06
-9.600e-06,0.44,0.1
-9.560e-06,0.44,0.14
-9.520e-06,0.52,0.14
-9.480e-06,0.52,0.14
-9.440e-06,0.76,0.14
-9.400e-06,0.6,0.18
-9.360e-06,0.6,0.18
-9.320e-06,0.76,0.22
-9.280e-06,0.84,0.26
-9.240e-06,0.76,0.22
-9.200e-06,0.84,0.22
-9.160e-06,0.92,0.3
-9.120e-06,0.84,0.34
-9.080e-06,0.76,0.26
-9.040e-06,0.92,0.3
-9.000e-06,1,0.26
-8.960e-06,1.08,0.3
-8.920e-06,0.92,0.3
-8.880e-06,1.16,0.38
-8.840e-06,0.92,0.3
-8.800e-06,1.24,0.22
-8.760e-06,1.08,0.26
-8.720e-06,1.08,0.42
-8.680e-06,1.08,0.34
-8.640e-06,1.24,0.34
-8.600e-06,1.24,0.34
-8.560e-06,1.16,0.34
-8.520e-06,1.16,0.34
-8.480e-06,1.08,0.42
-8.440e-06,1.24,0.34
-8.400e-06,1.16,0.42
-8.360e-06,1.16,0.38
