Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
22.209270E+0,292.216145E+0,292.590000E+0,-271.352699E-3,0.000000E+0,355.592400E-3,-14.608660E+0,1.824454E+0,-18.907720E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
67.655870E+0,292.216145E+0,292.590000E+0,-219.865360E-3,0.000000E+0,317.850400E-3,-14.227720E+0,1.823982E+0,-18.811600E+0,1.480000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
112.496435E+0,291.837424E+0,292.470000E+0,-125.831774E-3,0.000000E+0,348.892800E-3,-10.625690E+0,1.823728E+0,-18.737280E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
157.381002E+0,291.463752E+0,292.470000E+0,-56.949846E-3,0.000000E+0,360.257000E-3,-9.264276E+0,1.823774E+0,-18.726400E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
202.274570E+0,291.089714E+0,292.590000E+0,-34.769677E-3,0.000000E+0,366.666200E-3,-9.199982E+0,1.824332E+0,-18.727800E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
247.166137E+0,290.715601E+0,292.470000E+0,-57.554042E-3,0.000000E+0,366.592400E-3,-9.902552E+0,1.825726E+0,-18.716000E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
292.056705E+0,290.341505E+0,292.470000E+0,-26.597643E-3,0.000000E+0,355.059600E-3,-9.102538E+0,1.828722E+0,-18.698420E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
336.945272E+0,290.000000E+0,292.470000E+0,-15.791582E-6,0.000000E+0,364.920400E-3,-9.953792E+0,1.833448E+0,-18.669880E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
381.830840E+0,290.000000E+0,292.360000E+0,1.191195E-6,0.000000E+0,350.467000E-3,-16.194580E+0,1.840154E+0,-18.635680E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
426.720407E+0,290.000000E+0,292.140000E+0,-26.731376E-3,0.000000E+0,365.537800E-3,-19.499060E+0,1.848802E+0,-18.615840E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
471.627975E+0,290.000000E+0,291.800000E+0,-51.237321E-3,0.000000E+0,369.698400E-3,-19.247000E+0,1.862098E+0,-18.567560E+0,700.000000E-3,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
516.492542E+0,290.000000E+0,291.350000E+0,-98.022961E-3,0.000000E+0,382.110000E-3,-20.943880E+0,1.879724E+0,-18.502020E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
561.382109E+0,290.000000E+0,290.680000E+0,-222.748543E-3,1.000000E+0,383.344400E-3,-20.466580E+0,1.900884E+0,-18.454140E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
606.768705E+0,290.000000E+0,289.910000E+0,-374.243759E-3,6.000000E+0,387.624000E-3,-19.736600E+0,1.923684E+0,-18.438900E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
651.609270E+0,290.000000E+0,288.890000E+0,-550.297421E-3,17.000000E+0,391.508800E-3,-18.853660E+0,1.946112E+0,-18.418000E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
696.523839E+0,290.000000E+0,288.010000E+0,-744.592928E-3,33.000000E+0,393.987200E-3,-7.669854E+0,1.968184E+0,-18.406960E+0,2.650000E+0,200.000000E+0,150.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
