Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N	S5_Rrem	X	Y	Z	AA	AB	AC	AD	AE	AF
56.201	3.0000	2.2623	2.9994	754.26	972.05	0.20070	0.19509	9.9100e+37	2.9994	1.7900e+308	1.7900e+308	0.20070	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	325.00										
56.484	3.0000	2.2503	3.0005	749.97	968.29	0.20120	0.19482	9.9100e+37	3.0005	1.7900e+308	1.7900e+308	0.20120	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	326.00										
56.766	3.0000	2.2581	3.0026	752.06	966.48	0.20020	0.19349	9.9100e+37	3.0026	1.7900e+308	1.7900e+308	0.20020	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	327.00										
57.048	3.0000	2.2489	2.9995	749.77	964.63	0.20100	0.19389	9.9100e+37	2.9995	1.7900e+308	1.7900e+308	0.20100	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	328.00										
57.330	3.0000	2.2394	2.9988	746.75	980.76	0.19750	0.19370	9.9100e+37	2.9988	1.7900e+308	1.7900e+308	0.19750	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	329.00										
57.612	2.9000	2.1915	2.8991	755.94	967.35	0.20120	0.19463	9.9100e+37	2.8991	1.7900e+308	1.7900e+308	0.20120	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	330.00										
57.894	2.8000	2.1367	2.7978	763.69	978.43	0.19800	0.19373	9.9100e+37	2.7978	1.7900e+308	1.7900e+308	0.19800	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	331.00										
58.176	2.7000	2.0798	2.7010	770.03	969.75	0.19870	0.19269	9.9100e+37	2.7010	1.7900e+308	1.7900e+308	0.19870	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	332.00										
58.458	2.6000	2.0213	2.6007	777.21	971.16	0.19970	0.19394	9.9100e+37	2.6007	1.7900e+308	1.7900e+308	0.19970	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	333.00										
58.740	2.5000	1.9597	2.5001	783.86	970.05	0.20170	0.19566	9.9100e+37	2.5001	1.7900e+308	1.7900e+308	0.20170	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	334.00										
59.023	2.4000	1.8959	2.4002	789.88	977.54	0.19900	0.19453	9.9100e+37	2.4002	1.7900e+308	1.7900e+308	0.19900	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	335.00										
59.305	2.3000	1.8352	2.3002	797.82	991.08	0.20170	0.19990	9.9100e+37	2.3002	1.7900e+308	1.7900e+308	0.20170	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	336.00										
59.587	2.2000	1.7694	2.2019	803.59	978.94	0.19940	0.19520	9.9100e+37	2.2019	1.7900e+308	1.7900e+308	0.19940	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	337.00										
59.869	2.1000	1.7046	2.0995	811.90	973.49	0.20030	0.19499	9.9100e+37	2.0995	1.7900e+308	1.7900e+308	0.20030	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	338.00										
60.151	2.0000	1.6369	2.0013	817.94	970.47	0.20150	0.19555	9.9100e+37	2.0013	1.7900e+308	1.7900e+308	0.20150	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	339.00										
60.433	1.9000	1.5701	1.9011	825.87	974.00	0.20080	0.19558	9.9100e+37	1.9011	1.7900e+308	1.7900e+308	0.20080	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	340.00										
60.716	1.8000	1.4981	1.7985	832.97	980.06	0.19910	0.19513	9.9100e+37	1.7985	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	341.00										
60.998	1.7000	1.4287	1.6995	840.65	972.20	0.20070	0.19512	9.9100e+37	1.6995	1.7900e+308	1.7900e+308	0.20070	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	342.00										
61.280	1.6000	1.3575	1.6001	848.41	972.46	0.20080	0.19527	9.9100e+37	1.6001	1.7900e+308	1.7900e+308	0.20080	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	343.00										
61.562	1.5000	1.2834	1.4998	855.69	996.37	0.20130	0.20057	9.9100e+37	1.4998	1.7900e+308	1.7900e+308	0.20130	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	344.00										
61.844	1.4000	1.2085	1.3990	863.87	978.41	0.20060	0.19627	9.9100e+37	1.3990	1.7900e+308	1.7900e+308	0.20060	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	345.00										
62.126	1.3000	1.1335	1.3020	870.55	998.15	0.19960	0.19923	9.9100e+37	1.3020	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	346.00										
62.408	1.2000	1.0559	1.2005	879.53	1004.5	0.19910	0.20000	9.9100e+37	1.2005	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	347.00										
62.690	1.1000	0.97956	1.1016	889.22	998.80	0.20020	0.19996	9.9100e+37	1.1016	1.7900e+308	1.7900e+308	0.20020	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	348.00										
62.973	1.1000	0.97982	1.0993	891.31	1019.3	0.19940	0.20325	9.9100e+37	1.0993	1.7900e+308	1.7900e+308	0.19940	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	349.00										
63.255	1.1000	0.99956	1.0963	911.76	1022.3	0.19930	0.20375	9.9100e+37	1.0963	1.7900e+308	1.7900e+308	0.19930	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	350.00										
63.537	1.1000	0.98422	1.1012	893.77	1004.3	0.19840	0.19925	9.9100e+37	1.1012	1.7900e+308	1.7900e+308	0.19840	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	351.00										
63.819	1.1000	0.98314	1.1004	893.44	992.83	0.20220	0.20075	9.9100e+37	1.1004	1.7900e+308	1.7900e+308	0.20220	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	352.00										
64.101	1.1000	0.98585	1.1003	895.98	1005.0	0.19960	0.20059	9.9100e+37	1.1003	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	353.00										
64.383	1.1000	0.98678	1.1000	897.07	1007.7	0.19930	0.20084	9.9100e+37	1.1000	1.7900e+308	1.7900e+308	0.19930	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	354.00										
64.666	1.1000	0.98794	1.0996	898.45	1002.8	0.20020	0.20077	9.9100e+37	1.0996	1.7900e+308	1.7900e+308	0.20020	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	355.00										
64.948	1.1000	0.99100	1.1014	899.76	1008.3	0.19980	0.20145	9.9100e+37	1.1014	1.7900e+308	1.7900e+308	0.19980	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	356.00										
65.230	1.1000	0.98952	1.1004	899.24	1001.7	0.20170	0.20205	9.9100e+37	1.1004	1.7900e+308	1.7900e+308	0.20170	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	357.00										
65.512	1.1000	0.99111	1.1001	900.93	1008.8	0.20050	0.20227	9.9100e+37	1.1001	1.7900e+308	1.7900e+308	0.20050	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	358.00										
65.794	1.1000	0.99267	1.0975	904.48	1028.7	0.20110	0.20687	9.9100e+37	1.0975	1.7900e+308	1.7900e+308	0.20110	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	359.00										
66.076	1.1000	0.99594	1.1013	904.33	1023.4	0.20140	0.20612	9.9100e+37	1.1013	1.7900e+308	1.7900e+308	0.20140	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	360.00										
66.359	1.1000	0.99485	1.1022	902.60	1024.2	0.20090	0.20577	9.9100e+37	1.1022	1.7900e+308	1.7900e+308	0.20090	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	361.00										
66.641	1.1000	0.99302	1.0995	903.16	1032.8	0.19960	0.20614	9.9100e+37	1.0995	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	362.00										
66.923	1.1000	0.99577	1.0996	905.57	1010.2	0.19990	0.20193	9.9100e+37	1.0996	1.7900e+308	1.7900e+308	0.19990	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	363.00										
67.206	1.1000	0.99012	1.1000	900.11	1018.9	0.19830	0.20205	9.9100e+37	1.1000	1.7900e+308	1.7900e+308	0.19830	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	364.00										
67.488	1.1000	0.99194	1.1012	900.78	1005.3	0.20200	0.20308	9.9100e+37	1.1012	1.7900e+308	1.7900e+308	0.20200	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	365.00										
67.770	1.1000	0.99234	1.0985	903.36	1011.2	0.19910	0.20133	9.9100e+37	1.0985	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	366.00										
68.052	1.1000	0.99471	1.1004	903.95	996.17	0.20120	0.20043	9.9100e+37	1.1004	1.7900e+308	1.7900e+308	0.20120	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	367.00										
68.334	1.1000	0.99773	1.0994	907.52	1013.4	0.20210	0.20480	9.9100e+37	1.0994	1.7900e+308	1.7900e+308	0.20210	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	368.00										
68.616	1.1000	1.0002	1.0996	909.63	1019.7	0.19800	0.20191	9.9100e+37	1.0996	1.7900e+308	1.7900e+308	0.19800	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	369.00										
68.899	1.1000	0.99486	1.1004	904.09	1011.1	0.20180	0.20404	9.9100e+37	1.1004	1.7900e+308	1.7900e+308	0.20180	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	370.00										
69.181	1.1000	1.0015	1.1037	907.44	1014.0	0.19930	0.20210	9.9100e+37	1.1037	1.7900e+308	1.7900e+308	0.19930	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	371.00										
69.463	1.1000	0.99735	1.0990	907.51	1031.8	0.19770	0.20399	9.9100e+37	1.0990	1.7900e+308	1.7900e+308	0.19770	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	372.00										
69.745	1.1000	1.0027	1.0990	912.37	1016.2	0.20000	0.20325	9.9100e+37	1.0990	1.7900e+308	1.7900e+308	0.20000	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	373.00										
70.027	1.1000	1.0009	1.0998	910.09	1024.3	0.19840	0.20322	9.9100e+37	1.0998	1.7900e+308	1.7900e+308	0.19840	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	374.00										
70.309	1.1000	1.0041	1.1016	911.50	1017.6	0.20100	0.20454	9.9100e+37	1.1016	1.7900e+308	1.7900e+308	0.20100	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	375.00										
70.591	1.1000	0.99958	1.1003	908.46	1026.5	0.19820	0.20345	9.9100e+37	1.1003	1.7900e+308	1.7900e+308	0.19820	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	376.00										
70.873	1.1000	1.0013	1.0995	910.65	1010.9	0.20030	0.20248	9.9100e+37	1.0995	1.7900e+308	1.7900e+308	0.20030	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	377.00										
71.155	1.1000	1.0016	1.0996	910.87	1000.5	0.20260	0.20271	9.9100e+37	1.0996	1.7900e+308	1.7900e+308	0.20260	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	378.00										
71.437	1.1000	1.0035	1.1013	911.16	1014.4	0.20070	0.20359	9.9100e+37	1.1013	1.7900e+308	1.7900e+308	0.20070	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	379.00										
71.719	1.1000	1.0050	1.1008	912.96	1028.2	0.19850	0.20409	9.9100e+37	1.1008	1.7900e+308	1.7900e+308	0.19850	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	380.00										
72.002	1.1000	1.0042	1.0992	913.53	1020.7	0.19990	0.20404	9.9100e+37	1.0992	1.7900e+308	1.7900e+308	0.19990	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	381.00										
72.284	1.1000	1.0111	1.0994	919.65	1022.2	0.20030	0.20474	9.9100e+37	1.0994	1.7900e+308	1.7900e+308	0.20030	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	382.00										
72.566	1.1000	0.99853	1.1002	907.59	1010.5	0.20180	0.20391	9.9100e+37	1.1002	1.7900e+308	1.7900e+308	0.20180	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	383.00										
72.848	1.1000	1.0058	1.1012	913.40	1013.6	0.20060	0.20333	9.9100e+37	1.1012	1.7900e+308	1.7900e+308	0.20060	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	384.00										
73.130	1.1000	1.0096	1.1024	915.81	1024.1	0.19940	0.20421	9.9100e+37	1.1024	1.7900e+308	1.7900e+308	0.19940	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	385.00										
73.412	1.1000	1.0103	1.1005	918.04	1019.6	0.20050	0.20442	9.9100e+37	1.1005	1.7900e+308	1.7900e+308	0.20050	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	386.00										
73.694	1.1000	1.0083	1.0999	916.73	1024.4	0.19980	0.20467	9.9100e+37	1.0999	1.7900e+308	1.7900e+308	0.19980	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	387.00										
73.977	1.1000	1.0099	1.1012	917.06	1009.7	0.20170	0.20366	9.9100e+37	1.1012	1.7900e+308	1.7900e+308	0.20170	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	388.00										
74.259	1.1000	1.0085	1.0986	917.94	1010.3	0.20140	0.20347	9.9100e+37	1.0986	1.7900e+308	1.7900e+308	0.20140	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	389.00										
74.541	1.1000	1.0095	1.0998	917.87	1019.7	0.20010	0.20405	9.9100e+37	1.0998	1.7900e+308	1.7900e+308	0.20010	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	390.00										
74.823	1.1000	1.0089	1.0991	917.96	1017.7	0.20060	0.20415	9.9100e+37	1.0991	1.7900e+308	1.7900e+308	0.20060	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	391.00										
75.105	1.1000	1.0093	1.1001	917.46	1025.3	0.19910	0.20413	9.9100e+37	1.1001	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	392.00										
75.387	1.1000	1.0092	1.1008	916.76	1022.6	0.19890	0.20339	9.9100e+37	1.1008	1.7900e+308	1.7900e+308	0.19890	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	393.00										
75.669	1.1000	1.0090	1.0979	919.02	1026.7	0.19950	0.20483	9.9100e+37	1.0979	1.7900e+308	1.7900e+308	0.19950	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	394.00										
75.952	1.1000	1.0091	1.0998	917.48	1022.2	0.20060	0.20505	9.9100e+37	1.0998	1.7900e+308	1.7900e+308	0.20060	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	395.00										
76.234	1.1000	1.0089	1.1001	917.11	1024.7	0.20000	0.20493	9.9100e+37	1.1001	1.7900e+308	1.7900e+308	0.20000	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	396.00										
76.516	1.1000	1.0095	1.1001	917.65	1049.5	0.19650	0.20622	9.9100e+37	1.1001	1.7900e+308	1.7900e+308	0.19650	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	397.00										
76.798	1.1000	1.0091	1.0998	917.56	1037.5	0.20000	0.20750	9.9100e+37	1.0998	1.7900e+308	1.7900e+308	0.20000	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	398.00										
77.080	1.1000	1.0104	1.1021	916.79	1032.1	0.19990	0.20631	9.9100e+37	1.1021	1.7900e+308	1.7900e+308	0.19990	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	399.00										
77.362	1.1000	1.0066	1.0997	915.32	1019.8	0.19960	0.20356	9.9100e+37	1.0997	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	400.00										
77.644	1.1000	1.0052	1.1022	911.99	1021.8	0.19960	0.20395	9.9100e+37	1.1022	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	401.00										
77.926	1.1000	1.0002	1.0978	911.13	1006.6	0.20180	0.20314	9.9100e+37	1.0978	1.7900e+308	1.7900e+308	0.20180	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	402.00										
78.208	1.1000	1.0033	1.1024	910.12	1013.9	0.20110	0.20389	9.9100e+37	1.1024	1.7900e+308	1.7900e+308	0.20110	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	403.00										
78.490	1.1000	0.99873	1.1000	907.94	1019.1	0.19920	0.20301	9.9100e+37	1.1000	1.7900e+308	1.7900e+308	0.19920	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	404.00										
78.773	1.1000	1.0021	1.0993	911.58	1021.1	0.19860	0.20279	9.9100e+37	1.0993	1.7900e+308	1.7900e+308	0.19860	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	405.00										
79.055	1.1000	1.0058	1.0995	914.81	1027.8	0.19860	0.20412	9.9100e+37	1.0995	1.7900e+308	1.7900e+308	0.19860	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	406.00										
79.337	1.1000	0.99888	1.0999	908.16	1017.8	0.20040	0.20397	9.9100e+37	1.0999	1.7900e+308	1.7900e+308	0.20040	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	407.00										
79.619	1.1000	1.0017	1.1021	908.95	1022.0	0.19900	0.20338	9.9100e+37	1.1021	1.7900e+308	1.7900e+308	0.19900	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	408.00										
79.901	1.1000	1.0027	1.0983	912.92	1020.1	0.19930	0.20330	9.9100e+37	1.0983	1.7900e+308	1.7900e+308	0.19930	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	409.00										
80.183	1.1000	1.0078	1.0997	916.47	1017.9	0.20110	0.20469	9.9100e+37	1.0997	1.7900e+308	1.7900e+308	0.20110	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	410.00										
80.465	1.1000	1.0010	1.0999	910.07	1011.0	0.20210	0.20433	9.9100e+37	1.0999	1.7900e+308	1.7900e+308	0.20210	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	411.00										
80.747	1.1000	1.0058	1.0999	914.48	1016.6	0.20090	0.20424	9.9100e+37	1.0999	1.7900e+308	1.7900e+308	0.20090	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	412.00										
81.030	1.1000	1.0054	1.0987	915.12	1010.5	0.20120	0.20331	9.9100e+37	1.0987	1.7900e+308	1.7900e+308	0.20120	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	413.00										
81.312	1.1000	1.0073	1.1014	914.61	1009.7	0.20350	0.20547	9.9100e+37	1.1014	1.7900e+308	1.7900e+308	0.20350	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	414.00										
81.594	1.1000	1.0060	1.0995	914.94	1009.5	0.20240	0.20432	9.9100e+37	1.0995	1.7900e+308	1.7900e+308	0.20240	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	415.00										
81.876	1.1000	1.0014	1.1004	910.08	1013.9	0.20060	0.20338	9.9100e+37	1.1004	1.7900e+308	1.7900e+308	0.20060	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	416.00										
82.158	1.1000	1.0027	1.1001	911.45	1014.3	0.19870	0.20155	9.9100e+37	1.1001	1.7900e+308	1.7900e+308	0.19870	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	417.00										
82.440	1.1000	1.0033	1.1019	910.48	1002.9	0.20260	0.20319	9.9100e+37	1.1019	1.7900e+308	1.7900e+308	0.20260	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	418.00										
82.722	1.1000	0.99690	1.1006	905.78	1013.8	0.19940	0.20216	9.9100e+37	1.1006	1.7900e+308	1.7900e+308	0.19940	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	419.00										
83.004	1.1000	0.99827	1.0991	908.26	1011.7	0.20000	0.20233	9.9100e+37	1.0991	1.7900e+308	1.7900e+308	0.20000	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	420.00										
83.287	1.1000	1.0027	1.0990	912.39	1013.9	0.20200	0.20480	9.9100e+37	1.0990	1.7900e+308	1.7900e+308	0.20200	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	421.00										
83.569	1.1000	0.99965	1.0994	909.27	1003.1	0.20230	0.20293	9.9100e+37	1.0994	1.7900e+308	1.7900e+308	0.20230	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	422.00										
83.851	1.1000	0.99646	1.0992	906.53	1004.2	0.20200	0.20284	9.9100e+37	1.0992	1.7900e+308	1.7900e+308	0.20200	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	423.00										
84.133	1.1000	1.0022	1.0990	911.97	1010.7	0.19910	0.20123	9.9100e+37	1.0990	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	424.00										
84.415	1.1000	1.0012	1.1015	908.96	1018.1	0.19850	0.20209	9.9100e+37	1.1015	1.7900e+308	1.7900e+308	0.19850	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	425.00										
84.698	1.1000	1.0020	1.0994	911.36	1022.8	0.19830	0.20283	9.9100e+37	1.0994	1.7900e+308	1.7900e+308	0.19830	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	426.00										
84.980	1.1000	1.0024	1.1000	911.24	1016.5	0.19910	0.20238	9.9100e+37	1.1000	1.7900e+308	1.7900e+308	0.19910	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	427.00										
85.262	1.1000	0.99993	1.0994	909.52	1011.3	0.19870	0.20095	9.9100e+37	1.0994	1.7900e+308	1.7900e+308	0.19870	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	428.00										
85.544	1.1000	1.0032	1.1015	910.77	1008.0	0.19980	0.20139	9.9100e+37	1.1015	1.7900e+308	1.7900e+308	0.19980	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	429.00										
85.826	1.1000	1.0038	1.1011	911.64	1007.4	0.20190	0.20340	9.9100e+37	1.1011	1.7900e+308	1.7900e+308	0.20190	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	430.00										
86.108	1.1000	1.0011	1.1005	909.69	1013.2	0.20020	0.20285	9.9100e+37	1.1005	1.7900e+308	1.7900e+308	0.20020	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	431.00										
86.390	1.1000	0.99685	1.0978	908.04	1010.8	0.19980	0.20196	9.9100e+37	1.0978	1.7900e+308	1.7900e+308	0.19980	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	432.00										
86.672	1.1000	0.99824	1.1011	906.58	1012.4	0.20040	0.20289	9.9100e+37	1.1011	1.7900e+308	1.7900e+308	0.20040	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	433.00										
86.954	1.1000	0.99685	1.0998	906.39	1028.7	0.19820	0.20389	9.9100e+37	1.0998	1.7900e+308	1.7900e+308	0.19820	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	434.00										
87.237	1.1000	1.0033	1.1012	911.10	1021.5	0.20090	0.20521	9.9100e+37	1.1012	1.7900e+308	1.7900e+308	0.20090	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	435.00										
87.519	1.1000	1.0111	1.0996	919.52	1016.2	0.20210	0.20538	9.9100e+37	1.0996	1.7900e+308	1.7900e+308	0.20210	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	436.00										
87.801	1.1000	1.0110	1.0982	920.56	1017.9	0.20120	0.20480	9.9100e+37	1.0982	1.7900e+308	1.7900e+308	0.20120	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	437.00										
88.083	1.1000	1.0101	1.0997	918.55	1032.8	0.19720	0.20366	9.9100e+37	1.0997	1.7900e+308	1.7900e+308	0.19720	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	438.00										
88.365	1.1000	1.0084	1.0969	919.31	1011.6	0.20130	0.20364	9.9100e+37	1.0969	1.7900e+308	1.7900e+308	0.20130	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	439.00										
88.647	1.1000	1.0109	1.0989	919.91	1025.6	0.19960	0.20471	9.9100e+37	1.0989	1.7900e+308	1.7900e+308	0.19960	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	440.00										
88.929	1.1000	1.0112	1.0990	920.13	1028.9	0.19870	0.20444	9.9100e+37	1.0990	1.7900e+308	1.7900e+308	0.19870	9.9100e+37	4.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	441.00										
