Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
31.624809E+0,132.390000E+0,132.390000E+0,NaN,41.000000E+0,468.257000E+3,-5.680515E+0,1.784820E+3,-89.421380E+0,200.000000E+0,0.000000E+0,0.000000E+0,30.000000E+0,5.000000E+0,1.000000E+0
75.924343E+0,132.390000E+0,132.410000E+0,NaN,41.000000E+0,482.087000E+3,-1.928002E+0,1.784996E+3,-89.390920E+0,200.000000E+0,0.000000E+0,0.000000E+0,30.000000E+0,5.000000E+0,1.000000E+0
121.541952E+0,130.913349E+0,132.570000E+0,NaN,39.000000E+0,461.072800E+3,-403.250000E-3,1.785636E+3,-89.417660E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
166.435520E+0,129.392762E+0,132.660000E+0,NaN,16.000000E+0,447.123600E+3,-397.548000E-3,1.785710E+3,-89.363620E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
211.337088E+0,130.000000E+0,131.750000E+0,NaN,23.000000E+0,448.334200E+3,67.848720E-3,1.785806E+3,-89.408940E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
256.229656E+0,130.000000E+0,129.610000E+0,NaN,57.000000E+0,468.201200E+3,-65.841600E-3,1.785250E+3,-89.429680E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
301.128224E+0,130.000000E+0,129.200000E+0,NaN,20.000000E+0,477.867000E+3,-2.587018E+0,1.785650E+3,-89.403900E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
346.034792E+0,130.000000E+0,130.630000E+0,-806.727824E-3,43.000000E+0,475.322400E+3,-3.467316E+0,1.785686E+3,-89.404480E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
390.931360E+0,130.000000E+0,129.980000E+0,-1.429954E+0,40.000000E+0,472.905000E+3,-3.831740E+0,1.786234E+3,-89.440120E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
435.839929E+0,130.000000E+0,130.010000E+0,-1.020158E+0,34.000000E+0,463.555800E+3,-2.873518E+0,1.785406E+3,-89.369420E+0,200.000000E+0,0.000000E+0,2.650000E+0,30.000000E+0,5.000000E+0,1.000000E+0
