Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,13.835950E-3,1.550000E-6,-203.740500E-3,14.500000E-6,200.000000E+0
40.000000E+0,57.710150E-3,24.150000E-6,-251.870500E-3,31.500000E-6,200.000000E+0
50.000000E+0,81.863050E-3,620.050000E-6,-314.677000E-3,117.000000E-6,200.000000E+0
60.000000E+0,61.957700E-3,415.300000E-6,-399.815000E-3,195.000000E-6,200.000000E+0
75.000000E+0,97.506450E-3,103.350000E-6,-498.189500E-3,180.500000E-6,200.000000E+0
100.000000E+0,207.271500E-3,60.500000E-6,-642.053500E-3,81.500000E-6,200.000000E+0
120.000000E+0,258.737500E-3,138.500000E-6,-770.009500E-3,144.500000E-6,200.000000E+0
150.000000E+0,395.841000E-3,1.194000E-3,-916.128000E-3,273.000000E-6,200.000000E+0
200.000000E+0,356.909000E-3,837.000000E-6,-568.545000E-3,35.000000E-6,200.000000E+0
250.000000E+0,125.842000E-3,117.000000E-6,-841.946000E-3,85.000000E-6,200.000000E+0
300.000000E+0,114.866000E-3,139.000000E-6,-671.604000E-3,131.000000E-6,200.000000E+0
400.000000E+0,150.700000E-3,771.000000E-6,-648.857500E-3,209.500000E-6,200.000000E+0
500.000000E+0,96.066400E-3,141.400000E-6,-364.197500E-3,169.500000E-6,200.000000E+0
600.000000E+0,48.439850E-3,240.450000E-6,-204.704500E-3,146.500000E-6,200.000000E+0
750.000000E+0,2.798855E-3,124.395000E-6,-76.237750E-3,153.150000E-6,200.000000E+0
1.000000E+3,-39.708350E-3,126.750000E-6,-9.125260E-3,78.200000E-6,200.000000E+0
1.200000E+3,-31.548800E-3,148.900000E-6,-16.591700E-3,194.100000E-6,200.000000E+0
1.500000E+3,-21.322550E-3,649.550000E-6,-25.659750E-3,223.550000E-6,200.000000E+0
2.000000E+3,-15.753350E-3,581.150000E-6,-12.501000E-3,2.237400E-3,200.000000E+0
2.500000E+3,-653.884500E-6,144.546500E-6,-36.486500E-3,126.400000E-6,200.000000E+0
3.000000E+3,4.829030E-3,144.080000E-6,-35.260050E-3,96.950000E-6,200.000000E+0
4.000000E+3,5.048160E-3,121.260000E-6,-24.203350E-3,44.350000E-6,200.000000E+0
5.000000E+3,5.348370E-3,252.390000E-6,-21.607000E-3,24.300000E-6,200.000000E+0
6.000000E+3,-9.706225E-3,100.025000E-6,-10.978650E-3,4.650000E-6,200.000000E+0
7.500000E+3,-9.490705E-3,121.255000E-6,27.304700E-3,26.400000E-6,200.000000E+0
10.000000E+3,-16.947150E-3,675.550000E-6,7.419790E-3,183.700000E-6,200.000000E+0
12.000000E+3,-8.139045E-3,280.415000E-6,4.130490E-3,198.080000E-6,200.000000E+0
15.000000E+3,-2.299800E-3,39.660000E-6,3.399930E-3,5.720000E-6,200.000000E+0
20.000000E+3,-4.918575E-3,131.765000E-6,9.163335E-3,58.675000E-6,200.000000E+0
25.000000E+3,-11.828550E-3,66.050000E-6,9.256335E-3,61.245000E-6,200.000000E+0
30.000000E+3,-7.711250E-3,6.251750E-3,91.126950E-3,1.682150E-3,200.000000E+0
40.000000E+3,4.281130E-3,36.970000E-6,9.434925E-3,47.565000E-6,200.000000E+0
50.000000E+3,2.397140E-3,8.120000E-6,5.709780E-3,13.050000E-6,200.000000E+0
60.000000E+3,2.652225E-3,1.715000E-6,4.486905E-3,7.295000E-6,200.000000E+0
75.000000E+3,3.363595E-3,24.999970E-9,3.433895E-3,24.945000E-6,200.000000E+0
100.000000E+3,4.877265E-3,13.335000E-6,1.158025E-3,33.095000E-6,200.000000E+0
120.000000E+3,6.394080E-3,20.750000E-6,-100.878250E-6,14.424750E-6,200.000000E+0
150.000000E+3,7.393305E-3,37.035000E-6,-3.210480E-3,11.690000E-6,200.000000E+0
200.000000E+3,-19.151150E-3,22.950000E-6,-7.102245E-3,18.905000E-6,200.000000E+0
