Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,10,
Sample Interval,0.1,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.05
Label,,
TIME,CH1,CH2
-1.030e+01,-0.428,-0.106
-1.020e+01,-0.428,-0.106
-1.010e+01,-0.428,-0.106
-1.000e+01,-0.428,-0.106
-9.900e+00,-0.428,-0.106
-9.800e+00,-0.428,-0.106
-9.700e+00,-0.428,-0.106
-9.600e+00,-0.428,-0.106
-9.500e+00,-0.428,-0.106
-9.400e+00,-0.428,-0.106
-9.300e+00,-0.428,-0.106
-9.200e+00,-0.428,-0.106
-9.100e+00,-0.428,-0.106
-9.000e+00,-0.428,-0.106
-8.900e+00,-0.428,-0.106
-8.800e+00,-0.428,-0.106
-8.700e+00,-0.428,-0.106
-8.600e+00,-0.428,-0.106
-8.500e+00,-0.428,-0.106
-8.400e+00,-0.428,-0.106
-8.300e+00,-0.428,-0.106
-8.200e+00,-0.428,-0.106
-8.100e+00,-0.428,-0.106
-8.000e+00,-0.428,-0.106
-7.900e+00,-0.428,-0.106
-7.800e+00,-0.428,-0.106
-7.700e+00,-0.428,-0.106
-7.600e+00,-0.428,-0.106
-7.500e+00,-0.428,-0.106
-7.400e+00,-0.428,-0.106
-7.300e+00,-0.428,-0.106
-7.200e+00,-0.428,-0.106
-7.100e+00,-0.428,-0.106
-7.000e+00,-0.428,-0.106
-6.900e+00,-0.428,-0.106
-6.800e+00,-0.428,-0.106
-6.700e+00,-0.428,-0.106
-6.600e+00,-0.428,-0.106
-6.500e+00,-0.428,-0.106
-6.400e+00,-0.428,-0.106
-6.300e+00,-0.428,-0.106
-6.200e+00,-0.428,-0.106
-6.100e+00,-0.428,-0.106
-6.000e+00,-0.428,-0.106
-5.900e+00,-0.428,-0.106
-5.800e+00,-0.428,-0.106
-5.700e+00,-0.428,-0.106
-5.600e+00,-0.428,-0.106
-5.500e+00,-0.428,-0.106
-5.400e+00,-0.428,-0.106
-5.300e+00,-0.428,-0.106
-5.200e+00,-0.428,-0.106
-5.100e+00,-0.428,-0.106
-5.000e+00,-0.428,-0.106
-4.900e+00,-0.428,-0.106
-4.800e+00,-0.428,-0.106
-4.700e+00,-0.428,-0.106
-4.600e+00,-0.428,-0.106
-4.500e+00,-0.428,-0.106
-4.400e+00,-0.428,-0.106
-4.300e+00,-0.428,-0.106
-4.200e+00,-0.428,-0.106
-4.100e+00,-0.428,-0.106
-4.000e+00,-0.428,-0.106
-3.900e+00,-0.428,-0.106
-3.800e+00,-0.428,-0.106
-3.700e+00,-0.428,-0.106
-3.600e+00,-0.428,-0.106
-3.500e+00,-0.428,-0.106
-3.400e+00,-0.428,-0.106
-3.300e+00,-0.428,-0.106
-3.200e+00,-0.428,-0.106
-3.100e+00,-0.428,-0.106
-3.000e+00,-0.428,-0.106
-2.900e+00,-0.428,-0.106
-2.800e+00,-0.428,-0.106
-2.700e+00,-0.428,-0.106
-2.600e+00,-0.428,-0.106
-2.500e+00,-0.428,-0.106
-2.400e+00,-0.428,-0.106
-2.300e+00,-0.428,-0.106
-2.200e+00,-0.428,-0.106
-2.100e+00,-0.428,-0.106
-2.000e+00,-0.428,-0.106
-1.900e+00,-0.428,-0.106
-1.800e+00,-0.428,-0.106
-1.700e+00,-0.428,-0.106
-1.600e+00,-0.428,-0.106
-1.500e+00,-0.428,-0.106
-1.400e+00,-0.428,-0.106
-1.300e+00,-0.428,-0.106
-1.200e+00,-0.428,-0.106
-1.100e+00,-0.428,-0.106
-1.000e+00,-0.428,-0.106
-9.000e-01,-0.428,-0.106
-8.000e-01,-0.428,-0.106
-7.000e-01,-0.428,-0.106
-6.000e-01,-0.428,-0.106
-5.000e-01,-0.428,-0.106
-4.000e-01,-0.428,-0.106
-3.000e-01,-0.428,-0.106
-2.000e-01,-0.428,-0.106
-1.000e-01,-0.428,-0.106
-1.701e-14,-0.428,-0.106
1.000e-01,-0.428,-0.106
2.000e-01,-0.428,-0.106
3.000e-01,-0.428,-0.106
4.000e-01,-0.428,-0.106
5.000e-01,-0.428,-0.106
6.000e-01,-0.428,-0.106
7.000e-01,-0.428,-0.106
8.000e-01,-0.428,-0.106
9.000e-01,-0.428,-0.106
1.000e-00,-0.428,-0.106
1.100e+00,-0.428,-0.106
1.200e+00,-0.428,-0.106
1.300e+00,-0.428,-0.106
1.400e+00,-0.428,-0.106
1.500e+00,-0.428,-0.106
1.600e+00,-0.428,-0.106
1.700e+00,-0.428,-0.106
1.800e+00,-0.428,-0.106
1.900e+00,-0.428,-0.106
2.000e+00,-0.428,-0.106
2.100e+00,-0.428,-0.106
2.200e+00,-0.428,-0.106
2.300e+00,-0.428,-0.106
2.400e+00,-0.428,-0.106
2.500e+00,-0.428,-0.106
2.600e+00,-0.428,-0.106
2.700e+00,-0.428,-0.106
2.800e+00,-0.428,-0.106
2.900e+00,-0.428,-0.106
3.000e+00,-0.428,-0.106
3.100e+00,-0.428,-0.106
3.200e+00,-0.428,-0.106
3.300e+00,-0.428,-0.106
3.400e+00,-0.428,-0.106
3.500e+00,-0.428,-0.106
3.600e+00,-0.428,-0.106
3.700e+00,-0.428,-0.106
3.800e+00,-0.428,-0.106
3.900e+00,-0.428,-0.106
4.000e+00,-0.428,-0.106
4.100e+00,-0.428,-0.106
4.200e+00,-0.428,-0.106
4.300e+00,-0.428,-0.106
4.400e+00,-0.428,-0.106
4.500e+00,-0.428,-0.106
4.600e+00,-0.428,-0.106
4.700e+00,-0.428,-0.106
4.800e+00,-0.428,-0.106
4.900e+00,-0.428,-0.106
5.000e+00,-0.428,-0.106
5.100e+00,-0.428,-0.106
5.200e+00,-0.428,-0.106
5.300e+00,-0.428,-0.106
5.400e+00,-0.428,-0.106
5.500e+00,-0.428,-0.106
5.600e+00,-0.428,-0.106
5.700e+00,-0.428,-0.106
5.800e+00,-0.428,-0.106
5.900e+00,-0.428,-0.106
6.000e+00,-0.428,-0.106
6.100e+00,-0.428,-0.106
6.200e+00,-0.428,-0.106
6.300e+00,-0.428,-0.106
6.400e+00,-0.428,-0.106
6.500e+00,-0.428,-0.106
6.600e+00,-0.428,-0.106
6.700e+00,-0.428,-0.106
6.800e+00,-0.428,-0.106
6.900e+00,-0.428,-0.106
7.000e+00,-0.428,-0.106
7.100e+00,-0.428,-0.106
7.200e+00,-0.428,-0.106
7.300e+00,-0.428,-0.106
7.400e+00,-0.428,-0.106
7.500e+00,-0.428,-0.106
7.600e+00,-0.428,-0.106
7.700e+00,-0.428,-0.106
7.800e+00,-0.428,-0.106
7.900e+00,-0.428,-0.106
8.000e+00,-0.428,-0.106
8.100e+00,-0.428,-0.106
8.200e+00,-0.428,-0.106
8.300e+00,-0.428,-0.106
8.400e+00,-0.428,-0.106
8.500e+00,-0.428,-0.106
8.600e+00,-0.428,-0.106
8.700e+00,-0.428,-0.106
8.800e+00,-0.428,-0.106
8.900e+00,-0.428,-0.106
9.000e+00,-0.428,-0.106
9.100e+00,-0.428,-0.106
9.200e+00,-0.428,-0.106
9.300e+00,-0.428,-0.106
9.400e+00,-0.428,-0.106
9.500e+00,-0.428,-0.106
