T,A,R,R4
290,1.126e+00±2.953e-03,33.443±0.003,1.908±0.01
230,2.509e+00±3.125e-03,48.447±0.006,2.366±0.01
210,1.703e+00±3.127e-01,49.406±0.059,2.778±0.003
190,3.814e+00±3.126e-03,71.556±0.012,2.948±0.01
170,3.878e+00±3.133e-01,78.067±0.148,2.999±0.006
150,4.704e+00±3.126e-03,125.745±0.038,3.571±0.001
110,4.006e+00±3.125e-03,257.835±0.162,3.895±0.001
70,1.649e+00±3.071e-03,670.308±1.016,2.571±1
50,2.658e+00±3.135e-01,3738.294±341.075,4.000±0.305
