T,A,R
280,2.554e-01±8.069e-03,35.757±0.012
260,5.862e-01±1.033e-02,39.241±0.019
240,8.651e-01±1.159e-02,42.639±0.025
220,1.16e+00±2.107e-02,47.882±0.057
200,1.419e+00±5.957e-02,55.531±0.217
