T,A,R,n
280,3.890e-01±7.455e-02,35.922±0.094,1.645±0.129
260,5.322e-01±4.441e-02,39.164±0.064,2.104±0.092
240,7.105e-01±3.985e-02,42.379±0.067,2.222±0.067
220,1.020e+00±8.592e-02,47.584±0.184,2.14±0.095
200,1.442e+00±3.052e-01,55.598±0.899,1.983±0.21
