T,A,R
295,2.567e-03±7.841e-04,24905.86±755.236
270,3.278e-03±2.514e-04,38069.527±887.715
230,2.524e-03±2.514e-04,50453.649±1559.109
210,4.026e-04±7.836e-04,59493.987±4308.117
190,1.324e-03±2.514e-04,83736.83±4294.943
170,1.559e-03±7.843e-04,139758.485±23784.276
150,9.884e-04±2.514e-04,225254.4±31081.829
130,8.845e-04±7.853e-04,356879.915±155313.656
110,4.713e-04±2.511e-04,497496.087±151452.934
90,2.991e-04±7.840e-04,747092.531±678445.54
80,2.55e-04±2.506e-04,919130.202±515970.884
