Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-07,
Sample Interval,4e-09,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,2
Label,,
TIME,CH1,CH2
-1.368e-06,0.2,-0.04
-1.364e-06,0.2,0.04
-1.360e-06,0.4,-0.04
-1.356e-06,0.2,0.04
-1.352e-06,0.4,-0.04
-1.348e-06,-0.2,0.04
-1.344e-06,0,0.04
-1.340e-06,0,-0.12
-1.336e-06,0,-0.04
-1.332e-06,0,-0.04
-1.328e-06,0.4,-0.04
-1.324e-06,0,-0.04
-1.320e-06,0.2,0.04
-1.316e-06,-0.2,0.04
-1.312e-06,0.4,-0.04
-1.308e-06,0.2,-0.04
-1.304e-06,0.2,0.12
-1.300e-06,0,0.04
-1.296e-06,0.2,-0.04
-1.292e-06,0,0.2
-1.288e-06,0.2,-0.04
-1.284e-06,0.2,-0.04
-1.280e-06,0.2,0.04
-1.276e-06,0,-0.04
-1.272e-06,0.2,0.04
-1.268e-06,0,0.2
-1.264e-06,0.2,-0.04
-1.260e-06,0.2,-0.04
-1.256e-06,0.2,-0.04
-1.252e-06,0.2,0.04
-1.248e-06,0,0.12
-1.244e-06,0,-0.04
-1.240e-06,0.4,0.12
-1.236e-06,0,0.04
-1.232e-06,0,0.12
-1.228e-06,0.2,-0.04
-1.224e-06,-0.2,-0.12
-1.220e-06,0.4,0.12
-1.216e-06,0.2,0.12
-1.212e-06,0.2,-0.04
-1.208e-06,0.2,0.04
-1.204e-06,0.2,-0.04
-1.200e-06,0,-0.04
-1.196e-06,0.2,0.28
-1.192e-06,0,-0.04
-1.188e-06,0,-0.04
-1.184e-06,0,-0.04
-1.180e-06,0.2,0.04
-1.176e-06,0,0.04
-1.172e-06,0.4,0.04
-1.168e-06,0,-0.04
-1.164e-06,0,0.04
-1.160e-06,0.2,-0.04
-1.156e-06,0,0.12
-1.152e-06,0.2,0.12
-1.148e-06,0.6,0.12
-1.144e-06,0,-0.04
-1.140e-06,0.2,-0.04
-1.136e-06,0.2,0.04
-1.132e-06,0,0.04
-1.128e-06,0.2,-0.12
-1.124e-06,0,-0.04
-1.120e-06,0.2,0.04
-1.116e-06,0.6,0.04
-1.112e-06,0.2,-0.04
-1.108e-06,0.2,0.12
-1.104e-06,0,0.04
-1.100e-06,0,0.04
-1.096e-06,0,-0.12
-1.092e-06,0.4,-0.12
-1.088e-06,0.4,-0.12
-1.084e-06,0.2,-0.04
-1.080e-06,0,-0.04
-1.076e-06,0.4,-0.04
-1.072e-06,0.4,-0.04
-1.068e-06,0,-0.12
-1.064e-06,0.6,-0.12
-1.060e-06,0,0.04
-1.056e-06,0,0.12
-1.052e-06,0.2,0.04
-1.048e-06,0,-0.04
-1.044e-06,0.4,0.04
-1.040e-06,0,0.04
-1.036e-06,0.4,0.12
-1.032e-06,0.4,0.12
-1.028e-06,0,-0.04
-1.024e-06,0,-0.04
-1.020e-06,0.4,-0.04
-1.016e-06,0.4,-0.04
-1.012e-06,0.4,-0.04
-1.008e-06,0,0.12
-1.004e-06,0.4,0.04
-1.000e-06,0.4,-0.04
-9.960e-07,0.6,0.12
-9.920e-07,0.6,-0.04
-9.880e-07,0.2,0.12
-9.840e-07,0.4,0.04
-9.800e-07,0.6,-0.12
-9.760e-07,0.4,0.04
-9.720e-07,0.4,0.04
-9.680e-07,0.6,-0.04
-9.640e-07,0.2,0.04
-9.600e-07,0.6,-0.04
-9.560e-07,0.6,0.04
-9.520e-07,0.2,0.12
-9.480e-07,0.4,0.12
-9.440e-07,0.4,-0.04
-9.400e-07,0.6,-0.04
-9.360e-07,0.4,0.04
-9.320e-07,0.8,-0.04
-9.280e-07,0.4,-0.04
-9.240e-07,0.4,0.04
-9.200e-07,0.8,0.04
-9.160e-07,0.6,0.12
-9.120e-07,0.4,-0.12
-9.080e-07,0.4,-0.04
-9.040e-07,0.4,0.04
-9.000e-07,0.6,0.2
-8.960e-07,0.4,0.04
-8.920e-07,0.6,-0.2
-8.880e-07,0.8,-0.04
-8.840e-07,0.4,-0.04
-8.800e-07,0.6,0.04
-8.760e-07,0.6,0.04
-8.720e-07,0.6,-0.04
-8.680e-07,0.8,-0.04
-8.640e-07,0.4,-0.04
-8.600e-07,0.6,0.04
-8.560e-07,0.4,0.04
-8.520e-07,0.6,-0.04
-8.480e-07,0.6,0.04
-8.440e-07,0.8,-0.04
-8.400e-07,0.6,0.04
-8.360e-07,0.8,-0.04
-8.320e-07,1,0.04
-8.280e-07,0.6,0.04
-8.240e-07,0.8,0.04
-8.200e-07,1,0.04
-8.160e-07,0.8,-0.04
-8.120e-07,0.6,-0.04
-8.080e-07,1,0.04
-8.040e-07,0.8,-0.04
-8.000e-07,1,-0.04
-7.960e-07,0.6,0.04
-7.920e-07,0.8,-0.04
-7.880e-07,0.8,0.04
-7.840e-07,0.6,-0.04
-7.800e-07,0.6,0.04
-7.760e-07,0.8,-0.04
-7.720e-07,1,0.12
-7.680e-07,0.8,-0.04
-7.640e-07,1,0.04
-7.600e-07,0.6,0.04
-7.560e-07,0.6,0.04
-7.520e-07,0.8,0.04
-7.480e-07,1,0.04
-7.440e-07,0.8,0.04
-7.400e-07,0.8,0.12
-7.360e-07,0.6,0.2
-7.320e-07,0.6,0.12
-7.280e-07,1,0.12
-7.240e-07,1,0.2
-7.200e-07,1,0.2
-7.160e-07,1,0.2
-7.120e-07,1,0.28
-7.080e-07,0.8,0.2
-7.040e-07,1,0.2
-7.000e-07,1.2,0.2
-6.960e-07,1,0.2
-6.920e-07,0.8,0.36
-6.880e-07,1,0.28
-6.840e-07,1,0.28
-6.800e-07,1,0.2
-6.760e-07,0.8,0.2
-6.720e-07,1,0.28
-6.680e-07,1.2,0.36
-6.640e-07,1,0.36
-6.600e-07,0.8,0.28
-6.560e-07,1,0.2
-6.520e-07,1.2,0.12
-6.480e-07,1.2,0.28
-6.440e-07,1.2,0.44
-6.400e-07,1,0.2
-6.360e-07,1.2,0.36
-6.320e-07,1.4,0.36
-6.280e-07,1.4,0.2
-6.240e-07,1,0.36
-6.200e-07,1.2,0.36
-6.160e-07,1.6,0.36
-6.120e-07,1.2,0.28
-6.080e-07,1.4,0.36
-6.040e-07,1.6,0.44
-6.000e-07,1.6,0.36
-5.960e-07,1.6,0.6
-5.920e-07,2,0.6
-5.880e-07,1.4,0.52
-5.840e-07,1.6,0.6
-5.800e-07,1.8,0.44
-5.760e-07,1.6,0.44
-5.720e-07,1.4,0.6
-5.680e-07,1.6,0.6
-5.640e-07,1.8,0.6
-5.600e-07,1.8,0.52
-5.560e-07,1.6,0.52
-5.520e-07,2,0.68
-5.480e-07,1.8,0.68
-5.440e-07,2,0.6
-5.400e-07,2,0.6
-5.360e-07,2,0.6
-5.320e-07,2,0.6
-5.280e-07,2.4,0.68
-5.240e-07,2,0.6
-5.200e-07,2.6,0.76
-5.160e-07,2,0.76
-5.120e-07,2,0.76
-5.080e-07,2.2,0.76
-5.040e-07,2,0.76
-5.000e-07,2.2,0.6
-4.960e-07,2,0.76
-4.920e-07,2.2,0.68
-4.880e-07,2.4,0.6
-4.840e-07,2.4,0.76
-4.800e-07,2,0.76
-4.760e-07,2.4,0.92
-4.720e-07,2.4,0.76
-4.680e-07,2,0.68
-4.640e-07,2.6,0.76
-4.600e-07,2.4,0.76
-4.560e-07,2.6,0.76
-4.520e-07,2.6,0.68
-4.480e-07,2.6,0.76
-4.440e-07,2.4,0.76
-4.400e-07,2.4,0.76
-4.360e-07,2.6,0.76
-4.320e-07,2.6,0.76
-4.280e-07,2.4,0.76
-4.240e-07,2.4,0.76
-4.200e-07,2.6,0.76
-4.160e-07,2.8,0.92
-4.120e-07,2.6,0.84
-4.080e-07,2.6,0.92
-4.040e-07,2.4,1
-4.000e-07,2.4,0.76
-3.960e-07,2.4,0.92
-3.920e-07,2.4,0.84
-3.880e-07,2.8,1
-3.840e-07,2.6,0.84
-3.800e-07,2.8,0.84
-3.760e-07,2.8,1
-3.720e-07,3,1
-3.680e-07,3,0.84
-3.640e-07,2.6,1
-3.600e-07,2.6,0.92
-3.560e-07,2.4,1
-3.520e-07,2.6,1
-3.480e-07,2.8,0.92
-3.440e-07,2.6,1
-3.400e-07,2.8,1
-3.360e-07,3,1
-3.320e-07,2.6,1
-3.280e-07,2.8,0.92
-3.240e-07,2.6,1.08
-3.200e-07,3,1.08
-3.160e-07,2.8,1
-3.120e-07,3,1.08
-3.080e-07,2.8,1
-3.040e-07,2.6,0.84
-3.000e-07,2.8,1
-2.960e-07,2.8,1
-2.920e-07,2.8,0.92
-2.880e-07,3,1
-2.840e-07,2.8,1
-2.800e-07,2.8,1
-2.760e-07,2.8,1
-2.720e-07,2.8,1.08
-2.680e-07,2.8,1
-2.640e-07,3,1
-2.600e-07,3,1
-2.560e-07,2.6,1.16
-2.520e-07,3.2,1
-2.480e-07,2.8,1.08
-2.440e-07,3,1
-2.400e-07,2.8,1.24
-2.360e-07,3,1
-2.320e-07,2.8,1.08
-2.280e-07,3,1.08
-2.240e-07,3,1
-2.200e-07,2.8,1
-2.160e-07,3,1.08
-2.120e-07,3,1.16
-2.080e-07,3,1
-2.040e-07,3,1.08
-2.000e-07,3.2,1.16
-1.960e-07,3.2,1.08
-1.920e-07,3.2,1.08
-1.880e-07,3,1.08
-1.840e-07,3,1.08
-1.800e-07,3.2,1.08
-1.760e-07,3.2,1.16
-1.720e-07,3,1.08
-1.680e-07,3,1
-1.640e-07,3.2,1.24
-1.600e-07,3.2,1.16
-1.560e-07,3.2,1.24
-1.520e-07,3,1.08
-1.480e-07,3,1.08
-1.440e-07,3.4,1.08
-1.400e-07,3.6,1
-1.360e-07,3.2,1.08
-1.320e-07,3.2,1.16
-1.280e-07,3.2,1
-1.240e-07,3.6,1.08
-1.200e-07,3.4,1.08
-1.160e-07,3.8,1.16
-1.120e-07,3.8,1.4
-1.080e-07,3.8,1.24
-1.040e-07,4,1.24
-1.000e-07,3.8,1.32
-9.600e-08,4.4,1.16
-9.200e-08,4.4,1.32
-8.800e-08,4.2,1.4
-8.400e-08,4.6,1.4
-8.000e-08,4.6,1.4
-7.600e-08,4.8,1.48
-7.200e-08,5,1.48
-6.800e-08,5.4,1.64
-6.400e-08,5.2,1.64
-6.000e-08,5.2,1.8
-5.600e-08,5.6,1.96
-5.200e-08,5.8,1.96
-4.800e-08,5.8,2.04
-4.400e-08,6.2,2.2
-4.000e-08,6.4,2.04
-3.600e-08,6.6,2.44
-3.200e-08,6.4,2.6
-2.800e-08,7,2.6
-2.400e-08,7.4,2.68
-2.000e-08,7.6,2.84
-1.600e-08,7.8,3
-1.200e-08,8,3.16
-8.000e-09,8,3.16
-4.000e-09,8.6,3.08
6.406e-21,8.4,3.16
4.000e-09,9,3.32
8.000e-09,9,3.4
1.200e-08,9.4,3.32
1.600e-08,9.4,3.56
2.000e-08,9.8,3.56
2.400e-08,9.8,3.72
2.800e-08,10.2,3.72
3.200e-08,10.6,3.64
3.600e-08,10.4,3.88
4.000e-08,11,3.96
4.400e-08,10.6,3.88
4.800e-08,11.6,3.96
5.200e-08,11.2,3.96
5.600e-08,11.6,4.12
6.000e-08,11.8,4.12
6.400e-08,12,4.2
6.800e-08,12.2,4.36
7.200e-08,12.6,4.36
7.600e-08,12.8,4.6
8.000e-08,13,4.6
8.400e-08,12.8,4.6
8.800e-08,13.4,4.84
9.200e-08,13.8,4.92
9.600e-08,14,4.92
1.000e-07,14.2,5.24
1.040e-07,14.2,5.24
1.080e-07,14.6,5.32
1.120e-07,14.8,5.4
1.160e-07,15.2,5.56
1.200e-07,15.4,5.48
1.240e-07,15.4,5.64
1.280e-07,15.4,5.72
1.320e-07,15.8,5.88
1.360e-07,16.2,5.96
1.400e-07,16.6,6.04
1.440e-07,16.8,6.12
1.480e-07,16.6,6.36
1.520e-07,16.6,6.28
1.560e-07,17.2,6.28
1.600e-07,17.4,6.44
1.640e-07,17.6,6.52
1.680e-07,17.6,6.68
1.720e-07,17.8,6.52
1.760e-07,18,6.76
1.800e-07,18.6,6.92
1.840e-07,18.6,7
1.880e-07,18.6,7.08
1.920e-07,19,7.16
1.960e-07,19.2,7.16
2.000e-07,19.4,7.24
