Temperature             Voltage
(Kelvin)                (Volts)

1.20345974175234E+00   1.71020
1.29419579445526E+00   1.70923
1.40379234409884E+00   1.70789
1.69829121884295E+00   1.70343
1.99923642248276E+00   1.69763
2.40351316407306E+00   1.68803
2.81704997241888E+00   1.67653
3.21645340812247E+00   1.66431
3.70547678229645E+00   1.64819
4.19773373050921E+00   1.63086
5.02151164353526E+00   1.59986
6.04202360964135E+00   1.55930
7.04240658548835E+00   1.51887
8.06035446129825E+00   1.48006
9.07940321659240E+00   1.44503
1.00975392782934E+01   1.41394
1.11124230869172E+01   1.38622
1.21191819532843E+01   1.36128
1.31189467686139E+01   1.33853
1.41154816149723E+01   1.31748
1.51088636049152E+01   1.29777
1.60961910205224E+01   1.27914
1.70795524037134E+01   1.26130
1.80626052976162E+01   1.24399
1.90483336365100E+01   1.22697
2.00349992830714E+01   1.20994
2.10256354184178E+01   1.192251
2.18160527033421E+01   1.176876
2.26121222665474E+01   1.159647
2.32066080994049E+01   1.146715
2.38133375517711E+01   1.135820
2.44222740052936E+01   1.128292
2.50311552428777E+01   1.123426
2.56385861147040E+01   1.120059
2.64591999197438E+01   1.116668
2.72671621168796E+01   1.113978
2.80830452531456E+01   1.111601
2.90989469059960E+01   1.108943
3.01091469483189E+01   1.106526
3.21281773634372E+01   1.102152
3.51448631832997E+01   1.096294
3.81492276749135E+01   1.090881
4.21471669138859E+01   1.083953
4.61441335652970E+01   1.077072
5.21393282097518E+01   1.066544
5.81262172741757E+01   1.055788
6.41261419564198E+01   1.044824
7.01225262791780E+01   1.033677
7.61290891753957E+01   1.022305
8.21115745281475E+01   1.010767
8.81211827795853E+01   0.998969
9.41095182112130E+01   0.987014
1.00094948675347E+02   0.974861
1.10094960828839E+02   0.954232
1.25081600274983E+02   0.922583
1.40096831050354E+02   0.890118
1.55085500389726E+02   0.857080
1.70080255320637E+02   0.823503
1.85066849185746E+02   0.789491
2.00051465216371E+02   0.755086
2.15052962347419E+02   0.720288
2.30072161395136E+02   0.685127
2.45061636310701E+02   0.649757
2.60072871514983E+02   0.614096
2.75072038251678E+02   0.578278
2.90069378660363E+02   0.542326
3.05065434106411E+02   0.506246
3.20072745255453E+02   0.469995
3.29863753636846E+02   0.446193
3.44829911850055E+02   0.409741
3.59826129502368E+02   0.373014
3.74799692701363E+02   0.336107
3.89792442827663E+02   0.298945
4.04772779942024E+02   0.261597
4.19777696219145E+02   0.224032
4.34750606680475E+02   0.186501
4.49745767016469E+02   0.149185
4.64748107965260E+02   0.112852
4.79729206958181E+02   0.0790857
4.89717954070724E+02   0.0591814
4.99704559537208E+02   0.0423056
5.04704327812494E+02   0.0351823
