Temp.     Voltage    Sensitivity
(Kelvin)  (Volts)    (milliVolts/Kelvin)

   1.400   1.70794    -1.298377E+01
   1.500   1.70657    -1.440633E+01
   1.600   1.70506    -1.582384E+01
   1.700   1.70340    -1.723636E+01
   1.800   1.70161    -1.863035E+01
   1.900   1.69968    -1.999317E+01
   2.000   1.69761    -2.132483E+01
   2.100   1.69542    -2.259973E+01
   2.200   1.69310    -2.379307E+01
   2.300   1.69066    -2.490484E+01
   2.400   1.68812    -2.593506E+01
   2.500   1.68548    -2.688569E+01
   2.600   1.68274    -2.775900E+01
   2.700   1.67993    -2.855501E+01
   2.800   1.67703    -2.927370E+01
   2.900   1.67407    -2.992835E+01
   3.000   1.67105    -3.054369E+01
   3.100   1.66797    -3.112028E+01
   3.200   1.66483    -3.165812E+01
   3.300   1.66164    -3.216707E+01
   3.400   1.65839    -3.266512E+01
   3.500   1.65510    -3.315266E+01
   3.600   1.65176    -3.362967E+01
   3.700   1.64838    -3.409618E+01
   3.800   1.64494    -3.455126E+01
   3.900   1.64147    -3.499381E+01
   4.000   1.63795    -3.542383E+01
   4.200   1.63078    -3.624625E+01
   4.400   1.62345    -3.700035E+01
   4.600   1.61598    -3.766878E+01
   4.800   1.60839    -3.825153E+01
   5.000   1.60069    -3.874860E+01
   5.200   1.59290    -3.917653E+01
   5.400   1.58502    -3.956006E+01
   5.600   1.57707    -3.989944E+01
   5.800   1.56906    -4.019466E+01
   6.000   1.56100    -4.044572E+01
   6.500   1.54070    -4.059855E+01
   7.000   1.52056    -3.980639E+01
   7.500   1.50101    -3.834242E+01
   8.000   1.48227    -3.658673E+01
   8.500   1.46445    -3.465126E+01
   9.000   1.44761    -3.270777E+01
   9.500   1.43174    -3.082377E+01
  10.000   1.41676    -2.911644E+01
  10.500   1.40259    -2.758509E+01
  11.000   1.38915    -2.622359E+01
  11.500   1.37634    -2.501605E+01
  12.000   1.36411    -2.392723E+01
  12.500   1.35240    -2.295030E+01
  13.000   1.34115    -2.207233E+01
  13.500   1.33031    -2.128725E+01
  14.000   1.31985    -2.058208E+01
  14.500   1.30971    -1.995714E+01
  15.000   1.29987    -1.941438E+01
  15.500   1.29029    -1.894685E+01
  16.000   1.28092    -1.853917E+01
  16.500   1.27174    -1.818839E+01
  17.000   1.26272    -1.788971E+01
  17.500   1.25384    -1.763726E+01
  18.000   1.24508    -1.742078E+01
  18.500   1.23641    -1.726212E+01
  19.000   1.22780    -1.719642E+01
  19.500   1.21920    -1.723471E+01
  20.000   1.21054    -1.739222E+01
  21.000   1.192725   -1.847221E+01
  22.000   1.173029   -2.119908E+01
  23.000   1.151067   -2.160539E+01
  24.000   1.133160   -1.335284E+01
  25.000   1.123630   -6.613378E+00
  26.000   1.118448   -4.166043E+00
  27.000   1.114820   -3.228613E+00
  28.000   1.111832   -2.788691E+00
  29.000   1.109190   -2.512481E+00
  30.000   1.106778   -2.320924E+00
  31.000   1.104533   -2.175324E+00
  32.000   1.102416   -2.064413E+00
  33.000   1.100395   -1.980851E+00
  34.000   1.098449   -1.912998E+00
  35.000   1.096563   -1.860699E+00
  36.000   1.094723   -1.820948E+00
  37.000   1.092919   -1.788618E+00
  38.000   1.091144   -1.763622E+00
  39.000   1.089390   -1.745024E+00
  40.000   1.087652   -1.731203E+00
  42.000   1.084206   -1.717801E+00
  44.000   1.080770   -1.719443E+00
  46.000   1.077322   -1.730904E+00
  48.000   1.073843   -1.747472E+00
  50.000   1.070333   -1.762970E+00
  52.000   1.066792   -1.777370E+00
  54.000   1.063224   -1.790498E+00
  56.000   1.059631   -1.802124E+00
  58.000   1.056016   -1.812246E+00
  60.000   1.052383   -1.821706E+00
  65.000   1.043212   -1.847139E+00
  70.000   1.033907   -1.875032E+00
  75.000   1.024459   -1.904302E+00
  77.350   1.019967   -1.918136E+00
  80.000   1.014864   -1.933741E+00
  85.000   1.005122   -1.962739E+00
  90.000   0.995240   -1.989830E+00
  95.000   0.985218   -2.019603E+00
 100.000   0.975055   -2.043549E+00
 105.000   0.964791   -2.062395E+00
 110.000   0.954429   -2.082470E+00
 115.000   0.943966   -2.102503E+00
 120.000   0.933407   -2.121122E+00
 125.000   0.922758   -2.138326E+00
 130.000   0.912025   -2.154413E+00
 135.000   0.901215   -2.169698E+00
 140.000   0.890330   -2.184181E+00
 145.000   0.879374   -2.197830E+00
 150.000   0.868353   -2.210607E+00
 155.000   0.857270   -2.222513E+00
 160.000   0.846129   -2.233753E+00
 165.000   0.834933   -2.244545E+00
 170.000   0.823684   -2.254890E+00
 175.000   0.812385   -2.264787E+00
 180.000   0.801037   -2.274232E+00
 185.000   0.789643   -2.283227E+00
 190.000   0.778205   -2.291839E+00
 195.000   0.766725   -2.300141E+00
 200.000   0.755205   -2.308133E+00
 205.000   0.743645   -2.315860E+00
 210.000   0.732046   -2.323368E+00
 215.000   0.720411   -2.330658E+00
 220.000   0.708740   -2.337676E+00
 225.000   0.697035   -2.344369E+00
 230.000   0.685297   -2.350737E+00
 235.000   0.673528   -2.356804E+00
 240.000   0.661729   -2.362598E+00
 245.000   0.649903   -2.368118E+00
 250.000   0.638049   -2.373291E+00
 255.000   0.626170   -2.378042E+00
 260.000   0.614269   -2.382369E+00
 265.000   0.602347   -2.386267E+00
 270.000   0.590407   -2.389728E+00
 273.150   0.582876   -2.391685E+00
 275.000   0.578451   -2.392753E+00
 280.000   0.566480   -2.395628E+00
 285.000   0.554494   -2.398659E+00
 290.000   0.542493   -2.401845E+00
 295.000   0.530476   -2.404855E+00
 300.000   0.518445   -2.407339E+00
 305.000   0.506404   -2.409297E+00
 310.000   0.494351   -2.412176E+00
 315.000   0.482278   -2.417500E+00
 320.000   0.470172   -2.425269E+00
 325.000   0.458027   -2.431879E+00
 330.000   0.445861   -2.433516E+00
 335.000   0.433694   -2.433910E+00
 340.000   0.421519   -2.436414E+00
 345.000   0.409326   -2.441027E+00
 350.000   0.397107   -2.446584E+00
 355.000   0.384860   -2.452065E+00
 360.000   0.372586   -2.457470E+00
 365.000   0.360286   -2.462644E+00
 370.000   0.347961   -2.467452E+00
 375.000   0.335612   -2.471894E+00
 380.000   0.323242   -2.476356E+00
 385.000   0.310848   -2.481169E+00
 390.000   0.298429   -2.486331E+00
 395.000   0.285985   -2.491313E+00
 400.000   0.273517   -2.495663E+00
 405.000   0.261029   -2.499383E+00
 410.000   0.248524   -2.502518E+00
 415.000   0.236005   -2.505109E+00
 420.000   0.223474   -2.507153E+00
 425.000   0.210936   -2.507785E+00
 430.000   0.198400   -2.506276E+00
 435.000   0.185877   -2.502622E+00
 440.000   0.173380   -2.495301E+00
 445.000   0.160932   -2.483058E+00
 450.000   0.148558   -2.465885E+00
 455.000   0.136287   -2.440617E+00
 460.000   0.124169   -2.404656E+00
 465.000   0.112258   -2.357991E+00
 470.000   0.100616   -2.295656E+00
 475.000   0.089334   -2.213569E+00
 480.000   0.078513   -2.111725E+00
 485.000   0.068252   -1.988945E+00
 490.000   0.058660   -1.844284E+00
 495.000   0.049838   -1.682374E+00
 500.000   0.041859   -1.506941E+00
