Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.001
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
2.140e-01,0.04
2.150e-01,-0.04
2.160e-01,0.04
2.170e-01,-0.04
2.180e-01,-0.04
2.190e-01,-0.04
2.200e-01,8.2
2.210e-01,8.2
2.220e-01,8.36
2.230e-01,8.2
2.240e-01,8.04
2.250e-01,8.2
2.260e-01,8.2
2.270e-01,8.2
2.280e-01,8.2
2.290e-01,8.28
2.300e-01,8.2
2.310e-01,8.36
2.320e-01,8.04
2.330e-01,8.28
2.340e-01,8.28
2.350e-01,8.12
2.360e-01,8.2
2.370e-01,8.28
2.380e-01,8.2
2.390e-01,8.12
2.400e-01,8.2
2.410e-01,8.12
2.420e-01,8.2
2.430e-01,8.2
2.440e-01,8.2
2.450e-01,8.12
2.460e-01,8.12
2.470e-01,8.12
2.480e-01,8.12
2.490e-01,8.12
2.500e-01,8.28
2.510e-01,8.2
2.520e-01,8.2
2.530e-01,8.2
2.540e-01,8.2
2.550e-01,8.2
2.560e-01,8.2
2.570e-01,8.12
2.580e-01,8.04
2.590e-01,8.2
2.600e-01,7.96
2.610e-01,8.12
2.620e-01,8.28
2.630e-01,8.12
2.640e-01,8.12
2.650e-01,0.04
2.660e-01,0.04
2.670e-01,-0.04
2.680e-01,-0.04
2.690e-01,0.04
2.700e-01,0.04
2.710e-01,0.04
2.720e-01,-0.04
2.730e-01,0.04
2.740e-01,0.12
2.750e-01,8.2
2.760e-01,8.2
2.770e-01,8.28
2.780e-01,8.12
2.790e-01,8.12
2.800e-01,8.12
2.810e-01,8.2
2.820e-01,8.36
2.830e-01,8.2
2.840e-01,8.2
2.850e-01,8.12
2.860e-01,8.12
2.870e-01,8.04
2.880e-01,8.2
2.890e-01,8.12
2.900e-01,8.12
2.910e-01,8.2
2.920e-01,8.04
2.930e-01,8.2
2.940e-01,8.2
2.950e-01,8.12
2.960e-01,8.04
2.970e-01,8.2
2.980e-01,8.2
2.990e-01,8.12
3.000e-01,8.2
3.010e-01,8.36
3.020e-01,8.12
3.030e-01,8.12
3.040e-01,8.12
3.050e-01,8.2
3.060e-01,8.12
3.070e-01,8.04
3.080e-01,8.04
3.090e-01,8.2
3.100e-01,8.04
3.110e-01,8.2
3.120e-01,8.2
3.130e-01,8.2
3.140e-01,8.2
3.150e-01,8.28
3.160e-01,8.04
3.170e-01,8.2
3.180e-01,8.2
3.190e-01,8.2
3.200e-01,0.04
3.210e-01,0.04
3.220e-01,-0.04
3.230e-01,0.12
3.240e-01,0.04
3.250e-01,0.12
3.260e-01,0.04
3.270e-01,-0.12
3.280e-01,-0.04
3.290e-01,-0.04
3.300e-01,8.28
3.310e-01,8.28
3.320e-01,8.2
3.330e-01,8.2
3.340e-01,8.12
3.350e-01,8.2
3.360e-01,8.2
3.370e-01,8.2
3.380e-01,8.12
3.390e-01,8.28
3.400e-01,8.12
3.410e-01,8.04
3.420e-01,8.12
3.430e-01,8.12
3.440e-01,8.28
3.450e-01,8.2
3.460e-01,8.12
3.470e-01,8.2
3.480e-01,8.2
3.490e-01,7.96
3.500e-01,8.2
3.510e-01,8.04
3.520e-01,7.96
3.530e-01,8.12
3.540e-01,8.04
3.550e-01,8.12
3.560e-01,8.28
3.570e-01,8.2
3.580e-01,8.04
3.590e-01,8.2
3.600e-01,7.96
3.610e-01,8.04
3.620e-01,8.12
3.630e-01,8.2
3.640e-01,7.96
3.650e-01,8.12
3.660e-01,8.2
3.670e-01,8.12
3.680e-01,8.04
3.690e-01,8.04
3.700e-01,8.2
3.710e-01,8.12
3.720e-01,8.04
3.730e-01,8.04
3.740e-01,8.12
3.750e-01,0.04
3.760e-01,0.04
3.770e-01,0.12
3.780e-01,0.04
3.790e-01,0.04
3.800e-01,0.12
3.810e-01,0.04
3.820e-01,-0.04
3.830e-01,0.12
3.840e-01,0.04
3.850e-01,8.36
3.860e-01,8.2
3.870e-01,8.12
3.880e-01,8.2
3.890e-01,8.36
3.900e-01,8.2
3.910e-01,8.12
3.920e-01,8.28
3.930e-01,8.12
3.940e-01,8.2
3.950e-01,8.2
3.960e-01,8.12
3.970e-01,8.12
3.980e-01,8.12
3.990e-01,8.2
4.000e-01,8.12
4.010e-01,8.12
4.020e-01,7.96
4.030e-01,8.12
4.040e-01,8.2
4.050e-01,7.96
4.060e-01,8.12
4.070e-01,8.12
4.080e-01,8.04
4.090e-01,8.2
4.100e-01,8.2
4.110e-01,7.96
4.120e-01,8.12
4.130e-01,8.12
4.140e-01,8.12
4.150e-01,8.04
4.160e-01,8.12
4.170e-01,8.04
4.180e-01,8.04
4.190e-01,8.12
4.200e-01,8.12
4.210e-01,8.12
4.220e-01,8.04
4.230e-01,8.12
4.240e-01,8.12
4.250e-01,8.2
4.260e-01,8.12
4.270e-01,8.2
4.280e-01,8.2
4.290e-01,8.12
4.300e-01,0.04
4.310e-01,0.04
4.320e-01,0.04
4.330e-01,0.04
4.340e-01,-0.04
4.350e-01,0.12
4.360e-01,0.04
4.370e-01,-0.04
4.380e-01,-0.12
4.390e-01,0.04
4.400e-01,8.36
4.410e-01,8.12
4.420e-01,8.36
4.430e-01,8.28
4.440e-01,8.2
4.450e-01,8.28
4.460e-01,8.2
4.470e-01,8.36
4.480e-01,8.04
4.490e-01,8.12
4.500e-01,8.12
4.510e-01,8.2
4.520e-01,8.36
4.530e-01,8.2
4.540e-01,8.28
4.550e-01,8.12
4.560e-01,8.04
4.570e-01,8.12
4.580e-01,8.28
4.590e-01,8.2
4.600e-01,8.12
4.610e-01,8.2
4.620e-01,8.2
4.630e-01,8.2
4.640e-01,8.04
4.650e-01,8.36
4.660e-01,8.2
4.670e-01,8.12
4.680e-01,8.12
4.690e-01,8.12
4.700e-01,8.2
4.710e-01,8.12
4.720e-01,8.12
4.730e-01,8.12
4.740e-01,7.96
4.750e-01,8.28
4.760e-01,8.12
4.770e-01,8.12
4.780e-01,8.04
4.790e-01,8.12
4.800e-01,8.04
4.810e-01,8.04
4.820e-01,8.2
4.830e-01,8.12
4.840e-01,8.12
4.850e-01,-0.04
4.860e-01,0.04
4.870e-01,-0.04
4.880e-01,0.04
4.890e-01,0.04
4.900e-01,0.04
4.910e-01,-0.12
4.920e-01,0.04
4.930e-01,0.04
4.940e-01,0.04
4.950e-01,8.2
4.960e-01,8.2
4.970e-01,8.12
4.980e-01,8.2
4.990e-01,8.04
5.000e-01,8.12
5.010e-01,8.12
5.020e-01,8.12
5.030e-01,8.2
5.040e-01,8.2
5.050e-01,8.2
5.060e-01,8.2
5.070e-01,8.2
5.080e-01,8.04
5.090e-01,8.2
5.100e-01,8.2
5.110e-01,8.12
5.120e-01,8.04
5.130e-01,8.2
5.140e-01,8.12
5.150e-01,8.12
5.160e-01,8.2
5.170e-01,8.04
5.180e-01,8.12
5.190e-01,8.12
5.200e-01,8.2
5.210e-01,8.12
5.220e-01,8.2
5.230e-01,8.04
5.240e-01,8.12
5.250e-01,8.2
5.260e-01,8.04
5.270e-01,8.04
5.280e-01,8.04
5.290e-01,8.04
5.300e-01,8.04
5.310e-01,8.04
5.320e-01,8.12
5.330e-01,8.2
5.340e-01,8.04
5.350e-01,8.12
5.360e-01,8.12
5.370e-01,8.2
5.380e-01,8.12
5.390e-01,7.96
5.400e-01,0.12
5.410e-01,0.04
5.420e-01,-0.12
5.430e-01,-0.04
5.440e-01,0.04
5.450e-01,0.04
5.460e-01,0.04
5.470e-01,-0.04
5.480e-01,0.04
5.490e-01,0.04
5.500e-01,8.12
5.510e-01,8.12
5.520e-01,8.12
5.530e-01,8.2
5.540e-01,8.2
5.550e-01,8.28
5.560e-01,8.12
5.570e-01,8.12
5.580e-01,8.28
5.590e-01,8.12
5.600e-01,8.2
5.610e-01,8.2
5.620e-01,8.28
5.630e-01,8.12
5.640e-01,8.2
5.650e-01,8.2
5.660e-01,8.12
5.670e-01,8.04
5.680e-01,8.04
5.690e-01,8.28
5.700e-01,8.2
5.710e-01,8.12
5.720e-01,8.12
5.730e-01,8.04
5.740e-01,8.12
5.750e-01,8.04
5.760e-01,8.12
5.770e-01,8.2
5.780e-01,8.04
5.790e-01,8.12
5.800e-01,8.04
5.810e-01,8.12
5.820e-01,8.04
5.830e-01,7.96
5.840e-01,8.12
5.850e-01,8.28
5.860e-01,8.04
5.870e-01,8.04
5.880e-01,8.12
5.890e-01,8.12
5.900e-01,8.12
5.910e-01,8.12
5.920e-01,8.04
5.930e-01,8.12
5.940e-01,8.04
5.950e-01,0.12
5.960e-01,-0.04
5.970e-01,0.2
5.980e-01,-0.04
5.990e-01,0.04
6.000e-01,-0.04
6.010e-01,-0.04
6.020e-01,0.04
6.030e-01,0.04
6.040e-01,0.04
6.050e-01,8.2
6.060e-01,8.2
6.070e-01,8.36
6.080e-01,8.28
6.090e-01,8.2
6.100e-01,8.2
6.110e-01,8.04
6.120e-01,8.12
6.130e-01,8.2
6.140e-01,8.12
6.150e-01,8.12
6.160e-01,8.36
6.170e-01,8.2
6.180e-01,8.04
6.190e-01,8.12
6.200e-01,8.04
6.210e-01,8.04
6.220e-01,8.12
6.230e-01,8.12
6.240e-01,8.2
6.250e-01,8.04
6.260e-01,8.04
6.270e-01,8.12
6.280e-01,8.04
6.290e-01,8.04
6.300e-01,8.12
6.310e-01,8.2
6.320e-01,8.12
6.330e-01,8.12
6.340e-01,8.12
6.350e-01,8.04
6.360e-01,8.12
6.370e-01,8.12
6.380e-01,8.04
6.390e-01,8.12
6.400e-01,8.12
6.410e-01,8.12
6.420e-01,8.2
6.430e-01,8.2
6.440e-01,8.04
6.450e-01,8.12
6.460e-01,8.12
6.470e-01,8.2
6.480e-01,8.12
6.490e-01,8.12
6.500e-01,-0.12
6.510e-01,0.04
6.520e-01,-0.04
6.530e-01,-0.04
6.540e-01,-0.04
6.550e-01,-0.12
6.560e-01,0.04
6.570e-01,0.12
6.580e-01,0.04
6.590e-01,-0.04
6.600e-01,8.2
6.610e-01,8.12
6.620e-01,8.12
6.630e-01,8.04
6.640e-01,8.2
6.650e-01,8.12
6.660e-01,8.2
6.670e-01,8.2
6.680e-01,8.12
6.690e-01,8.2
6.700e-01,8.12
6.710e-01,8.12
6.720e-01,8.12
6.730e-01,8.2
6.740e-01,8.12
6.750e-01,8.2
6.760e-01,8.12
6.770e-01,8.12
6.780e-01,8.2
6.790e-01,8.12
6.800e-01,8.12
6.810e-01,8.12
6.820e-01,8.2
6.830e-01,8.2
6.840e-01,8.12
6.850e-01,8.12
6.860e-01,7.96
6.870e-01,8.2
6.880e-01,8.04
6.890e-01,8.12
6.900e-01,8.12
6.910e-01,8.12
6.920e-01,7.96
6.930e-01,8.04
6.940e-01,8.04
6.950e-01,8.12
6.960e-01,8.12
6.970e-01,8.12
6.980e-01,7.88
6.990e-01,8.12
7.000e-01,8.12
7.010e-01,8.04
7.020e-01,8.2
7.030e-01,7.96
7.040e-01,8.12
7.050e-01,0.04
7.060e-01,0.04
7.070e-01,-0.12
7.080e-01,-0.12
7.090e-01,0.2
7.100e-01,-0.04
7.110e-01,0.04
7.120e-01,-0.04
7.130e-01,0.04
7.140e-01,0.04
7.150e-01,8.12
7.160e-01,8.28
