Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
12.073691E+0	295.680000E+0	295.680000E+0	294.928843E-3	2.000000E+0	1.575901E+3	311.925566E+39				
15.789903E+0	295.000000E+0	295.680000E+0	294.928843E-3	4.000000E+0	1.574515E+3	312.568995E+39				
19.515116E+0	295.000000E+0	295.680000E+0	294.928843E-3	5.000000E+0	1.588685E+3	314.336737E+39				
23.217328E+0	295.000000E+0	295.680000E+0	294.928843E-3	3.000000E+0	1.576351E+3	312.164329E+39				
26.937541E+0	295.000000E+0	295.680000E+0	294.928843E-3	3.000000E+0	1.578904E+3	312.851208E+39				
30.700756E+0	295.000000E+0	295.680000E+0	294.928843E-3	3.000000E+0	1.582037E+3	313.641341E+39				
34.916997E+0	295.000000E+0	295.680000E+0	294.928843E-3	3.000000E+0	1.583777E+3	313.327979E+39				
38.632210E+0	295.000000E+0	295.680000E+0	0.000000E+0	2.000000E+0	1.578263E+3	312.624214E+39				
42.350422E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.574549E+3	311.776402E+39				
46.076636E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.582478E+3	313.452852E+39				
49.794848E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.569825E+3	311.844097E+39				
53.518061E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.576280E+3	312.119103E+39				
57.240274E+0	295.000000E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.577409E+3	313.206176E+39				
60.970488E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.580379E+3	312.999425E+39				
64.714702E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.582720E+3	312.650844E+39				
68.422914E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.583648E+3	313.496482E+39				
72.134126E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.569117E+3	311.291625E+39				
75.855339E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.575961E+3	312.006095E+39				
79.579552E+0	295.000000E+0	295.680000E+0	0.000000E+0	2.000000E+0	1.578247E+3	312.627172E+39				
83.306765E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.567386E+3	311.203645E+39				
87.036978E+0	295.000000E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.568971E+3	311.406072E+39				
90.760191E+0	295.000000E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.573929E+3	312.277451E+39				
177.338143E+0	295.555893E+0	295.680000E+0	0.000000E+0	3.000000E+0	1.582213E+3	313.751563E+39				
181.046355E+0	295.555893E+0	295.680000E+0	0.000000E+0	6.000000E+0	1.586435E+3	314.060797E+39				
184.772569E+0	295.432286E+0	295.680000E+0	0.000000E+0	8.000000E+0	1.570689E+3	312.103375E+39				
188.498782E+0	295.308079E+0	295.680000E+0	0.000000E+0	6.000000E+0	1.585931E+3	314.583201E+39				
192.221994E+0	295.183872E+0	295.680000E+0	0.000000E+0	5.000000E+0	1.575172E+3	312.568010E+39				
195.942207E+0	295.059765E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.589082E+3	315.214591E+39				
199.674421E+0	294.935757E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.571350E+3	311.934402E+39				
203.397634E+0	294.811350E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.581850E+3	313.554013E+39				
207.119847E+0	294.687243E+0	295.680000E+0	0.000000E+0	4.000000E+0	1.578442E+3	313.744610E+39				
210.944066E+0	294.563169E+0	295.680000E+0	0.000000E+0	2.000000E+0	1.590778E+3	314.669105E+39				
214.680279E+0	294.435695E+0	295.680000E+0	0.000000E+0	1.000000E+0	1.589229E+3	315.092318E+39				
218.404492E+0	294.311155E+0	295.680000E+0	0.000000E+0	1.000000E+0	1.581018E+3	313.201226E+39				
222.133706E+0	294.187015E+0	295.680000E+0	0.000000E+0	1.000000E+0	1.592835E+3	315.308866E+39				
225.855918E+0	294.062707E+0	295.680000E+0	0.000000E+0	1.000000E+0	1.582704E+3	313.673109E+39				
229.579131E+0	293.938634E+0	295.790000E+0	0.000000E+0	0.000000E+0	1.581670E+3	313.129973E+39				
233.303344E+0	293.814527E+0	295.790000E+0	0.000000E+0	0.000000E+0	1.573967E+3	311.461859E+39				
237.033558E+0	293.690386E+0	295.790000E+0	294.691787E-3	0.000000E+0	1.587195E+3	314.167330E+39				
