Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,5
Label,,
TIME,CH1,CH2
1.690e-06,30.1,15.7
1.700e-06,30.3,15.7
1.710e-06,30.5,15.9
1.720e-06,30.5,15.9
1.730e-06,30.5,15.7
1.740e-06,30.3,15.7
1.750e-06,30.3,15.7
1.760e-06,30.5,15.9
1.770e-06,30.5,15.9
1.780e-06,30.5,15.9
1.790e-06,30.1,15.9
1.800e-06,30.3,15.7
1.810e-06,30.5,15.7
1.820e-06,30.5,15.9
1.830e-06,30.3,15.7
1.840e-06,30.3,16.3
1.850e-06,30.1,15.9
1.860e-06,30.3,16.3
1.870e-06,30.1,15.7
1.880e-06,30.5,15.9
1.890e-06,30.5,15.9
1.900e-06,30.1,16.1
1.910e-06,30.3,15.9
1.920e-06,30.5,16.1
1.930e-06,30.5,15.9
1.940e-06,30.3,16.3
1.950e-06,30.1,15.7
1.960e-06,30.1,16.3
1.970e-06,30.1,16.1
1.980e-06,30.1,16.1
1.990e-06,30.3,15.7
2.000e-06,30.5,15.9
2.010e-06,30.3,16.3
2.020e-06,30.3,15.9
2.030e-06,30.5,16.1
2.040e-06,30.3,15.9
2.050e-06,30.1,16.1
2.060e-06,30.3,16.1
2.070e-06,30.1,16.1
2.080e-06,30.3,15.9
2.090e-06,30.3,16.3
2.100e-06,30.3,16.5
2.110e-06,30.3,16.1
2.120e-06,30.3,16.1
2.130e-06,30.5,15.9
2.140e-06,30.3,16.1
2.150e-06,29.9,16.3
2.160e-06,30.1,16.1
2.170e-06,30.1,15.9
2.180e-06,30.5,16.3
2.190e-06,30.1,16.1
2.200e-06,30.5,16.5
2.210e-06,30.5,16.1
2.220e-06,30.3,16.3
2.230e-06,30.1,16.1
2.240e-06,30.5,16.7
2.250e-06,30.1,16.1
2.260e-06,30.5,15.9
2.270e-06,29.9,16.1
2.280e-06,30.1,16.3
2.290e-06,29.9,16.1
2.300e-06,30.3,16.1
2.310e-06,30.3,16.5
2.320e-06,30.1,16.1
2.330e-06,30.5,16.3
2.340e-06,30.1,16.5
2.350e-06,29.9,15.9
2.360e-06,30.3,16.5
2.370e-06,30.1,16.1
2.380e-06,30.3,16.1
2.390e-06,30.1,16.3
2.400e-06,30.5,16.1
2.410e-06,30.5,16.5
2.420e-06,30.5,16.3
2.430e-06,30.1,16.1
2.440e-06,30.1,16.5
2.450e-06,30.3,16.5
2.460e-06,30.1,16.1
2.470e-06,30.3,16.1
2.480e-06,30.3,16.3
2.490e-06,30.3,16.3
2.500e-06,30.5,16.5
2.510e-06,30.1,16.5
2.520e-06,30.7,16.5
2.530e-06,30.3,16.5
2.540e-06,29.9,16.1
2.550e-06,30.1,16.3
2.560e-06,29.9,16.5
2.570e-06,29.9,16.5
2.580e-06,30.5,15.7
2.590e-06,30.1,16.3
2.600e-06,30.1,16.3
