Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,4e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-3.680e-05,-0.06,-0.02
-3.676e-05,-0.02,-0.02
-3.672e-05,-0.02,0.02
-3.668e-05,-0.06,0.02
-3.664e-05,-0.1,0
-3.660e-05,-0.02,0
-3.656e-05,-0.06,0
-3.652e-05,0.02,-0.02
-3.648e-05,0.02,-0.04
-3.644e-05,0.02,0
-3.640e-05,0.02,-0.04
-3.636e-05,-0.06,0
-3.632e-05,-0.02,-0.02
-3.628e-05,0.06,-0.02
-3.624e-05,-0.06,0
-3.620e-05,-0.06,0.02
-3.616e-05,0.02,0
-3.612e-05,-0.02,0
-3.608e-05,0.02,0.04
-3.604e-05,0.1,0.02
-3.600e-05,-0.02,0.02
-3.596e-05,0.02,0.02
-3.592e-05,0.02,0.02
-3.588e-05,0.02,0.04
-3.584e-05,0.02,-0.02
-3.580e-05,0.02,0.06
-3.576e-05,0.06,0.04
-3.572e-05,0.1,0.06
-3.568e-05,0.1,0.06
-3.564e-05,0.14,0.06
-3.560e-05,0.14,0.08
-3.556e-05,0.1,0.1
-3.552e-05,0.18,0.08
-3.548e-05,0.06,0.14
-3.544e-05,0.1,0.08
-3.540e-05,0.14,0.12
-3.536e-05,0.22,0.14
-3.532e-05,0.26,0.2
-3.528e-05,0.26,0.16
-3.524e-05,0.14,0.1
-3.520e-05,0.14,0.14
-3.516e-05,0.18,0.12
-3.512e-05,0.3,0.16
-3.508e-05,0.3,0.12
-3.504e-05,0.26,0.08
-3.500e-05,0.3,0.22
-3.496e-05,0.34,0.18
-3.492e-05,0.34,0.22
-3.488e-05,0.26,0.18
-3.484e-05,0.3,0.18
-3.480e-05,0.34,0.2
-3.476e-05,0.38,0.22
-3.472e-05,0.38,0.2
-3.468e-05,0.34,0.2
-3.464e-05,0.34,0.26
-3.460e-05,0.38,0.22
-3.456e-05,0.34,0.24
-3.452e-05,0.34,0.24
-3.448e-05,0.46,0.22
-3.444e-05,0.38,0.22
-3.440e-05,0.42,0.28
-3.436e-05,0.42,0.28
-3.432e-05,0.46,0.28
-3.428e-05,0.5,0.24
-3.424e-05,0.42,0.3
-3.420e-05,0.5,0.28
-3.416e-05,0.46,0.32
-3.412e-05,0.5,0.28
-3.408e-05,0.54,0.32
-3.404e-05,0.54,0.28
-3.400e-05,0.5,0.28
-3.396e-05,0.54,0.34
-3.392e-05,0.54,0.32
-3.388e-05,0.54,0.36
-3.384e-05,0.54,0.32
-3.380e-05,0.58,0.32
-3.376e-05,0.54,0.34
-3.372e-05,0.62,0.38
-3.368e-05,0.58,0.36
-3.364e-05,0.62,0.38
-3.360e-05,0.58,0.36
-3.356e-05,0.58,0.42
-3.352e-05,0.66,0.4
-3.348e-05,0.66,0.42
-3.344e-05,0.66,0.4
-3.340e-05,0.66,0.38
-3.336e-05,0.66,0.4
-3.332e-05,0.62,0.44
-3.328e-05,0.7,0.44
-3.324e-05,0.7,0.44
-3.320e-05,0.62,0.44
-3.316e-05,0.58,0.46
-3.312e-05,0.74,0.42
-3.308e-05,0.74,0.48
-3.304e-05,0.78,0.44
-3.300e-05,0.66,0.48
-3.296e-05,0.7,0.46
-3.292e-05,0.78,0.5
