Temperature             Resistance
(Kelvin)                (Ohms)

1.20148206460740E+00   1.02503165211906E+04
1.30141782450720E+00   8.74127077839520E+03
1.40047169150972E+00   7.59852595502888E+03
1.59970908449042E+00   5.98582969410555E+03
1.80063365153214E+00   4.92286855369620E+03
1.99988037397523E+00   4.19005709251695E+03
2.20148990660600E+00   3.64483533242801E+03
2.40081743291895E+00   3.23410788173293E+03
2.59966603245674E+00   2.91164657206179E+03
2.80062614753349E+00   2.64919630787025E+03
2.99821796615219E+00   2.43777212025393E+03
3.19940568319722E+00   2.25771970941025E+03
3.39407269622162E+00   2.11056597761537E+03
3.59769790113935E+00   1.97823661688636E+03
3.79869498072298E+00   1.86537710935199E+03
3.99834116840584E+00   1.76718329855973E+03
4.20283480674992E+00   1.67868422722623E+03
4.64815772022754E+00   1.51911229171872E+03
5.05067759507066E+00   1.40281485079817E+03
5.55493339684896E+00   1.28452624489767E+03
6.25872496686920E+00   1.15585505417130E+03
7.07206024698542E+00   1.04238499900510E+03
8.08575114644423E+00   9.34792228075633E+02
9.09931049330178E+00   8.52396839371998E+02
1.01170118950295E+01   7.86618796308783E+02
1.11350904289169E+01   7.32702107140590E+02
1.21477861706318E+01   6.87728640615026E+02
1.31576913961725E+01   6.49459866388182E+02
1.41580920577800E+01   6.16518251377417E+02
1.51461101084778E+01   5.87950854422180E+02
1.61357374611732E+01   5.62509749044600E+02
1.71153588641260E+01   5.39852818224949E+02
1.80983311659216E+01   5.19277344706591E+02
1.90754863589992E+01   5.00621628761292E+02
2.00556681997163E+01   4.83523814221476E+02
2.11399650411632E+01   4.66127849531553E+02
2.27206725587361E+01   4.43308751078351E+02
2.43286185487328E+01   4.22619633504311E+02
2.59409015608741E+01   4.04011363090683E+02
2.75775656167912E+01   3.86958928210626E+02
2.92020509663151E+01   3.71567499621561E+02
3.10347090717277E+01   3.55784159869110E+02
3.31542520620913E+01   3.39349185059310E+02
3.61638782827871E+01   3.18676610672401E+02
3.91606027091952E+01   3.00721712748422E+02
4.21638158428800E+01   2.84853949646550E+02
4.51577342561959E+01   2.70780986297549E+02
4.81581200953554E+01   2.58137153140554E+02
5.01481225744221E+01   2.50469819759662E+02
5.51445014858728E+01   2.33220016562560E+02
6.01443291665006E+01   2.18373576548409E+02
6.51334955609659E+01   2.05502383256678E+02
7.01296084953374E+01   1.94167512233543E+02
7.51214308432223E+01   1.84139995009727E+02
8.01140426213703E+01   1.75151972137381E+02
8.51085602397312E+01   1.67058499298507E+02
9.01015116991229E+01   1.59725240559018E+02
9.50945559328300E+01   1.53052416780135E+02
1.00102320231076E+02   1.46915607532082E+02
1.10089208048193E+02   1.36102853883037E+02
1.20087751942647E+02   1.26825890123862E+02
1.30081458286184E+02   1.18764615193791E+02
1.40077821674277E+02   1.11692078382131E+02
1.50075908191302E+02   1.05445930945153E+02
1.60077836422796E+02   9.98782074503930E+01
1.70077268483863E+02   9.48898327312373E+01
1.80075925432827E+02   9.03941351085319E+01
1.90066498826800E+02   8.63381836993739E+01
2.00071175132285E+02   8.26432413612564E+01
2.10074748160968E+02   7.92750973814272E+01
2.20071229014625E+02   7.61947814626712E+01
2.30065004630234E+02   7.33644650167524E+01
2.40069496396095E+02   7.07561751087930E+01
2.50062200771417E+02   6.83542969836868E+01
2.60061081812862E+02   6.61275128131677E+01
2.70061681994445E+02   6.40625556613012E+01
2.80060562357533E+02   6.21400803173813E+01
2.90066976198134E+02   6.03515649015627E+01
3.00071506730413E+02   5.86848027632626E+01
3.10075976036567E+02   5.71211917990406E+01
3.15083033997979E+02   5.63779030310930E+01
3.20084753307123E+02   5.56587927914166E+01
3.26080775956169E+02   5.48266557761423E+01
3.30080947808100E+02   5.42883434378416E+01
