Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	N	W	Rrem-Ro/Ro	t-to	t-tor	dW/dt	dW/dt-tor	S_dW	WR	T	U	V
0.34450	3000.0	3.0008	0.56050	5353.8	10880	0.027600	0.30030	1.0000	5.0000	1.0000											
0.56463	3000.0	2.9993	0.57340	5230.7	10532	0.028400	0.29910	1.0000	5.0000	2.0000											
0.78478	3000.0	3.0009	0.57860	5186.5	9924.1	0.030300	0.30070	1.0000	5.0000	3.0000											
1.0050	3000.0	2.9989	0.58050	5166.1	9865.6	0.030500	0.30090	1.0000	5.0000	4.0000											
1.2252	3000.0	3.0004	0.58950	5089.7	9737.0	0.030800	0.29990	1.0000	5.0000	5.0000											
1.4467	3000.0	3.0013	0.58880	5097.3	10738	0.027900	0.29960	1.0000	5.0000	6.0000											
1.6671	3000.0	2.9985	0.59220	5063.3	9649.5	0.031100	0.30010	1.0000	5.0000	7.0000											
1.8876	3000.0	3.0002	0.59510	5041.5	10128	0.029700	0.30080	1.0000	5.0000	8.0000											
2.1077	3000.0	2.9998	0.59800	5016.4	9871.7	0.030400	0.30010	1.0000	5.0000	9.0000											
2.3279	3000.0	3.0005	0.60050	4996.7	10360	0.028900	0.29940	1.0000	5.0000	10.000											
2.5481	3000.0	3.0006	0.59890	5010.2	9437.1	0.031800	0.30010	1.0000	5.0000	11.000	9968.9	-4.5062e-07	1.1916e-05	-40.348							
2.7683	3000.0	3.0005	0.60260	4979.3	9806.6	0.030500	0.29910	1.0000	5.0000	12.000	9898.3	-0.0070811	0.22023	-40.128							
2.9885	3000.0	2.9993	0.60430	4963.3	9424.5	0.031800	0.29970	1.0000	5.0000	13.000	9833.5	-0.013579	0.44039	-39.908	-162.19	-162.19					
3.2087	3000.0	3.0004	0.60380	4969.2	10077	0.029800	0.30030	1.0000	5.0000	14.000	9846.7	-0.012258	0.66058	-39.687	-116.03	-116.03					
3.4289	3000.0	3.0003	0.60680	4944.5	10334	0.029000	0.29970	1.0000	5.0000	15.000	9816.1	-0.015323	0.88078	-39.467	-145.09	-145.09	-170.62				
3.6496	3000.0	2.9995	0.60580	4951.3	9127.7	0.032900	0.30030	1.0000	5.0000	16.000	9779.2	-0.019030	1.1015	-39.246	-210.58	-210.57	-176.44				
3.8697	3000.0	3.0000	0.60920	4924.5	9465.2	0.031600	0.29910	1.0000	5.0000	17.000	9707.4	-0.026228	1.3216	-39.026	-219.19	-219.19	-185.86				
4.0899	3000.0	3.0005	0.61160	4906.0	9623.8	0.031100	0.29930	1.0000	5.0000	18.000	9669.1	-0.030077	1.5418	-38.806	-191.31	-191.31	-180.12				
4.3101	3000.0	3.0004	0.61130	4908.2	10260	0.029200	0.29960	1.0000	5.0000	19.000	9629.8	-0.034016	1.7620	-38.586	-163.13	-163.13	-146.64				
4.5303	3000.0	2.9994	0.61390	4885.8	10054	0.029800	0.29960	1.0000	5.0000	20.000	9607.4	-0.036263	1.9822	-38.366	-116.41	-116.41	-95.502				
4.7505	3000.0	3.0008	0.61310	4894.5	10050	0.029900	0.30050	1.0000	5.0000	21.000	9558.7	-0.041152	2.2024	-38.145	-43.154	-43.154	-48.643				
4.9707	3000.0	3.0004	0.61520	4877.1	9398.1	0.031900	0.29980	1.0000	5.0000	22.000	9576.5	-0.039365	2.4226	-37.925	36.496	36.496	-30.005				
5.1909	3000.0	3.0008	0.61760	4858.8	9171.3	0.032700	0.29990	1.0000	5.0000	23.000	9597.8	-0.037231	2.6428	-37.705	42.986	42.986	-32.784				
5.4110	3000.0	2.9992	0.62130	4827.3	10201	0.029400	0.29990	1.0000	5.0000	24.000	9628.0	-0.034193	2.8629	-37.485	-69.943	-69.943	-51.751				
5.6312	3000.0	3.0005	0.61910	4846.6	9223.9	0.032600	0.30070	1.0000	5.0000	25.000	9580.2	-0.038991	3.0831	-37.265	-130.30	-130.30	-75.961				
5.8513	3000.0	3.0002	0.61880	4848.4	8961.1	0.033400	0.29930	1.0000	5.0000	26.000	9508.2	-0.046209	3.3032	-37.045	-137.99	-137.99	-94.510				
6.0714	3000.0	3.0008	0.61810	4854.9	9231.5	0.032400	0.29910	1.0000	5.0000	27.000	9514.2	-0.045610	3.5233	-36.825	-84.555	-84.555	-97.555				
6.2916	3000.0	3.0002	0.62150	4827.4	8843.7	0.033900	0.29980	1.0000	5.0000	28.000	9509.1	-0.046120	3.7435	-36.604	-49.760	-49.760	-93.309				
6.5117	3000.0	3.0011	0.62460	4804.8	9303.4	0.032300	0.30050	1.0000	5.0000	29.000	9486.7	-0.048372	3.9636	-36.384	-85.168	-85.168	-87.849				
6.7320	3000.0	3.0000	0.62280	4817.0	9401.3	0.031900	0.29990	1.0000	5.0000	30.000	9467.2	-0.050322	4.1839	-36.164	-109.07	-109.07	-87.042				
6.9521	3000.0	2.9990	0.62550	4794.6	9336.4	0.032100	0.29970	1.0000	5.0000	31.000	9441.4	-0.052914	4.4040	-35.944	-110.69	-110.69	-94.608				
7.1731	3000.0	2.9998	0.62690	4785.1	9811.1	0.030700	0.30120	1.0000	5.0000	32.000	9411.6	-0.055903	4.6250	-35.723	-80.523	-80.523	-90.269				
7.3933	3000.0	2.9997	0.62730	4781.9	10253	0.029200	0.29940	1.0000	5.0000	33.000	9392.5	-0.057819	4.8452	-35.503	-87.587	-87.587	-66.775				
7.6135	3000.0	2.9995	0.62720	4782.4	10060	0.029800	0.29980	1.0000	5.0000	34.000	9403.0	-0.056771	5.0654	-35.282	-63.472	-63.472	-41.748				
7.8337	3000.0	2.9994	0.62950	4764.7	9072.7	0.033000	0.29940	1.0000	5.0000	35.000	9349.2	-0.062160	5.2856	-35.062	8.3937	8.3937	-20.233				
8.0539	3000.0	3.0006	0.63260	4743.3	8823.5	0.034000	0.30000	1.0000	5.0000	36.000	9363.4	-0.060742	5.5058	-34.842	14.449	14.449	-11.950				
8.2741	3000.0	2.9992	0.62920	4766.7	9253.1	0.032400	0.29980	1.0000	5.0000	37.000	9421.6	-0.054905	5.7260	-34.622	27.050	27.050	-22.839				
8.4943	3000.0	3.0004	0.62890	4770.9	9358.3	0.032100	0.30040	1.0000	5.0000	38.000	9382.7	-0.058802	5.9462	-34.402	-46.168	-46.168	-42.295				
8.7144	3000.0	2.9998	0.63270	4741.3	9152.4	0.032800	0.30020	1.0000	5.0000	39.000	9369.3	-0.060143	6.1663	-34.182	-117.92	-117.92	-61.656				
8.9346	3000.0	2.9999	0.63260	4742.2	9852.0	0.030400	0.29950	1.0000	5.0000	40.000	9338.6	-0.063222	6.3865	-33.961	-88.883	-88.883	-87.210				
9.1548	3000.0	3.0008	0.63430	4730.9	9511.1	0.031500	0.29960	1.0000	5.0000	41.000	9313.8	-0.065718	6.6067	-33.741	-82.356	-82.356	-105.80				
9.3751	3000.0	3.0005	0.63710	4709.6	9424.5	0.031800	0.29970	1.0000	5.0000	42.000	9312.6	-0.065831	6.8270	-33.521	-100.72	-100.72	-109.99				
9.5953	3000.0	2.9995	0.63450	4727.3	8997.0	0.033400	0.30050	1.0000	5.0000	43.000	9291.7	-0.067935	7.0472	-33.301	-139.13	-139.13	-109.57				
9.8154	3000.0	2.9993	0.63710	4707.7	9390.6	0.032000	0.30050	1.0000	5.0000	44.000	9238.8	-0.073238	7.2673	-33.081	-138.87	-138.87	-100.56				
10.036	3000.0	2.9998	0.63490	4724.8	9072.5	0.033100	0.30030	1.0000	5.0000	45.000	9197.5	-0.077380	7.4875	-32.860	-86.782	-86.781	-84.296				
10.256	3000.0	2.9998	0.63600	4716.7	9520.6	0.031500	0.29990	1.0000	5.0000	46.000	9206.8	-0.076445	7.7076	-32.640	-37.301	-37.301	-68.187				
10.476	3000.0	3.0000	0.64150	4676.5	10183	0.029500	0.30040	1.0000	5.0000	47.000	9212.1	-0.075914	7.9278	-32.420	-19.393	-19.393	-56.831				
10.696	3000.0	3.0006	0.63960	4691.4	8415.7	0.035600	0.29960	1.0000	5.0000	48.000	9190.4	-0.078090	8.1481	-32.200	-58.584	-58.585	-58.651				
10.916	3000.0	2.9995	0.64000	4686.7	8562.9	0.035000	0.29970	1.0000	5.0000	49.000	9184.4	-0.078699	8.3682	-31.980	-82.093	-82.093	-72.133				
11.137	3000.0	3.0010	0.64030	4686.9	8659.0	0.034600	0.29960	1.0000	5.0000	50.000	9156.2	-0.081523	8.5885	-31.759	-95.882	-95.882	-81.539				
11.357	3000.0	3.0000	0.64230	4670.7	8878.7	0.033800	0.30010	1.0000	5.0000	51.000	9138.8	-0.083265	8.8086	-31.539	-104.71	-104.71	-78.288				
11.577	3000.0	2.9996	0.64110	4678.8	9312.7	0.032300	0.30080	1.0000	5.0000	52.000	9107.6	-0.086396	9.0289	-31.319	-66.424	-66.424	-68.616				
11.797	3000.0	3.0000	0.64230	4670.7	9370.7	0.032100	0.30080	1.0000	5.0000	53.000	9093.4	-0.087827	9.2491	-31.099	-42.330	-42.330	-55.184				
12.017	3000.0	2.9993	0.64250	4668.2	9143.3	0.032800	0.29990	1.0000	5.0000	54.000	9105.8	-0.086578	9.4693	-30.879	-33.733	-33.733	-49.431				
12.238	3000.0	3.0001	0.64550	4647.7	9193.3	0.032600	0.29970	1.0000	5.0000	55.000	9093.1	-0.087849	9.6895	-30.658	-28.721	-28.721	-46.678				
12.458	3000.0	2.9998	0.64540	4648.0	9268.5	0.032400	0.30030	1.0000	5.0000	56.000	9070.6	-0.090111	9.9098	-30.438	-75.944	-75.944	-42.231				
12.678	3000.0	3.0003	0.64730	4635.1	8934.5	0.033600	0.30020	1.0000	5.0000	57.000	9079.3	-0.089233	10.130	-30.218	-52.661	-52.661	-33.530				
12.898	3000.0	3.0000	0.64920	4621.1	8797.7	0.034100	0.30000	1.0000	5.0000	58.000	9029.1	-0.094274	10.350	-29.998	-20.098	-20.098	-15.567				
13.118	3000.0	2.9998	0.64830	4627.2	9230.8	0.032500	0.30000	1.0000	5.0000	59.000	9055.9	-0.091584	10.570	-29.778	9.7765	9.7765	1.9621				
13.339	3000.0	3.0003	0.64930	4620.8	8561.3	0.035100	0.30050	1.0000	5.0000	60.000	9060.2	-0.091156	10.791	-29.557	61.091	61.091	7.6419				
13.559	3000.0	2.9998	0.64860	4625.0	9487.3	0.031600	0.29980	1.0000	5.0000	61.000	9074.6	-0.089713	11.011	-29.337	11.702	11.702	0.39212				
13.779	3000.0	2.9994	0.65210	4599.6	8855.5	0.033900	0.30020	1.0000	5.0000	62.000	9087.0	-0.088461	11.231	-29.117	-24.263	-24.263	-17.974				
13.999	3000.0	2.9994	0.65060	4610.2	9125.0	0.032800	0.29930	1.0000	5.0000	63.000	9055.4	-0.091639	11.451	-28.897	-56.347	-56.346	-43.271				
14.219	3000.0	3.0003	0.65190	4602.4	9258.5	0.032500	0.30090	1.0000	5.0000	64.000	9043.1	-0.092873	11.671	-28.677	-82.054	-82.054	-61.629				
14.440	3000.0	2.9987	0.65010	4612.7	9124.6	0.032900	0.30020	1.0000	5.0000	65.000	9034.5	-0.093729	11.892	-28.456	-65.393	-65.393	-73.308				
14.660	3000.0	2.9998	0.65370	4589.0	8598.9	0.034900	0.30010	1.0000	5.0000	66.000	9007.1	-0.096478	12.112	-28.236	-80.087	-80.087	-77.686				
14.880	3000.0	2.9999	0.65330	4591.9	9704.5	0.030800	0.29890	1.0000	5.0000	67.000	9001.3	-0.097059	12.332	-28.016	-82.662	-82.662	-74.958				
15.100	3000.0	2.9993	0.65270	4595.2	9127.7	0.032900	0.30030	1.0000	5.0000	68.000	8971.5	-0.10005	12.552	-27.796	-78.236	-78.236	-75.311				
15.321	3000.0	3.0006	0.65530	4579.0	8979.0	0.033400	0.29990	1.0000	5.0000	69.000	8961.3	-0.10107	12.773	-27.575	-68.413	-68.413	-74.923				
15.541	3000.0	3.0008	0.65670	4569.5	8652.3	0.034800	0.30110	1.0000	5.0000	70.000	8941.0	-0.10311	12.993	-27.355	-67.159	-67.159	-79.786				
15.761	3000.0	2.9995	0.65480	4580.8	8961.2	0.033500	0.30020	1.0000	5.0000	71.000	8941.2	-0.10309	13.213	-27.135	-78.144	-78.144	-93.555				
15.981	3000.0	3.0004	0.65400	4587.8	9140.7	0.032700	0.29890	1.0000	5.0000	72.000	8907.6	-0.10646	13.433	-26.915	-106.98	-106.98	-105.64				
16.201	3000.0	2.9997	0.65640	4569.9	8647.4	0.034600	0.29920	1.0000	5.0000	73.000	8892.0	-0.10803	13.653	-26.695	-147.08	-147.08	-107.18				
16.422	3000.0	2.9994	0.65860	4554.2	9112.5	0.032900	0.29980	1.0000	5.0000	74.000	8847.8	-0.11246	13.874	-26.474	-128.85	-128.85	-97.603				
16.642	3000.0	3.0008	0.65860	4556.3	8964.1	0.033400	0.29940	1.0000	5.0000	75.000	8809.1	-0.11634	14.094	-26.254	-74.859	-74.859	-83.301				
16.862	3000.0	2.9995	0.65930	4549.5	8617.8	0.034800	0.29990	1.0000	5.0000	76.000	8807.1	-0.11654	14.314	-26.034	-30.247	-30.247	-70.329				
17.083	3000.0	3.0000	0.66210	4531.0	9146.8	0.032700	0.29910	1.0000	5.0000	77.000	8829.9	-0.11425	14.534	-25.813	-35.472	-35.472	-67.769				
17.303	3000.0	2.9996	0.65740	4562.8	8307.5	0.036100	0.29990	1.0000	5.0000	78.000	8804.1	-0.11684	14.755	-25.593	-82.216	-82.216	-74.600				
17.523	3000.0	2.9998	0.66340	4521.9	8584.5	0.034900	0.29960	1.0000	5.0000	79.000	8771.6	-0.12011	14.975	-25.373	-116.05	-116.05	-94.812				
17.710	3000.0	3.0002	0.66380	4519.7	8803.5	0.034100	0.30020	1.0000	3.0000	80.000	8747.7	-0.12250	15.162	-25.186	-109.01	-109.01	-117.77				
17.864	3000.0	3.0010	0.66300	4526.4	8567.0	0.035100	0.30070	1.0000	3.0000	81.000	8745.1	-0.12276	15.316	-25.032	-131.31	-131.31	-137.96				
18.017	3000.0	2.9984	0.66770	4490.6	8780.1	0.034100	0.29940	1.0000	3.0000	82.000	8721.9	-0.12509	15.469	-24.879	-150.27	-150.27	-155.55				
18.171	3000.0	3.0000	0.66670	4499.8	8528.4	0.035200	0.30020	1.0000	3.0000	83.000	8678.7	-0.12943	15.622	-24.725	-183.14	-183.14	-168.26				
18.324	3000.0	2.9994	0.66640	4500.9	8196.7	0.036600	0.30000	1.0000	3.0000	84.000	8665.5	-0.13074	15.776	-24.572	-204.03	-204.03	-171.30				
18.478	3000.0	2.9986	0.66760	4491.6	8446.6	0.035600	0.30070	1.0000	3.0000	85.000	8632.8	-0.13403	15.930	-24.418	-172.54	-172.54	-158.25				
18.631	3000.0	3.0001	0.66830	4489.2	9081.6	0.033100	0.30060	1.0000	3.0000	86.000	8588.3	-0.13850	16.083	-24.265	-146.51	-146.51	-130.57				
18.785	3000.0	2.9998	0.67090	4471.3	9078.5	0.033100	0.30050	1.0000	3.0000	87.000	8584.9	-0.13883	16.237	-24.111	-85.015	-85.015	-104.56				
18.938	3000.0	2.9998	0.67000	4477.3	9162.1	0.032700	0.29960	1.0000	3.0000	88.000	8577.0	-0.13962	16.390	-23.958	-44.774	-44.774	-87.693				
19.092	3000.0	3.0000	0.67250	4461.0	8444.8	0.035300	0.29810	1.0000	3.0000	89.000	8573.1	-0.14002	16.544	-23.804	-73.960	-73.960	-78.964				
19.245	3000.0	2.9998	0.67300	4457.4	8477.4	0.035400	0.30010	1.0000	3.0000	90.000	8559.8	-0.14135	16.697	-23.651	-88.199	-88.199	-85.184				
19.399	3000.0	3.0002	0.67270	4459.9	8598.9	0.034900	0.30010	1.0000	3.0000	91.000	8536.7	-0.14367	16.851	-23.497	-102.87	-102.87	-99.758				
19.552	3000.0	2.9998	0.67090	4471.3	8473.2	0.035500	0.30080	1.0000	3.0000	92.000	8527.5	-0.14459	17.004	-23.344	-116.12	-116.12	-105.84				
19.706	3000.0	2.9997	0.67420	4449.3	8232.9	0.036500	0.30050	1.0000	3.0000	93.000	8510.3	-0.14632	17.158	-23.190	-117.64	-117.64	-113.15				
19.860	3000.0	2.9986	0.67500	4442.4	8371.5	0.035800	0.29970	1.0000	3.0000	94.000	8483.8	-0.14897	17.311	-23.036	-104.35	-104.35	-123.32				
20.013	3000.0	2.9999	0.67450	4447.6	8424.2	0.035600	0.29990	1.0000	3.0000	95.000	8468.2	-0.15054	17.465	-22.883	-124.78	-124.78	-141.05				
20.167	3000.0	2.9994	0.67670	4432.4	8029.4	0.037400	0.30030	1.0000	3.0000	96.000	8468.4	-0.15052	17.618	-22.729	-153.68	-153.68	-158.68				
20.320	3000.0	3.0004	0.67960	4415.0	8547.0	0.035100	0.30000	1.0000	3.0000	97.000	8422.2	-0.15515	17.772	-22.576	-204.78	-204.78	-166.50				
20.474	3000.0	2.9996	0.68040	4408.6	8982.0	0.033300	0.29910	1.0000	3.0000	98.000	8388.9	-0.15850	17.926	-22.422	-205.81	-205.81	-161.43				
20.627	3000.0	2.9998	0.68000	4411.5	8224.7	0.036500	0.30020	1.0000	3.0000	99.000	8350.7	-0.16232	18.079	-22.269	-143.46	-143.46	-142.77				
20.781	3000.0	2.9993	0.68030	4408.8	8304.7	0.036100	0.29980	1.0000	3.0000	100.00	8346.1	-0.16279	18.233	-22.115	-99.406	-99.406	-111.13				
20.935	3000.0	3.0000	0.67740	4428.7	8319.4	0.036000	0.29950	1.0000	3.0000	101.00	8333.4	-0.16406	18.387	-21.961	-60.393	-60.393	-77.474				
21.088	3000.0	3.0004	0.68070	4407.8	8373.3	0.035900	0.30060	1.0000	3.0000	102.00	8321.2	-0.16528	18.540	-21.808	-46.606	-46.606	-55.703				
21.242	3000.0	2.9999	0.68170	4400.6	8418.5	0.035600	0.29970	1.0000	3.0000	103.00	8316.8	-0.16572	18.694	-21.654	-37.507	-37.507	-43.383				
21.395	3000.0	2.9992	0.68500	4378.4	7973.5	0.037700	0.30060	1.0000	3.0000	104.00	8318.6	-0.16554	18.847	-21.501	-34.604	-34.604	-50.334				
21.549	3000.0	2.9998	0.68730	4364.6	7868.4	0.038000	0.29900	1.0000	3.0000	105.00	8305.9	-0.16682	19.001	-21.347	-37.804	-37.804	-71.220				
21.702	3000.0	2.9991	0.68650	4368.7	8450.7	0.035500	0.30000	1.0000	3.0000	106.00	8300.1	-0.16740	19.154	-21.194	-95.152	-95.152	-97.675				
21.856	3000.0	2.9998	0.69080	4342.5	8111.1	0.036900	0.29930	1.0000	3.0000	107.00	8297.1	-0.16771	19.308	-21.040	-151.03	-151.03	-123.08				
22.009	3000.0	2.9997	0.69070	4343.0	8378.8	0.035900	0.30080	1.0000	3.0000	108.00	8250.0	-0.17242	19.461	-20.887	-169.79	-169.79	-137.75				
22.163	3000.0	2.9995	0.69070	4342.7	8361.1	0.036000	0.30100	1.0000	3.0000	109.00	8215.0	-0.17593	19.615	-20.733	-161.60	-161.60	-130.78				
22.316	3000.0	3.0001	0.68990	4348.6	8347.2	0.036000	0.30050	1.0000	3.0000	110.00	8210.8	-0.17636	19.768	-20.580	-111.15	-111.15	-107.61				
22.470	3000.0	2.9990	0.69140	4337.6	8211.0	0.036500	0.29970	1.0000	3.0000	111.00	8192.6	-0.17818	19.922	-20.426	-60.318	-60.318	-69.827				
22.623	3000.0	2.9997	0.69150	4338.0	8342.6	0.035900	0.29950	1.0000	3.0000	112.00	8175.9	-0.17986	20.075	-20.273	-35.207	-35.207	-26.465				
22.777	3000.0	3.0009	0.68870	4357.3	8381.0	0.035700	0.29920	1.0000	3.0000	113.00	8186.2	-0.17883	20.229	-20.119	19.148	19.148	4.3410				
22.930	3000.0	3.0009	0.69500	4317.8	8270.7	0.036200	0.29940	1.0000	3.0000	114.00	8187.0	-0.17875	20.382	-19.966	55.208	55.208	23.386				
23.084	3000.0	3.0009	0.69260	4332.8	8104.8	0.037200	0.30150	1.0000	3.0000	115.00	8201.8	-0.17726	20.536	-19.812	42.874	42.874	37.006				
23.237	3000.0	3.0005	0.69170	4337.9	8301.9	0.036100	0.29970	1.0000	3.0000	116.00	8210.5	-0.17639	20.689	-19.659	34.910	34.910	40.561				
23.391	3000.0	3.0012	0.69190	4337.6	7965.6	0.037800	0.30110	1.0000	3.0000	117.00	8207.3	-0.17671	20.843	-19.505	32.889	32.889	34.547				
23.545	3000.0	2.9999	0.69160	4337.6	7559.2	0.039700	0.30010	1.0000	3.0000	118.00	8211.0	-0.17634	20.997	-19.351	36.926	36.926	27.016				
23.698	3000.0	3.0006	0.69300	4329.9	8247.3	0.036400	0.30020	1.0000	3.0000	119.00	8226.8	-0.17476	21.150	-19.198	25.135	25.135	19.073				
23.852	3000.0	3.0006	0.69110	4341.8	8135.5	0.036900	0.30020	1.0000	3.0000	120.00	8229.1	-0.17452	21.304	-19.044	5.2196	5.2196	8.5760				
24.005	3000.0	2.9994	0.69350	4325.0	7923.5	0.037900	0.30030	1.0000	3.0000	121.00	8217.6	-0.17568	21.457	-18.891	-4.8053	-4.8053	-3.4366				
24.159	3000.0	2.9999	0.69450	4319.5	7968.1	0.037600	0.29960	1.0000	3.0000	122.00	8219.6	-0.17547	21.611	-18.737	-19.595	-19.595	-16.221				
24.312	3000.0	2.9992	0.69390	4322.2	8589.1	0.034800	0.29890	1.0000	3.0000	123.00	8227.8	-0.17465	21.764	-18.584	-23.137	-23.137	-28.672				
24.466	3000.0	2.9996	0.69510	4315.4	8435.4	0.035600	0.30030	1.0000	3.0000	124.00	8208.9	-0.17654	21.918	-18.430	-38.785	-38.785	-30.711				
24.619	3000.0	2.9997	0.69330	4326.7	8284.5	0.036200	0.29990	1.0000	3.0000	125.00	8205.2	-0.17692	22.071	-18.277	-57.036	-57.036	-20.992				
24.773	3000.0	3.0001	0.69710	4303.7	8050.9	0.037300	0.30030	1.0000	3.0000	126.00	8201.2	-0.17732	22.225	-18.123	-15.002	-15.002	-9.9954				
24.926	3000.0	3.0000	0.69630	4308.5	8384.8	0.035600	0.29850	1.0000	3.0000	127.00	8187.9	-0.17865	22.378	-17.970	29.002	29.002	-0.53593				
25.080	3000.0	3.0009	0.69820	4298.1	8188.0	0.036700	0.30050	1.0000	3.0000	128.00	8206.0	-0.17684	22.532	-17.816	31.844	31.844	0.33304				
25.234	3000.0	3.0000	0.69590	4311.0	8710.1	0.034500	0.30050	1.0000	3.0000	129.00	8225.0	-0.17493	22.686	-17.662	8.5119	8.5119	-14.287				
25.387	3000.0	2.9998	0.69770	4299.6	8410.1	0.035600	0.29940	1.0000	3.0000	130.00	8207.1	-0.17673	22.839	-17.509	-52.691	-52.691	-40.890				
25.541	3000.0	3.0006	0.69730	4303.2	8105.1	0.037100	0.30070	1.0000	3.0000	131.00	8193.9	-0.17805	22.993	-17.355	-88.101	-88.101	-69.551				
25.694	3000.0	2.9997	0.69660	4306.2	8253.4	0.036300	0.29960	1.0000	3.0000	132.00	8181.1	-0.17934	23.146	-17.202	-104.02	-104.02	-90.309				
25.848	3000.0	2.9999	0.69930	4289.9	8515.6	0.035300	0.30060	1.0000	3.0000	133.00	8170.4	-0.18042	23.300	-17.048	-111.46	-111.46	-90.616				
26.002	3000.0	2.9993	0.70070	4280.4	7984.0	0.037500	0.29940	1.0000	3.0000	134.00	8139.0	-0.18356	23.453	-16.894	-95.277	-95.277	-76.653				
26.155	3000.0	2.9998	0.70030	4283.6	8191.3	0.036600	0.29980	1.0000	3.0000	135.00	8129.4	-0.18453	23.607	-16.741	-54.227	-54.227	-56.730				
26.309	3000.0	3.0003	0.69940	4289.8	8021.3	0.037500	0.30080	1.0000	3.0000	136.00	8128.4	-0.18462	23.761	-16.587	-18.286	-18.286	-46.562				
26.462	3000.0	2.9997	0.70230	4271.3	8023.9	0.037600	0.30170	1.0000	3.0000	137.00	8134.0	-0.18406	23.914	-16.434	-4.4015	-4.4015	-50.383				
26.616	3000.0	2.9984	0.69950	4286.5	8345.4	0.035900	0.29960	1.0000	3.0000	138.00	8122.7	-0.18520	24.068	-16.280	-60.619	-60.619	-67.020				
26.769	3000.0	2.9996	0.70300	4266.9	7957.7	0.037800	0.30080	1.0000	3.0000	139.00	8128.9	-0.18458	24.221	-16.127	-114.38	-114.38	-94.423				
26.923	3000.0	2.9996	0.70240	4270.5	7871.4	0.038100	0.29990	1.0000	3.0000	140.00	8084.5	-0.18903	24.375	-15.973	-137.41	-137.41	-122.72				
27.076	3000.0	3.0008	0.70270	4270.4	7859.0	0.038300	0.30100	1.0000	3.0000	141.00	8065.3	-0.19095	24.528	-15.820	-155.30	-155.30	-138.97				
27.230	3000.0	2.9991	0.70320	4264.9	7653.9	0.039300	0.30080	1.0000	3.0000	142.00	8049.0	-0.19259	24.682	-15.666	-145.89	-145.89	-145.41				
27.384	3000.0	2.9995	0.70210	4272.2	7742.3	0.038800	0.30040	1.0000	3.0000	143.00	8027.4	-0.19476	24.835	-15.512	-141.86	-141.86	-136.56				
27.537	3000.0	3.0000	0.70330	4265.6	7931.2	0.037800	0.29980	1.0000	3.0000	144.00	7991.4	-0.19837	24.989	-15.359	-146.60	-146.60	-109.19				
27.691	3000.0	3.0004	0.70340	4265.6	8232.9	0.036500	0.30050	1.0000	3.0000	145.00	7985.2	-0.19899	25.142	-15.205	-93.154	-93.154	-81.169				
27.844	3000.0	3.0014	0.70360	4265.8	8264.5	0.036300	0.30000	1.0000	3.0000	146.00	7957.5	-0.20177	25.296	-15.052	-18.423	-18.423	-55.758				
27.998	3000.0	3.0002	0.70480	4256.8	8168.5	0.036800	0.30060	1.0000	3.0000	147.00	7972.8	-0.20023	25.450	-14.898	-5.8080	-5.8080	-36.972				
28.151	3000.0	3.0006	0.70370	4264.0	8146.3	0.036900	0.30060	1.0000	3.0000	148.00	7983.4	-0.19917	25.603	-14.745	-14.810	-14.810	-30.980				
28.305	3000.0	2.9995	0.70540	4252.2	8318.6	0.036100	0.30030	1.0000	3.0000	149.00	7967.7	-0.20074	25.757	-14.591	-52.667	-52.667	-30.746				
28.459	3000.0	2.9994	0.70540	4252.1	7777.2	0.038600	0.30020	1.0000	3.0000	150.00	7948.7	-0.20265	25.910	-14.437	-63.191	-63.191	-22.213				
28.612	3000.0	2.9995	0.70800	4236.6	8008.0	0.037500	0.30030	1.0000	3.0000	151.00	7949.8	-0.20254	26.064	-14.284	-17.253	-17.253	-9.8989				
28.766	3000.0	2.9991	0.70900	4230.0	7761.7	0.038600	0.29960	1.0000	3.0000	152.00	7943.9	-0.20313	26.218	-14.130	36.858	36.858	2.5550				
28.919	3000.0	3.0006	0.71000	4226.2	7800.5	0.038600	0.30110	1.0000	3.0000	153.00	7956.9	-0.20183	26.371	-13.977	46.758	46.758	2.5677				
29.073	3000.0	3.0003	0.70920	4230.5	7759.7	0.038700	0.30030	1.0000	3.0000	154.00	7973.4	-0.20017	26.524	-13.823	9.6030	9.6030	-14.175				
29.226	3000.0	3.0008	0.70870	4234.2	7853.4	0.038200	0.30000	1.0000	3.0000	155.00	7970.9	-0.20042	26.678	-13.670	-63.128	-63.128	-43.972				
29.380	3000.0	2.9995	0.71170	4214.6	7610.1	0.039500	0.30060	1.0000	3.0000	156.00	7944.3	-0.20309	26.832	-13.516	-100.97	-100.97	-73.417				
29.533	3000.0	2.9998	0.71180	4214.4	8342.6	0.035900	0.29950	1.0000	3.0000	157.00	7923.0	-0.20523	26.985	-13.363	-112.13	-112.13	-91.405				
29.687	3000.0	3.0015	0.71340	4207.3	8247.3	0.036400	0.30020	1.0000	3.0000	158.00	7919.9	-0.20554	27.139	-13.209	-100.47	-100.47	-89.064				
29.840	3000.0	3.0005	0.70820	4236.8	8016.0	0.037400	0.29980	1.0000	3.0000	159.00	7897.1	-0.20783	27.292	-13.056	-80.337	-80.337	-70.533				
