Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	2W 1?	N	W	(Rrem-Ro)/Ro	t-tor	WR	S	T	U	V	W	X	Y
1.2689	300.00	0.30110	0.027200	11070	12342	0.024300	0.29990	0.0100000	60.000	100.00	10.000	1.0000	1.0000			-161.67								
3.2562	300.00	0.30060	0.025400	11835	11424	0.026200	0.29930	0.0100000	60.000	100.00	10.000	1.0000	2.0000			-159.68								
5.2434	300.00	0.29970	0.026200	11439	11498	0.026100	0.30010	0.0100000	60.000	100.00	10.000	1.0000	3.0000			-157.70								
7.2306	300.00	0.29890	0.024800	12052	12261	0.024500	0.30040	0.0100000	60.000	100.00	10.000	1.0000	4.0000			-155.71								
9.2178	300.00	0.30080	0.024600	12228	11952	0.025100	0.30000	0.0100000	60.000	100.00	10.000	1.0000	5.0000			-153.72								
11.205	300.00	0.29900	0.024500	12204	12592	0.023800	0.29970	0.0100000	60.000	100.00	10.000	1.0000	6.0000			-151.74								
13.192	350.00	0.34950	0.030700	11384	11677	0.025700	0.30010	0.0100000	10.000	100.00	10.000	1.0000	7.0000			-149.75								
13.513	400.00	0.39960	0.040100	9965.1	11228	0.026700	0.29980	0.0100000	10.000	100.00	10.000	1.0000	8.0000			-149.43								
13.833	450.00	0.44980	0.045800	9821.0	12804	0.023500	0.30090	0.0100000	10.000	100.00	10.000	1.0000	9.0000			-149.11								
14.154	500.00	0.49980	0.051300	9742.7	12737	0.023600	0.30060	0.0100000	10.000	100.00	10.000	1.0000	10.000			-148.79								
14.474	550.00	0.55040	0.060200	9142.9	11909	0.025200	0.30010	0.0100000	10.000	100.00	10.000	1.0000	11.000	11958	-3.5280e-05	-148.47								
14.795	600.00	0.59980	0.065700	9129.4	12241	0.024500	0.29990	0.0100000	10.000	100.00	10.000	1.0000	12.000	11930	-0.0023753	-148.15								
15.115	650.00	0.65020	0.074100	8774.6	11850	0.025400	0.30100	0.0100000	10.000	100.00	10.000	1.0000	13.000	11973	0.0012799	-147.82								
15.436	700.00	0.69960	0.082500	8480.0	11773	0.025500	0.30020	0.0100000	10.000	100.00	10.000	1.0000	14.000	11956	-0.00015582	-147.50								
15.756	750.00	0.74940	0.085700	8744.5	12032	0.024900	0.29960	0.0100000	10.000	100.00	10.000	1.0000	15.000	11993	0.0029246	-147.18								
16.077	800.00	0.80080	0.094800	8447.3	11757	0.025500	0.29980	0.0100000	10.000	100.00	10.000	1.0000	16.000	11983	0.0021312	-146.86								
16.398	850.00	0.84980	0.098800	8601.2	11909	0.025200	0.30010	0.0100000	10.000	100.00	10.000	1.0000	17.000	11923	-0.0029330	-146.54								
16.718	900.00	0.89960	0.10690	8415.3	11699	0.025600	0.29950	0.0100000	10.000	100.00	10.000	1.0000	18.000	11972	0.0012048	-146.22								
17.039	950.00	0.95040	0.11670	8144.0	11402	0.026400	0.30100	0.0100000	10.000	100.00	10.000	1.0000	19.000	11994	0.0030066	-145.90								
17.359	1000.0	0.99920	0.12330	8103.8	11761	0.025500	0.29990	0.0100000	10.000	100.00	10.000	1.0000	20.000	11945	-0.0010584	-145.58								
17.680	1050.0	1.0499	0.12960	8101.1	12261	0.024500	0.30040	0.0100000	10.000	100.00	10.000	1.0000	21.000	11888	-0.0058936	-145.26								
18.001	1100.0	1.1010	0.13550	8125.5	11754	0.025600	0.30090	0.0100000	10.000	100.00	10.000	1.0000	22.000	11912	-0.0038448	-144.94								
18.321	1150.0	1.1499	0.14430	7968.8	12342	0.024300	0.29990	0.0100000	10.000	100.00	10.000	1.0000	23.000	11885	-0.0060694	-144.62								
18.642	1200.0	1.1998	0.15260	7862.4	11138	0.026900	0.29960	0.0100000	10.000	100.00	10.000	1.0000	24.000	11904	-0.0045185	-144.30								
18.962	1250.0	1.2501	0.15840	7892.0	13035	0.023000	0.29980	0.0100000	10.000	100.00	10.000	1.0000	25.000	11956	-0.00015811	-143.98								
19.283	1300.0	1.2997	0.16420	7915.3	11753	0.025500	0.29970	0.0100000	10.000	100.00	10.000	1.0000	26.000	11898	-0.0049988	-143.66								
19.603	1350.0	1.3508	0.17480	7727.7	11321	0.026500	0.30000	0.0100000	10.000	100.00	10.000	1.0000	27.000	11889	-0.0057526	-143.34								
19.924	1400.0	1.4005	0.18290	7657.2	12716	0.023600	0.30010	0.0100000	10.000	100.00	10.000	1.0000	28.000	11862	-0.0079888	-143.02								
20.244	1450.0	1.4497	0.19170	7562.3	11681	0.025700	0.30020	0.0100000	10.000	100.00	10.000	1.0000	29.000	11921	-0.0031165	-142.70								
20.565	1500.0	1.5004	0.19910	7535.9	11783	0.025400	0.29930	0.0100000	0.0000	100.00	10.000	1.0000	30.000	11954	-0.00033181	-142.37								
20.580	1500.0	1.5009	0.19820	7572.7	11523	0.026000	0.29960	0.0100000	0.0000	100.00	10.000	1.0000	31.000	11946	-0.0010090	-142.36								
20.596	1500.0	1.5005	0.20070	7476.3	12423	0.024100	0.29940	0.0100000	0.0000	100.00	10.000	1.0000	32.000	11961	0.00020964	-142.34								
20.611	1500.0	1.4999	0.19830	7563.8	11682	0.025800	0.30140	0.0100000	0.0000	100.00	10.000	1.0000	33.000	11975	0.0013984	-142.33								
20.627	1500.0	1.5003	0.19880	7546.8	12240	0.024600	0.30110	0.0100000	0.0000	100.00	10.000	1.0000	34.000	11917	-0.0034703	-142.31								
20.642	1500.0	1.4996	0.19800	7573.7	12868	0.023400	0.30110	0.0100000	0.0000	100.00	10.000	1.0000	35.000	11944	-0.0011558	-142.30								
20.657	1500.0	1.5004	0.19800	7577.8	10817	0.027800	0.30070	0.0100000	0.0000	100.00	10.000	1.0000	36.000	11958	-2.3683e-06	-142.28								
20.673	1500.0	1.5006	0.19920	7533.1	11568	0.025900	0.29960	0.0100000	0.0000	100.00	10.000	1.0000	37.000	11923	-0.0029568	-142.27								
20.688	1500.0	1.4997	0.19790	7578.1	11347	0.026500	0.30070	0.0100000	0.0000	100.00	10.000	1.0000	38.000	11969	0.00089057	-142.25								
20.703	1500.0	1.5007	0.19770	7590.8	12923	0.023300	0.30110	0.0100000	0.0000	100.00	10.000	1.0000	39.000	11954	-0.00034847	-142.24								
20.719	1500.0	1.4994	0.19840	7557.5	12101	0.024800	0.30010	0.0100000	0.0000	100.00	10.000	1.0000	40.000	11964	0.00048142	-142.22								
20.734	1500.0	1.4992	0.19850	7552.6	11591	0.025900	0.30020	0.0100000	0.0000	100.00	10.000	1.0000	41.000	11990	0.0026875	-142.21								
20.749	1500.0	1.5009	0.19920	7534.6	12567	0.023800	0.29910	0.0100000	0.0000	100.00	10.000	1.0000	42.000	12000	0.0035021	-142.19								
20.765	1500.0	1.5008	0.19860	7556.9	12052	0.024800	0.29890	0.0100000	0.0000	100.00	10.000	1.0000	43.000	11937	-0.0017362	-142.18								
20.780	1500.0	1.4994	0.19900	7534.7	11119	0.026900	0.29910	0.0100000	0.0000	100.00	10.000	1.0000	44.000	11908	-0.0041725	-142.16								
20.796	1500.0	1.5001	0.19640	7638.0	11719	0.025600	0.30000	0.0100000	10.000	100.00	10.000	1.0000	45.000	11905	-0.0043991	-142.14								
21.586	1550.0	1.5507	0.20700	7491.3	13324	0.022500	0.29980	0.0100000	10.000	100.00	10.000	1.0000	46.000	11856	-0.0085436	-141.35								
21.907	1600.0	1.5996	0.21610	7402.1	11011	0.027200	0.29950	0.0100000	10.000	100.00	10.000	1.0000	47.000	11875	-0.0069779	-141.03								
22.228	1650.0	1.6488	0.22140	7447.2	12287	0.024400	0.29980	0.0100000	10.000	100.00	10.000	1.0000	48.000	11900	-0.0048544	-140.71								
22.548	1700.0	1.7004	0.23040	7380.2	12405	0.024200	0.30020	0.0100000	10.000	100.00	10.000	1.0000	49.000	11897	-0.0051290	-140.39								
22.869	1750.0	1.7502	0.23950	7307.7	11889	0.025300	0.30080	0.0100000	10.000	100.00	10.000	1.0000	50.000	11817	-0.011768	-140.07								
23.189	1800.0	1.8000	0.24670	7296.3	12337	0.024300	0.29980	0.0100000	10.000	100.00	10.000	1.0000	51.000	11778	-0.015074	-139.75								
23.510	1850.0	1.8509	0.25870	7154.6	11728	0.025700	0.30140	0.0100000	10.000	100.00	10.000	1.0000	52.000	11814	-0.012067	-139.43								
23.831	1900.0	1.8998	0.26470	7177.2	11108	0.026900	0.29880	0.0100000	10.000	100.00	10.000	1.0000	53.000	11817	-0.011789	-139.11								
24.151	1950.0	1.9506	0.27530	7085.4	11070	0.027000	0.29890	0.0100000	10.000	100.00	10.000	1.0000	54.000	11808	-0.012580	-138.79								
24.471	2000.0	2.0000	0.28470	7024.9	12183	0.024600	0.29970	0.0100000	10.000	100.00	10.000	1.0000	55.000	11819	-0.011636	-138.47								
24.792	2050.0	2.0495	0.29360	6980.6	11827	0.025400	0.30040	0.0100000	10.000	100.00	10.000	1.0000	56.000	11791	-0.013950	-138.15								
25.113	2100.0	2.1008	0.30310	6931.0	11210	0.026700	0.29930	0.0100000	10.000	100.00	10.000	1.0000	57.000	11757	-0.016838	-137.83								
25.433	2150.0	2.1497	0.31160	6898.9	12101	0.024800	0.30010	0.0100000	10.000	100.00	10.000	1.0000	58.000	11761	-0.016484	-137.51								
25.754	2200.0	2.2004	0.32200	6833.5	11278	0.026600	0.30000	0.0100000	10.000	100.00	10.000	1.0000	59.000	11728	-0.019241	-137.19								
26.074	2250.0	2.2496	0.32960	6825.2	11256	0.026600	0.29940	0.0100000	10.000	100.00	10.000	1.0000	60.000	11678	-0.023388	-136.87								
26.395	2300.0	2.3004	0.33910	6783.8	11271	0.026600	0.29980	0.0100000	10.000	100.00	10.000	1.0000	61.000	11693	-0.022170	-136.55								
26.715	2350.0	2.3486	0.34640	6780.0	12346	0.024300	0.30000	0.0100000	10.000	100.00	10.000	1.0000	62.000	11685	-0.022834	-136.22								
27.036	2400.0	2.4005	0.35750	6714.7	12637	0.023700	0.29950	0.0100000	10.000	100.00	10.000	1.0000	63.000	11698	-0.021749	-135.90								
27.356	2450.0	2.4519	0.36710	6679.1	11854	0.025300	0.29990	0.0100000	10.000	100.00	10.000	1.0000	64.000	11762	-0.016371	-135.58								
27.677	2500.0	2.5009	0.37780	6619.6	11356	0.026400	0.29980	0.0100000	10.000	100.00	10.000	1.0000	65.000	11787	-0.014268	-135.26								
27.998	2500.0	2.4994	0.37660	6636.7	11138	0.026900	0.29960	0.0100000	10.000	100.00	10.000	1.0000	66.000	11786	-0.014368	-134.94								
28.318	2500.0	2.4998	0.37760	6620.2	12599	0.023700	0.29860	0.0100000	10.000	100.00	10.000	1.0000	67.000	11804	-0.012901	-134.62								
28.638	2500.0	2.4988	0.37540	6656.4	11100	0.027000	0.29970	0.0100000	10.000	100.00	10.000	1.0000	68.000	11815	-0.011973	-134.30								
28.959	2500.0	2.5000	0.37760	6620.8	11595	0.025900	0.30030	0.0100000	1.0000	100.00	10.000	1.0000	69.000	11816	-0.011909	-133.98								
28.980	2500.0	2.5008	0.37780	6619.4	11364	0.026400	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	70.000	11848	-0.0092402	-133.96								
29.001	2500.0	2.5010	0.37840	6609.4	12195	0.024600	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	71.000	11873	-0.0071036	-133.94								
29.022	2500.0	2.4991	0.37550	6655.4	12171	0.024600	0.29940	0.0100000	1.0000	100.00	10.000	1.0000	72.000	11917	-0.0034061	-133.92								
29.043	2500.0	2.4996	0.37650	6639.0	12000	0.025000	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	73.000	11991	0.0027577	-133.90								
29.063	2500.0	2.4987	0.37930	6587.7	12458	0.024000	0.29900	0.0100000	1.0000	100.00	10.000	1.0000	74.000	11958	8.1666e-08	-133.88								
29.084	2500.0	2.4993	0.37740	6622.4	11598	0.025900	0.30040	0.0100000	1.0000	100.00	10.000	1.0000	75.000	11939	-0.0016062	-133.86								
29.105	2500.0	2.4993	0.38020	6573.6	12158	0.024700	0.30030	0.0100000	1.0000	100.00	10.000	1.0000	76.000	11958	9.2283e-06	-133.84								
29.126	2500.0	2.4998	0.38020	6575.0	12195	0.024600	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	77.000	12082	0.010349	-133.81								
29.146	2500.0	2.5013	0.37830	6611.9	11443	0.026200	0.29980	0.0100000	1.0000	100.00	10.000	1.0000	78.000	12085	0.010584	-133.79								
29.167	2500.0	2.4999	0.37960	6585.6	12117	0.024800	0.30050	0.0100000	1.0000	100.00	10.000	1.0000	79.000	12134	0.014682	-133.77								
29.188	2500.0	2.4995	0.37690	6631.7	11948	0.025200	0.30110	0.0100000	1.0000	100.00	10.000	1.0000	80.000	12133	0.014651	-133.75								
29.209	2500.0	2.5003	0.37820	6611.1	11792	0.025500	0.30070	0.0100000	1.0000	100.00	10.000	1.0000	81.000	12120	0.013542	-133.73								
29.230	2500.0	2.4989	0.37670	6633.7	12199	0.024600	0.30010	0.0100000	1.0000	100.00	10.000	1.0000	82.000	12082	0.010352	-133.71								
29.251	2500.0	2.4998	0.37900	6595.8	13894	0.021600	0.30010	0.0100000	1.0000	100.00	10.000	1.0000	83.000	12053	0.0079562	-133.69								
29.272	2500.0	2.4998	0.37930	6590.6	11945	0.025300	0.30220	0.0100000	1.0000	100.00	10.000	1.0000	84.000	12048	0.0075612	-133.67								
29.292	2500.0	2.5010	0.37730	6628.7	11450	0.026200	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	85.000	12096	0.011575	-133.65								
29.313	2500.0	2.5003	0.38060	6569.4	11762	0.025600	0.30110	0.0100000	1.0000	100.00	10.000	1.0000	86.000	12112	0.012873	-133.63								
29.334	2500.0	2.4997	0.37700	6630.5	13734	0.021800	0.29940	0.0100000	1.0000	100.00	10.000	1.0000	87.000	12171	0.017791	-133.61								
29.355	2500.0	2.5001	0.37850	6605.3	12658	0.023700	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	88.000	12204	0.020567	-133.59								
29.375	2500.0	2.4999	0.37770	6618.7	12129	0.024800	0.30080	0.0100000	1.0000	100.00	10.000	1.0000	89.000	12228	0.022611	-133.56								
29.396	2500.0	2.5002	0.37780	6617.8	11587	0.025900	0.30010	0.0100000	1.0000	100.00	10.000	1.0000	90.000	12254	0.024749	-133.54								
29.417	2500.0	2.4995	0.38020	6574.2	11085	0.027000	0.29930	0.0100000	1.0000	100.00	10.000	1.0000	91.000	12257	0.025003	-133.52								
29.438	2500.0	2.5000	0.37960	6585.9	11394	0.026400	0.30080	0.0100000	1.0000	100.00	10.000	1.0000	92.000	12273	0.026363	-133.50								
29.459	2500.0	2.5005	0.37780	6618.6	11569	0.026000	0.30080	0.0100000	1.0000	100.00	10.000	1.0000	93.000	12258	0.025129	-133.48								
29.480	2500.0	2.4995	0.38160	6550.1	11901	0.025200	0.29990	0.0100000	1.0000	100.00	10.000	1.0000	94.000	12184	0.018861	-133.46								
29.500	2500.0	2.4999	0.37790	6615.2	13466	0.022300	0.30030	0.0100000	1.0000	100.00	10.000	1.0000	95.000	12172	0.017904	-133.44								
29.521	2500.0	2.5004	0.37780	6618.3	11924	0.025100	0.29930	0.0100000	1.0000	100.00	10.000	1.0000	96.000	12156	0.016568	-133.42								
29.542	2500.0	2.4999	0.37820	6610.0	13393	0.022400	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	97.000	12110	0.012704	-133.40								
29.563	2500.0	2.4987	0.38080	6561.7	12892	0.023200	0.29910	0.0100000	1.0000	100.00	10.000	1.0000	98.000	12032	0.0061520	-133.38								
29.584	2500.0	2.5010	0.37920	6595.5	11956	0.025000	0.29890	0.0100000	1.0000	100.00	10.000	1.0000	99.000	11983	0.0020954	-133.36								
29.604	2500.0	2.5003	0.37910	6595.4	12654	0.023700	0.29990	0.0100000	1.0000	100.00	10.000	1.0000	100.00	11968	0.00082899	-133.34								
29.625	2500.0	2.5004	0.37910	6595.6	12012	0.024900	0.29910	0.0100000	1.0000	100.00	10.000	1.0000	101.00	11982	0.0019704	-133.31								
29.646	2500.0	2.5003	0.38170	6550.4	12134	0.024700	0.29970	0.0100000	1.0000	100.00	10.000	1.0000	102.00	12048	0.0075215	-133.29								
29.667	2500.0	2.4995	0.37810	6610.7	11889	0.025300	0.30080	0.0100000	1.0000	100.00	10.000	1.0000	103.00	12066	0.0090571	-133.27								
29.688	2500.0	2.4993	0.37900	6594.5	12320	0.024400	0.30060	0.0100000	1.0000	100.00	10.000	1.0000	104.00	12045	0.0072917	-133.25								
29.708	2500.0	2.5000	0.37980	6582.4	11704	0.025700	0.30080	0.0100000	1.0000	100.00	10.000	1.0000	105.00	12046	0.0073720	-133.23								
29.729	2500.0	2.5003	0.37850	6605.8	11115	0.027000	0.30010	0.0100000	1.0000	100.00	10.000	1.0000	106.00	11962	0.00033491	-133.21								
29.750	2500.0	2.4994	0.38200	6542.9	10791	0.027800	0.30000	0.0100000	1.0000	100.00	10.000	1.0000	107.00	11962	0.00033606	-133.19								
29.771	2500.0	2.5006	0.37890	6599.6	12089	0.024800	0.29980	0.0100000	10.000	100.00	10.000	1.0000	108.00	11925	-0.0027677	-133.17								
30.092	2500.0	2.4995	0.37930	6589.8	11640	0.025800	0.30030	0.0100000	10.000	100.00	10.000	1.0000	109.00	11904	-0.0045288	-132.85								
30.412	2500.0	2.5003	0.37810	6612.8	11811	0.025400	0.30000	0.0100000	10.000	100.00	10.000	1.0000	110.00	11897	-0.0051218	-132.53								
30.733	2500.0	2.5011	0.37930	6594.0	11874	0.025300	0.30040	0.0100000	10.000	100.00	10.000	1.0000	111.00	11849	-0.0090897	-132.21								
31.053	2500.0	2.5003	0.37650	6640.9	12479	0.024000	0.29950	0.0100000	10.000	100.00	10.000	1.0000	112.00	11824	-0.011235	-131.89								
31.374	2500.0	2.5002	0.37700	6631.8	11780	0.025400	0.29920	0.0100000	10.000	100.00	10.000	1.0000	113.00	11799	-0.013264	-131.57								
31.694	2500.0	2.5009	0.37820	6612.6	11126	0.027000	0.30040	0.0100000	10.000	100.00	10.000	1.0000	114.00	11808	-0.012519	-131.25								
32.015	2500.0	2.5007	0.37910	6596.4	11921	0.025300	0.30160	0.0100000	10.000	100.00	10.000	1.0000	115.00	11790	-0.014030	-130.93								
32.335	2500.0	2.5012	0.37650	6643.3	11699	0.025600	0.29950	0.0100000	10.000	100.00	10.000	1.0000	116.00	11813	-0.012123	-130.60								
32.656	2500.0	2.5001	0.37740	6624.5	11925	0.025200	0.30050	0.0100000	10.000	100.00	10.000	1.0000	117.00	11833	-0.010452	-130.28								
32.976	2500.0	2.5000	0.37950	6587.6	12613	0.023800	0.30020	0.10000	10.000	100.00	10.000	1.0000	118.00	11881	-0.0064539	-129.96								
33.297	2500.0	2.5004	0.37700	6632.4	12450	0.024000	0.29880	0.10000	10.000	100.00	10.000	1.0000	119.00	11892	-0.0055342	-129.64								
33.624	2500.0	2.4996	0.38320	6523.0	11807	0.025400	0.29990	0.10000	10.000	100.00	10.000	1.0000	120.00	11941	-0.0013821	-129.32								
33.950	2500.0	2.4997	0.38720	6455.8	11658	0.025700	0.29960	0.10000	10.000	100.00	10.000	1.0000	121.00	11971	0.0011054	-128.99								
34.276	2500.0	2.4992	0.38480	6494.8	11473	0.026200	0.30060	0.10000	10.000	100.00	10.000	1.0000	122.00	11946	-0.0010004	-128.66								
34.603	2500.0	2.5004	0.38740	6454.3	11624	0.025800	0.29990	0.10000	10.000	100.00	10.000	1.0000	123.00	11915	-0.0035985	-128.34								
34.929	2500.0	2.5015	0.38360	6521.1	12077	0.024800	0.29950	0.10000	10.000	100.00	10.000	1.0000	124.00	11947	-0.00088632	-128.01								
35.256	2500.0	2.4997	0.38490	6494.4	11940	0.025100	0.29970	0.10000	10.000	100.00	10.000	1.0000	125.00	11943	-0.0012560	-127.68								
35.429	2500.0	2.5000	0.38650	6468.3	12183	0.024600	0.29970	0.10000	0.0000	100.00	10.000	1.0000	126.00	11923	-0.0029170	-127.51								
35.450	2500.0	2.5003	0.38630	6472.4	11535	0.026000	0.29990	0.10000	0.0000	100.00	10.000	1.0000	127.00	11942	-0.0013499	-127.49								
35.471	2500.0	2.5003	0.38840	6437.4	11795	0.025400	0.29960	0.10000	0.0000	100.00	10.000	1.0000	128.00	11943	-0.0012877	-127.47								
35.492	2500.0	2.5008	0.38830	6440.4	12320	0.024400	0.30060	0.10000	0.0000	100.00	10.000	1.0000	129.00	11919	-0.0032648	-127.45								
35.513	2500.0	2.5001	0.39010	6408.9	12682	0.023600	0.29930	0.10000	0.0000	100.00	10.000	1.0000	130.00	11850	-0.0090537	-127.43								
35.534	2500.0	2.5006	0.38960	6418.4	12436	0.024100	0.29970	0.10000	0.0000	100.00	10.000	1.0000	131.00	11788	-0.014224	-127.41								
35.555	2500.0	2.5005	0.38910	6426.4	11345	0.026400	0.29950	0.10000	0.0000	100.00	10.000	1.0000	132.00	11779	-0.014973	-127.38								
35.576	2500.0	2.5003	0.39330	6357.2	11827	0.025400	0.30040	0.10000	0.0000	100.00	10.000	1.0000	133.00	11783	-0.014674	-127.36								
35.598	2500.0	2.4993	0.39070	6397.0	12461	0.024100	0.30030	0.10000	0.0000	100.00	10.000	1.0000	134.00	11813	-0.012121	-127.34								
35.619	2500.0	2.4996	0.39210	6374.9	11033	0.027200	0.30010	0.10000	0.0000	100.00	10.000	1.0000	135.00	11813	-0.012138	-127.32								
35.640	2500.0	2.5008	0.39120	6392.6	11504	0.026000	0.29910	0.10000	0.0000	100.00	10.000	1.0000	136.00	11782	-0.014744	-127.30								
35.661	2500.0	2.4991	0.39410	6341.3	12093	0.024800	0.29990	0.10000	0.0000	100.00	10.000	1.0000	137.00	11766	-0.016026	-127.28								
35.682	2500.0	2.5002	0.39370	6350.5	11940	0.025100	0.29970	0.10000	0.0000	100.00	10.000	1.0000	138.00	11759	-0.016646	-127.26								
35.703	2500.0	2.4995	0.39180	6379.5	12117	0.024800	0.30050	0.10000	0.0000	100.00	10.000	1.0000	139.00	11732	-0.018919	-127.24								
35.724	2500.0	2.5008	0.39130	6391.0	10996	0.027300	0.30020	0.10000	0.0000	100.00	10.000	1.0000	140.00	11740	-0.018267	-127.22								
35.745	2500.0	2.5015	0.39410	6347.4	10509	0.028500	0.29950	0.10000	0.0000	100.00	10.000	1.0000	141.00	11709	-0.020856	-127.20								
35.766	2500.0	2.5001	0.39200	6377.8	11469	0.026200	0.30050	0.10000	0.0000	100.00	10.000	1.0000	142.00	11675	-0.023695	-127.17								
35.787	2500.0	2.4999	0.39620	6309.7	11548	0.025900	0.29910	0.10000	0.0000	100.00	10.000	1.0000	143.00	11677	-0.023514	-127.15								
35.808	2500.0	2.5002	0.39670	6302.5	12265	0.024500	0.30050	0.10000	0.0000	100.00	10.000	1.0000	144.00	11661	-0.024846	-127.13								
35.829	2500.0	2.5003	0.39300	6362.1	12072	0.024900	0.30060	0.10000	0.0000	100.00	10.000	1.0000	145.00	11609	-0.029169	-127.11								
35.850	2500.0	2.5004	0.39440	6339.8	11286	0.026600	0.30020	0.10000	0.0000	100.00	10.000	1.0000	146.00	11614	-0.028770	-127.09								
35.871	2500.0	2.5004	0.39310	6360.7	11861	0.025200	0.29890	0.10000	0.0000	100.00	10.000	1.0000	147.00	11586	-0.031140	-127.07								
35.892	2500.0	2.4994	0.39480	6330.8	11379	0.026400	0.30040	0.10000	0.0000	100.00	10.000	1.0000	148.00	11548	-0.034264	-127.05								
35.913	2500.0	2.4988	0.39340	6351.8	11225	0.026700	0.29970	0.10000	0.0000	100.00	10.000	1.0000	149.00	11491	-0.039036	-127.03								
35.934	2500.0	2.4989	0.39460	6332.7	12483	0.024000	0.29960	0.10000	0.0000	100.00	10.000	1.0000	150.00	11430	-0.044116	-127.01								
35.955	2500.0	2.5001	0.39240	6371.3	12032	0.025000	0.30080	0.10000	0.0000	100.00	10.000	1.0000	151.00	11418	-0.045140	-126.98								
35.976	2500.0	2.5003	0.39260	6368.6	11723	0.025600	0.30010	0.10000	0.0000	100.00	10.000	1.0000	152.00	11425	-0.044572	-126.96								
35.997	2500.0	2.5005	0.39450	6338.4	11390	0.026400	0.30070	0.10000	0.0000	100.00	10.000	1.0000	153.00	11385	-0.047939	-126.94								
36.018	2500.0	2.5008	0.39520	6327.9	11492	0.026000	0.29880	1.0000	0.0000	100.00	10.000	1.0000	154.00	11344	-0.051355	-126.92								
38.042	2500.0	2.5011	0.39550	6323.9	11375	0.026400	0.30030	1.0000	0.0000	100.00	10.000	1.0000	155.00	11273	-0.057271	-124.90								
38.123	2550.0	2.5495	0.41560	6134.5	11133	0.027000	0.30060	1.0000	0.0000	100.00	10.000	1.0000	156.00	11207	-0.062802	-124.82								
38.204	2600.0	2.5998	0.42860	6065.8	10909	0.027400	0.29890	1.0000	0.0000	100.00	10.000	1.0000	157.00	11145	-0.067948	-124.74								
38.285	2650.0	2.6500	0.44810	5913.9	11308	0.026600	0.30080	1.0000	0.0000	100.00	10.000	1.0000	158.00	11070	-0.074282	-124.65								
38.366	2700.0	2.6994	0.46070	5859.3	10742	0.027900	0.29970	1.0000	0.0000	100.00	10.000	1.0000	159.00	11038	-0.076900	-124.57								
38.447	2750.0	2.7505	0.47510	5789.3	10841	0.027700	0.30030	1.0000	0.0000	100.00	10.000	1.0000	160.00	10991	-0.080869	-124.49								
38.528	2800.0	2.7998	0.49290	5680.3	10739	0.028000	0.30070	1.0000	0.0000	100.00	10.000	1.0000	161.00	10877	-0.090423	-124.41								
38.609	2850.0	2.8504	0.50450	5650.0	10651	0.028100	0.29930	1.0000	0.0000	100.00	10.000	1.0000	162.00	10808	-0.096202	-124.33								
38.690	2900.0	2.8999	0.52310	5543.7	10624	0.028200	0.29960	1.0000	0.0000	100.00	10.000	1.0000	163.00	10777	-0.098725	-124.25								
38.771	2950.0	2.9495	0.53520	5511.0	10690	0.028100	0.30040	1.0000	0.0000	100.00	10.000	1.0000	164.00	10756	-0.10048	-124.17								
38.853	3000.0	3.0004	0.55440	5412.0	10780	0.027700	0.29860	1.0000	0.0000	100.00	10.000	1.0000	165.00	10709	-0.10447	-124.09								
38.934	3000.0	3.0004	0.55590	5397.4	10683	0.028100	0.30020	1.0000	0.0000	100.00	10.000	1.0000	166.00	10678	-0.10700	-124.01								
39.015	2950.0	2.9496	0.54590	5403.2	9993.4	0.030100	0.30080	1.0000	0.0000	100.00	10.000	1.0000	167.00	10671	-0.10759	-123.93								
39.096	2900.0	2.9012	0.53300	5443.2	10271	0.029200	0.29990	1.0000	0.0000	100.00	10.000	1.0000	168.00	10628	-0.11122	-123.84								
39.177	2850.0	2.8498	0.52420	5436.5	10721	0.028000	0.30020	1.0000	0.0000	100.00	10.000	1.0000	169.00	10595	-0.11401	-123.76								
39.258	2800.0	2.8002	0.50890	5502.5	10228	0.029400	0.30070	1.0000	0.0000	100.00	10.000	1.0000	170.00	10553	-0.11749	-123.68								
39.339	2750.0	2.7505	0.49620	5543.1	10084	0.029700	0.29950	1.0000	0.0000	100.00	10.000	1.0000	171.00	10524	-0.11989	-123.60								
39.421	2700.0	2.7002	0.48650	5550.3	10581	0.028400	0.30050	1.0000	0.0000	100.00	10.000	1.0000	172.00	10548	-0.11794	-123.52								
39.502	2650.0	2.6495	0.47230	5609.8	11089	0.027000	0.29940	1.0000	0.0000	100.00	10.000	1.0000	173.00	10555	-0.11730	-123.44								
39.583	2600.0	2.6001	0.46010	5651.2	10949	0.027400	0.30000	1.0000	0.0000	100.00	10.000	1.0000	174.00	10591	-0.11429	-123.36								
39.664	2550.0	2.5500	0.44640	5712.4	10491	0.028500	0.29900	1.0000	0.0000	100.00	10.000	1.0000	175.00	10568	-0.11622	-123.28								
