T,R1,C1,L1,R2,C2,R3,C3
280,1.874042530834385e-96,0.00017915769876184756,3.8514721077148333,10.41038969245296,3.2011843439819174e-09,-8.394729215467647,4.5440357714412924e-10
260,1.9237202954208827e-14,4.784237849839504e-05,4.242275615133895,10.218878554988235,3.4714473858836984e-09,-8.046542135161125,8.194041932931505e-10
240,6.324238630548778e-11,0.19902361437580302,3.283738245630389,10.500742055616293,3.21591392806437e-09,-8.175637411477227,1.5862756276316826e-09
220,3.0223615736292266e-115,0.9999999999999999,3.9804250645731427,11.973774335019423,3.517174754395356e-09,-9.471981569583788,2.5598092727803495e-10
200,2.533673931344919e-20,0.9999999997935081,3.230640705399963,12.126134955984131,4.98501579554879e-09,-9.098793020146687,1.8639730980855652e-09
180,9.785332679445e-21,0.9999999999588365,2.4930675893348155,12.044301666139843,6.570285740557738e-09,-8.81025135765108,3.451576202944177e-09
160,0.6043099962222739,0.9999999999917271,2.2968785686438804,12.212228790531324,9.4457668294846e-09,-8.798776071501681,5.184077975700228e-09
140,0.005295179529710892,0.9996460999911188,1.868371501707073,12.485500299456861,1.5218890044491296e-08,-8.927274838992467,8.409361195123132e-09
120,0.0003552875006142365,0.9701547767969128,1.9082114934997656,14.901736824562214,2.0526373469464607e-08,-11.266163196823154,9.64863880930774e-09
100,1.7295431514681368e-05,0.9213058726523984,2.907670209118354,22.706729598933453,2.0544091317847612e-08,-19.079967471047123,5.202054693988455e-09
85,1.7295431514681368e-05,0.9213058726523984,2.907670209118354,22.706729598933453,4.053908716202544e-08,-19.079967471047123,1.4284041037483012e-08
