Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
1.271739E-2	2.705200E+2	2.000000E+3	2.001040E+0	7.097800E-2	2.819240E+4	2.756617E+4	7.268800E-2	2.003730E+0	9.910000E+37	7.097800E-2	1.396207E+42	1.363361E+42	7.268800E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	1.000000E+0
3.896888E-2	2.705200E+2	2.010000E+3	2.008560E+0	7.699700E-2	2.608621E+4	3.075000E+4	6.514700E-2	2.003270E+0	9.910000E+37	7.699700E-2	1.287063E+42	1.521175E+42	6.514700E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	2.000000E+0
6.493704E-2	2.705200E+2	2.020000E+3	2.017760E+0	7.597500E-2	2.655821E+4	3.222966E+4	6.213500E-2	2.002590E+0	9.910000E+37	7.597500E-2	1.304376E+42	1.594914E+42	6.213500E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0
9.110521E-2	2.705200E+2	2.030000E+3	2.032410E+0	6.214100E-2	3.270643E+4	2.925459E+4	6.841900E-2	2.001570E+0	9.910000E+37	6.214100E-2	1.594760E+42	1.448428E+42	6.841900E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	4.000000E+0
1.172734E-1	2.705200E+2	2.040000E+3	2.044140E+0	6.225200E-2	3.283654E+4	3.485496E+4	5.746700E-2	2.003010E+0	9.910000E+37	6.225200E-2	1.591917E+42	1.724468E+42	5.746700E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	5.000000E+0
1.434749E-1	2.705200E+2	2.050000E+3	2.051620E+0	6.568900E-2	3.123232E+4	3.150752E+4	6.356800E-2	2.002870E+0	9.910000E+37	6.568900E-2	1.508624E+42	1.558960E+42	6.356800E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	6.000000E+0
1.697097E-1	2.705200E+2	2.060000E+3	2.062840E+0	7.174500E-2	2.875239E+4	2.945692E+4	6.790900E-2	2.000390E+0	9.910000E+37	7.174500E-2	1.381281E+42	1.459306E+42	6.790900E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	7.000000E+0
1.958945E-1	2.705200E+2	2.070000E+3	2.068620E+0	6.988200E-2	2.960161E+4	2.872238E+4	6.970800E-2	2.002180E+0	9.910000E+37	6.988200E-2	1.418105E+42	1.421645E+42	6.970800E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	8.000000E+0
2.219294E-1	2.705200E+2	2.080000E+3	2.078410E+0	6.637900E-2	3.131126E+4	3.122204E+4	6.418800E-2	2.004080E+0	9.910000E+37	6.637900E-2	1.492942E+42	1.543902E+42	6.418800E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	9.000000E+0
2.480809E-1	2.705200E+2	2.090000E+3	2.090920E+0	7.200200E-2	2.903975E+4	2.909321E+4	6.881400E-2	2.002020E+0	9.910000E+37	7.200200E-2	1.376351E+42	1.440114E+42	6.881400E-2	9.910000E+37	8.000000E-2	1.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	3.000000E+0	1.000000E+0	1.000000E+1
