Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.1
Label,,
TIME,CH1,CH2
-2.940e-03,0.104,0.08
-2.920e-03,0.104,0.068
-2.900e-03,0.088,0.064
-2.880e-03,0.104,0.064
-2.860e-03,0.096,0.072
-2.840e-03,0.096,0.056
-2.820e-03,0.096,0.056
-2.800e-03,0.12,0.044
-2.780e-03,0.096,0.064
-2.760e-03,0.112,0.084
-2.740e-03,0.104,0.068
-2.720e-03,0.096,0.048
-2.700e-03,0.088,0.056
-2.680e-03,0.112,0.056
-2.660e-03,0.104,0.048
-2.640e-03,0.096,0.064
-2.620e-03,0.104,0.068
-2.600e-03,0.104,0.064
-2.580e-03,0.096,0.048
-2.560e-03,0.104,0.044
-2.540e-03,0.096,0.064
-2.520e-03,0.12,0.084
-2.500e-03,0.112,0.064
-2.480e-03,0.104,0.084
-2.460e-03,0.096,0.064
-2.440e-03,0.104,0.056
-2.420e-03,0.112,0.06
-2.400e-03,0.104,0.048
-2.380e-03,0.112,0.044
-2.360e-03,0.112,0.08
-2.340e-03,0.112,0.052
-2.320e-03,0.104,0.032
-2.300e-03,0.104,0.056
-2.280e-03,0.104,0.084
-2.260e-03,0.104,0.092
-2.240e-03,0.104,0.056
-2.220e-03,0.096,0.076
-2.200e-03,0.104,0.036
-2.180e-03,0.104,0.06
-2.160e-03,0.112,0.052
-2.140e-03,0.104,0.052
-2.120e-03,0.096,0.08
-2.100e-03,0.096,0.044
-2.080e-03,0.104,0.076
-2.060e-03,0.104,0.076
-2.040e-03,0.096,0.052
-2.020e-03,0.104,0.06
-2.000e-03,0.104,0.06
-1.980e-03,0.08,0.024
-1.960e-03,0.104,0.068
-1.940e-03,0.096,0.06
-1.920e-03,0.096,0.08
-1.900e-03,0.104,0.064
-1.880e-03,0.096,0.088
-1.860e-03,0.112,0.068
-1.840e-03,0.112,0.088
-1.820e-03,0.104,0.06
-1.800e-03,0.088,0.04
-1.780e-03,0.096,0.052
-1.760e-03,0.096,0.06
-1.740e-03,0.096,0.06
-1.720e-03,0.104,0.06
-1.700e-03,0.096,0.048
-1.680e-03,0.112,0.064
-1.660e-03,0.104,0.064
-1.640e-03,0.096,0.06
-1.620e-03,0.104,0.06
-1.600e-03,0.088,0.068
-1.580e-03,0.112,0.052
-1.560e-03,0.112,0.044
-1.540e-03,0.088,0.056
-1.520e-03,0.088,0.04
-1.500e-03,0.096,0.064
-1.480e-03,0.096,0.08
-1.460e-03,0.096,0.072
-1.440e-03,0.104,0.06
-1.420e-03,0.104,0.056
-1.400e-03,0.088,0.056
-1.380e-03,0.096,0.076
-1.360e-03,0.096,0.056
-1.340e-03,0.104,0.056
-1.320e-03,0.112,0.04
-1.300e-03,0.112,0.064
-1.280e-03,0.096,0.064
-1.260e-03,0.104,0.06
-1.240e-03,0.096,0.064
-1.220e-03,0.104,0.072
-1.200e-03,0.112,0.08
-1.180e-03,0.096,0.056
-1.160e-03,0.112,0.088
-1.140e-03,0.144,0.092
-1.120e-03,0.128,0.084
-1.100e-03,0.136,0.072
-1.080e-03,0.168,0.1
-1.060e-03,0.16,0.108
-1.040e-03,0.176,0.112
-1.020e-03,0.192,0.084
-1.000e-03,0.192,0.128
-9.800e-04,0.208,0.124
-9.600e-04,0.216,0.104
-9.400e-04,0.232,0.14
-9.200e-04,0.176,0.084
-9.000e-04,0.256,0.164
-8.800e-04,0.264,0.128
-8.600e-04,0.256,0.148
-8.400e-04,0.272,0.148
-8.200e-04,0.296,0.168
-8.000e-04,0.296,0.172
-7.800e-04,0.32,0.18
-7.600e-04,0.328,0.2
-7.400e-04,0.336,0.196
-7.200e-04,0.336,0.2
-7.000e-04,0.352,0.212
-6.800e-04,0.36,0.192
-6.600e-04,0.36,0.244
-6.400e-04,0.368,0.192
-6.200e-04,0.408,0.216
-6.000e-04,0.4,0.236
-5.800e-04,0.408,0.24
-5.600e-04,0.408,0.248
-5.400e-04,0.432,0.24
-5.200e-04,0.44,0.276
-5.000e-04,0.432,0.26
-4.800e-04,0.456,0.268
-4.600e-04,0.472,0.28
-4.400e-04,0.48,0.26
-4.200e-04,0.496,0.3
-4.000e-04,0.512,0.304
-3.800e-04,0.488,0.272
-3.600e-04,0.528,0.304
-3.400e-04,0.536,0.304
-3.200e-04,0.544,0.3
-3.000e-04,0.552,0.332
-2.800e-04,0.576,0.312
-2.600e-04,0.584,0.308
-2.400e-04,0.584,0.332
-2.200e-04,0.6,0.344
-2.000e-04,0.6,0.356
-1.800e-04,0.608,0.332
-1.600e-04,0.616,0.384
-1.400e-04,0.632,0.368
-1.200e-04,0.632,0.372
-1.000e-04,0.656,0.384
-8.000e-05,0.664,0.396
-6.000e-05,0.664,0.376
-4.000e-05,0.68,0.388
-2.000e-05,0.696,0.384
1.687e-17,0.696,0.412
2.000e-05,0.712,0.4
4.000e-05,0.712,0.428
6.000e-05,0.736,0.448
8.000e-05,0.744,0.424
1.000e-04,0.744,0.456
1.200e-04,0.744,0.46
1.400e-04,0.76,0.464
1.600e-04,0.768,0.444
1.800e-04,0.792,0.44
2.000e-04,0.792,0.46
2.200e-04,0.808,0.488
2.400e-04,0.824,0.504
2.600e-04,0.824,0.476
2.800e-04,0.832,0.48
3.000e-04,0.856,0.504
3.200e-04,0.864,0.488
3.400e-04,0.872,0.504
3.600e-04,0.88,0.512
3.800e-04,0.872,0.52
4.000e-04,0.896,0.512
4.200e-04,0.904,0.504
4.400e-04,0.92,0.532
4.600e-04,0.936,0.536
4.800e-04,0.936,0.536
5.000e-04,0.944,0.544
5.200e-04,0.976,0.564
5.400e-04,0.96,0.576
5.600e-04,0.984,0.576
5.800e-04,0.984,0.576
6.000e-04,1.008,0.588
6.200e-04,1.024,0.6
6.400e-04,1.016,0.572
6.600e-04,1.008,0.58
6.800e-04,1.016,0.58
7.000e-04,1.008,0.584
7.200e-04,1,0.576
7.400e-04,1.016,0.568
7.600e-04,1.008,0.592
7.800e-04,1.008,0.576
8.000e-04,1.008,0.592
8.200e-04,1.016,0.6
8.400e-04,0.992,0.612
8.600e-04,1.016,0.588
8.800e-04,1.016,0.58
9.000e-04,1,0.592
9.200e-04,1.024,0.592
9.400e-04,1.008,0.604
9.600e-04,1.008,0.596
9.800e-04,1,0.564
1.000e-03,1.016,0.604
1.020e-03,1,0.576
1.040e-03,1,0.58
1.060e-03,1.024,0.576
1.080e-03,1,0.576
1.100e-03,1.008,0.596
1.120e-03,1,0.584
1.140e-03,1,0.576
1.160e-03,1.008,0.596
1.180e-03,1.008,0.568
1.200e-03,1.008,0.592
1.220e-03,1,0.58
1.240e-03,1.032,0.572
1.260e-03,1.016,0.588
1.280e-03,1.008,0.576
1.300e-03,1,0.568
1.320e-03,1.008,0.6
1.340e-03,1,0.592
1.360e-03,1.008,0.588
1.380e-03,1,0.592
1.400e-03,1.016,0.576
1.420e-03,1.016,0.58
1.440e-03,1.016,0.592
1.460e-03,1.008,0.572
1.480e-03,1.008,0.572
1.500e-03,1.016,0.596
1.520e-03,1.016,0.588
1.540e-03,1.008,0.588
1.560e-03,0.992,0.588
1.580e-03,1.016,0.58
1.600e-03,1.008,0.576
1.620e-03,1.008,0.596
1.640e-03,1.008,0.6
1.660e-03,1.008,0.564
1.680e-03,1.008,0.596
1.700e-03,1.008,0.596
1.720e-03,1,0.612
1.740e-03,1.008,0.588
1.760e-03,1.024,0.584
1.780e-03,1.008,0.596
1.800e-03,1.016,0.608
1.820e-03,1.008,0.592
1.840e-03,1.008,0.592
1.860e-03,1.016,0.596
1.880e-03,1.024,0.564
1.900e-03,1.016,0.58
1.920e-03,1.016,0.568
1.940e-03,1.008,0.588
1.960e-03,1.024,0.584
1.980e-03,1.016,0.58
2.000e-03,1.008,0.592
2.020e-03,1,0.588
2.040e-03,1.008,0.576
2.060e-03,1,0.584
2.080e-03,1.008,0.58
2.100e-03,1.008,0.608
2.120e-03,1,0.6
2.140e-03,1.008,0.568
2.160e-03,1.008,0.584
2.180e-03,1.008,0.584
2.200e-03,1.016,0.588
2.220e-03,1,0.596
2.240e-03,1.016,0.608
2.260e-03,1.024,0.588
2.280e-03,1,0.588
2.300e-03,1.016,0.576
2.320e-03,1.008,0.576
2.340e-03,1.008,0.588
2.360e-03,1.008,0.592
2.380e-03,1.008,0.596
2.400e-03,1.016,0.592
2.420e-03,1.008,0.596
2.440e-03,1.008,0.568
2.460e-03,1.008,0.588
2.480e-03,1,0.608
2.500e-03,0.992,0.6
2.520e-03,1.016,0.58
2.540e-03,1.008,0.592
2.560e-03,1.008,0.596
2.580e-03,1.008,0.604
2.600e-03,1.016,0.584
2.620e-03,1.008,0.6
2.640e-03,1.016,0.596
2.660e-03,1.008,0.596
2.680e-03,1.008,0.564
2.700e-03,1.008,0.604
2.720e-03,1,0.58
2.740e-03,1,0.58
2.760e-03,1.008,0.588
2.780e-03,1.016,0.592
2.800e-03,1.008,0.584
2.820e-03,1,0.568
2.840e-03,1.024,0.612
2.860e-03,1,0.6
2.880e-03,1,0.592
2.900e-03,1.016,0.596
2.920e-03,1.016,0.588
2.940e-03,0.992,0.56
2.960e-03,1.008,0.564
2.980e-03,1,0.58
3.000e-03,1.008,0.588
3.020e-03,1,0.584
3.040e-03,1.016,0.596
3.060e-03,1.016,0.6
3.080e-03,1.008,0.588
3.100e-03,0.992,0.592
3.120e-03,1.008,0.568
3.140e-03,1,0.556
3.160e-03,1,0.54
3.180e-03,1,0.588
3.200e-03,1.008,0.588
3.220e-03,1,0.596
3.240e-03,1,0.584
3.260e-03,1.008,0.576
3.280e-03,0.992,0.608
3.300e-03,1.016,0.58
3.320e-03,1.016,0.588
3.340e-03,1.008,0.604
3.360e-03,1.008,0.568
3.380e-03,1,0.584
3.400e-03,1.016,0.58
3.420e-03,1.016,0.596
3.440e-03,1,0.576
3.460e-03,1.008,0.58
3.480e-03,1,0.596
3.500e-03,1.008,0.58
3.520e-03,0.992,0.584
3.540e-03,1,0.596
3.560e-03,1.016,0.584
3.580e-03,1.024,0.576
3.600e-03,1,0.596
3.620e-03,1,0.576
3.640e-03,1.016,0.58
3.660e-03,1.008,0.604
3.680e-03,1.016,0.596
3.700e-03,1.016,0.6
3.720e-03,1.008,0.584
3.740e-03,1.008,0.584
3.760e-03,1.016,0.596
3.780e-03,1.008,0.596
3.800e-03,1.008,0.584
3.820e-03,1.016,0.572
3.840e-03,1.016,0.572
3.860e-03,1.024,0.592
3.880e-03,1.008,0.572
3.900e-03,1.024,0.604
3.920e-03,1.008,0.572
3.940e-03,1,0.584
3.960e-03,0.992,0.596
3.980e-03,1.016,0.592
4.000e-03,1.008,0.588
4.020e-03,1.008,0.564
4.040e-03,1.008,0.576
4.060e-03,1,0.576
4.080e-03,1.016,0.576
4.100e-03,1,0.58
4.120e-03,1.008,0.576
4.140e-03,1.016,0.6
4.160e-03,1,0.592
4.180e-03,1,0.584
4.200e-03,1.008,0.58
4.220e-03,0.992,0.536
4.240e-03,1.016,0.564
4.260e-03,1.016,0.588
4.280e-03,1.016,0.564
4.300e-03,1.008,0.576
4.320e-03,1.024,0.584
4.340e-03,1.024,0.584
4.360e-03,1.016,0.556
4.380e-03,1,0.588
4.400e-03,1.008,0.58
4.420e-03,0.992,0.596
4.440e-03,1,0.564
4.460e-03,1.008,0.588
4.480e-03,1.008,0.56
4.500e-03,1.024,0.576
4.520e-03,1.008,0.58
4.540e-03,1.008,0.612
4.560e-03,1.008,0.568
4.580e-03,1.008,0.596
4.600e-03,1.008,0.58
4.620e-03,1.008,0.584
4.640e-03,0.984,0.568
4.660e-03,1.008,0.568
4.680e-03,1.008,0.604
4.700e-03,1.024,0.568
4.720e-03,1.008,0.576
4.740e-03,1.016,0.608
4.760e-03,1.016,0.588
4.780e-03,1.008,0.6
4.800e-03,1.008,0.584
4.820e-03,1.024,0.584
4.840e-03,1.008,0.576
4.860e-03,1,0.58
4.880e-03,0.992,0.596
4.900e-03,1.008,0.588
4.920e-03,1.008,0.592
4.940e-03,1.016,0.568
4.960e-03,1.016,0.584
4.980e-03,1,0.596
5.000e-03,1,0.588
5.020e-03,1,0.588
5.040e-03,1.008,0.6
5.060e-03,1.016,0.584
5.080e-03,1.008,0.568
5.100e-03,1.016,0.576
5.120e-03,0.976,0.556
5.140e-03,1.024,0.596
5.160e-03,1.016,0.552
5.180e-03,1,0.592
5.200e-03,1.008,0.604
5.220e-03,1.008,0.596
5.240e-03,1,0.6
5.260e-03,1,0.62
5.280e-03,1.016,0.588
5.300e-03,1.024,0.584
5.320e-03,1,0.604
5.340e-03,1.016,0.588
5.360e-03,1,0.588
5.380e-03,1.016,0.596
5.400e-03,1.016,0.584
5.420e-03,1.008,0.588
5.440e-03,1.016,0.58
5.460e-03,1.016,0.568
5.480e-03,1.024,0.572
5.500e-03,1.016,0.58
5.520e-03,1.008,0.584
5.540e-03,1.008,0.58
5.560e-03,1,0.604
