Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,8.879255E-3,77.675000E-6,-136.456500E-3,530.500000E-6,50.000000E+0
40.000000E+0,48.882700E-3,16.800000E-6,-164.100500E-3,72.500000E-6,50.000000E+0
50.000000E+0,68.078650E-3,6.550000E-6,-204.599500E-3,35.500000E-6,50.000000E+0
60.000000E+0,42.675350E-3,303.650000E-6,-268.642000E-3,16.000000E-6,50.000000E+0
75.000000E+0,66.376700E-3,68.500000E-6,-335.314500E-3,435.500000E-6,50.000000E+0
100.000000E+0,145.844500E-3,33.500000E-6,-420.156500E-3,305.500000E-6,50.000000E+0
120.000000E+0,169.775500E-3,476.500000E-6,-509.190500E-3,121.500000E-6,50.000000E+0
150.000000E+0,261.922000E-3,41.000000E-6,-607.310000E-3,47.999999E-6,50.000000E+0
200.000000E+0,240.630500E-3,190.500000E-6,-382.045500E-3,300.500000E-6,50.000000E+0
250.000000E+0,88.497250E-3,57.550000E-6,-567.666000E-3,125.000000E-6,50.000000E+0
300.000000E+0,74.968450E-3,422.750000E-6,-453.022000E-3,224.000000E-6,50.000000E+0
400.000000E+0,103.576500E-3,439.500000E-6,-428.176500E-3,23.500000E-6,50.000000E+0
500.000000E+0,68.663450E-3,60.550000E-6,-244.613500E-3,45.500000E-6,50.000000E+0
600.000000E+0,35.323150E-3,136.850000E-6,-141.348000E-3,184.000000E-6,50.000000E+0
750.000000E+0,1.365829E-3,504.811500E-6,-50.635550E-3,43.550000E-6,50.000000E+0
1.000000E+3,-18.426900E-3,111.100000E-6,-18.628500E-3,61.100000E-6,50.000000E+0
1.200000E+3,-22.300400E-3,462.200000E-6,-11.935000E-3,276.300000E-6,50.000000E+0
1.500000E+3,-13.862450E-3,35.250000E-6,-18.276350E-3,17.650000E-6,50.000000E+0
2.000000E+3,-5.618815E-3,36.385000E-6,-21.221200E-3,12.200000E-6,50.000000E+0
2.500000E+3,2.061135E-3,191.385000E-6,-23.709100E-3,43.900000E-6,50.000000E+0
3.000000E+3,4.622410E-3,84.500000E-6,-23.809500E-3,18.100000E-6,50.000000E+0
4.000000E+3,4.858545E-3,60.125000E-6,-16.758600E-3,81.400000E-6,50.000000E+0
5.000000E+3,5.236040E-3,62.040000E-6,-14.585550E-3,2.150000E-6,50.000000E+0
6.000000E+3,-5.945325E-3,135.625000E-6,-9.034765E-3,140.155000E-6,50.000000E+0
7.500000E+3,-11.115000E-3,138.900000E-6,-1.776650E-3,192.100000E-6,50.000000E+0
10.000000E+3,-12.372800E-3,101.800000E-6,-1.318875E-3,7.805000E-6,50.000000E+0
12.000000E+3,-7.057300E-3,159.840000E-6,-2.565565E-3,54.675000E-6,50.000000E+0
15.000000E+3,-3.447005E-3,71.855000E-6,-1.410460E-3,29.010000E-6,50.000000E+0
20.000000E+3,-2.395105E-3,30.465000E-6,196.187000E-6,32.579000E-6,50.000000E+0
25.000000E+3,-3.752020E-3,43.410000E-6,-2.495425E-3,77.125000E-6,50.000000E+0
30.000000E+3,-3.567435E-3,4.826545E-3,-3.882065E-3,1.421985E-3,50.000000E+0
40.000000E+3,-2.626145E-3,11.495000E-6,965.376000E-6,18.769000E-6,50.000000E+0
50.000000E+3,-5.031130E-3,89.999999E-9,-1.548220E-3,3.510000E-6,50.000000E+0
60.000000E+3,-5.506715E-3,6.715000E-6,-1.226745E-3,10.285000E-6,50.000000E+0
75.000000E+3,-5.662150E-3,6.330000E-6,-617.480500E-6,8.526500E-6,50.000000E+0
100.000000E+3,-5.739515E-3,37.095000E-6,-380.025500E-6,12.981500E-6,50.000000E+0
120.000000E+3,-5.445160E-3,13.820000E-6,259.481500E-6,22.074500E-6,50.000000E+0
150.000000E+3,-5.844260E-3,16.370000E-6,322.292000E-6,12.040000E-6,50.000000E+0
200.000000E+3,-33.574150E-3,3.450000E-6,2.228070E-3,11.920000E-6,50.000000E+0
