Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-07,
Sample Interval,4e-09,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Label,,
TIME,CH1,CH2
-1.756e-06,-0.08,0.02
-1.752e-06,0.08,0.04
-1.748e-06,0,-0.02
-1.744e-06,0.16,0.02
-1.740e-06,0,0.02
-1.736e-06,0,0
-1.732e-06,0,0.02
-1.728e-06,0.16,0
-1.724e-06,0.08,0.02
-1.720e-06,0.08,0
-1.716e-06,0.24,-0.02
-1.712e-06,0,0
-1.708e-06,0,0.02
-1.704e-06,0,-0.02
-1.700e-06,0.08,0.02
-1.696e-06,0,0.02
-1.692e-06,0.08,0.02
-1.688e-06,0.08,0
-1.684e-06,-0.08,0
-1.680e-06,0,0.04
-1.676e-06,0.08,0
-1.672e-06,0,-0.02
-1.668e-06,0.08,0
-1.664e-06,0,0
-1.660e-06,0.08,0.04
-1.656e-06,0.08,0
-1.652e-06,0,0.02
-1.648e-06,0.16,0.06
-1.644e-06,0.08,0
-1.640e-06,0.08,0
-1.636e-06,0,0
-1.632e-06,0,0
-1.628e-06,0,0.02
-1.624e-06,0,0.02
-1.620e-06,0.08,0.02
-1.616e-06,0,0
-1.612e-06,0,0
-1.608e-06,0,0.04
-1.604e-06,0,0
-1.600e-06,0.16,0
-1.596e-06,0,0.02
-1.592e-06,0.16,0.02
-1.588e-06,0.08,0.02
-1.584e-06,0.08,0.06
-1.580e-06,0.24,0.04
-1.576e-06,0.16,0.06
-1.572e-06,0.24,0.06
-1.568e-06,0,0.04
-1.564e-06,0.24,0.04
-1.560e-06,0.16,0.06
-1.556e-06,0.08,0.1
-1.552e-06,0.16,0.12
-1.548e-06,0.24,0.08
-1.544e-06,0.24,0.12
-1.540e-06,0.4,0.08
-1.536e-06,0.32,0.06
-1.532e-06,0.24,0.1
-1.528e-06,0.16,0.08
-1.524e-06,0.4,0.1
-1.520e-06,0.32,0.08
-1.516e-06,0.4,0.08
-1.512e-06,0.32,0.1
-1.508e-06,0.4,0.1
-1.504e-06,0.4,0.08
-1.500e-06,0.56,0.1
-1.496e-06,0.4,0.12
-1.492e-06,0.4,0.12
-1.488e-06,0.56,0.14
-1.484e-06,0.4,0.12
-1.480e-06,0.4,0.14
-1.476e-06,0.48,0.14
-1.472e-06,0.48,0.18
-1.468e-06,0.4,0.16
-1.464e-06,0.4,0.14
-1.460e-06,0.4,0.16
-1.456e-06,0.64,0.16
-1.452e-06,0.56,0.18
-1.448e-06,0.56,0.16
-1.444e-06,0.56,0.16
-1.440e-06,0.64,0.18
-1.436e-06,0.48,0.18
-1.432e-06,0.64,0.18
-1.428e-06,0.64,0.2
-1.424e-06,0.64,0.14
-1.420e-06,0.64,0.18
-1.416e-06,0.64,0.2
-1.412e-06,0.72,0.16
-1.408e-06,0.64,0.2
-1.404e-06,0.64,0.22
-1.400e-06,0.8,0.2
-1.396e-06,0.64,0.24
-1.392e-06,0.8,0.2
-1.388e-06,0.64,0.26
-1.384e-06,0.72,0.24
-1.380e-06,0.8,0.24
-1.376e-06,0.8,0.26
-1.372e-06,0.8,0.24
-1.368e-06,0.8,0.26
-1.364e-06,0.72,0.26
-1.360e-06,0.88,0.26
-1.356e-06,0.8,0.28
-1.352e-06,0.8,0.28
-1.348e-06,0.88,0.26
-1.344e-06,0.88,0.28
-1.340e-06,0.96,0.26
-1.336e-06,0.88,0.3
-1.332e-06,0.88,0.32
-1.328e-06,1.04,0.28
-1.324e-06,0.88,0.28
-1.320e-06,0.8,0.3
-1.316e-06,0.96,0.32
-1.312e-06,1.04,0.32
-1.308e-06,0.96,0.3
-1.304e-06,1.04,0.34
-1.300e-06,0.96,0.32
-1.296e-06,0.88,0.32
-1.292e-06,1.04,0.34
-1.288e-06,1.12,0.32
-1.284e-06,0.96,0.36
-1.280e-06,1.2,0.36
-1.276e-06,1.12,0.32
-1.272e-06,1.04,0.36
-1.268e-06,1.2,0.34
-1.264e-06,1.12,0.32
-1.260e-06,1.2,0.38
-1.256e-06,1.2,0.34
-1.252e-06,1.2,0.38
-1.248e-06,1.2,0.4
-1.244e-06,1.12,0.36
-1.240e-06,1.04,0.4
-1.236e-06,1.2,0.38
-1.232e-06,1.2,0.38
-1.228e-06,1.44,0.42
-1.224e-06,1.28,0.4
-1.220e-06,1.28,0.38
-1.216e-06,1.44,0.42
-1.212e-06,1.44,0.42
-1.208e-06,1.28,0.4
-1.204e-06,1.36,0.4
-1.200e-06,1.28,0.38
-1.196e-06,1.28,0.44
-1.192e-06,1.6,0.4
-1.188e-06,1.52,0.46
-1.184e-06,1.36,0.44
-1.180e-06,1.44,0.44
-1.176e-06,1.44,0.48
-1.172e-06,1.52,0.42
-1.168e-06,1.44,0.46
-1.164e-06,1.44,0.52
-1.160e-06,1.52,0.42
-1.156e-06,1.52,0.48
-1.152e-06,1.6,0.52
-1.148e-06,1.6,0.44
-1.144e-06,1.44,0.5
-1.140e-06,1.68,0.48
-1.136e-06,1.44,0.48
-1.132e-06,1.52,0.5
-1.128e-06,1.52,0.48
-1.124e-06,1.52,0.48
-1.120e-06,1.68,0.5
-1.116e-06,1.76,0.48
-1.112e-06,1.68,0.5
-1.108e-06,1.76,0.54
-1.104e-06,1.76,0.56
-1.100e-06,1.68,0.54
-1.096e-06,1.68,0.52
-1.092e-06,1.6,0.54
-1.088e-06,1.6,0.54
-1.084e-06,1.76,0.58
-1.080e-06,1.92,0.58
-1.076e-06,1.76,0.56
-1.072e-06,1.76,0.56
-1.068e-06,1.76,0.58
-1.064e-06,1.84,0.56
-1.060e-06,1.84,0.56
-1.056e-06,1.84,0.6
-1.052e-06,1.84,0.58
-1.048e-06,1.92,0.58
-1.044e-06,1.92,0.6
-1.040e-06,1.92,0.58
-1.036e-06,1.92,0.58
-1.032e-06,1.84,0.6
-1.028e-06,2,0.62
-1.024e-06,1.92,0.6
-1.020e-06,2,0.6
-1.016e-06,2.16,0.64
-1.012e-06,2,0.62
-1.008e-06,1.92,0.64
-1.004e-06,1.92,0.64
-1.000e-06,2.08,0.64
-9.960e-07,2,0.62
-9.920e-07,2.08,0.62
-9.880e-07,2,0.6
-9.840e-07,1.92,0.66
-9.800e-07,2.08,0.62
-9.760e-07,1.92,0.6
-9.720e-07,2.08,0.6
-9.680e-07,1.92,0.58
-9.640e-07,2,0.58
-9.600e-07,1.84,0.58
-9.560e-07,2,0.62
-9.520e-07,2,0.6
-9.480e-07,1.84,0.6
-9.440e-07,2,0.6
-9.400e-07,2,0.58
-9.360e-07,2.16,0.58
-9.320e-07,2,0.68
-9.280e-07,2,0.6
-9.240e-07,2,0.62
-9.200e-07,2.16,0.62
-9.160e-07,2,0.62
-9.120e-07,1.92,0.64
-9.080e-07,2,0.6
-9.040e-07,2,0.6
-9.000e-07,2.08,0.62
-8.960e-07,1.92,0.6
-8.920e-07,2,0.62
-8.880e-07,2,0.62
-8.840e-07,2,0.6
-8.800e-07,2,0.64
-8.760e-07,2,0.62
-8.720e-07,2,0.6
-8.680e-07,2.16,0.58
-8.640e-07,2.08,0.6
-8.600e-07,2,0.64
-8.560e-07,2.08,0.6
-8.520e-07,1.92,0.62
-8.480e-07,2.08,0.6
-8.440e-07,2.08,0.56
-8.400e-07,2,0.64
-8.360e-07,2,0.64
-8.320e-07,2,0.6
-8.280e-07,1.92,0.64
-8.240e-07,2.08,0.58
-8.200e-07,2,0.64
-8.160e-07,1.92,0.6
-8.120e-07,1.84,0.58
-8.080e-07,2.08,0.64
-8.040e-07,2,0.62
-8.000e-07,2,0.6
-7.960e-07,2,0.6
-7.920e-07,2.08,0.58
-7.880e-07,2.08,0.62
-7.840e-07,1.92,0.58
-7.800e-07,2.08,0.58
-7.760e-07,2,0.62
-7.720e-07,1.92,0.6
-7.680e-07,2,0.62
-7.640e-07,2,0.62
-7.600e-07,2.08,0.58
-7.560e-07,2.08,0.62
-7.520e-07,2.08,0.62
-7.480e-07,2.08,0.56
-7.440e-07,2,0.62
-7.400e-07,2,0.58
-7.360e-07,2.08,0.58
-7.320e-07,1.92,0.6
-7.280e-07,2,0.58
-7.240e-07,2.08,0.6
-7.200e-07,1.92,0.64
-7.160e-07,2,0.6
-7.120e-07,2,0.62
-7.080e-07,2,0.58
-7.040e-07,1.92,0.6
-7.000e-07,2.08,0.62
-6.960e-07,2,0.6
-6.920e-07,2,0.6
-6.880e-07,2.08,0.6
-6.840e-07,2.08,0.62
-6.800e-07,1.92,0.58
-6.760e-07,2.08,0.58
-6.720e-07,2.08,0.58
-6.680e-07,2.08,0.62
-6.640e-07,2.08,0.62
-6.600e-07,2.08,0.6
-6.560e-07,2,0.6
-6.520e-07,2.08,0.6
-6.480e-07,2,0.6
-6.440e-07,2.08,0.58
-6.400e-07,2.08,0.64
-6.360e-07,2.08,0.58
-6.320e-07,1.92,0.56
-6.280e-07,2,0.6
-6.240e-07,1.92,0.58
-6.200e-07,1.92,0.6
-6.160e-07,2,0.62
-6.120e-07,2,0.62
-6.080e-07,2.08,0.64
-6.040e-07,2,0.58
-6.000e-07,2,0.58
-5.960e-07,2,0.6
-5.920e-07,1.92,0.54
-5.880e-07,2,0.58
-5.840e-07,1.92,0.6
-5.800e-07,2,0.52
-5.760e-07,1.92,0.66
-5.720e-07,1.92,0.58
-5.680e-07,2,0.58
-5.640e-07,2,0.62
-5.600e-07,2.16,0.56
-5.560e-07,2.08,0.6
-5.520e-07,2,0.62
-5.480e-07,2.08,0.56
-5.440e-07,1.92,0.58
-5.400e-07,2.08,0.6
-5.360e-07,1.92,0.58
-5.320e-07,1.92,0.62
-5.280e-07,2,0.56
-5.240e-07,2.08,0.58
-5.200e-07,2.08,0.62
-5.160e-07,2,0.56
-5.120e-07,1.92,0.6
-5.080e-07,2,0.56
-5.040e-07,2.08,0.56
-5.000e-07,2.08,0.58
-4.960e-07,1.92,0.56
-4.920e-07,2.08,0.6
-4.880e-07,1.92,0.62
-4.840e-07,2.08,0.6
-4.800e-07,2.08,0.58
-4.760e-07,1.92,0.58
-4.720e-07,1.92,0.6
-4.680e-07,2.08,0.6
-4.640e-07,1.84,0.58
-4.600e-07,2.08,0.62
-4.560e-07,1.92,0.58
-4.520e-07,2,0.58
-4.480e-07,2,0.58
-4.440e-07,2.08,0.6
-4.400e-07,2.08,0.58
-4.360e-07,2.08,0.56
-4.320e-07,2.08,0.56
-4.280e-07,2.08,0.58
-4.240e-07,2.08,0.6
-4.200e-07,2.08,0.56
-4.160e-07,2.08,0.56
-4.120e-07,2.08,0.56
-4.080e-07,2,0.56
-4.040e-07,2,0.6
-4.000e-07,2.08,0.56
-3.960e-07,2.16,0.58
-3.920e-07,2.08,0.58
-3.880e-07,2.08,0.6
-3.840e-07,2.16,0.6
-3.800e-07,2.32,0.62
-3.760e-07,2.48,0.68
-3.720e-07,2.4,0.64
-3.680e-07,2.16,0.66
-3.640e-07,2.32,0.74
-3.600e-07,2.16,0.72
-3.560e-07,2.48,0.78
-3.520e-07,2.48,0.8
-3.480e-07,2.48,0.8
-3.440e-07,2.64,0.8
-3.400e-07,2.8,0.84
-3.360e-07,2.8,0.86
-3.320e-07,2.8,0.88
-3.280e-07,2.88,0.84
-3.240e-07,2.8,0.9
-3.200e-07,3.04,0.88
-3.160e-07,3.04,0.86
-3.120e-07,3.04,0.94
-3.080e-07,3.2,0.9
-3.040e-07,3.36,0.96
-3.000e-07,3.2,0.98
-2.960e-07,3.28,0.96
-2.920e-07,3.28,0.98
-2.880e-07,3.36,1.02
-2.840e-07,3.2,1.06
-2.800e-07,3.52,1.08
-2.760e-07,3.52,1.06
-2.720e-07,3.6,1.08
-2.680e-07,3.76,1.1
-2.640e-07,3.76,1.1
-2.600e-07,3.76,1.08
-2.560e-07,3.84,1.1
-2.520e-07,3.76,1.14
-2.480e-07,3.76,1.12
-2.440e-07,3.84,1.1
-2.400e-07,4,1.14
-2.360e-07,4.08,1.14
-2.320e-07,4.32,1.2
-2.280e-07,4.24,1.22
-2.240e-07,4.24,1.22
-2.200e-07,4.4,1.24
-2.160e-07,4.24,1.26
-2.120e-07,4.4,1.28
-2.080e-07,4.48,1.34
-2.040e-07,4.48,1.3
