Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-05,
Sample Interval,4e-07,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.2
Label,,
TIME,CH1,CH2
-1.480e-05,0.02,0.008
-1.440e-05,0,0
-1.400e-05,0.02,0
-1.360e-05,0.02,0.016
-1.320e-05,0,0.008
-1.280e-05,0,0
-1.240e-05,0.04,0.016
-1.200e-05,0.06,0.024
-1.160e-05,0,0.04
-1.120e-05,0,0.016
-1.080e-05,-0.02,0.024
-1.040e-05,-0.02,0.008
-1.000e-05,0,-0.016
-9.600e-06,-0.04,0.008
-9.200e-06,0,0.024
-8.800e-06,0.06,0.024
-8.400e-06,0.02,0
-8.000e-06,0,-0.008
-7.600e-06,0.04,0
-7.200e-06,0.02,0.024
-6.800e-06,0.04,-0.008
-6.400e-06,0,-0.008
-6.000e-06,-0.02,0.008
-5.600e-06,0.1,-0.008
-5.200e-06,0.32,0.088
-4.800e-06,0.56,0.184
-4.400e-06,0.62,0.192
-4.000e-06,0.6,0.216
-3.600e-06,0.62,0.192
-3.200e-06,0.58,0.16
-2.800e-06,0.6,0.168
-2.400e-06,0.62,0.184
-2.000e-06,0.62,0.176
-1.600e-06,0.68,0.2
-1.200e-06,0.94,0.272
-8.000e-07,1.22,0.344
-4.000e-07,1.5,0.424
-1.091e-20,1.82,0.488
4.000e-07,2.02,0.576
8.000e-07,1.98,0.52
1.200e-06,2.02,0.52
1.600e-06,2,0.504
2.000e-06,2.02,0.488
2.400e-06,2.02,0.496
2.800e-06,2.02,0.472
3.200e-06,2.02,0.448
3.600e-06,2,0.488
4.000e-06,2.02,0.448
4.400e-06,1.94,0.44
4.800e-06,1.66,0.344
5.200e-06,1.4,0.248
5.600e-06,1.14,0.144
6.000e-06,0.84,0.064
6.400e-06,0.6,-0.032
6.800e-06,0.6,-0.016
7.200e-06,0.6,-0.008
7.600e-06,0.6,-0.024
8.000e-06,0.6,0
8.400e-06,0.56,-0.016
8.800e-06,0.6,-0.048
9.200e-06,0.58,-0.016
9.600e-06,0.6,-0.008
1.000e-05,0.6,-0.008
1.040e-05,0.62,-0.016
1.080e-05,0.56,-0.024
1.120e-05,0.58,-0.008
1.160e-05,0.6,-0.008
1.200e-05,0.64,-0.016
1.240e-05,0.6,-0.024
1.280e-05,0.58,-0.024
1.320e-05,0.6,-0.032
1.360e-05,0.6,-0.008
1.400e-05,0.58,0
1.440e-05,0.6,0.008
1.480e-05,0.62,0.016
1.520e-05,0.6,0
1.560e-05,0.6,0.016
1.600e-05,0.6,0.008
1.640e-05,0.62,0.024
1.680e-05,0.64,0.016
1.720e-05,0.6,0.016
1.760e-05,0.58,0.032
1.800e-05,0.64,0.024
1.840e-05,0.62,0.008
1.880e-05,0.6,0.04
1.920e-05,0.62,0
1.960e-05,0.6,0
2.000e-05,0.56,-0.008
2.040e-05,0.6,0.008
2.080e-05,0.62,0.008
2.120e-05,0.6,-0.008
2.160e-05,0.6,0.008
2.200e-05,0.58,0.024
2.240e-05,0.64,0.008
2.280e-05,0.6,-0.008
2.320e-05,0.56,-0.04
2.360e-05,0.6,-0.008
2.400e-05,0.6,0.032
2.440e-05,0.58,0.016
2.480e-05,0.58,0.024
2.520e-05,0.6,0.024
2.560e-05,0.6,0.024
2.600e-05,0.64,0.016
2.640e-05,0.62,0.016
2.680e-05,0.58,0.016
2.720e-05,0.62,0.024
2.760e-05,0.64,0.024
2.800e-05,0.62,0.032
2.840e-05,0.62,0.064
2.880e-05,0.62,0.024
2.920e-05,0.58,0.016
2.960e-05,0.6,0.016
3.000e-05,0.62,0
3.040e-05,0.58,0.016
3.080e-05,0.64,0.024
3.120e-05,0.6,0.024
3.160e-05,0.6,0.024
3.200e-05,0.58,0
3.240e-05,0.62,-0.016
3.280e-05,0.6,0
3.320e-05,0.62,0.024
3.360e-05,0.58,0.016
3.400e-05,0.6,0.016
3.440e-05,0.6,0.032
3.480e-05,0.6,0.016
3.520e-05,0.58,0.024
3.560e-05,0.58,0.048
3.600e-05,0.6,0.032
3.640e-05,0.6,0.016
3.680e-05,0.6,0.032
3.720e-05,0.6,0.024
3.760e-05,0.64,0.048
3.800e-05,0.62,0.032
3.840e-05,0.6,0.04
3.880e-05,0.6,0.008
3.920e-05,0.64,0.024
3.960e-05,0.62,0.008
4.000e-05,0.6,0.024
4.040e-05,0.6,0.032
4.080e-05,0.64,0
4.120e-05,0.62,0.024
4.160e-05,0.62,0.032
4.200e-05,0.6,0.024
4.240e-05,0.58,0.024
4.280e-05,0.62,0.056
4.320e-05,0.64,0.016
4.360e-05,0.6,0
4.400e-05,0.64,0.016
4.440e-05,0.58,0.056
4.480e-05,0.58,0.024
4.520e-05,0.62,0.048
4.560e-05,0.62,0.04
4.600e-05,0.62,0.024
4.640e-05,0.62,0.016
4.680e-05,0.62,0.024
4.720e-05,0.58,0.056
4.760e-05,0.6,0.056
4.800e-05,0.6,0.04
4.840e-05,0.6,0.032
4.880e-05,0.64,0.032
4.920e-05,0.62,0.032
4.960e-05,0.6,0.016
5.000e-05,0.62,0.024
5.040e-05,0.58,0.024
5.080e-05,0.6,0.008
5.120e-05,0.62,0.032
5.160e-05,0.62,0.008
5.200e-05,0.58,0.016
5.240e-05,0.62,0.04
5.280e-05,0.6,0.008
5.320e-05,0.62,0.008
5.360e-05,0.62,0.008
5.400e-05,0.62,0.024
5.440e-05,0.64,0.024
5.480e-05,0.62,0.04
5.520e-05,0.6,0.04
5.560e-05,0.58,0.024
5.600e-05,0.6,0.016
5.640e-05,0.58,0.016
5.680e-05,0.6,0.032
5.720e-05,0.64,0.016
5.760e-05,0.62,0.032
5.800e-05,0.62,0.04
5.840e-05,0.64,0.024
5.880e-05,0.6,0.016
5.920e-05,0.62,0.056
5.960e-05,0.6,0.008
6.000e-05,0.58,0.008
6.040e-05,0.6,0.024
6.080e-05,0.62,0.032
6.120e-05,0.62,0.032
6.160e-05,0.62,0.032
6.200e-05,0.62,0.024
6.240e-05,0.62,0
6.280e-05,0.6,0.008
6.320e-05,0.58,0.016
6.360e-05,0.62,0.024
6.400e-05,0.62,0.04
6.440e-05,0.62,0.048
6.480e-05,0.58,0
6.520e-05,0.6,0.032
6.560e-05,0.58,0.024
6.600e-05,0.6,0.032
6.640e-05,0.6,0.032
6.680e-05,0.6,0.04
6.720e-05,0.6,0.032
6.760e-05,0.62,0.04
6.800e-05,0.58,0.04
6.840e-05,0.6,0.056
6.880e-05,0.6,0.032
6.920e-05,0.58,0.024
6.960e-05,0.62,0.016
7.000e-05,0.6,0.032
7.040e-05,0.62,0.04
7.080e-05,0.62,0.032
7.120e-05,0.6,0.024
7.160e-05,0.58,0
7.200e-05,0.6,0.016
7.240e-05,0.62,0.016
7.280e-05,0.58,0
7.320e-05,0.64,0.032
7.360e-05,0.6,0.04
7.400e-05,0.62,0.024
7.440e-05,0.6,0.024
7.480e-05,0.58,0.024
7.520e-05,0.6,0.032
7.560e-05,0.6,0.024
7.600e-05,0.62,0.056
7.640e-05,0.64,0.024
7.680e-05,0.58,0.032
7.720e-05,0.6,0.032
7.760e-05,0.62,0.032
7.800e-05,0.6,0.04
7.840e-05,0.58,0.04
7.880e-05,0.6,0.008
7.920e-05,0.62,0.016
7.960e-05,0.62,0
8.000e-05,0.6,0.016
8.040e-05,0.6,0.032
8.080e-05,0.62,-0.024
8.120e-05,0.6,0.04
8.160e-05,0.6,0.032
8.200e-05,0.58,0.016
8.240e-05,0.6,0.024
8.280e-05,0.58,0.016
8.320e-05,0.6,0.032
8.360e-05,0.62,0.024
8.400e-05,0.62,0.024
8.440e-05,0.6,0.016
8.480e-05,0.64,0.04
8.520e-05,0.6,0.04
8.560e-05,0.6,0.048
8.600e-05,0.64,0.064
8.640e-05,0.58,0.056
8.680e-05,0.62,0.024
8.720e-05,0.62,0.048
8.760e-05,0.58,0.024
8.800e-05,0.62,0.032
8.840e-05,0.62,0.032
8.880e-05,0.58,0.04
8.920e-05,0.6,0.032
8.960e-05,0.62,0.008
9.000e-05,0.58,0.056
9.040e-05,0.58,0
9.080e-05,0.62,0.016
9.120e-05,0.58,0.024
9.160e-05,0.62,0.024
9.200e-05,0.56,0.024
9.240e-05,0.6,0.024
9.280e-05,0.62,0.008
9.320e-05,0.58,0.016
9.360e-05,0.62,0.024
9.400e-05,0.58,0.016
9.440e-05,0.6,0.032
9.480e-05,0.58,0.04
9.520e-05,0.62,0.024
9.560e-05,0.6,0.008
9.600e-05,0.58,0.04
9.640e-05,0.62,0.024
9.680e-05,0.58,0.024
9.720e-05,0.64,0.024
9.760e-05,0.62,0.048
9.800e-05,0.62,0.048
9.840e-05,0.62,0.024
9.880e-05,0.6,0.024
9.920e-05,0.64,0.032
9.960e-05,0.6,0.04
1.000e-04,0.6,0.008
1.004e-04,0.64,0.016
1.008e-04,0.64,0.016
1.012e-04,0.6,0.024
1.016e-04,0.58,0.024
1.020e-04,0.58,0
1.024e-04,0.62,0
1.028e-04,0.64,0.024
1.032e-04,0.62,0.024
1.036e-04,0.62,0.04
1.040e-04,0.6,0.04
1.044e-04,0.62,0.016
1.048e-04,0.62,0.04
1.052e-04,0.62,0.04
1.056e-04,0.6,0.024
1.060e-04,0.62,0.032
1.064e-04,0.58,0.04
1.068e-04,0.58,0.024
1.072e-04,0.6,0.032
1.076e-04,0.62,0.024
1.080e-04,0.58,0.032
1.084e-04,0.62,0.032
1.088e-04,0.62,0.032
1.092e-04,0.58,0.008
1.096e-04,0.64,0.016
1.100e-04,0.58,0.04
1.104e-04,0.56,0.016
1.108e-04,0.6,0.008
1.112e-04,0.58,0.016
1.116e-04,0.6,0.024
1.120e-04,0.58,0
1.124e-04,0.58,0.032
1.128e-04,0.6,0
1.132e-04,0.6,0.04
1.136e-04,0.6,0.048
1.140e-04,0.62,0.016
1.144e-04,0.64,0.032
1.148e-04,0.6,0.064
1.152e-04,0.6,0.056
1.156e-04,0.58,0.04
1.160e-04,0.58,0.024
1.164e-04,0.64,0.048
1.168e-04,0.58,0.032
1.172e-04,0.62,0.008
1.176e-04,0.62,0.04
1.180e-04,0.58,0.024
1.184e-04,0.6,0.024
1.188e-04,0.6,0.016
1.192e-04,0.6,0.008
1.196e-04,0.62,0.008
1.200e-04,0.58,0.04
1.204e-04,0.58,0.04
1.208e-04,0.56,0.008
1.212e-04,0.62,0.016
1.216e-04,0.6,0.008
1.220e-04,0.6,0.024
1.224e-04,0.62,0.032
1.228e-04,0.58,0.032
1.232e-04,0.64,0.04
1.236e-04,0.62,0.032
1.240e-04,0.62,0.024
1.244e-04,0.64,0.04
1.248e-04,0.62,0.048
1.252e-04,0.64,0.016
1.256e-04,0.6,0.024
1.260e-04,0.6,0.04
1.264e-04,0.62,0.032
1.268e-04,0.62,0.032
1.272e-04,0.58,0.048
1.276e-04,0.6,0.056
1.280e-04,0.6,0.024
1.284e-04,0.58,0.032
1.288e-04,0.66,0.112
1.292e-04,0.62,0.016
1.296e-04,0.58,0.024
1.300e-04,0.6,0.024
1.304e-04,0.62,0.024
1.308e-04,0.62,0
1.312e-04,0.62,0.016
1.316e-04,0.62,0.016
1.320e-04,0.62,0.008
1.324e-04,0.62,0.024
1.328e-04,0.64,0.008
1.332e-04,0.58,0.024
1.336e-04,0.6,0.024
1.340e-04,0.62,0.04
1.344e-04,0.58,0.04
1.348e-04,0.64,0.032
1.352e-04,0.6,0.032
1.356e-04,0.58,0.024
1.360e-04,0.6,0.04
1.364e-04,0.62,0.032
1.368e-04,0.58,0.024
1.372e-04,0.62,0.048
1.376e-04,0.6,0.04
1.380e-04,0.6,0.04
1.384e-04,0.6,0.04
1.388e-04,0.62,0.024
1.392e-04,0.58,0.016
1.396e-04,0.62,0.008
1.400e-04,0.6,0.016
1.404e-04,0.58,0.032
1.408e-04,0.62,0.024
1.412e-04,0.58,0.016
1.416e-04,0.58,0.016
1.420e-04,0.6,0.032
1.424e-04,0.6,0.024
1.428e-04,0.62,0.008
1.432e-04,0.62,0.032
1.436e-04,0.6,0.04
1.440e-04,0.6,0.032
1.444e-04,0.62,0.024
1.448e-04,0.58,0
1.452e-04,0.6,0.024
1.456e-04,0.62,0.048
1.460e-04,0.58,0.056
1.464e-04,0.64,0.056
1.468e-04,0.58,0.024
