Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-06
Sample Interval,4e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
-8.160e-06,0.296
-8.120e-06,0.296
-8.080e-06,0.312
-8.040e-06,0.304
-8.000e-06,0.304
-7.960e-06,0.304
-7.920e-06,0.32
-7.880e-06,0.288
-7.840e-06,0.312
-7.800e-06,0.312
-7.760e-06,0.296
-7.720e-06,0.304
-7.680e-06,0.32
-7.640e-06,0.304
-7.600e-06,0.32
-7.560e-06,0.32
-7.520e-06,0.312
-7.480e-06,0.312
-7.440e-06,0.312
-7.400e-06,0.312
-7.360e-06,0.328
-7.320e-06,0.312
-7.280e-06,0.312
-7.240e-06,0.296
-7.200e-06,0.304
-7.160e-06,0.312
-7.120e-06,0.312
-7.080e-06,0.296
-7.040e-06,0.312
-7.000e-06,0.32
-6.960e-06,0.32
-6.920e-06,0.312
-6.880e-06,0.312
-6.840e-06,0.32
-6.800e-06,0.304
-6.760e-06,0.304
-6.720e-06,0.32
-6.680e-06,0.296
-6.640e-06,0.312
-6.600e-06,0.304
-6.560e-06,0.296
-6.520e-06,0.296
-6.480e-06,0.32
-6.440e-06,0.312
-6.400e-06,0.304
-6.360e-06,0.312
-6.320e-06,0.304
-6.280e-06,0.296
-6.240e-06,0.296
-6.200e-06,0.312
-6.160e-06,0.296
-6.120e-06,0.312
-6.080e-06,0.32
-6.040e-06,0.304
-6.000e-06,0.32
-5.960e-06,0.288
-5.920e-06,0.304
-5.880e-06,0.304
-5.840e-06,0.32
-5.800e-06,0.32
-5.760e-06,0.32
-5.720e-06,0.312
-5.680e-06,0.312
-5.640e-06,0.312
-5.600e-06,0.296
-5.560e-06,0.312
-5.520e-06,0.328
-5.480e-06,0.32
-5.440e-06,0.32
-5.400e-06,0.32
-5.360e-06,0.304
-5.320e-06,0.312
-5.280e-06,0.304
-5.240e-06,0.288
-5.200e-06,0.32
-5.160e-06,0.312
-5.120e-06,0.312
-5.080e-06,0.304
-5.040e-06,0.312
-5.000e-06,0.304
-4.960e-06,0.312
-4.920e-06,0.304
-4.880e-06,0.312
-4.840e-06,0.328
-4.800e-06,0.296
-4.760e-06,0.296
-4.720e-06,0.304
-4.680e-06,0.312
-4.640e-06,0.312
-4.600e-06,0.28
-4.560e-06,0.304
-4.520e-06,0.352
-4.480e-06,0.312
-4.440e-06,0.352
-4.400e-06,0.328
-4.360e-06,0.352
-4.320e-06,0.352
-4.280e-06,0.36
-4.240e-06,0.384
-4.200e-06,0.352
-4.160e-06,0.352
-4.120e-06,0.352
-4.080e-06,0.392
-4.040e-06,0.4
-4.000e-06,0.392
-3.960e-06,0.408
-3.920e-06,0.416
-3.880e-06,0.4
-3.840e-06,0.4
-3.800e-06,0.368
-3.760e-06,0.408
-3.720e-06,0.392
-3.680e-06,0.408
-3.640e-06,0.432
-3.600e-06,0.44
-3.560e-06,0.44
-3.520e-06,0.44
-3.480e-06,0.44
-3.440e-06,0.44
-3.400e-06,0.432
-3.360e-06,0.448
-3.320e-06,0.48
-3.280e-06,0.488
-3.240e-06,0.472
-3.200e-06,0.496
-3.160e-06,0.488
-3.120e-06,0.496
-3.080e-06,0.472
-3.040e-06,0.472
-3.000e-06,0.48
-2.960e-06,0.504
-2.920e-06,0.536
-2.880e-06,0.52
-2.840e-06,0.544
-2.800e-06,0.552
-2.760e-06,0.528
-2.720e-06,0.52
-2.680e-06,0.528
-2.640e-06,0.552
-2.600e-06,0.56
-2.560e-06,0.552
-2.520e-06,0.584
-2.480e-06,0.568
-2.440e-06,0.584
-2.400e-06,0.584
-2.360e-06,0.552
-2.320e-06,0.592
-2.280e-06,0.576
-2.240e-06,0.592
-2.200e-06,0.624
-2.160e-06,0.64
-2.120e-06,0.624
-2.080e-06,0.6
-2.040e-06,0.624
-2.000e-06,0.624
-1.960e-06,0.616
-1.920e-06,0.616
-1.880e-06,0.632
-1.840e-06,0.664
-1.800e-06,0.656
-1.760e-06,0.648
-1.720e-06,0.664
-1.680e-06,0.664
-1.640e-06,0.656
-1.600e-06,0.656
-1.560e-06,0.672
-1.520e-06,0.664
-1.480e-06,0.704
-1.440e-06,0.704
-1.400e-06,0.696
-1.360e-06,0.696
-1.320e-06,0.704
-1.280e-06,0.704
-1.240e-06,0.712
-1.200e-06,0.72
-1.160e-06,0.704
-1.120e-06,0.72
-1.080e-06,0.736
-1.040e-06,0.736
-1.000e-06,0.76
-9.600e-07,0.744
-9.200e-07,0.736
-8.800e-07,0.744
-8.400e-07,0.768
-8.000e-07,0.768
-7.600e-07,0.784
-7.200e-07,0.808
