Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Label,,
TIME,CH1,CH2
-1.300e-06,2.08,0.58
-1.290e-06,2,0.58
-1.280e-06,2,0.56
-1.270e-06,2,0.58
-1.260e-06,2,0.52
-1.250e-06,2,0.56
-1.240e-06,2,0.56
-1.230e-06,2,0.54
-1.220e-06,2.08,0.54
-1.210e-06,2.08,0.54
-1.200e-06,2,0.54
-1.190e-06,2,0.54
-1.180e-06,1.92,0.54
-1.170e-06,1.92,0.56
-1.160e-06,2.08,0.54
-1.150e-06,2,0.56
-1.140e-06,2.16,0.56
-1.130e-06,2.08,0.58
-1.120e-06,1.92,0.54
-1.110e-06,2,0.54
-1.100e-06,1.92,0.54
-1.090e-06,1.92,0.58
-1.080e-06,2,0.54
-1.070e-06,2.08,0.52
-1.060e-06,1.84,0.54
-1.050e-06,2,0.56
-1.040e-06,2,0.54
-1.030e-06,2.16,0.54
-1.020e-06,1.92,0.58
-1.010e-06,2.08,0.54
-1.000e-06,2.08,0.58
-9.900e-07,2,0.54
-9.800e-07,2.08,0.52
-9.700e-07,2.08,0.56
-9.600e-07,1.92,0.58
-9.500e-07,1.84,0.54
-9.400e-07,2,0.56
-9.300e-07,2,0.56
-9.200e-07,2.16,0.58
-9.100e-07,2,0.56
-9.000e-07,2.08,0.56
-8.900e-07,2,0.58
-8.800e-07,2.24,0.56
-8.700e-07,2,0.54
-8.600e-07,2.16,0.52
-8.500e-07,2,0.54
-8.400e-07,2.08,0.54
-8.300e-07,1.84,0.54
-8.200e-07,1.92,0.52
-8.100e-07,2.08,0.52
-8.000e-07,2.08,0.54
-7.900e-07,2.08,0.52
-7.800e-07,2,0.56
-7.700e-07,1.92,0.54
-7.600e-07,2,0.54
-7.500e-07,2,0.48
-7.400e-07,2,0.52
-7.300e-07,1.92,0.54
-7.200e-07,2,0.54
-7.100e-07,2,0.54
-7.000e-07,1.92,0.56
-6.900e-07,2,0.54
-6.800e-07,2.08,0.56
-6.700e-07,2.4,0.56
-6.600e-07,2.4,0.6
-6.500e-07,2.32,0.64
-6.400e-07,2.32,0.72
-6.300e-07,2.4,0.74
-6.200e-07,2.56,0.72
-6.100e-07,2.64,0.74
-6.000e-07,3.04,0.7
-5.900e-07,2.88,0.7
-5.800e-07,2.72,0.84
-5.700e-07,2.8,0.86
-5.600e-07,3.12,0.86
-5.500e-07,3.2,0.9
-5.400e-07,3.36,0.9
-5.300e-07,3.36,0.88
-5.200e-07,3.36,1
-5.100e-07,3.44,0.98
-5.000e-07,3.44,0.98
-4.900e-07,3.52,1.04
-4.800e-07,3.6,0.96
-4.700e-07,3.84,0.96
-4.600e-07,3.92,1.02
-4.500e-07,3.84,1.04
-4.400e-07,3.76,1.18
-4.300e-07,4,1.26
-4.200e-07,3.92,1.22
-4.100e-07,4.24,1.22
-4.000e-07,4.48,1.16
-3.900e-07,4.24,1.16
-3.800e-07,4.32,1.26
-3.700e-07,4.4,1.32
-3.600e-07,4.48,1.34
-3.500e-07,4.64,1.36
-3.400e-07,4.88,1.4
-3.300e-07,4.88,1.38
-3.200e-07,4.96,1.48
-3.100e-07,4.96,1.44
-3.000e-07,4.88,1.44
-2.900e-07,4.88,1.48
-2.800e-07,5.12,1.44
-2.700e-07,5.36,1.4
-2.600e-07,5.52,1.48
-2.500e-07,5.36,1.52
-2.400e-07,5.36,1.62
-2.300e-07,5.52,1.68
-2.200e-07,5.52,1.62
-2.100e-07,5.68,1.62
-2.000e-07,5.76,1.6
-1.900e-07,5.92,1.6
-1.800e-07,5.92,1.72
-1.700e-07,5.92,1.76
-1.600e-07,5.84,1.76
-1.500e-07,6.08,1.8
-1.400e-07,6.32,1.82
-1.300e-07,6.24,1.76
-1.200e-07,6.32,1.88
-1.100e-07,6.4,1.84
-1.000e-07,6.32,1.84
-9.000e-08,6.4,1.9
-8.000e-08,6.48,1.86
-7.000e-08,6.64,1.84
-6.000e-08,6.8,1.94
-5.000e-08,6.96,1.94
-4.000e-08,6.8,2.04
-3.000e-08,6.88,2.12
-2.000e-08,6.96,2.08
-1.000e-08,7.28,2.08
-2.091e-20,7.36,2.08
1.000e-08,7.28,2.08
2.000e-08,7.28,2.14
3.000e-08,7.36,2.2
4.000e-08,7.44,2.18
5.000e-08,7.36,2.24
6.000e-08,7.44,2.14
7.000e-08,7.76,2.12
8.000e-08,7.84,2.18
9.000e-08,7.84,2.22
1.000e-07,7.76,2.32
1.100e-07,7.76,2.4
1.200e-07,8,2.38
1.300e-07,8.24,2.36
1.400e-07,8.48,2.32
1.500e-07,8.4,2.32
1.600e-07,8.32,2.42
1.700e-07,8.32,2.48
1.800e-07,8.48,2.44
1.900e-07,8.64,2.52
2.000e-07,8.72,2.56
2.100e-07,8.8,2.52
2.200e-07,8.72,2.6
2.300e-07,8.72,2.64
2.400e-07,8.88,2.6
2.500e-07,8.88,2.62
2.600e-07,8.96,2.56
2.700e-07,9.12,2.54
2.800e-07,9.2,2.64
2.900e-07,9.12,2.66
3.000e-07,9.2,2.78
3.100e-07,9.44,2.86
3.200e-07,9.36,2.78
3.300e-07,9.76,2.8
3.400e-07,9.92,2.76
3.500e-07,9.84,2.78
3.600e-07,9.76,2.88
3.700e-07,9.76,2.92
3.800e-07,9.84,2.96
3.900e-07,9.84,2.92
4.000e-07,9.92,2.9
4.100e-07,9.92,2.8
4.200e-07,9.92,2.84
4.300e-07,9.92,2.8
4.400e-07,9.92,2.82
4.500e-07,9.84,2.88
4.600e-07,9.76,2.92
4.700e-07,10,2.9
4.800e-07,10,2.9
4.900e-07,9.92,2.88
5.000e-07,10,2.86
5.100e-07,9.84,2.92
5.200e-07,9.92,2.9
5.300e-07,9.92,2.92
5.400e-07,10.16,2.92
5.500e-07,10,2.94
5.600e-07,10,2.9
5.700e-07,10,2.88
5.800e-07,9.84,2.84
5.900e-07,9.92,2.84
6.000e-07,9.84,2.82
6.100e-07,9.92,2.86
6.200e-07,9.92,2.88
6.300e-07,9.84,2.9
6.400e-07,10,2.88
6.500e-07,9.92,2.84
6.600e-07,9.92,2.84
6.700e-07,10,2.82
6.800e-07,9.92,2.88
6.900e-07,9.92,2.86
7.000e-07,10,2.9
7.100e-07,10.08,2.9
7.200e-07,10,2.88
7.300e-07,10,2.9
7.400e-07,10,2.88
7.500e-07,10,2.86
7.600e-07,10,2.82
7.700e-07,9.84,2.82
7.800e-07,10,2.86
7.900e-07,9.84,2.86
8.000e-07,9.84,2.86
8.100e-07,10,2.86
8.200e-07,9.92,2.86
8.300e-07,10,2.84
8.400e-07,10,2.84
8.500e-07,9.84,2.86
8.600e-07,9.92,2.84
8.700e-07,10,2.88
8.800e-07,9.84,2.82
8.900e-07,9.92,2.86
9.000e-07,10,2.86
9.100e-07,9.92,2.88
9.200e-07,9.92,2.86
9.300e-07,9.92,2.84
9.400e-07,9.92,2.86
9.500e-07,9.92,2.82
9.600e-07,10,2.86
9.700e-07,10,2.84
9.800e-07,10.08,2.84
9.900e-07,9.92,2.8
1.000e-06,9.92,2.82
1.010e-06,9.84,2.82
1.020e-06,9.92,2.84
1.030e-06,9.92,2.8
1.040e-06,10,2.84
1.050e-06,9.92,2.8
1.060e-06,9.92,2.8
1.070e-06,9.84,2.84
1.080e-06,10.08,2.82
1.090e-06,9.92,2.84
1.100e-06,9.92,2.82
1.110e-06,10,2.84
1.120e-06,10,2.88
1.130e-06,10,2.84
1.140e-06,10,2.84
1.150e-06,9.92,2.86
1.160e-06,10,2.86
