Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,0.0002,,
Sample Interval,4e-10,,
Record Length,5e+06,,
Gating,49.9499800% to 50.0499800%,49.9499800% to 50.0499800%,49.9499800% to 50.0499800%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.05,0.05,0.05
Label,,,
TIME,CH1,CH2,CH3
-2.0160000e-07,0.146,0.1,0.058
-2.0120000e-07,0.142,0.096,0.06
-2.0080000e-07,0.14,0.098,0.058
-2.0040000e-07,0.14,0.096,0.058
-2.0000000e-07,0.138,0.096,0.06
-1.9960000e-07,0.138,0.098,0.058
-1.9920000e-07,0.138,0.102,0.058
-1.9880000e-07,0.134,0.102,0.058
-1.9840000e-07,0.138,0.1,0.058
-1.9800000e-07,0.138,0.102,0.062
-1.9760000e-07,0.138,0.1,0.064
-1.9720000e-07,0.138,0.106,0.062
-1.9680000e-07,0.14,0.106,0.062
-1.9640000e-07,0.142,0.108,0.068
-1.9600000e-07,0.142,0.11,0.064
-1.9560000e-07,0.144,0.112,0.062
-1.9520000e-07,0.146,0.11,0.066
-1.9480000e-07,0.144,0.108,0.066
-1.9440000e-07,0.144,0.108,0.064
-1.9400000e-07,0.15,0.11,0.06
-1.9360000e-07,0.15,0.106,0.064
-1.9320000e-07,0.15,0.104,0.066
-1.9280000e-07,0.148,0.104,0.062
-1.9240000e-07,0.144,0.1,0.062
-1.9200000e-07,0.144,0.1,0.062
-1.9160000e-07,0.144,0.096,0.062
-1.9120000e-07,0.142,0.096,0.062
-1.9080000e-07,0.14,0.096,0.058
-1.9040000e-07,0.14,0.096,0.06
-1.9000000e-07,0.138,0.094,0.06
-1.8960000e-07,0.138,0.094,0.06
-1.8920000e-07,0.138,0.096,0.064
-1.8880000e-07,0.136,0.1,0.064
-1.8840000e-07,0.134,0.102,0.064
-1.8800000e-07,0.138,0.102,0.066
-1.8760000e-07,0.142,0.106,0.064
-1.8720000e-07,0.142,0.108,0.062
-1.8680000e-07,0.142,0.112,0.064
-1.8640000e-07,0.14,0.112,0.064
-1.8600000e-07,0.138,0.114,0.068
-1.8560000e-07,0.144,0.116,0.068
-1.8520000e-07,0.142,0.116,0.07
-1.8480000e-07,0.144,0.118,0.07
-1.8440000e-07,0.146,0.116,0.066
-1.8400000e-07,0.148,0.112,0.066
-1.8360000e-07,0.148,0.108,0.068
-1.8320000e-07,0.146,0.104,0.068
-1.8280000e-07,0.146,0.104,0.064
-1.8240000e-07,0.144,0.104,0.064
-1.8200000e-07,0.144,0.098,0.064
-1.8160000e-07,0.146,0.096,0.064
-1.8120000e-07,0.142,0.096,0.064
-1.8080000e-07,0.14,0.1,0.064
-1.8040000e-07,0.14,0.1,0.064
-1.8000000e-07,0.142,0.096,0.062
-1.7960000e-07,0.138,0.1,0.064
-1.7920000e-07,0.138,0.102,0.064
-1.7880000e-07,0.138,0.1,0.064
-1.7840000e-07,0.14,0.102,0.064
-1.7800000e-07,0.14,0.108,0.064
-1.7760000e-07,0.14,0.106,0.064
-1.7720000e-07,0.14,0.11,0.064
-1.7680000e-07,0.144,0.116,0.064
-1.7640000e-07,0.142,0.112,0.064
-1.7600000e-07,0.144,0.118,0.064
-1.7560000e-07,0.146,0.118,0.068
-1.7520000e-07,0.146,0.12,0.064
-1.7480000e-07,0.146,0.116,0.064
-1.7440000e-07,0.146,0.118,0.068
-1.7400000e-07,0.146,0.116,0.064
-1.7360000e-07,0.146,0.116,0.064
-1.7320000e-07,0.146,0.11,0.068
-1.7280000e-07,0.146,0.106,0.066
-1.7240000e-07,0.142,0.108,0.068
-1.7200000e-07,0.144,0.104,0.066
-1.7160000e-07,0.142,0.102,0.062
-1.7120000e-07,0.14,0.1,0.062
-1.7080000e-07,0.14,0.102,0.062
-1.7040000e-07,0.138,0.1,0.062
-1.7000000e-07,0.136,0.098,0.062
-1.6960000e-07,0.136,0.102,0.06
-1.6920000e-07,0.136,0.104,0.06
-1.6880000e-07,0.136,0.104,0.06
-1.6840000e-07,0.14,0.106,0.06
-1.6800000e-07,0.14,0.11,0.064
-1.6760000e-07,0.142,0.112,0.062
-1.6720000e-07,0.144,0.114,0.06
-1.6680000e-07,0.14,0.116,0.06
-1.6640000e-07,0.144,0.116,0.06
-1.6600000e-07,0.146,0.118,0.062
-1.6560000e-07,0.144,0.118,0.064
-1.6520000e-07,0.144,0.114,0.066
-1.6480000e-07,0.144,0.114,0.068
-1.6440000e-07,0.144,0.116,0.064
-1.6400000e-07,0.144,0.114,0.062
-1.6360000e-07,0.146,0.108,0.064
-1.6320000e-07,0.144,0.11,0.066
-1.6280000e-07,0.14,0.108,0.064
-1.6240000e-07,0.14,0.106,0.062
-1.6200000e-07,0.138,0.108,0.06
-1.6160000e-07,0.14,0.104,0.06
-1.6120000e-07,0.14,0.1,0.058
-1.6080000e-07,0.14,0.1,0.06
-1.6040000e-07,0.14,0.102,0.062
