Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,0.0002,,
Sample Interval,4e-10,,
Record Length,5e+06,,
Gating,49.0% to 51.00%,49.0% to 51.00%,49.0% to 51.00%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.02,0.02,0.02
Label,,,
TIME,CH1,CH2,CH3
2.5285320e-04,0.0736,0.056,0.0352
2.5285360e-04,0.0728,0.056,0.0352
2.5285400e-04,0.0712,0.0552,0.0336
2.5285440e-04,0.0704,0.0552,0.0352
2.5285480e-04,0.0688,0.0528,0.0352
2.5285520e-04,0.068,0.0528,0.036
2.5285560e-04,0.068,0.0512,0.0352
2.5285600e-04,0.0664,0.0504,0.0352
2.5285640e-04,0.0656,0.0512,0.0344
2.5285680e-04,0.0648,0.0528,0.0336
2.5285720e-04,0.0656,0.052,0.0336
2.5285760e-04,0.0688,0.0536,0.0336
2.5285800e-04,0.0672,0.0544,0.0328
2.5285840e-04,0.0688,0.0552,0.0336
2.5285880e-04,0.072,0.056,0.032
2.5285920e-04,0.0728,0.0568,0.0312
2.5285960e-04,0.0744,0.0552,0.032
2.5286000e-04,0.0768,0.0552,0.032
2.5286040e-04,0.0776,0.0552,0.032
2.5286080e-04,0.0768,0.056,0.032
2.5286120e-04,0.076,0.056,0.0336
2.5286160e-04,0.076,0.0568,0.0328
2.5286200e-04,0.0736,0.0568,0.0328
2.5286240e-04,0.0744,0.0576,0.0336
2.5286280e-04,0.072,0.0576,0.0328
2.5286320e-04,0.072,0.0576,0.0352
2.5286360e-04,0.0696,0.056,0.036
2.5286400e-04,0.0688,0.0552,0.0368
2.5286440e-04,0.0672,0.0552,0.0352
2.5286480e-04,0.0664,0.0552,0.036
2.5286520e-04,0.064,0.0536,0.0344
2.5286560e-04,0.064,0.0536,0.0344
2.5286600e-04,0.0632,0.0536,0.0344
2.5286640e-04,0.0632,0.0536,0.0344
2.5286680e-04,0.0632,0.0552,0.0352
2.5286720e-04,0.0648,0.0568,0.0344
2.5286760e-04,0.0664,0.056,0.0336
2.5286800e-04,0.0664,0.0544,0.0336
2.5286840e-04,0.0696,0.0544,0.0336
2.5286880e-04,0.072,0.0552,0.032
2.5286920e-04,0.0744,0.0544,0.0304
2.5286960e-04,0.076,0.0544,0.0312
2.5287000e-04,0.0768,0.0536,0.0328
2.5287040e-04,0.076,0.0528,0.032
2.5287080e-04,0.076,0.0544,0.032
2.5287120e-04,0.0776,0.0536,0.032
2.5287160e-04,0.0768,0.0552,0.0328
2.5287200e-04,0.0752,0.056,0.032
2.5287240e-04,0.0736,0.056,0.0304
2.5287280e-04,0.0728,0.0552,0.0336
2.5287320e-04,0.0712,0.0552,0.0336
2.5287360e-04,0.0712,0.0536,0.0328
2.5287400e-04,0.0696,0.0544,0.0336
2.5287440e-04,0.0664,0.0552,0.0344
2.5287480e-04,0.0656,0.0544,0.0352
2.5287520e-04,0.0664,0.0544,0.0352
2.5287560e-04,0.0656,0.0552,0.0344
2.5287600e-04,0.0656,0.0552,0.0336
2.5287640e-04,0.0648,0.056,0.0352
2.5287680e-04,0.0664,0.0568,0.0344
2.5287720e-04,0.068,0.056,0.0336
2.5287760e-04,0.0696,0.0568,0.0336
2.5287800e-04,0.0712,0.0552,0.0336
2.5287840e-04,0.0736,0.0552,0.0336
2.5287880e-04,0.0752,0.0536,0.032
2.5287920e-04,0.0776,0.0552,0.0304
2.5287960e-04,0.0784,0.0536,0.0304
2.5288000e-04,0.0784,0.0536,0.032
2.5288040e-04,0.0792,0.0552,0.032
2.5288080e-04,0.0792,0.056,0.032
2.5288120e-04,0.0784,0.056,0.032
2.5288160e-04,0.0768,0.0552,0.0312
2.5288200e-04,0.076,0.0544,0.032
2.5288240e-04,0.0752,0.0552,0.032
2.5288280e-04,0.0736,0.0528,0.0312
2.5288320e-04,0.0712,0.0536,0.032
2.5288360e-04,0.0688,0.0536,0.032
2.5288400e-04,0.0688,0.0544,0.032
2.5288440e-04,0.068,0.0536,0.0344
2.5288480e-04,0.0672,0.0544,0.032
2.5288520e-04,0.064,0.056,0.0312
2.5288560e-04,0.0648,0.0568,0.0328
2.5288600e-04,0.0656,0.0568,0.0328
2.5288640e-04,0.068,0.0576,0.032
2.5288680e-04,0.0704,0.0592,0.0336
2.5288720e-04,0.0728,0.0592,0.0328
2.5288760e-04,0.0728,0.0576,0.032
2.5288800e-04,0.0752,0.0552,0.0304
2.5288840e-04,0.0784,0.0544,0.0304
2.5288880e-04,0.08,0.0536,0.0312
2.5288920e-04,0.0808,0.0528,0.0296
2.5288960e-04,0.0824,0.0512,0.0296
2.5289000e-04,0.084,0.0512,0.0296
2.5289040e-04,0.0824,0.0496,0.0304
2.5289080e-04,0.0824,0.0504,0.0312
2.5289120e-04,0.0816,0.0488,0.0288
2.5289160e-04,0.0792,0.048,0.0304
2.5289200e-04,0.0768,0.0488,0.0296
2.5289240e-04,0.0744,0.0488,0.0296
2.5289280e-04,0.0728,0.0488,0.0312
2.5289320e-04,0.0696,0.048,0.0304
2.5289360e-04,0.0656,0.0488,0.0296
2.5289400e-04,0.064,0.0496,0.0304
2.5289440e-04,0.0648,0.0512,0.032
2.5289480e-04,0.064,0.052,0.0328
2.5289520e-04,0.0624,0.0536,0.0328
2.5289560e-04,0.0624,0.0552,0.0312
2.5289600e-04,0.064,0.056,0.0312
2.5289640e-04,0.0648,0.0552,0.032
2.5289680e-04,0.0664,0.0568,0.032
2.5289720e-04,0.0696,0.0552,0.0312
2.5289760e-04,0.0712,0.0536,0.0296
2.5289800e-04,0.0728,0.0528,0.0296
2.5289840e-04,0.0744,0.0528,0.0296
2.5289880e-04,0.0744,0.052,0.0296
2.5289920e-04,0.0744,0.0512,0.0288
2.5289960e-04,0.076,0.0504,0.0272
2.5290000e-04,0.076,0.0496,0.0272
