Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
9.327534E+0	290.000000E+0	290.460000E+0	NaN	48.000000E+0	33.841091E+0	1.910985E+0				
15.031860E+0	290.000000E+0	290.460000E+0	NaN	48.000000E+0	33.869533E+0	1.895445E+0				
21.223214E+0	290.000000E+0	290.460000E+0	NaN	47.000000E+0	33.815785E+0	1.995402E+0				
26.939541E+0	290.000000E+0	290.570000E+0	NaN	49.000000E+0	33.842809E+0	1.968753E+0				
32.610866E+0	290.000000E+0	290.570000E+0	NaN	46.000000E+0	33.653589E+0	1.924410E+0				
38.288190E+0	290.000000E+0	290.570000E+0	NaN	45.000000E+0	33.826889E+0	1.941164E+0				
44.031519E+0	290.000000E+0	290.680000E+0	NaN	46.000000E+0	33.742459E+0	2.048779E+0				
49.751846E+0	290.000000E+0	290.680000E+0	377.946413E-3	45.000000E+0	33.713372E+0	2.017036E+0				
55.941200E+0	290.000000E+0	290.680000E+0	385.825185E-3	45.000000E+0	33.766137E+0	2.033935E+0				
61.631526E+0	290.000000E+0	290.680000E+0	384.544324E-3	45.000000E+0	33.723900E+0	1.979457E+0				
67.315851E+0	290.000000E+0	290.800000E+0	384.544324E-3	45.000000E+0	33.731058E+0	2.001880E+0				
73.525206E+0	290.000000E+0	290.800000E+0	191.910862E-3	46.000000E+0	33.837972E+0	2.008309E+0				
79.219532E+0	290.000000E+0	290.800000E+0	210.995485E-3	45.000000E+0	33.707455E+0	1.944522E+0				
84.915857E+0	290.000000E+0	290.800000E+0	412.783324E-3	44.000000E+0	33.846931E+0	2.026195E+0				
90.593182E+0	290.000000E+0	290.800000E+0	412.783324E-3	45.000000E+0	33.910947E+0	2.039236E+0				
96.773535E+0	290.000000E+0	290.800000E+0	201.787839E-3	44.000000E+0	33.797943E+0	1.983289E+0				
102.456861E+0	290.000000E+0	290.910000E+0	0.000000E+0	44.000000E+0	33.638753E+0	1.937185E+0				
108.129185E+0	290.000000E+0	290.910000E+0	0.000000E+0	43.000000E+0	33.837972E+0	1.956994E+0				
113.801509E+0	290.000000E+0	290.910000E+0	185.439955E-3	44.000000E+0	33.744302E+0	2.021946E+0				
119.465833E+0	290.000000E+0	290.910000E+0	379.176122E-3	43.000000E+0	33.755533E+0	1.898623E+0				
125.135158E+0	290.000000E+0	290.910000E+0	379.176122E-3	45.000000E+0	33.800223E+0	1.987375E+0				
130.808482E+0	290.000000E+0	290.910000E+0	193.736167E-3	43.000000E+0	33.704699E+0	2.006643E+0				
136.484807E+0	290.000000E+0	290.910000E+0	0.000000E+0	43.000000E+0	33.708169E+0	1.918653E+0				
142.168132E+0	290.000000E+0	290.910000E+0	0.000000E+0	44.000000E+0	33.689703E+0	1.957131E+0				
