Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
2621.9101562,327.0000000,326.9490000,23.9790000,2.1062207,0.2568562,2.5000000,0.1000510,0.0001077,NaN,928.7458112,NaN
2623.0810547,327.0000000,326.9630000,23.9890000,6.3443478,0.1027425,2.5000000,0.1000630,0.0001080,NaN,926.6379590,NaN
2624.2470703,327.0000000,326.9650000,23.8870000,1.3847078,0.3846411,2.5000000,0.1000480,0.0001078,NaN,927.7792203,NaN
2625.4130859,327.0000000,326.9650000,23.8960000,-2.3620894,0.4107982,2.5000000,0.1000620,0.0001080,NaN,926.3284577,NaN
2626.5898437,327.0000000,326.9740000,23.9520000,-2.3927638,0.0514573,2.5000000,0.1000300,0.0001078,NaN,927.6983288,NaN
2627.7568359,327.0000000,326.9860000,23.8220000,1.6646936,0.2304960,2.0000000,0.1000310,0.0001079,NaN,926.8050884,NaN
2628.9785156,327.0000000,326.9770000,23.7010000,-1.8944000,0.5376000,2.5000000,0.1000530,0.0001077,NaN,928.7816199,NaN
2630.1562500,327.0000000,326.9760000,23.6790000,-6.3047588,0.0753557,2.5000000,0.1000510,0.0001080,NaN,926.3381077,NaN
2631.3076172,327.0000000,326.9770000,23.8450000,-3.5758730,-0.2500611,2.5000000,0.1000270,0.0001078,NaN,927.7737585,NaN
2632.4755859,327.0000000,326.9910000,23.7510000,3.7095849,0.0000000,2.0000000,0.1000360,0.0001079,NaN,927.4959205,NaN
2633.6572266,327.0000000,326.9830000,23.7870000,1.8626021,0.3880421,2.5000000,0.1000140,0.0001079,NaN,927.2317662,NaN
2634.8300781,327.0000000,326.9710000,23.8570000,-1.4810973,0.1532170,2.5000000,0.1000130,0.0001079,NaN,927.1967070,NaN
2636.0029297,327.0000000,326.9650000,23.8930000,2.7012194,-0.5096640,2.5000000,0.1000090,0.0001078,NaN,927.4777657,NaN
2637.1708984,327.0000000,326.9650000,23.7520000,2.7113405,-0.4604163,2.5000000,0.1000340,0.0001078,NaN,927.5891806,NaN
2638.3447266,327.0000000,326.9600000,23.8160000,-2.6913642,-0.1537922,2.5000000,0.1000270,0.0001078,NaN,927.9975507,NaN
2639.5126953,327.0000000,326.9660000,23.6880000,-1.9728440,-0.1281068,2.5000000,0.1000340,0.0001080,NaN,926.4809395,NaN
2640.6767578,327.0000000,326.9690000,23.7760000,-1.6397665,0.0256214,2.5000000,0.1000380,0.0001078,NaN,928.4182977,NaN
2641.8496094,327.0000000,326.9760000,23.8580000,-1.0291457,0.2315578,2.5000000,0.1000140,0.0001078,NaN,927.6703892,NaN
2643.0546875,327.0000000,326.9860000,23.8550000,4.3647305,0.2567489,2.5000000,0.1000270,0.0001078,NaN,928.2042240,NaN
2644.2236328,327.0000000,326.9850000,23.9230000,1.9933306,0.4289446,2.5000000,0.1000640,0.0001080,NaN,926.3212464,NaN
2645.3935547,327.0000000,326.9770000,23.7790000,1.6427807,0.2274619,2.5000000,0.1000500,0.0001081,NaN,925.4035055,NaN
2646.5664062,327.0000000,326.9930000,23.6680000,-1.9496618,-0.2308810,2.5000000,0.1000250,0.0001079,NaN,926.5949661,NaN
2647.7363281,327.0000000,327.0020000,23.7810000,-6.5307211,0.2048854,2.0000000,0.1000560,0.0001080,NaN,926.3157895,NaN
2648.9072266,327.0000000,327.0070000,23.8290000,0.0512213,0.6402668,2.0000000,0.1000330,0.0001079,NaN,927.4509077,NaN
2650.0761719,327.0000000,327.0110000,23.9220000,4.1267584,0.3588486,2.0000000,0.1000490,0.0001077,NaN,929.0981019,NaN
2651.2460937,327.0000000,327.0070000,23.7810000,3.6156260,0.2307846,2.0000000,0.1000310,0.0001078,NaN,928.1982759,NaN
2652.4140625,327.0000000,327.0010000,23.7660000,-1.2313653,0.0000000,2.5000000,0.1000460,0.0001078,NaN,927.6574438,NaN
2653.5908203,327.0000000,326.9950000,23.8110000,-4.0036090,-0.2566416,2.5000000,0.1000500,0.0001079,NaN,927.1615235,NaN
2654.7597656,327.0000000,326.9940000,23.8830000,0.7676801,-0.3070721,2.5000000,0.1000480,0.0001080,NaN,926.0959716,NaN
2655.9287109,327.0000000,327.0120000,23.9640000,2.9927061,-0.1790508,2.0000000,0.1000230,0.0001079,NaN,926.7137947,NaN
2657.0957031,327.0000000,327.0230000,23.8070000,3.9266165,0.4362907,2.0000000,0.1000320,0.0001078,NaN,928.2247812,NaN
2658.2636719,327.0000000,327.0280000,23.9070000,-1.9521070,0.7448829,2.0000000,0.1000390,0.0001078,NaN,928.1949934,NaN
2659.4345703,327.0000000,327.0200000,23.9690000,-1.4646926,0.4111418,2.0000000,0.1000410,0.0001078,NaN,927.8691870,NaN
2660.6015625,327.0000000,327.0320000,24.0000000,4.1558580,-0.0769603,2.0000000,0.1000610,0.0001079,NaN,927.3837770,NaN
2661.7783203,327.0000000,327.0410000,24.0510000,2.3867669,0.1026566,2.0000000,0.1000280,0.0001080,NaN,926.1337333,NaN
2662.9492187,327.0000000,327.0470000,24.0660000,2.0992000,0.5376000,2.0000000,0.1000690,0.0001079,NaN,927.0712704,NaN
2664.1171875,327.0000000,327.0490000,24.0920000,1.6867887,0.3833611,2.0000000,0.1000590,0.0001080,NaN,926.7553975,NaN
2665.2841797,327.0000000,327.0320000,24.1560000,1.0517912,0.2052276,2.0000000,0.1000310,0.0001080,NaN,925.8272016,NaN
2666.4619141,327.0000000,327.0180000,23.9550000,2.3126725,-0.3854454,2.5000000,0.1000590,0.0001079,NaN,926.9614519,NaN
2667.6308594,327.0000000,327.0130000,23.9410000,-3.5057393,-0.7932695,2.5000000,0.1000350,0.0001079,NaN,926.9452089,NaN
2668.8310547,327.0000000,327.0240000,23.9340000,-5.4971286,-0.4857928,2.5000000,0.1000430,0.0001079,NaN,927.1224295,NaN
2670.0009766,327.0000000,327.0100000,23.9190000,-0.5318384,0.1519538,2.5000000,0.1000390,0.0001077,NaN,928.6947642,NaN
2671.1689453,327.0000000,326.9960000,23.8380000,-0.5569345,-0.0759456,2.5000000,0.1000570,0.0001080,NaN,926.7883773,NaN
2672.3427734,327.0000000,326.9990000,23.9000000,-2.4637594,-0.7185965,2.5000000,0.1000200,0.0001079,NaN,926.9092830,NaN
2673.5097656,327.0000000,327.0180000,23.9150000,-0.4868057,-0.2818349,2.5000000,0.1000340,0.0001080,NaN,926.2922014,NaN
2674.6777344,327.0000000,327.0320000,23.9170000,1.9736671,0.5639049,2.0000000,0.1000520,0.0001079,NaN,927.1886497,NaN
2675.8457031,327.0000000,327.0400000,23.9270000,0.4368381,0.8479799,2.0000000,0.1000530,0.0001081,NaN,925.5853539,NaN
2677.0156250,327.0000000,327.0370000,23.8960000,0.3082274,0.5650836,2.0000000,0.1000340,0.0001078,NaN,928.1658254,NaN
2678.1855469,327.0000000,327.0330000,23.9040000,-0.5389474,0.1283208,2.0000000,0.1000320,0.0001079,NaN,927.3040770,NaN
2679.3535156,327.0000000,327.0260000,23.9570000,-0.5897830,-0.1794992,2.5000000,0.1000530,0.0001079,NaN,926.8457619,NaN
2680.5302734,327.0000000,327.0220000,23.9220000,1.5655138,-0.2823058,2.5000000,0.1000170,0.0001079,NaN,927.0704917,NaN
2681.7001953,327.0000000,327.0160000,23.9630000,0.4606081,-0.2814827,2.5000000,0.1000410,0.0001081,NaN,925.4486586,NaN
2682.8691406,327.0000000,327.0180000,23.8160000,0.1534082,-0.2556804,2.5000000,0.1000360,0.0001081,NaN,925.7021237,NaN
2684.0361328,327.0000000,327.0320000,23.8190000,-2.7192651,-0.1026138,2.0000000,0.1000430,0.0001080,NaN,926.0496890,NaN
2685.2060547,327.0000000,327.0420000,23.8280000,-3.6987291,0.4109699,2.0000000,0.1000710,0.0001082,NaN,924.5373664,NaN
2686.3740234,327.0000000,327.0550000,23.9610000,0.3080986,0.6161972,2.0000000,0.1000300,0.0001081,NaN,924.9960699,NaN
2687.5400391,327.0000000,327.0680000,24.0000000,3.6443108,0.5902757,2.0000000,0.1000360,0.0001081,NaN,925.5308322,NaN
2688.7177734,327.0000000,327.0750000,23.9010000,4.4216234,0.6683849,1.5000000,0.1000330,0.0001080,NaN,926.2743646,NaN
2689.8876953,327.0000000,327.0660000,24.0010000,-1.5360000,0.5120000,2.0000000,0.1000640,0.0001081,NaN,925.7470626,NaN
2691.0585937,327.0000000,327.0630000,24.0110000,0.0255574,-0.0511148,2.0000000,0.1000550,0.0001079,NaN,927.0704001,NaN
2692.2294922,327.0000000,327.0670000,23.8830000,2.8195244,-0.3075845,2.0000000,0.1000250,0.0001081,NaN,925.5746382,NaN
2693.4062500,327.0000000,327.0570000,23.8550000,-3.0233194,0.0256214,2.0000000,0.1000440,0.0001082,NaN,925.0057787,NaN
2694.6035156,327.0000000,327.0640000,23.8820000,-3.9869551,-0.1533444,2.0000000,0.1000510,0.0001081,NaN,925.2929371,NaN
2695.7773437,327.0000000,327.0660000,23.9540000,-0.0252735,-0.0758206,2.0000000,0.1000570,0.0001080,NaN,926.3936597,NaN
2696.9433594,327.0000000,327.0620000,24.0070000,2.5051730,0.2277430,2.0000000,0.1000260,0.0001081,NaN,925.2071925,NaN
2698.1113281,327.0000000,327.0600000,23.9900000,3.2053422,-0.0512855,2.0000000,0.1000510,0.0001082,NaN,924.7883314,NaN
2699.2812500,327.0000000,327.0710000,23.9120000,0.9254561,-0.1542427,2.0000000,0.1000320,0.0001083,NaN,923.9977831,NaN
2700.4511719,327.0000000,327.0780000,23.9950000,-2.4380952,0.2309774,2.0000000,0.1000440,0.0001082,NaN,924.8689575,NaN
2701.6083984,327.0000000,327.0870000,23.8880000,0.1282137,0.4615693,2.0000000,0.1000410,0.0001081,NaN,925.2860274,NaN
2702.7880859,327.0000000,327.0850000,23.9340000,-0.6187830,0.4125220,2.0000000,0.1000390,0.0001082,NaN,924.4979623,NaN
2703.9609375,327.0000000,327.0820000,23.9910000,-1.5661680,0.1797242,2.0000000,0.1000270,0.0001081,NaN,925.1223144,NaN
2705.2070312,327.0000000,327.0790000,23.8560000,2.6269489,-0.1275218,2.0000000,0.1000400,0.0001081,NaN,925.2083198,NaN
2706.3730469,327.0000000,327.0760000,24.0180000,-1.9347275,-0.1488252,2.0000000,0.1000390,0.0001081,NaN,925.4387182,NaN
2707.5361328,327.0000000,327.0680000,23.9750000,0.6716113,-0.1492470,2.0000000,0.1000220,0.0001082,NaN,924.7681654,NaN
2708.7031250,327.0000000,327.0630000,23.9000000,3.0655597,-0.2833711,2.0000000,0.1000540,0.0001080,NaN,926.7691738,NaN
2709.8710937,327.0000000,327.0560000,23.8900000,-3.0385247,-0.3347527,2.5000000,0.1000440,0.0001081,NaN,925.2709852,NaN
2711.0390625,327.0000000,327.0430000,23.9010000,-2.1841907,-0.3083563,2.5000000,0.1000580,0.0001082,NaN,924.9556279,NaN
2712.2138672,327.0000000,327.0470000,23.8610000,0.0256856,-0.5137124,2.5000000,0.1000410,0.0001083,NaN,923.9699648,NaN
2713.3808594,327.0000000,327.0460000,23.9070000,-0.7427095,-0.2304960,2.5000000,0.1000490,0.0001079,NaN,927.3499124,NaN
2714.5507812,327.0000000,327.0440000,23.9690000,0.1537281,0.0768641,2.5000000,0.1000420,0.0001079,NaN,926.8211338,NaN
2715.7167969,327.0000000,327.0070000,23.9950000,2.7728876,-0.0770247,3.0000000,0.1000260,0.0001079,NaN,926.6986603,NaN
2716.8701172,327.0000000,326.9980000,24.0810000,2.2603344,-1.0017391,3.0000000,0.1000290,0.0001077,NaN,928.5760701,NaN
2718.0341797,327.0000000,326.9850000,24.0880000,2.8973811,-1.1899958,3.0000000,0.1000450,0.0001079,NaN,927.1495561,NaN
2719.2031250,327.0000000,326.9740000,24.0410000,2.4078887,-0.5696081,3.0000000,0.1000180,0.0001080,NaN,925.7582910,NaN
2720.4023437,327.0000000,326.9880000,23.9440000,-1.0287149,-0.6172290,3.0000000,0.1000310,0.0001080,NaN,926.2558452,NaN
2721.5712891,327.0000000,326.9820000,24.0120000,-3.6483959,0.0760082,3.0000000,0.1000380,0.0001079,NaN,927.3425044,NaN
2722.7412109,327.0000000,326.9790000,24.0960000,-0.7347464,0.2026887,3.0000000,0.1000630,0.0001079,NaN,927.1617064,NaN
2723.9121094,327.0000000,326.9640000,24.0140000,3.8993236,-0.2308810,3.0000000,0.1000340,0.0001077,NaN,928.4845785,NaN
2725.0800781,327.0000000,326.9490000,24.0210000,0.0512641,-0.4613767,3.0000000,0.1000450,0.0001081,NaN,925.6654854,NaN
2726.2480469,327.0000000,326.9450000,24.0580000,-1.9240084,-0.7696033,3.0000000,0.1000230,0.0001080,NaN,926.3018494,NaN
2727.4199219,327.0000000,326.9600000,23.9360000,1.1301672,-0.4880268,3.0000000,0.1000260,0.0001078,NaN,928.2121713,NaN
2728.5908203,327.0000000,326.9550000,23.8840000,-2.1796327,0.2820701,3.0000000,0.1000550,0.0001080,NaN,926.1607672,NaN
2729.7812500,327.0000000,326.9470000,23.8660000,-4.4562568,0.2561067,3.0000000,0.1000380,0.0001080,NaN,926.4750827,NaN
2730.9833984,327.0000000,326.9460000,23.9260000,-1.7786600,-0.3303226,3.0000000,0.1000520,0.0001078,NaN,927.8765453,NaN
2732.1582031,327.0000000,326.9420000,24.0190000,1.0532571,-0.2256980,3.0000000,0.1000430,0.0001078,NaN,928.0168455,NaN
2733.3291016,327.0000000,326.9290000,23.9330000,3.8620871,-0.1262120,3.0000000,0.1000370,0.0001079,NaN,927.2214962,NaN
2734.4990234,327.0000000,326.9270000,23.8370000,0.1790508,-0.4348376,3.0000000,0.1000220,0.0001077,NaN,928.8042418,NaN
2735.6718750,327.0000000,326.9310000,23.9580000,-4.6650313,-0.3844806,3.0000000,0.1000530,0.0001078,NaN,928.4024163,NaN
2736.8417969,327.0000000,326.9240000,23.8880000,0.6402668,0.0512213,3.0000000,0.1000780,0.0001079,NaN,927.5155469,NaN
2738.0654297,327.0000000,326.9080000,23.9430000,1.3061442,-0.0768320,3.0000000,0.1000520,0.0001078,NaN,928.4879081,NaN
2739.2363281,327.0000000,326.9100000,23.7850000,-0.3760098,-0.5765483,3.0000000,0.1000410,0.0001077,NaN,928.7995544,NaN
2740.4072266,327.0000000,326.9090000,23.8000000,-2.5808809,-0.3507993,3.0000000,0.1000420,0.0001079,NaN,927.1475307,NaN
2741.5761719,327.0000000,326.9100000,23.8200000,-3.6638532,0.0256214,3.0000000,0.1000580,0.0001078,NaN,928.4229670,NaN
2742.7294922,327.0000000,326.9210000,23.8310000,0.8974958,0.0000000,3.0000000,0.1000600,0.0001078,NaN,928.4673700,NaN
2743.9218750,327.0000000,326.9240000,23.8870000,0.8009420,0.3100421,2.5000000,0.1000410,0.0001079,NaN,927.3961047,NaN
2745.0917969,327.0000000,326.9040000,23.9010000,1.7137719,0.3581016,3.0000000,0.1000320,0.0001078,NaN,928.2764637,NaN
2746.2597656,327.0000000,326.9110000,23.7740000,1.7779248,-0.4317817,3.0000000,0.1000330,0.0001078,NaN,928.2771292,NaN
2747.4550781,327.0000000,326.9220000,23.8070000,-2.9000501,-0.3336341,2.5000000,0.1000540,0.0001078,NaN,928.0069748,NaN
2748.6230469,327.0000000,326.9200000,23.8110000,-2.3865124,0.4569917,3.0000000,0.1000390,0.0001077,NaN,928.6085584,NaN
2749.7929687,327.0000000,326.9190000,23.9060000,0.9393719,0.2284959,3.0000000,0.1000270,0.0001079,NaN,926.8882567,NaN
2750.9726562,327.0000000,326.9240000,23.8320000,2.5407519,-0.0769925,2.5000000,0.1000350,0.0001079,NaN,927.0740658,NaN
2752.1406250,327.0000000,326.9410000,23.9590000,0.5362594,0.1021446,2.5000000,0.1000450,0.0001079,NaN,927.0035118,NaN
2753.3095703,327.0000000,326.9590000,23.9570000,1.3545424,0.5622629,2.0000000,0.1000420,0.0001080,NaN,926.5121276,NaN
2754.4853516,327.0000000,326.9610000,23.9880000,3.2093606,0.8986210,2.5000000,0.1000550,0.0001081,NaN,925.7837078,NaN
2755.6533203,327.0000000,326.9690000,23.9430000,0.7420908,0.5117868,2.0000000,0.1000710,0.0001081,NaN,925.8032584,NaN
2756.8193359,327.0000000,326.9840000,23.9800000,-0.3584000,0.2560000,2.0000000,0.1000370,0.0001079,NaN,926.8692671,NaN
2757.9892578,327.0000000,326.9920000,23.9700000,-0.2056569,0.5912636,2.0000000,0.1000370,0.0001081,NaN,925.7456437,NaN
2759.1572266,327.0000000,326.9940000,23.8760000,0.6935117,0.5907692,2.0000000,0.1000510,0.0001078,NaN,928.2891074,NaN
2760.3271484,327.0000000,326.9950000,24.0010000,-2.6690727,0.2566416,2.0000000,0.1000340,0.0001079,NaN,926.6783388,NaN
2761.4970703,327.0000000,326.9870000,24.1570000,0.7955890,0.0769925,2.0000000,0.1000610,0.0001078,NaN,927.7965284,NaN
2762.6630859,327.0000000,326.9890000,23.8960000,7.2056093,-0.1794992,2.0000000,0.1000340,0.0001079,NaN,926.9015872,NaN
2763.8388672,327.0000000,326.9910000,23.7130000,-2.6969900,-0.1541137,2.5000000,0.1000680,0.0001080,NaN,926.9331950,NaN
2765.0087891,327.0000000,326.9840000,23.6040000,-11.3758799,0.1024854,2.5000000,0.1000380,0.0001079,NaN,927.4112805,NaN
2766.1796875,327.0000000,326.9920000,23.8160000,-7.4689759,-0.1278934,2.5000000,0.1000530,0.0001080,NaN,926.5367733,NaN
2767.3486328,327.0000000,327.0000000,23.9150000,2.6401001,0.0256320,2.0000000,0.1000470,0.0001080,NaN,926.3353796,NaN
2768.5234375,327.0000000,327.0170000,23.9180000,7.9748915,0.4102838,2.0000000,0.1000190,0.0001080,NaN,925.9046685,NaN
2769.6914062,327.0000000,327.0230000,23.9450000,2.6112000,0.6400000,2.0000000,0.1000310,0.0001082,NaN,924.8599271,NaN
2770.8583984,327.0000000,327.0380000,23.7480000,0.7683201,0.5890454,2.0000000,0.1000210,0.0001079,NaN,926.8927810,NaN
2772.0302734,327.0000000,327.0410000,23.6100000,-4.3683814,0.5396236,2.0000000,0.1000400,0.0001081,NaN,925.7562718,NaN
2773.2294922,327.0000000,327.0330000,23.8080000,-8.5939040,0.4617620,2.0000000,0.1000490,0.0001080,NaN,925.9766583,NaN
2774.4033203,327.0000000,327.0450000,23.7900000,1.5182867,-0.1265239,2.0000000,0.1000210,0.0001081,NaN,925.3749295,NaN
2775.5693359,327.0000000,327.0620000,23.7430000,4.5511111,0.1011358,1.5000000,0.1000180,0.0001081,NaN,924.9963007,NaN
2776.7382812,327.0000000,327.0590000,23.8720000,-1.6667780,0.7436394,2.0000000,0.1000280,0.0001080,NaN,925.9708401,NaN
2777.9072266,327.0000000,327.0510000,23.8820000,2.1071016,0.3597491,2.0000000,0.1000500,0.0001081,NaN,925.8573782,NaN
2779.0712891,327.0000000,327.0430000,23.8810000,3.5673183,-0.2823058,2.0000000,0.1000290,0.0001080,NaN,926.3316788,NaN
2780.2421875,327.0000000,327.0440000,23.9460000,0.2314609,-0.4114860,2.0000000,0.1000270,0.0001078,NaN,927.7565482,NaN
2781.4101562,327.0000000,327.0410000,23.9370000,1.6445671,-0.1798745,2.0000000,0.1000270,0.0001080,NaN,926.1673503,NaN
2782.5791016,327.0000000,327.0270000,23.9420000,1.4365929,-0.0513069,2.5000000,0.1000250,0.0001079,NaN,926.6893958,NaN
2783.7470703,327.0000000,327.0320000,23.9670000,-0.1026995,-0.4364730,2.5000000,0.1000310,0.0001080,NaN,926.4188338,NaN
2784.9121094,327.0000000,327.0310000,23.8750000,0.7702466,-0.2310740,2.5000000,0.1000520,0.0001080,NaN,926.6562318,NaN
2786.0820312,327.0000000,327.0240000,23.8720000,-1.7230975,0.1028715,2.5000000,0.1000300,0.0001081,NaN,925.6637332,NaN
2787.2460937,327.0000000,327.0290000,23.7950000,-2.4411543,-0.2055709,2.5000000,0.1000420,0.0001080,NaN,926.2290529,NaN
2788.4121094,327.0000000,327.0240000,23.9410000,-2.0565690,-0.0514142,2.5000000,0.1000440,0.0001080,NaN,926.5993017,NaN
2789.5839844,327.0000000,327.0250000,24.0320000,1.7767645,0.0000000,2.5000000,0.1000430,0.0001082,NaN,924.4922099,NaN
2790.7490234,327.0000000,327.0410000,23.9620000,6.0824060,-0.1026566,2.0000000,0.1000260,0.0001082,NaN,924.2326243,NaN
2791.9199219,327.0000000,327.0440000,23.8820000,0.5391726,0.4364730,2.0000000,0.1000580,0.0001082,NaN,924.9898310,NaN
2793.0917969,327.0000000,327.0440000,23.9290000,-3.8528428,0.4880268,2.0000000,0.1000470,0.0001082,NaN,924.8539417,NaN
2794.2568359,327.0000000,327.0470000,23.8610000,-0.8451521,0.0768320,2.0000000,0.1000610,0.0001080,NaN,926.7224213,NaN
2795.4257812,327.0000000,327.0380000,23.8320000,-0.5391726,0.0770247,2.0000000,0.1000570,0.0001079,NaN,927.3638942,NaN
2796.5917969,327.0000000,327.0360000,23.9380000,-2.4935900,-0.1542427,2.5000000,0.1000250,0.0001079,NaN,926.7580839,NaN
2797.7548828,327.0000000,327.0290000,23.9100000,1.9786198,-0.2826600,2.5000000,0.1000490,0.0001081,NaN,925.1974329,NaN
2798.9531250,327.0000000,327.0270000,23.8610000,2.0093585,-0.2318491,2.5000000,0.1000470,0.0001079,NaN,927.1938686,NaN
2800.1142578,327.0000000,327.0240000,23.8710000,-1.9565261,-0.2286849,2.5000000,0.0999995,0.0001079,NaN,926.6420179,NaN
2801.2812500,327.0000000,327.0140000,23.8790000,-0.9917881,-0.1271523,2.5000000,0.1000440,0.0001079,NaN,926.7795605,NaN
2802.4433594,327.0000000,327.0060000,23.8690000,0.4638926,-0.3350336,2.5000000,0.1000550,0.0001078,NaN,927.7322924,NaN
2803.6132812,327.0000000,327.0090000,23.8660000,-0.0515220,-0.4636981,2.5000000,0.1000490,0.0001081,NaN,925.8138545,NaN
2804.7666016,327.0000000,327.0070000,23.8120000,-0.3344724,-0.1286432,2.5000000,0.1000450,0.0001080,NaN,926.2053770,NaN
2805.9326172,327.0000000,327.0100000,23.8110000,-1.4720807,0.0258260,2.5000000,0.1000460,0.0001080,NaN,926.5405916,NaN
2807.0996094,327.0000000,327.0000000,23.8230000,-1.4228211,0.0258695,2.5000000,0.1000280,0.0001080,NaN,926.2452196,NaN
2808.2724609,327.0000000,326.9970000,23.8180000,0.2828966,-0.1800251,2.5000000,0.1000310,0.0001078,NaN,927.8797098,NaN
2809.4384766,327.0000000,326.9870000,23.9190000,0.1794992,-0.3333556,2.5000000,0.1000500,0.0001078,NaN,928.3573503,NaN
2810.6035156,327.0000000,326.9640000,23.9350000,2.4627307,-0.3334948,3.0000000,0.1000510,0.0001079,NaN,927.6607976,NaN
2811.7773437,327.0000000,326.9540000,24.0350000,3.0115124,-0.8494009,3.0000000,0.1000310,0.0001077,NaN,928.6722246,NaN
2812.9355469,327.0000000,326.9500000,24.0200000,2.9757996,-0.8465637,3.0000000,0.1000520,0.0001078,NaN,927.8249177,NaN
2814.0966797,327.0000000,326.9540000,24.0160000,2.1869347,-0.3602010,3.0000000,0.1000410,0.0001079,NaN,927.0523477,NaN
2815.2607422,327.0000000,326.9540000,23.9600000,-0.4915200,0.0000000,3.0000000,0.1000500,0.0001078,NaN,927.7805597,NaN
2816.4287109,327.0000000,326.9550000,23.8610000,-1.5482570,0.1032171,3.0000000,0.1000410,0.0001079,NaN,926.9406816,NaN
2817.5937500,327.0000000,326.9450000,23.7490000,-3.9879397,0.0257286,3.0000000,0.1000230,0.0001080,NaN,926.0617171,NaN
2818.7587891,327.0000000,326.9510000,23.8470000,-5.4264713,-0.2314609,3.0000000,0.1000430,0.0001080,NaN,926.6243690,NaN
2819.9316406,327.0000000,326.9620000,23.8040000,-0.3605029,-0.1030008,2.5000000,0.1000280,0.0001081,NaN,925.3797621,NaN
2821.0937500,327.0000000,326.9600000,23.7620000,1.4115288,0.4362907,2.5000000,0.1000330,0.0001078,NaN,928.2599013,NaN
2822.2548828,327.0000000,326.9530000,23.9080000,-2.1841907,0.2312673,3.0000000,0.1000420,0.0001078,NaN,927.6547606,NaN
2823.4218750,327.0000000,326.9370000,23.7840000,2.6859016,-0.2324338,3.0000000,0.1000290,0.0001079,NaN,926.8466699,NaN
2824.6220703,327.0000000,326.9510000,23.8700000,0.5669799,-0.5927517,2.5000000,0.1000510,0.0001077,NaN,928.6423672,NaN
2825.7871094,327.0000000,326.9510000,23.6120000,-0.9631683,-0.0506931,2.5000000,0.1000290,0.0001078,NaN,927.9902775,NaN
2826.9619141,327.0000000,326.9410000,23.6690000,-4.3632040,0.3551445,3.0000000,0.1000540,0.0001077,NaN,928.8426369,NaN
2828.1533203,327.0000000,326.9310000,23.6320000,-5.1541903,-0.2564274,3.0000000,0.1000500,0.0001079,NaN,926.9381856,NaN
2829.3251953,327.0000000,326.9330000,23.6370000,0.5071399,-0.5071399,3.0000000,0.1000440,0.0001081,NaN,925.6305398,NaN
2830.4921875,327.0000000,326.9470000,23.7310000,-0.8124298,-0.2031074,2.5000000,0.1000330,0.0001079,NaN,926.8837330,NaN
2831.6455078,327.0000000,326.9530000,23.6490000,2.5396910,0.4104551,0.0000000,0.1000500,0.0001080,NaN,926.1230573,NaN
2832.8164062,326.9805501,326.9440000,23.7590000,0.3103030,0.5171717,0.5000000,0.1000510,0.0001079,NaN,927.3082841,NaN
2833.9843750,326.9613281,326.9530000,23.6300000,0.7228235,-0.0774454,0.0000000,0.1000580,0.0001078,NaN,927.8719537,NaN
2835.1523437,326.9418132,326.9410000,23.4750000,-0.4874154,0.0000000,0.0000000,0.1000490,0.0001081,NaN,925.8909650,NaN
2836.3232422,326.9223470,326.9330000,23.5860000,-7.2947157,-0.0770569,0.0000000,0.1000600,0.0001081,NaN,925.9242123,NaN
2837.4902344,326.9028809,326.9540000,23.5740000,-1.1287516,-0.5130689,0.0000000,0.1000390,0.0001081,NaN,925.3616754,NaN
2838.6582031,326.8833659,326.9580000,23.5920000,2.5407519,0.3336341,0.0000000,0.1000360,0.0001082,NaN,924.3079425,NaN
2839.8261719,326.8639160,326.9720000,23.4970000,0.1541782,0.6424090,0.0000000,0.1000190,0.0001081,NaN,924.8772459,NaN
2840.9960937,326.8444499,326.9930000,23.5750000,-1.9777926,0.4623411,0.0000000,0.1000580,0.0001082,NaN,924.5710167,NaN
2842.1630859,326.8249837,327.0050000,23.5360000,-0.4362907,0.8982456,0.0000000,0.1000640,0.0001081,NaN,925.4388399,NaN
2843.3398437,326.8054850,327.0020000,23.5210000,1.0013205,0.8472712,0.0000000,0.1000540,0.0001080,NaN,926.5460337,NaN
2844.5507812,326.7860352,326.9960000,23.5000000,-1.3824000,0.2304000,0.0000000,0.1000290,0.0001081,NaN,925.3718917,NaN
2845.7041016,326.7664225,326.9940000,23.4870000,-0.9046380,-0.2261595,0.0000000,0.1000580,0.0001078,NaN,928.0698988,NaN
2846.8720703,326.7462402,326.9920000,23.5230000,-0.8628501,-0.2030235,0.0000000,0.1000480,0.0001080,NaN,926.3532157,NaN
2848.0419922,326.7270182,326.9780000,23.4790000,0.5944973,-0.1033908,0.5000000,0.1000240,0.0001081,NaN,925.5311274,NaN
2849.2177734,326.7075521,326.9910000,23.6090000,-0.2053133,-0.4106266,0.0000000,0.1000570,0.0001080,NaN,926.6767926,NaN
2850.4199219,326.6880534,326.9900000,23.5020000,2.1997669,-0.0255787,0.0000000,0.1000520,0.0001078,NaN,928.0572870,NaN
2851.5898437,326.6684570,326.9710000,23.3830000,0.5803368,0.3027844,0.5000000,0.1000510,0.0001080,NaN,926.7928933,NaN
2852.7519531,326.6484212,326.9610000,23.5210000,-5.7165253,-0.5058872,0.5000000,0.1000290,0.0001076,NaN,929.2230232,NaN
