Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
44.7626953,298.9358708,302.1360000,27.1090000,2.1336904,9.6144603,0.0000000,0.1001070,0.0000930,NaN,1076.9717371,NaN
45.9199219,298.9407088,302.2920000,27.1580000,0.1286432,8.5161809,0.0000000,0.1001190,0.0000933,NaN,1073.6598956,NaN
47.0888672,298.9455876,302.4410000,27.1090000,-0.0515436,7.9892617,0.0000000,0.1001030,0.0000932,NaN,1073.5044312,NaN
48.2470703,298.9504093,302.5850000,27.0020000,0.0000000,7.8670025,0.0000000,0.1001080,0.0000933,NaN,1072.5700088,NaN
49.4189453,298.9552799,302.7120000,26.9080000,-4.0220898,7.5543097,0.0000000,0.1001150,0.0000934,NaN,1071.8858939,NaN
50.5849609,298.9601058,302.8460000,27.0460000,-5.1757921,6.9783068,0.0000000,0.1000770,0.0000933,NaN,1072.4584876,NaN
51.7490234,298.9649886,302.9680000,27.1500000,1.1292231,6.6983459,0.0000000,0.1000900,0.0000934,NaN,1071.6446196,NaN
52.9248047,298.9698470,303.0930000,27.1680000,6.2315507,6.5920536,0.0000000,0.1000960,0.0000935,NaN,1071.1056371,NaN
54.0800781,298.9746973,303.2170000,27.1340000,3.1284140,6.3337563,0.0000000,0.1001030,0.0000934,NaN,1071.2011754,NaN
55.2626953,298.9795964,303.3370000,27.0860000,-0.4118307,6.4091160,0.0000000,0.1001300,0.0000936,NaN,1069.4930135,NaN
56.4570312,298.9844100,303.4470000,27.0470000,-2.1044612,6.2620551,0.0000000,0.1001160,0.0000936,NaN,1069.5959582,NaN
57.6376953,298.9893376,303.5360000,27.2870000,-2.1960887,5.8057518,0.0000000,0.1001030,0.0000937,NaN,1068.5141480,NaN
58.7949219,298.9943140,303.6400000,27.2610000,5.0778947,5.0273684,0.0000000,0.1001070,0.0000937,NaN,1068.0198951,NaN
59.9726562,298.9992334,303.7480000,27.3270000,5.4921303,4.9531830,0.0000000,0.1001050,0.0000937,NaN,1068.0840213,NaN
