Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2,
Sample Interval,0.02,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.2
Label,,
TIME,CH1,CH2
2.400e+00,1.66,0.284
2.420e+00,1.7,0.3
2.440e+00,1.7,0.3
2.460e+00,1.82,0.332
2.480e+00,1.82,0.292
2.500e+00,1.86,0.308
2.520e+00,1.86,0.324
2.540e+00,1.86,0.34
2.560e+00,1.94,0.332
2.580e+00,1.94,0.34
2.600e+00,1.98,0.372
2.620e+00,2.06,0.34
2.640e+00,2.02,0.364
2.660e+00,2.06,0.396
2.680e+00,2.02,0.364
2.700e+00,2.14,0.356
2.720e+00,2.1,0.388
2.740e+00,2.18,0.38
2.760e+00,2.22,0.396
2.780e+00,2.26,0.388
2.800e+00,2.26,0.38
2.820e+00,2.3,0.396
2.840e+00,2.34,0.412
2.860e+00,2.38,0.412
2.880e+00,2.38,0.42
2.900e+00,2.38,0.436
2.920e+00,2.46,0.428
2.940e+00,2.46,0.428
2.960e+00,2.46,0.444
2.980e+00,2.54,0.46
3.000e+00,2.54,0.452
3.020e+00,2.58,0.468
3.040e+00,2.54,0.468
3.060e+00,2.7,0.484
3.080e+00,2.7,0.476
3.100e+00,2.74,0.492
3.120e+00,2.74,0.5
3.140e+00,2.78,0.516
3.160e+00,2.74,0.516
3.180e+00,2.74,0.492
3.200e+00,2.86,0.508
3.220e+00,2.86,0.524
3.240e+00,2.86,0.524
3.260e+00,2.94,0.58
3.280e+00,2.9,0.556
3.300e+00,3.02,0.556
3.320e+00,3.06,0.532
3.340e+00,3.02,0.564
3.360e+00,3.1,0.572
3.380e+00,3.06,0.572
3.400e+00,3.06,0.588
3.420e+00,3.14,0.58
3.440e+00,3.22,0.588
3.460e+00,3.18,0.612
3.480e+00,3.26,0.604
3.500e+00,3.22,0.612
3.520e+00,3.22,0.604
3.540e+00,3.3,0.62
3.560e+00,3.3,0.66
3.580e+00,3.38,0.652
3.600e+00,3.42,0.66
3.620e+00,3.38,0.684
3.640e+00,3.42,0.66
3.660e+00,3.46,0.684
3.680e+00,3.46,0.66
3.700e+00,3.5,0.684
3.720e+00,3.46,0.7
3.740e+00,3.54,0.716
3.760e+00,3.58,0.716
3.780e+00,3.58,0.732
3.800e+00,3.62,0.716
3.820e+00,3.66,0.732
3.840e+00,3.66,0.74
3.860e+00,3.78,0.772
3.880e+00,3.7,0.78
3.900e+00,3.74,0.788
3.920e+00,3.78,0.788
3.940e+00,3.82,0.788
3.960e+00,3.78,0.812
3.980e+00,3.82,0.788
4.000e+00,3.82,0.796
4.020e+00,3.82,0.788
4.040e+00,3.74,0.788
4.060e+00,3.78,0.812
4.080e+00,3.86,0.796
4.100e+00,3.78,0.796
4.120e+00,3.74,0.78
4.140e+00,3.74,0.804
4.160e+00,3.78,0.788
4.180e+00,3.78,0.804
4.200e+00,3.78,0.788
4.220e+00,3.86,0.804
4.240e+00,3.78,0.804
4.260e+00,3.78,0.788
4.280e+00,3.74,0.796
4.300e+00,3.78,0.788
4.320e+00,3.78,0.812
4.340e+00,3.74,0.788
4.360e+00,3.78,0.788
4.380e+00,3.7,0.82
4.400e+00,3.82,0.804
4.420e+00,3.7,0.812
4.440e+00,3.74,0.78
4.460e+00,3.82,0.812
4.480e+00,3.78,0.828
4.500e+00,3.78,0.804
4.520e+00,3.82,0.804
4.540e+00,3.78,0.804
4.560e+00,3.86,0.804
4.580e+00,3.78,0.788
4.600e+00,3.74,0.788
4.620e+00,3.7,0.804
4.640e+00,3.78,0.812
4.660e+00,3.74,0.804
4.680e+00,3.74,0.796
4.700e+00,3.7,0.836
4.720e+00,3.82,0.804
4.740e+00,3.74,0.804
4.760e+00,3.82,0.812
4.780e+00,3.78,0.804
4.800e+00,3.82,0.82
4.820e+00,3.82,0.812
4.840e+00,3.78,0.82
4.860e+00,3.74,0.812
4.880e+00,3.82,0.812
4.900e+00,3.74,0.828
4.920e+00,3.74,0.828
4.940e+00,3.78,0.812
4.960e+00,3.82,0.812
4.980e+00,3.78,0.812
5.000e+00,3.82,0.82
5.020e+00,3.74,0.788
5.040e+00,3.7,0.804
5.060e+00,3.74,0.796
5.080e+00,3.78,0.804
5.100e+00,3.82,0.812
5.120e+00,3.82,0.82
5.140e+00,3.7,0.788
5.160e+00,3.66,0.772
5.180e+00,3.82,0.804
5.200e+00,3.74,0.82
5.220e+00,3.78,0.804
5.240e+00,3.74,0.804
5.260e+00,3.78,0.828
5.280e+00,3.78,0.812
5.300e+00,3.78,0.804
5.320e+00,3.82,0.804
5.340e+00,3.78,0.812
5.360e+00,3.74,0.78
5.380e+00,3.74,0.828
5.400e+00,3.74,0.788
5.420e+00,3.82,0.812
5.440e+00,3.74,0.812
5.460e+00,3.7,0.82
5.480e+00,3.82,0.804
5.500e+00,3.82,0.828
5.520e+00,3.78,0.796
5.540e+00,3.78,0.812
5.560e+00,3.74,0.82
5.580e+00,3.82,0.82
5.600e+00,3.82,0.812
5.620e+00,3.74,0.852
5.640e+00,3.74,0.82
5.660e+00,3.74,0.828
5.680e+00,3.74,0.812
5.700e+00,3.78,0.804
