Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-07
Sample Interval,2e-09
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH2
-6.480e-07,0.012
-6.460e-07,0.004
-6.440e-07,0.004
-6.420e-07,0.02
-6.400e-07,0.004
-6.380e-07,0.02
-6.360e-07,0.004
-6.340e-07,0.012
-6.320e-07,0.028
-6.300e-07,0.004
-6.280e-07,-0.004
-6.260e-07,0.004
-6.240e-07,0.028
-6.220e-07,0.012
-6.200e-07,0.004
-6.180e-07,0.004
-6.160e-07,0.004
-6.140e-07,0.012
-6.120e-07,0.02
-6.100e-07,0.02
-6.080e-07,-0.004
-6.060e-07,-0.004
-6.040e-07,0.02
-6.020e-07,0.012
-6.000e-07,0.004
-5.980e-07,0.004
-5.960e-07,-0.012
-5.940e-07,0.004
-5.920e-07,0.028
-5.900e-07,0.02
-5.880e-07,-0.004
-5.860e-07,-0.004
-5.840e-07,0.004
-5.820e-07,0.028
-5.800e-07,0.02
-5.780e-07,-0.004
-5.760e-07,-0.012
-5.740e-07,0.004
-5.720e-07,0.012
-5.700e-07,0.028
-5.680e-07,0.012
-5.660e-07,-0.004
-5.640e-07,-0.02
-5.620e-07,0.012
-5.600e-07,0.02
-5.580e-07,0.012
-5.560e-07,-0.004
-5.540e-07,-0.004
-5.520e-07,0.004
-5.500e-07,0.012
-5.480e-07,0.012
-5.460e-07,0.012
-5.440e-07,0.004
-5.420e-07,0.004
-5.400e-07,0.004
-5.380e-07,0.012
-5.360e-07,0.004
-5.340e-07,0.012
-5.320e-07,-0.004
-5.300e-07,-0.004
-5.280e-07,0.028
-5.260e-07,0.012
-5.240e-07,0.02
-5.220e-07,-0.004
-5.200e-07,0.004
-5.180e-07,0.012
-5.160e-07,0.028
-5.140e-07,0.012
-5.120e-07,0.012
-5.100e-07,0.012
-5.080e-07,-0.004
-5.060e-07,0.012
-5.040e-07,0.02
-5.020e-07,0.004
-5.000e-07,-0.004
-4.980e-07,-0.004
-4.960e-07,0.02
-4.940e-07,0.028
-4.920e-07,0.012
-4.900e-07,-0.004
-4.880e-07,-0.004
-4.860e-07,0.02
-4.840e-07,0.012
-4.820e-07,0.012
-4.800e-07,0.004
-4.780e-07,0.012
-4.760e-07,0.012
-4.740e-07,0.012
-4.720e-07,0.02
-4.700e-07,0.004
-4.680e-07,0.004
-4.660e-07,-0.004
-4.640e-07,0.004
-4.620e-07,0.02
-4.600e-07,0.004
-4.580e-07,0.02
-4.560e-07,-0.012
-4.540e-07,0.02
-4.520e-07,0.028
-4.500e-07,0.004
-4.480e-07,-0.004
-4.460e-07,-0.004
-4.440e-07,0.012
-4.420e-07,0.004
-4.400e-07,-0.004
-4.380e-07,-0.004
-4.360e-07,0.004
-4.340e-07,0.012
-4.320e-07,0.004
-4.300e-07,0.004
-4.280e-07,-0.012
-4.260e-07,0.004
-4.240e-07,0.02
-4.220e-07,0.004
-4.200e-07,0.004
-4.180e-07,0.012
-4.160e-07,0.012
-4.140e-07,0.004
-4.120e-07,0.004
-4.100e-07,0.012
-4.080e-07,0.004
-4.060e-07,0.02
-4.040e-07,0.004
-4.020e-07,0.012
-4.000e-07,-0.004
-3.980e-07,0.004
-3.960e-07,0.012
-3.940e-07,-0.004
-3.920e-07,0.012
-3.900e-07,0.004
-3.880e-07,0.004
-3.860e-07,0.012
-3.840e-07,0.012
-3.820e-07,0.028
-3.800e-07,0.012
-3.780e-07,0.012
-3.760e-07,0.012
-3.740e-07,0.012
-3.720e-07,0.02
-3.700e-07,0.004
-3.680e-07,0.004
-3.660e-07,0.012
-3.640e-07,0.012
-3.620e-07,0.028
-3.600e-07,0.012
-3.580e-07,0.02
-3.560e-07,0.004
-3.540e-07,0.004
-3.520e-07,-0.004
-3.500e-07,0.012
-3.480e-07,-0.004
-3.460e-07,0.012
-3.440e-07,0.012
-3.420e-07,0.012
-3.400e-07,0.02
-3.380e-07,0.004
-3.360e-07,-0.004
-3.340e-07,0.012
-3.320e-07,-0.004
-3.300e-07,0.012
-3.280e-07,0.02
-3.260e-07,0.004
-3.240e-07,-0.004
-3.220e-07,-0.004
-3.200e-07,0.012
-3.180e-07,-0.004
-3.160e-07,0.012
-3.140e-07,0.012
-3.120e-07,0.004
-3.100e-07,0.004
-3.080e-07,0.012
-3.060e-07,0.012
-3.040e-07,0.012
-3.020e-07,-0.004
-3.000e-07,-0.012
-2.980e-07,0.012
-2.960e-07,0.004
-2.940e-07,0.012
-2.920e-07,0.012
-2.900e-07,-0.004
-2.880e-07,0.004
-2.860e-07,0.004
-2.840e-07,0.012
-2.820e-07,0.012
-2.800e-07,0.004
-2.780e-07,0.012
-2.760e-07,-0.004
-2.740e-07,0.012
-2.720e-07,-0.004
-2.700e-07,0.012
-2.680e-07,0.02
-2.660e-07,0.004
-2.640e-07,0.012
-2.620e-07,0.004
-2.600e-07,0.004
-2.580e-07,0.004
-2.560e-07,0.02
-2.540e-07,0.02
-2.520e-07,-0.004
-2.500e-07,-0.004
-2.480e-07,0.012
-2.460e-07,0.012
-2.440e-07,0.028
-2.420e-07,-0.004
-2.400e-07,-0.012
-2.380e-07,-0.004
-2.360e-07,0.028
-2.340e-07,0.012
-2.320e-07,0.004
-2.300e-07,-0.004
-2.280e-07,-0.004
-2.260e-07,0.004
-2.240e-07,0.02
-2.220e-07,0.012
-2.200e-07,0.004
-2.180e-07,0.004
-2.160e-07,0.012
-2.140e-07,0.012
-2.120e-07,0.012
-2.100e-07,0.004
-2.080e-07,0.02
-2.060e-07,0.012
-2.040e-07,0.012
-2.020e-07,0.028
-2.000e-07,0.012
-1.980e-07,0.004
-1.960e-07,0.012
-1.940e-07,0.028
-1.920e-07,0.036
-1.900e-07,0.036
-1.880e-07,0.02
-1.860e-07,0.028
-1.840e-07,0.044
-1.820e-07,0.044
-1.800e-07,0.06
-1.780e-07,0.044
-1.760e-07,0.052
-1.740e-07,0.044
-1.720e-07,0.068
-1.700e-07,0.076
-1.680e-07,0.06
-1.660e-07,0.06
-1.640e-07,0.06
-1.620e-07,0.076
-1.600e-07,0.1
-1.580e-07,0.108
-1.560e-07,0.076
-1.540e-07,0.076
-1.520e-07,0.084
-1.500e-07,0.1
-1.480e-07,0.116
-1.460e-07,0.1
-1.440e-07,0.092
-1.420e-07,0.092
-1.400e-07,0.108
-1.380e-07,0.14
-1.360e-07,0.124
-1.340e-07,0.1
