Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
1.500e-06,0.05
1.510e-06,0.07
1.520e-06,0.03
1.530e-06,0.01
1.540e-06,0.03
1.550e-06,0.07
1.560e-06,0.05
1.570e-06,0.07
1.580e-06,0.03
1.590e-06,0.03
1.600e-06,0.03
1.610e-06,0.05
1.620e-06,0.05
1.630e-06,0.03
1.640e-06,0.03
1.650e-06,0.05
1.660e-06,0.03
1.670e-06,0.07
1.680e-06,0.01
1.690e-06,0.01
1.700e-06,0.05
1.710e-06,0.01
1.720e-06,0.05
1.730e-06,0.01
1.740e-06,0.03
1.750e-06,0.05
1.760e-06,0.03
1.770e-06,0.01
1.780e-06,0.05
1.790e-06,0.05
1.800e-06,0.05
1.810e-06,0.09
1.820e-06,0.03
1.830e-06,0.05
1.840e-06,0.05
1.850e-06,0.01
1.860e-06,0.05
1.870e-06,0.01
1.880e-06,-0.01
1.890e-06,0.05
1.900e-06,0.03
1.910e-06,0.03
1.920e-06,0.03
1.930e-06,0.01
1.940e-06,0.05
1.950e-06,0.01
1.960e-06,0.05
1.970e-06,0.01
1.980e-06,0.05
1.990e-06,0.01
2.000e-06,0.03
2.010e-06,0.05
2.020e-06,0.03
2.030e-06,0.05
2.040e-06,0.03
2.050e-06,-0.01
2.060e-06,0.07
2.070e-06,0.07
2.080e-06,0.03
2.090e-06,0.05
2.100e-06,0.03
2.110e-06,0.05
2.120e-06,0.03
2.130e-06,-0.01
2.140e-06,-0.01
2.150e-06,-0.01
2.160e-06,-0.01
2.170e-06,0.03
2.180e-06,0.03
2.190e-06,0.03
2.200e-06,0.07
2.210e-06,0.03
2.220e-06,0.07
2.230e-06,0.09
2.240e-06,0.05
2.250e-06,0.03
2.260e-06,0.03
2.270e-06,0.05
2.280e-06,0.05
2.290e-06,0.01
2.300e-06,0.05
2.310e-06,0.03
2.320e-06,0.05
2.330e-06,0.03
2.340e-06,0.03
2.350e-06,0.01
2.360e-06,0.07
2.370e-06,0.03
2.380e-06,0.03
2.390e-06,0.03
2.400e-06,0.03
2.410e-06,0.07
2.420e-06,0.07
2.430e-06,0.05
2.440e-06,0.03
2.450e-06,0.05
2.460e-06,0.05
2.470e-06,0.03
2.480e-06,0.01
2.490e-06,0.05
2.500e-06,0.07
2.510e-06,0.07
2.520e-06,0.01
2.530e-06,0.07
2.540e-06,0.03
2.550e-06,0.01
2.560e-06,-0.01
2.570e-06,0.03
2.580e-06,0.03
2.590e-06,0.01
2.600e-06,0.03
2.610e-06,0.05
2.620e-06,-0.01
2.630e-06,0.03
2.640e-06,0.05
2.650e-06,0.05
2.660e-06,0.03
2.670e-06,0.05
2.680e-06,0.01
2.690e-06,0.03
2.700e-06,0.03
2.710e-06,0.05
2.720e-06,0.01
2.730e-06,0.05
2.740e-06,0.03
2.750e-06,0.03
2.760e-06,-0.01
2.770e-06,0.01
2.780e-06,0.01
2.790e-06,0.05
2.800e-06,-0.01
2.810e-06,-0.01
2.820e-06,0.05
2.830e-06,0.05
2.840e-06,0.01
