Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
22.656296E+0,299.160000E+0,299.160000E+0,NaN,23.000000E+0,10.702140E+0,721.282000E-3,10.911340E+0,8.811158E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
66.924828E+0,299.160000E+0,297.870000E+0,NaN,41.000000E+0,10.827760E+0,716.954400E-3,11.038420E+0,8.728732E+0,0.000000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
112.213418E+0,300.000000E+0,296.720000E+0,NaN,74.000000E+0,10.915660E+0,547.096400E-3,11.099500E+0,8.714242E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
157.069983E+0,300.000000E+0,296.250000E+0,NaN,100.000000E+0,10.980620E+0,628.345400E-3,11.143760E+0,8.700430E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
201.854545E+0,300.000000E+0,297.180000E+0,NaN,86.000000E+0,10.987760E+0,534.418600E-3,11.136200E+0,8.689688E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
246.689110E+0,300.000000E+0,299.390000E+0,NaN,67.000000E+0,10.968500E+0,791.777400E-3,11.123240E+0,8.705028E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
291.572677E+0,300.000000E+0,300.940000E+0,NaN,65.000000E+0,10.954640E+0,714.736200E-3,11.136880E+0,8.686506E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
336.983274E+0,300.000000E+0,301.180000E+0,443.954426E-3,73.000000E+0,10.990820E+0,800.174600E-3,11.173260E+0,8.680974E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
381.821839E+0,300.000000E+0,300.690000E+0,1.641555E+0,85.000000E+0,11.045340E+0,519.459600E-3,11.220180E+0,8.646902E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
426.745408E+0,300.000000E+0,300.220000E+0,1.935406E+0,91.000000E+0,11.086380E+0,797.608400E-3,11.252420E+0,8.614570E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
471.622975E+0,300.000000E+0,300.110000E+0,1.179260E+0,98.000000E+0,11.136120E+0,694.886800E-3,11.271460E+0,8.598694E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
516.999570E+0,300.000000E+0,300.220000E+0,127.181046E-3,97.000000E+0,11.142460E+0,820.054600E-3,11.296840E+0,8.598910E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
561.900138E+0,300.000000E+0,300.570000E+0,-398.475147E-3,99.000000E+0,11.170920E+0,815.210600E-3,11.320040E+0,8.581834E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
607.246732E+0,300.000000E+0,300.570000E+0,-343.072970E-3,100.000000E+0,11.177240E+0,687.577000E-3,11.337600E+0,8.599366E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
652.116299E+0,300.000000E+0,300.570000E+0,-27.265927E-3,100.000000E+0,11.196560E+0,755.082800E-3,11.358320E+0,8.570230E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.549282E+3,279.514348E+0,281.010000E+0,179.473152E-3,100.000000E+0,12.444220E+0,766.709000E-3,12.562800E+0,7.848076E+0,3.845000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.594200E+3,279.514348E+0,280.690000E+0,179.473152E-3,8.000000E+0,12.466640E+0,609.306000E-3,12.632060E+0,7.821418E+0,3.845000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.639050E+3,278.017062E+0,278.590000E+0,746.751218E-3,100.000000E+0,12.621220E+0,595.055800E-3,12.825360E+0,7.747054E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.683944E+3,276.522077E+0,273.540000E+0,1.349378E+0,100.000000E+0,12.796400E+0,521.796000E-3,12.951100E+0,7.704760E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.728841E+3,275.025624E+0,271.320000E+0,810.210932E-3,100.000000E+0,12.860540E+0,689.042200E-3,12.952040E+0,7.707656E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.773735E+3,273.529039E+0,271.420000E+0,-1.452412E+0,100.000000E+0,12.803620E+0,696.292000E-3,12.926520E+0,7.695498E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.818616E+3,272.032587E+0,271.930000E+0,-3.751917E+0,100.000000E+0,12.800240E+0,672.835200E-3,12.894160E+0,7.701634E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.863507E+3,270.536534E+0,272.330000E+0,-3.684957E+0,100.000000E+0,12.732420E+0,707.927600E-3,12.869700E+0,7.719778E+0,3.845000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.908419E+3,270.000000E+0,272.840000E+0,-1.955625E+0,75.000000E+0,12.732160E+0,596.655200E-3,12.856280E+0,7.714472E+0,3.845000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.953319E+3,270.000000E+0,272.630000E+0,-133.576363E-3,84.000000E+0,12.735420E+0,555.930200E-3,12.884820E+0,7.706612E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.998185E+3,270.000000E+0,271.230000E+0,541.296133E-3,100.000000E+0,12.806600E+0,586.151200E-3,12.916800E+0,7.680100E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.043118E+3,270.000000E+0,270.230000E+0,472.207158E-3,100.000000E+0,12.819100E+0,613.277200E-3,12.910400E+0,7.704202E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.088064E+3,270.000000E+0,270.230000E+0,-89.238244E-3,98.000000E+0,12.769700E+0,607.081400E-3,12.885200E+0,7.735676E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.132951E+3,270.000000E+0,270.720000E+0,-826.430071E-3,95.000000E+0,12.725180E+0,626.523200E-3,12.855400E+0,7.741992E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.177848E+3,270.000000E+0,270.930000E+0,-1.115760E+0,93.000000E+0,12.725240E+0,617.518000E-3,12.830680E+0,7.718986E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.222744E+3,270.000000E+0,270.830000E+0,-647.958672E-3,95.000000E+0,12.693860E+0,747.724600E-3,12.827960E+0,7.754328E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.267622E+3,270.000000E+0,270.720000E+0,42.497180E-3,94.000000E+0,12.706260E+0,731.598000E-3,12.815680E+0,7.743432E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.312520E+3,270.000000E+0,270.720000E+0,289.521457E-3,95.000000E+0,12.691460E+0,650.500400E-3,12.799600E+0,7.746668E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.357915E+3,270.000000E+0,270.830000E+0,133.646235E-3,93.000000E+0,12.667380E+0,671.068000E-3,12.791840E+0,7.750212E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.402767E+3,270.000000E+0,270.720000E+0,-46.788716E-3,91.000000E+0,12.679340E+0,631.602600E-3,12.782700E+0,7.790694E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.447660E+3,270.000000E+0,270.830000E+0,-46.924397E-3,92.000000E+0,12.664920E+0,627.376400E-3,12.775880E+0,7.782684E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.493043E+3,270.000000E+0,270.720000E+0,-140.320928E-6,91.000000E+0,12.660120E+0,641.006600E-3,12.771240E+0,7.786098E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.537983E+3,270.000000E+0,270.720000E+0,24.365078E-3,92.000000E+0,12.643900E+0,605.096800E-3,12.763540E+0,7.790460E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.583383E+3,270.000000E+0,270.720000E+0,0.000000E+0,90.000000E+0,12.619820E+0,676.552400E-3,12.762060E+0,7.763024E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
3.628326E+3,270.000000E+0,270.720000E+0,-24.356985E-3,90.000000E+0,12.622000E+0,570.797400E-3,12.754200E+0,7.758172E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.524134E+3,269.121914E+0,270.620000E+0,-24.356985E-3,86.000000E+0,12.552020E+0,684.012200E-3,12.686320E+0,7.840100E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.568966E+3,269.121914E+0,270.720000E+0,-24.356985E-3,70.000000E+0,12.557420E+0,551.818000E-3,12.688300E+0,7.803090E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.613853E+3,267.627529E+0,270.440000E+0,1.934047E-3,78.000000E+0,12.584800E+0,679.669600E-3,12.724740E+0,7.802378E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.658734E+3,266.131277E+0,269.830000E+0,1.934047E-3,58.000000E+0,12.635160E+0,674.481000E-3,12.761600E+0,7.804590E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.703620E+3,264.635258E+0,269.030000E+0,-38.191174E-3,53.000000E+0,12.686680E+0,547.496000E-3,12.830320E+0,7.763520E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.748513E+3,263.139039E+0,267.570000E+0,-238.413848E-3,55.000000E+0,12.756000E+0,593.265600E-3,12.931620E+0,7.678290E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.793383E+3,261.642620E+0,265.620000E+0,-552.560000E-3,60.000000E+0,12.877520E+0,636.765400E-3,13.034580E+0,7.654498E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.838313E+3,260.146934E+0,263.680000E+0,-1.015893E+0,54.000000E+0,12.989580E+0,658.086000E-3,13.128060E+0,7.609640E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.883171E+3,258.649282E+0,262.260000E+0,-1.577381E+0,52.000000E+0,13.064620E+0,689.297400E-3,13.215760E+0,7.549600E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.928065E+3,257.153996E+0,260.640000E+0,-2.129604E+0,54.000000E+0,13.155740E+0,752.009800E-3,13.309940E+0,7.503376E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
5.973041E+3,255.657544E+0,259.050000E+0,-2.374574E+0,55.000000E+0,13.280520E+0,593.239800E-3,13.397680E+0,7.458594E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
6.018026E+3,254.158358E+0,257.480000E+0,-2.292218E+0,52.000000E+0,13.330580E+0,569.069600E-3,13.469900E+0,7.432618E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
