Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
3.500e-07,0.452
3.600e-07,0.452
3.700e-07,0.452
3.800e-07,0.444
3.900e-07,0.46
4.000e-07,0.456
4.100e-07,0.472
4.200e-07,0.468
4.300e-07,0.468
4.400e-07,0.468
4.500e-07,0.472
4.600e-07,0.484
4.700e-07,0.476
4.800e-07,0.476
4.900e-07,0.476
5.000e-07,0.468
5.100e-07,0.48
5.200e-07,0.476
5.300e-07,0.48
5.400e-07,0.472
5.500e-07,0.476
5.600e-07,0.472
5.700e-07,0.46
5.800e-07,0.464
5.900e-07,0.464
6.000e-07,0.464
6.100e-07,0.464
6.200e-07,0.468
6.300e-07,0.464
6.400e-07,0.464
6.500e-07,0.468
6.600e-07,0.46
6.700e-07,0.468
6.800e-07,0.46
6.900e-07,0.468
7.000e-07,0.468
7.100e-07,0.468
7.200e-07,0.464
7.300e-07,0.468
7.400e-07,0.464
7.500e-07,0.464
7.600e-07,0.468
7.700e-07,0.46
7.800e-07,0.464
7.900e-07,0.456
8.000e-07,0.452
8.100e-07,0.46
8.200e-07,0.456
8.300e-07,0.456
8.400e-07,0.468
8.500e-07,0.464
8.600e-07,0.472
8.700e-07,0.46
8.800e-07,0.452
8.900e-07,0.448
9.000e-07,0.448
9.100e-07,0.448
9.200e-07,0.448
9.300e-07,0.452
9.400e-07,0.444
9.500e-07,0.452
9.600e-07,0.46
9.700e-07,0.448
9.800e-07,0.448
9.900e-07,0.444
1.000e-06,0.44
1.010e-06,0.448
1.020e-06,0.444
1.030e-06,0.44
1.040e-06,0.456
1.050e-06,0.456
1.060e-06,0.44
1.070e-06,0.448
1.080e-06,0.44
1.090e-06,0.444
1.100e-06,0.448
1.110e-06,0.44
1.120e-06,0.44
1.130e-06,0.444
1.140e-06,0.432
1.150e-06,0.44
1.160e-06,0.436
1.170e-06,0.428
1.180e-06,0.424
1.190e-06,0.424
1.200e-06,0.432
1.210e-06,0.452
1.220e-06,0.452
1.230e-06,0.44
1.240e-06,0.424
1.250e-06,0.404
1.260e-06,0.4
1.270e-06,0.404
1.280e-06,0.44
1.290e-06,0.456
1.300e-06,0.456
1.310e-06,0.444
1.320e-06,0.464
1.330e-06,0.452
1.340e-06,0.44
1.350e-06,0.424
1.360e-06,0.4
1.370e-06,0.388
1.380e-06,0.4
1.390e-06,0.412
1.400e-06,0.408
1.410e-06,0.384
1.420e-06,0.368
1.430e-06,0.364
1.440e-06,0.364
1.450e-06,0.36
1.460e-06,0.36
1.470e-06,0.352
1.480e-06,0.352
1.490e-06,0.344
1.500e-06,0.336
1.510e-06,0.34
1.520e-06,0.328
1.530e-06,0.32
1.540e-06,0.312
1.550e-06,0.3
1.560e-06,0.284
1.570e-06,0.288
1.580e-06,0.276
1.590e-06,0.276
1.600e-06,0.26
1.610e-06,0.264
1.620e-06,0.26
1.630e-06,0.256
1.640e-06,0.248
1.650e-06,0.244
1.660e-06,0.232
1.670e-06,0.236
1.680e-06,0.236
1.690e-06,0.24
1.700e-06,0.224
1.710e-06,0.22
1.720e-06,0.2
1.730e-06,0.2
1.740e-06,0.188
1.750e-06,0.188
1.760e-06,0.172
1.770e-06,0.16
1.780e-06,0.144
1.790e-06,0.136
1.800e-06,0.128
1.810e-06,0.124
1.820e-06,0.124
1.830e-06,0.116
