Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,4e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.1
Label,,
TIME,CH1,CH2
-1.528e-05,0.016,0.012
-1.524e-05,0.008,-0.012
-1.520e-05,0.016,0.016
-1.516e-05,0.016,0.016
-1.512e-05,0.008,0.016
-1.508e-05,0.016,0.008
-1.504e-05,0.032,0
-1.500e-05,0.008,0.008
-1.496e-05,0.016,0
-1.492e-05,0.016,0.008
-1.488e-05,0.024,0.008
-1.484e-05,0.032,0.004
-1.480e-05,0.016,0.004
-1.476e-05,0.032,0.004
-1.472e-05,0.016,0.02
-1.468e-05,0.024,0.02
-1.464e-05,0.016,0.004
-1.460e-05,0.008,0.004
-1.456e-05,0.024,-0.004
-1.452e-05,0.016,0
-1.448e-05,0.016,0.012
-1.444e-05,0.024,0.012
-1.440e-05,0.032,0
-1.436e-05,0.024,-0.008
-1.432e-05,0.024,0
-1.428e-05,0.04,0.012
-1.424e-05,0.024,0.008
-1.420e-05,0.008,-0.004
-1.416e-05,0.032,-0.004
-1.412e-05,0.024,-0.008
-1.408e-05,0.032,0.016
-1.404e-05,0.032,0.024
-1.400e-05,0.032,0.02
-1.396e-05,0.032,0.012
-1.392e-05,0.032,0
-1.388e-05,0.024,0.02
-1.384e-05,0.048,0.012
-1.380e-05,0.032,0.02
-1.376e-05,0.04,0.016
-1.372e-05,0.032,0.008
-1.368e-05,0.04,0.012
-1.364e-05,0.032,0.016
-1.360e-05,0.056,0.004
-1.356e-05,0.04,0.004
-1.352e-05,0.032,-0.004
-1.348e-05,0.032,0
-1.344e-05,0.024,0.012
-1.340e-05,0.04,0.012
-1.336e-05,0.056,0.028
-1.332e-05,0.056,0.008
-1.328e-05,0.024,0.004
-1.324e-05,0.04,0.012
-1.320e-05,0.064,0.024
-1.316e-05,0.056,0.008
-1.312e-05,0.048,0.02
-1.308e-05,0.04,0.016
-1.304e-05,0.04,0.024
-1.300e-05,0.048,0.024
-1.296e-05,0.04,0.016
-1.292e-05,0.04,0.012
-1.288e-05,0.056,0.008
-1.284e-05,0.056,0.016
-1.280e-05,0.048,0.012
-1.276e-05,0.056,0.008
-1.272e-05,0.04,0
-1.268e-05,0.032,-0.004
-1.264e-05,0.056,0.012
-1.260e-05,0.056,-0.008
-1.256e-05,0.064,0.012
-1.252e-05,0.064,0.008
-1.248e-05,0.056,0
-1.244e-05,0.064,0.016
-1.240e-05,0.064,0.008
-1.236e-05,0.064,0.024
-1.232e-05,0.056,0.004
-1.228e-05,0.064,-0.016
-1.224e-05,0.056,-0.008
-1.220e-05,0.072,0.032
-1.216e-05,0.072,0.012
-1.212e-05,0.072,0.02
-1.208e-05,0.064,-0.012
-1.204e-05,0.064,-0.004
-1.200e-05,0.064,0.024
-1.196e-05,0.096,0.028
-1.192e-05,0.064,0.028
-1.188e-05,0.064,0.012
-1.184e-05,0.072,0.024
-1.180e-05,0.072,0.02
-1.176e-05,0.08,0.04
-1.172e-05,0.072,0.016
-1.168e-05,0.072,0.024
-1.164e-05,0.064,0.028
-1.160e-05,0.064,0.04
-1.156e-05,0.072,0.04
-1.152e-05,0.088,0.032
-1.148e-05,0.072,0.024
-1.144e-05,0.072,0.024
-1.140e-05,0.08,0.028
