Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-06,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.1
Label,,
TIME,CH1,CH2
-1.384e-03,0.12,0.032
-1.380e-03,0.12,0.028
-1.376e-03,0.136,0.016
-1.372e-03,0.112,0.02
-1.368e-03,0.12,0.036
-1.364e-03,0.128,0.032
-1.360e-03,0.12,0.028
-1.356e-03,0.112,0.032
-1.352e-03,0.136,0.02
-1.348e-03,0.128,0.028
-1.344e-03,0.128,0.036
-1.340e-03,0.12,0.024
-1.336e-03,0.128,0.024
-1.332e-03,0.12,0.032
-1.328e-03,0.12,0.024
-1.324e-03,0.128,0.028
-1.320e-03,0.12,0.024
-1.316e-03,0.136,0.016
-1.312e-03,0.128,0.02
-1.308e-03,0.136,0.028
-1.304e-03,0.128,0.02
-1.300e-03,0.12,0.024
-1.296e-03,0.128,0.028
-1.292e-03,0.128,0.02
-1.288e-03,0.12,0.02
-1.284e-03,0.112,0.028
-1.280e-03,0.12,0.024
-1.276e-03,0.112,0.016
-1.272e-03,0.128,0.04
-1.268e-03,0.112,0.032
-1.264e-03,0.12,0.024
-1.260e-03,0.12,0.036
-1.256e-03,0.136,0.032
-1.252e-03,0.12,0.024
-1.248e-03,0.112,0.02
-1.244e-03,0.12,0.028
-1.240e-03,0.12,0.02
-1.236e-03,0.12,0.028
-1.232e-03,0.128,0.032
-1.228e-03,0.12,0.02
-1.224e-03,0.12,0.04
-1.220e-03,0.12,0.028
-1.216e-03,0.12,0.016
-1.212e-03,0.136,0.036
-1.208e-03,0.12,0.024
-1.204e-03,0.12,0.02
-1.200e-03,0.12,0.024
-1.196e-03,0.128,0.032
-1.192e-03,0.12,0.02
-1.188e-03,0.136,0.032
-1.184e-03,0.128,0.032
-1.180e-03,0.12,0.02
-1.176e-03,0.128,0.032
-1.172e-03,0.128,0.028
-1.168e-03,0.128,0.032
-1.164e-03,0.12,0.02
-1.160e-03,0.12,0.02
-1.156e-03,0.12,0.036
-1.152e-03,0.12,0.024
-1.148e-03,0.128,0.032
-1.144e-03,0.12,0.02
-1.140e-03,0.128,0.032
-1.136e-03,0.12,0.036
-1.132e-03,0.12,0.02
-1.128e-03,0.128,0.032
-1.124e-03,0.12,0.04
-1.120e-03,0.12,0.028
-1.116e-03,0.12,0.032
-1.112e-03,0.144,0.02
-1.108e-03,0.112,0.028
-1.104e-03,0.12,0.032
-1.100e-03,0.112,0.024
-1.096e-03,0.136,0.024
-1.092e-03,0.12,0.02
-1.088e-03,0.12,0.036
-1.084e-03,0.112,0.02
-1.080e-03,0.128,0.032
-1.076e-03,0.12,0.032
-1.072e-03,0.128,0.02
-1.068e-03,0.12,0.04
-1.064e-03,0.12,0.012
-1.060e-03,0.128,0.032
-1.056e-03,0.128,0.028
-1.052e-03,0.112,0.036
-1.048e-03,0.128,0.024
-1.044e-03,0.128,0.024
-1.040e-03,0.128,0.028
-1.036e-03,0.128,0.028
-1.032e-03,0.128,0.028
-1.028e-03,0.12,0.028
-1.024e-03,0.136,0.02
-1.020e-03,0.128,0.028
-1.016e-03,0.12,0.024
-1.012e-03,0.128,0.032
-1.008e-03,0.136,0.028
-1.004e-03,0.12,0.028
-1.000e-03,0.128,0.024
-9.960e-04,0.128,0.02
-9.920e-04,0.12,0.028
-9.880e-04,0.136,0.016
-9.840e-04,0.12,0.036
-9.800e-04,0.112,0.028
-9.760e-04,0.12,0.012
-9.720e-04,0.12,0.028
-9.680e-04,0.112,0.024
-9.640e-04,0.136,0.036
-9.600e-04,0.128,0.02
-9.560e-04,0.12,0.032
-9.520e-04,0.136,0.032
-9.480e-04,0.128,0.024
-9.440e-04,0.12,0.032
-9.400e-04,0.128,0.02
-9.360e-04,0.12,0.04
-9.320e-04,0.112,0.036
-9.280e-04,0.12,0.02
-9.240e-04,0.12,0.036
-9.200e-04,0.112,0.024
-9.160e-04,0.192,0.044
-9.120e-04,0.184,0.04
-9.080e-04,0.192,0.032
-9.040e-04,0.192,0.048
-9.000e-04,0.192,0.04
-8.960e-04,0.208,0.044
-8.920e-04,0.192,0.028
-8.880e-04,0.2,0.044
-8.840e-04,0.192,0.048
-8.800e-04,0.2,0.032
-8.760e-04,0.184,0.044
-8.720e-04,0.2,0.036
-8.680e-04,0.2,0.044
-8.640e-04,0.208,0.032
-8.600e-04,0.184,0.04
-8.560e-04,0.192,0.04
-8.520e-04,0.248,0.056
-8.480e-04,0.264,0.056
-8.440e-04,0.264,0.052
-8.400e-04,0.272,0.056
-8.360e-04,0.256,0.04
-8.320e-04,0.272,0.052
-8.280e-04,0.264,0.044
-8.240e-04,0.256,0.04
-8.200e-04,0.256,0.056
-8.160e-04,0.264,0.044
-8.120e-04,0.248,0.048
-8.080e-04,0.272,0.044
-8.040e-04,0.264,0.056
-8.000e-04,0.248,0.048
-7.960e-04,0.256,0.044
-7.920e-04,0.328,0.072
-7.880e-04,0.344,0.064
-7.840e-04,0.328,0.064
-7.800e-04,0.336,0.068
-7.760e-04,0.328,0.068
-7.720e-04,0.336,0.064
-7.680e-04,0.32,0.056
