Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-06,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-8.960e-04,0.56,0.1
-8.920e-04,0.64,0.12
-8.880e-04,0.6,0.14
-8.840e-04,0.6,0.14
-8.800e-04,0.56,0.14
-8.760e-04,0.56,0.1
-8.720e-04,0.56,0.12
-8.680e-04,0.6,0.12
-8.640e-04,0.56,0.1
-8.600e-04,0.52,0.16
-8.560e-04,0.44,0.16
-8.520e-04,0.56,0.12
-8.480e-04,0.52,0.14
-8.440e-04,0.6,0.14
-8.400e-04,0.56,0.08
-8.360e-04,0.56,0.12
-8.320e-04,0.52,0.12
-8.280e-04,0.56,0.14
-8.240e-04,0.56,0.12
-8.200e-04,0.56,0.12
-8.160e-04,0.56,0.12
-8.120e-04,0.6,0.12
-8.080e-04,0.6,0.12
-8.040e-04,0.48,0.08
-8.000e-04,0.56,0.1
-7.960e-04,0.48,0.16
-7.920e-04,0.48,0.12
-7.880e-04,0.56,0.12
-7.840e-04,0.6,0.12
-7.800e-04,0.56,0.1
-7.760e-04,0.52,0.12
-7.720e-04,0.56,0.12
-7.680e-04,0.6,0.12
-7.640e-04,0.52,0.1
-7.600e-04,0.52,0.12
-7.560e-04,0.52,0.12
-7.520e-04,0.64,0.14
-7.480e-04,0.48,0.1
-7.440e-04,0.6,0.12
-7.400e-04,0.56,0.14
-7.360e-04,0.56,0.14
-7.320e-04,0.56,0.12
-7.280e-04,0.6,0.14
-7.240e-04,0.6,0.14
-7.200e-04,0.56,0.1
-7.160e-04,0.56,0.1
-7.120e-04,0.52,0.12
-7.080e-04,0.56,0.12
-7.040e-04,0.6,0.14
-7.000e-04,0.6,0.12
-6.960e-04,0.64,0.12
-6.920e-04,0.56,0.12
-6.880e-04,0.56,0.14
-6.840e-04,0.48,0.1
-6.800e-04,0.56,0.12
-6.760e-04,0.52,0.14
-6.720e-04,0.56,0.12
-6.680e-04,0.6,0.08
-6.640e-04,0.64,0.14
-6.600e-04,0.56,0.12
-6.560e-04,0.6,0.14
-6.520e-04,0.6,0.14
-6.480e-04,0.64,0.1
-6.440e-04,0.6,0.1
-6.400e-04,0.56,0.12
-6.360e-04,0.6,0.1
-6.320e-04,0.6,0.12
-6.280e-04,0.56,0.12
-6.240e-04,0.56,0.14
-6.200e-04,0.56,0.12
-6.160e-04,0.56,0.1
-6.120e-04,0.64,0.1
-6.080e-04,0.52,0.12
-6.040e-04,0.52,0.1
-6.000e-04,0.56,0.1
-5.960e-04,0.56,0.12
-5.920e-04,0.48,0.14
-5.880e-04,0.56,0.12
-5.840e-04,0.6,0.12
-5.800e-04,0.64,0.12
-5.760e-04,0.6,0.14
-5.720e-04,0.6,0.1
-5.680e-04,0.56,0.14
-5.640e-04,0.6,0.12
-5.600e-04,0.56,0.14
-5.560e-04,0.6,0.1
-5.520e-04,0.52,0.08
-5.480e-04,0.56,0.14
-5.440e-04,0.6,0.14
-5.400e-04,0.56,0.1
-5.360e-04,0.48,0.1
-5.320e-04,0.48,0.14
-5.280e-04,0.64,0.1
-5.240e-04,0.52,0.14
-5.200e-04,0.6,0.12
-5.160e-04,0.56,0.14
-5.120e-04,0.6,0.1
-5.080e-04,0.64,0.14
-5.040e-04,0.64,0.14
-5.000e-04,0.56,0.12
-4.960e-04,0.52,0.12
-4.920e-04,0.52,0.14
-4.880e-04,0.52,0.14
-4.840e-04,0.56,0.12
-4.800e-04,0.56,0.12
-4.760e-04,0.52,0.12
-4.720e-04,0.56,0.12
-4.680e-04,0.6,0.12
-4.640e-04,0.52,0.14
-4.600e-04,0.6,0.12
-4.560e-04,0.56,0.16
-4.520e-04,0.52,0.14
-4.480e-04,0.56,0.12
-4.440e-04,0.64,0.14
-4.400e-04,0.56,0.12
-4.360e-04,0.6,0.12
-4.320e-04,0.52,0.14
-4.280e-04,0.56,0.14
-4.240e-04,0.56,0.14
-4.200e-04,0.48,0.12
-4.160e-04,0.52,0.14
-4.120e-04,0.6,0.08
-4.080e-04,0.6,0.12
-4.040e-04,0.56,0.14
-4.000e-04,0.6,0.14
-3.960e-04,0.56,0.14
-3.920e-04,0.6,0.12
-3.880e-04,0.48,0.14
-3.840e-04,0.6,0.14
-3.800e-04,0.64,0.14
-3.760e-04,0.6,0.16
-3.720e-04,0.56,0.12
-3.680e-04,0.64,0.1
-3.640e-04,0.6,0.08
-3.600e-04,0.56,0.14
-3.560e-04,0.56,0.16
-3.520e-04,0.52,0.16
-3.480e-04,0.56,0.12
-3.440e-04,0.64,0.08
-3.400e-04,0.52,0.14
-3.360e-04,0.6,0.1
-3.320e-04,0.6,0.1
-3.280e-04,0.56,0.12
-3.240e-04,0.6,0.14
-3.200e-04,0.56,0.12
-3.160e-04,0.48,0.12
-3.120e-04,0.56,0.12
-3.080e-04,0.6,0.12
-3.040e-04,0.48,0.12
-3.000e-04,0.64,0.1
-2.960e-04,0.6,0.08
-2.920e-04,0.52,0.1
-2.880e-04,0.56,0.08
-2.840e-04,0.56,0.1
-2.800e-04,0.6,0.1
