Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   7.603032E+03   -1.016791E+04   -1.8723E+00
   1.500   6.699804E+03   -8.007840E+03   -1.7929E+00
   1.600   5.982622E+03   -6.415513E+03   -1.7158E+00
   1.700   5.403201E+03   -5.229950E+03   -1.6455E+00
   1.800   4.926763E+03   -4.341464E+03   -1.5862E+00
   1.900   4.528032E+03   -3.660253E+03   -1.5359E+00
   2.000   4.189912E+03   -3.123415E+03   -1.4909E+00
   2.100   3.899781E+03   -2.694022E+03   -1.4507E+00
   2.200   3.648437E+03   -2.344885E+03   -1.4140E+00
   2.300   3.428742E+03   -2.057747E+03   -1.3803E+00
   2.400   3.235296E+03   -1.818432E+03   -1.3489E+00
   2.500   3.063784E+03   -1.617333E+03   -1.3197E+00
   2.600   2.910811E+03   -1.446814E+03   -1.2923E+00
   2.700   2.773592E+03   -1.301210E+03   -1.2667E+00
   2.800   2.649891E+03   -1.175962E+03   -1.2426E+00
   2.900   2.537837E+03   -1.067612E+03   -1.2200E+00
   3.000   2.435901E+03   -9.732928E+02   -1.1987E+00
   3.100   2.342787E+03   -8.907573E+02   -1.1787E+00
   3.200   2.257419E+03   -8.181581E+02   -1.1598E+00
   3.300   2.178873E+03   -7.540175E+02   -1.1420E+00
   3.400   2.106375E+03   -6.970833E+02   -1.1252E+00
   3.500   2.039252E+03   -6.463235E+02   -1.1093E+00
   3.600   1.976932E+03   -6.009037E+02   -1.0942E+00
   3.700   1.918917E+03   -5.601115E+02   -1.0800E+00
   3.800   1.864776E+03   -5.233422E+02   -1.0665E+00
   3.900   1.814131E+03   -4.900878E+02   -1.0536E+00
   4.000   1.766656E+03   -4.599083E+02   -1.0413E+00
   4.200   1.680082E+03   -4.074579E+02   -1.0186E+00
   4.400   1.603106E+03   -3.635164E+02   -9.9773E-01
   4.600   1.534225E+03   -3.263421E+02   -9.7846E-01
   4.800   1.472193E+03   -2.947700E+02   -9.6108E-01
   5.000   1.416026E+03   -2.675760E+02   -9.4481E-01
   5.200   1.364915E+03   -2.440741E+02   -9.2986E-01
   5.400   1.318199E+03   -2.235474E+02   -9.1576E-01
   5.600   1.275321E+03   -2.056354E+02   -9.0296E-01
   5.800   1.235808E+03   -1.898088E+02   -8.9083E-01
   6.000   1.199280E+03   -1.757456E+02   -8.7926E-01
   6.500   1.118922E+03   -1.470324E+02   -8.5414E-01
   7.000   1.051159E+03   -1.249740E+02   -8.3224E-01
   7.500   9.931371E+02   -1.077483E+02   -8.1370E-01
   8.000   9.428408E+02   -9.395422E+01   -7.9720E-01
   8.500   8.987345E+02   -8.282684E+01   -7.8335E-01
   9.000   8.596927E+02   -7.363590E+01   -7.7088E-01
   9.500   8.248359E+02   -6.600723E+01   -7.6023E-01
  10.000   7.934889E+02   -5.956393E+01   -7.5066E-01
  10.500   7.651068E+02   -5.410230E+01   -7.4248E-01
  11.000   7.392602E+02   -4.940268E+01   -7.3510E-01
  11.500   7.155955E+02   -4.534902E+01   -7.2878E-01
  12.000   6.938258E+02   -4.181067E+01   -7.2313E-01
  12.500   6.737104E+02   -3.871461E+01   -7.1831E-01
  13.000   6.550525E+02   -3.597267E+01   -7.1390E-01
  13.500   6.376856E+02   -3.354205E+01   -7.1010E-01
  14.000   6.214666E+02   -3.137538E+01   -7.0680E-01
  14.500   6.062709E+02   -2.944243E+01   -7.0417E-01
  15.000   5.919916E+02   -2.770616E+01   -7.0202E-01
  15.500   5.785357E+02   -2.614222E+01   -7.0040E-01
  16.000   5.658263E+02   -2.471730E+01   -6.9894E-01
  16.500   5.537975E+02   -2.341749E+01   -6.9771E-01
  17.000   5.423905E+02   -2.222784E+01   -6.9668E-01
  17.500   5.315530E+02   -2.113763E+01   -6.9590E-01
  18.000   5.212385E+02   -2.013416E+01   -6.9530E-01
  18.500   5.114056E+02   -1.920944E+01   -6.9490E-01
  19.000   5.020175E+02   -1.835439E+01   -6.9466E-01
  19.500   4.930406E+02   -1.756269E+01   -6.9461E-01
  20.000   4.844454E+02   -1.682731E+01   -6.9470E-01
  21.000   4.682944E+02   -1.550539E+01   -6.9532E-01
  22.000   4.533784E+02   -1.435130E+01   -6.9639E-01
  23.000   4.395453E+02   -1.333652E+01   -6.9786E-01
  24.000   4.266674E+02   -1.243680E+01   -6.9957E-01
  25.000   4.146388E+02   -1.163526E+01   -7.0153E-01
  26.000   4.033696E+02   -1.091607E+01   -7.0362E-01
  27.000   3.927831E+02   -1.026757E+01   -7.0579E-01
  28.000   3.828140E+02   -9.680326E+00   -7.0804E-01
  29.000   3.734051E+02   -9.145748E+00   -7.1029E-01
  30.000   3.645069E+02   -8.657687E+00   -7.1255E-01
  31.000   3.560762E+02   -8.210173E+00   -7.1478E-01
  32.000   3.480745E+02   -7.798769E+00   -7.1697E-01
  33.000   3.404680E+02   -7.419361E+00   -7.1912E-01
  34.000   3.332261E+02   -7.068708E+00   -7.2124E-01
  35.000   3.263222E+02   -6.743161E+00   -7.2324E-01
  36.000   3.197320E+02   -6.441027E+00   -7.2522E-01
  37.000   3.134331E+02   -6.160047E+00   -7.2718E-01
  38.000   3.074058E+02   -5.897573E+00   -7.2903E-01
  39.000   3.016322E+02   -5.652440E+00   -7.3084E-01
  40.000   2.960956E+02   -5.423137E+00   -7.3262E-01
  42.000   2.856754E+02   -5.005929E+00   -7.3597E-01
  44.000   2.760395E+02   -4.637232E+00   -7.3916E-01
  46.000   2.670990E+02   -4.309588E+00   -7.4220E-01
  48.000   2.587781E+02   -4.016720E+00   -7.4505E-01
  50.000   2.510118E+02   -3.754208E+00   -7.4781E-01
  52.000   2.437440E+02   -3.517551E+00   -7.5043E-01
  54.000   2.369267E+02   -3.303251E+00   -7.5287E-01
  56.000   2.305175E+02   -3.109153E+00   -7.5531E-01
  58.000   2.244789E+02   -2.932106E+00   -7.5759E-01
  60.000   2.187788E+02   -2.770408E+00   -7.5978E-01
  65.000   2.058276E+02   -2.422263E+00   -7.6495E-01
  70.000   1.944494E+02   -2.138284E+00   -7.6976E-01
  75.000   1.843624E+02   -1.903788E+00   -7.7448E-01
  77.350   1.800030E+02   -1.807628E+00   -7.7676E-01
  80.000   1.753463E+02   -1.708463E+00   -7.7947E-01
  85.000   1.672269E+02   -1.543661E+00   -7.8463E-01
  90.000   1.598702E+02   -1.402555E+00   -7.8958E-01
  95.000   1.531692E+02   -1.280750E+00   -7.9436E-01
 100.000   1.470361E+02   -1.174920E+00   -7.9907E-01
 105.000   1.413981E+02   -1.082256E+00   -8.0367E-01
 110.000   1.361951E+02   -1.000665E+00   -8.0820E-01
 115.000   1.313759E+02   -9.284067E-01   -8.1268E-01
 120.000   1.268980E+02   -8.639657E-01   -8.1700E-01
 125.000   1.227250E+02   -8.062233E-01   -8.2117E-01
 130.000   1.188263E+02   -7.541939E-01   -8.2511E-01
 135.000   1.151748E+02   -7.071222E-01   -8.2884E-01
 140.000   1.117479E+02   -6.643355E-01   -8.3229E-01
 145.000   1.085252E+02   -6.253170E-01   -8.3548E-01
 150.000   1.054892E+02   -5.896022E-01   -8.3838E-01
 155.000   1.026243E+02   -5.568237E-01   -8.4101E-01
 160.000   9.991664E+01   -5.266496E-01   -8.4334E-01
 165.000   9.735390E+01   -4.988110E-01   -8.4541E-01
 170.000   9.492505E+01   -4.730631E-01   -8.4720E-01
 175.000   9.262012E+01   -4.492032E-01   -8.4874E-01
 180.000   9.043018E+01   -4.270458E-01   -8.5003E-01
 185.000   8.834709E+01   -4.064345E-01   -8.5108E-01
 190.000   8.636350E+01   -3.872253E-01   -8.5190E-01
 195.000   8.447270E+01   -3.692951E-01   -8.5249E-01
 200.000   8.266861E+01   -3.525306E-01   -8.5288E-01
 205.000   8.094562E+01   -3.368338E-01   -8.5305E-01
 210.000   7.929864E+01   -3.221139E-01   -8.5303E-01
 215.000   7.772298E+01   -3.082921E-01   -8.5281E-01
 220.000   7.621434E+01   -2.952953E-01   -8.5240E-01
 225.000   7.476876E+01   -2.830596E-01   -8.5181E-01
 230.000   7.338258E+01   -2.715256E-01   -8.5103E-01
 235.000   7.205242E+01   -2.606411E-01   -8.5008E-01
 240.000   7.077517E+01   -2.503576E-01   -8.4897E-01
 245.000   6.954791E+01   -2.406324E-01   -8.4769E-01
 250.000   6.836798E+01   -2.314256E-01   -8.4625E-01
 255.000   6.723285E+01   -2.227018E-01   -8.4466E-01
 260.000   6.614021E+01   -2.144280E-01   -8.4293E-01
 265.000   6.508787E+01   -2.065750E-01   -8.4105E-01
 270.000   6.407380E+01   -1.991153E-01   -8.3905E-01
 273.150   6.345373E+01   -1.946068E-01   -8.3773E-01
 275.000   6.309610E+01   -1.920244E-01   -8.3693E-01
 280.000   6.215298E+01   -1.852792E-01   -8.3469E-01
 285.000   6.124277E+01   -1.788591E-01   -8.3234E-01
 290.000   6.036388E+01   -1.727446E-01   -8.2990E-01
 295.000   5.951484E+01   -1.669182E-01   -8.2737E-01
 300.000   5.869425E+01   -1.613633E-01   -8.2477E-01
 305.000   5.790078E+01   -1.560648E-01   -8.2209E-01
 310.000   5.713320E+01   -1.510084E-01   -8.1936E-01
 315.000   5.639032E+01   -1.461814E-01   -8.1658E-01
 320.000   5.567102E+01   -1.415712E-01   -8.1376E-01
 325.000   5.497426E+01   -1.371665E-01   -8.1091E-01
