#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
19.000		8515.6	7569.6	8763.2	8562.9	8336.1	7640.3	7515.1	8002.7	-0.27118	-0.14159	-0.14506	-0.14628	-0.17911	-0.18330	-0.16194	-0.12677	-0.29370	-0.10379	-0.14221	-0.098637	-0.18887	-0.20207	-0.17206	-0.11207		6.3322	8.8528	14.628	31.847	49.205	177.20			
20.000		8070.1	7992.0	8522.9	8985.0	8703.5	7111.1	7082.4	8179.8	-0.30930	-0.093690	-0.16850	-0.10419	-0.14294	-0.23987	-0.21019	-0.10744	-0.29223	-0.11035	-0.15329	-0.10384	-0.19263	-0.21593	-0.17637	-0.11787		6.5524	9.2396	15.348	33.567	51.925	187.25			
21.000		7835.5	7863.2	9030.1	9281.7	8224.7	7299.3	7231.3	8325.9	-0.32938	-0.10830	-0.11901	-0.074603	-0.19009	-0.21975	-0.19358	-0.091505	-0.29967	-0.12862	-0.15556	-0.12909	-0.19027		-0.18534	-0.12930		6.7725	9.6264	16.069	35.287	54.645	197.31			
22.000		8062.2	7835.5	8597.7	8603.4	7889.5	7078.0	7472.6	7928.9	-0.30998	-0.11144	-0.16120	-0.14223	-0.22309	-0.24341	-0.16667	-0.13482	-0.30909	-0.11021	-0.15850	-0.11856	-0.19107		-0.18890	-0.13109		6.9930	10.013	16.789	37.008	57.365	207.36			
23.000		8429.8	7159.5	8363.9	8243.1	7960.1	7186.2	7224.6	7460.2	-0.27852	-0.18810	-0.18401	-0.17816	-0.21614	-0.23185	-0.19433	-0.18597	-0.31647	-0.10800	-0.15671	-0.11772	-0.20545		-0.18419	-0.14551		7.2133	10.400	17.509	38.728	60.086	217.41			
24.000		7965.5	8381.6	8612.1	9091.2	8295.6		7355.4	7920.8	-0.31825	-0.049509	-0.15980	-0.093601	-0.18310		-0.17974	-0.13570	-0.31919	-0.10723	-0.15897	-0.12429	-0.20639		-0.18490	-0.15964		7.4335	10.787	18.229	40.448	62.806	227.47			
25.000		7638.7	8089.2	8614.9	9027.0	7973.3		7293.7	7518.8	-0.34623	-0.082671	-0.15952	-0.099997	-0.21484		-0.18663	-0.17957	-0.31434	-0.097193	-0.16088	-0.12316			-0.19418	-0.17394		7.6537	11.174	18.949	42.168	65.526	237.52			
26.000		7676.9	7897.1	8913.9	8952.2	8177.1		7199.5	7678.6	-0.34295	-0.10445	-0.13035	-0.10745	-0.19477		-0.19713	-0.16214	-0.32656	-0.075303	-0.16137	-0.11764			-0.19750	-0.17760		7.8739	11.561	19.670	43.888	68.246	247.58			
27.000		8345.4	8278.2	8500.0	8659.9			7056.6	7273.6	-0.28574	-0.061233	-0.17073	-0.13660			-0.21306	-0.20633	-0.32684	-0.087461	-0.16281	-0.13047			-0.20401	-0.18259		8.0940	11.947	20.390	45.409	70.966	257.63			
28.000		7715.8	8124.7	8338.9	8519.9			7075.5	7292.7	-0.33963	-0.078649	-0.18645	-0.15056			-0.21096	-0.20425	-0.32272	-0.097199	-0.16422	-0.13314			-0.20978	-0.18362		8.3142	12.335	21.110	46.729	73.686	267.68			
29.000		7949.5	7845.5	8538.5	8447.9			7063.7	7692.3	-0.31963	-0.11030	-0.16698	-0.15774			-0.21228	-0.16064	-0.32352	-0.11043	-0.18200	-0.12826				-0.18541		8.5344	12.721	21.830	48.050	76.406	277.74			
30.000		7878.9	7659.8	8542.6	8893.2			7035.2	7471.5	-0.32566	-0.13136	-0.16657	-0.11334			-0.21545	-0.18474	-0.33754	-0.12740	-0.17364	-0.13597				-0.17937		8.7546	13.108	22.550	49.370	79.126	287.79			
31.000		7630.4	7313.7	8002.7	9196.9			7118.8	7596.4	-0.34694	-0.17061	-0.21925	-0.083059			-0.20613	-0.17110	-0.34305	-0.13550	-0.16941	-0.14330				-0.17756		8.9748	13.495	23.271	50.691	81.847	297.84			
32.000		7526.3	7530.2	8928.4	8273.5				7550.3	-0.35584	-0.14607	-0.12894	-0.17513				-0.17614	-0.35503	-0.14208	-0.16591	-0.13748				-0.19023		9.1950	13.882	23.991	52.012	84.567	307.90			
33.000		7394.1	7767.4	8555.6	8152.2				7375.9	-0.36716	-0.11916	-0.16531	-0.18722				-0.19516	-0.36216	-0.14584	-0.16307	-0.14518				-0.18734		9.4152	14.269	24.711	53.333	87.287	317.95			
34.000		7249.4	7555.6	8718.0	8739.8				7111.6	-0.37955	-0.14319	-0.14946	-0.12864				-0.22400	-0.36723	-0.13788	-0.15331	-0.16677				-0.19855		9.6354	14.655	25.431	54.653	90.007	328.00			
35.000		7462.7	7493.8	8687.9	8507.1				7604.1	-0.36129	-0.15019	-0.15240	-0.15183				-0.17027	-0.36825	-0.14225	-0.16343	-0.14788				-0.20380		9.8556	15.042	26.151	55.974	92.727	338.06			
36.000		7334.2	7665.0	8502.8	8113.8				7082.5	-0.37229	-0.13078	-0.17045	-0.19104				-0.22718	-0.36269	-0.15191	-0.16539	-0.12683				-0.21072		10.076	15.429	26.871	57.295	95.447	348.11			
37.000		7466.3	7337.4	8410.1	9220.9				7309.8	-0.36098	-0.16792	-0.17950	-0.080672				-0.20238	-0.36110	-0.15177	-0.16654	-0.14537				-0.21321		10.296	15.816	27.592	58.615	98.167	358.17			
38.000		7719.1	7341.5	8454.8	9208.0				7058.8	-0.33935	-0.16746	-0.17514	-0.081959				-0.22976	-0.36200	-0.15103	-0.17834	-0.14884				-0.21996		10.516	16.203	28.312	59.936	100.89	368.22			
39.000		7342.3	7561.7	8659.0	7809.9				6997.7	-0.37159	-0.14249	-0.15522	-0.22135				-0.23644	-0.36216	-0.15751	-0.18282	-0.13706						10.736	16.590	29.032	61.257	103.61	378.27			
40.000		7409.9	7526.3	8083.1	8333.3				7294.4	-0.36581	-0.14650	-0.21140	-0.16916				-0.20406	-0.35882		-0.18611	-0.15180						10.956	16.976	29.752	62.578	106.33	388.33			
41.000		7325.2	7379.3	8273.5	8704.3					-0.37306	-0.16317	-0.19283	-0.13217					-0.36955		-0.19287	-0.18340						11.177	17.330	30.472	63.898	109.05	398.38			
42.000		7661.5		8241.8	8481.6					-0.34427		-0.19593	-0.15438					-0.36822		-0.20515	-0.17190						11.397	17.345	30.943	65.219	111.77	408.43			
43.000		7092.2		8108.1	7623.4					-0.39300		-0.20897	-0.23994					-0.37120		-0.19470	-0.16596						11.617	17.361	31.130	66.540	114.49	418.49			
44.000		7419.8		8029.5	8386.6					-0.36496		-0.21664	-0.16385					-0.36978		-0.20019	-0.17369						11.837	17.376	31.284	67.860	117.21	428.54			
45.000		7235.6		8618.9	8631.1					-0.38073		-0.15913	-0.13947					-0.38066		-0.19930	-0.17707						12.057	17.391	31.438	69.181	119.93	438.60			
46.000		7408.4		7992.0	8316.7					-0.36593		-0.22029	-0.17082					-0.38504		-0.19609	-0.15934						12.278	17.406	31.591		122.65	448.65			
47.000		7025.8		8287.3	8312.2					-0.39869		-0.19148	-0.17127					-0.38944		-0.19912	-0.15390						12.498	17.422	31.746		125.37	458.70			
48.000		6836.4		8272.7	8512.8					-0.41490		-0.19290	-0.15126					-0.39668		-0.21381	-0.17924						12.718	17.437	31.900		128.09	468.76			
49.000		7163.1		7874.0	8659.0					-0.38693		-0.23180	-0.13669					-0.40869		-0.21139	-0.17413						12.938	17.452	32.054		130.81	478.81			
