#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
																															612.12	897.03			
																															613.44	898.35			
																															614.76	899.67			
																															616.09	900.99			
																															617.41	902.31			
																															618.73	903.63			
																															620.05	904.95			
																															621.37	906.27			
																															622.69	907.59			
																															624.01	908.91			
																															625.33	910.23			
																															626.65	911.55			
																															627.97	912.87			
																															629.30	914.19			
																															630.62	915.51			
																															631.94	916.84			
																															633.26	918.16			
																															634.58	919.48			
																															635.90	920.80			
																															637.22	922.12			
																															638.54	923.44			
																															639.86	924.76			
																															641.18	926.08			
																															642.51	927.40			
																															643.83	928.72			
																															645.15	930.04			
																															646.47	931.36			
																															647.79	932.68			
																															649.11	934.00			
																															650.43	935.33			
																															651.75	936.65			
																															653.07	937.97			
																															654.39	939.29			
																															655.72	940.61			
																															657.04	941.93			
																															658.36	943.25			
																															659.68	944.57			
																															661.00	945.89			
																															662.32	947.21			
																															663.64	948.53			
																															664.96	949.85			
																															666.28	951.17			
																															667.60	952.49			
																															668.92	953.82			
																															670.25	955.14			
																															671.57	956.46			
																															672.89	957.78			
																															674.21	959.10			
																															675.53	960.42			
																															676.85	961.74			
																															678.17	963.06			
																															679.49	964.38			
																															680.81	965.70			
																															682.13	967.02			
																															683.46	968.34			
																															684.78	969.66			
																															686.10	970.98			
																															687.42	972.31			
																															688.74	973.63			
																															690.06	974.95			
																															691.38	976.27			
																															692.70	977.59			
																															694.02	978.91			
																															695.35	980.23			
																															696.67	981.55			
																															697.99	982.87			
																															699.31	984.19			
																															700.63	985.51			
																															701.95	986.83			
																															703.27	988.15			
																															704.59	989.47			
																															705.91	990.80			
																															707.23	992.12			
																															708.56	993.44			
																															709.88	994.76			
																															711.20	996.08			
																															712.52	997.40			
																															713.84	998.72			
																															715.16	1000.0			
																															716.48	1001.4			
																															717.80	1002.7			
																															719.12	1004.0			
																															720.45	1005.3			
																															721.77	1006.6			
																															723.09	1008.0			
																															724.41	1009.3			
																															725.73	1010.6			
																															727.05	1011.9			
																															728.37	1013.2			
																															729.69	1014.6			
																															731.01	1015.9			
																															732.33	1017.2			
																															733.66	1018.5			
																															734.98	1019.9			
																															736.30	1021.2			
																															737.62	1022.5			
																															738.94	1023.8			
																															740.26	1025.1			
																															741.58	1026.5			
																															742.90	1027.8			
																															744.22	1029.1			
																															745.54	1030.4			
																															746.87	1031.7			
																															748.19	1033.1			
																															749.51	1034.4			
																															750.83	1035.7			
																															752.15	1037.0			
																															753.47	1038.3			
																															754.79	1039.7			
																															756.11	1041.0			
																															757.43	1042.3			
																															758.76	1043.6			
																															760.08	1044.9			
																															761.40	1046.3			
																															762.72	1047.6			
																															764.04	1048.9			
																															765.36	1050.2			
																															766.68	1051.6			
																															768.00	1052.9			
																															769.32	1054.2			
																															770.65	1055.5			
																															771.97	1056.8			
																															773.29	1058.2			
																															774.61	1059.5			
																															775.93	1060.8			
																															777.25	1062.1			
																															778.57	1063.4			
																															779.89	1064.8			
																															781.21	1066.1			
																															782.54	1067.4			
																															783.86	1068.7			
																															785.18	1070.0			
																															786.50	1071.4			
																															787.82	1072.7			
																															789.14	1074.0			
																															790.46	1075.3			
																															791.78	1076.6			
																															793.10	1078.0			
																															794.43	1079.3			
																															795.75	1080.6			
																															797.07	1081.9			
																															798.39	1083.2			
																															799.71	1084.6			
																															801.03	1085.9			
																															802.35	1087.2			
																															803.67	1088.5			
																															804.99	1089.9			
																															806.32	1091.2			
																															807.64	1092.5			
																															808.96	1093.8			
																															810.28	1095.1			
																															811.60	1096.5			
																															812.92	1097.8			
																															814.24	1099.1			
																															815.56	1100.4			
																															816.88	1101.7			
																															818.21	1103.1			
																															819.53	1104.4			
																															820.85	1105.7			
																															822.17	1107.0			
																															823.49	1108.3			
																															824.81	1109.7			
																															826.13	1111.0			
																															827.45	1112.3			
																															828.77	1113.6			
																															830.10	1114.9			
																															831.42	1116.3			
																															832.74	1117.6			
																															834.06	1118.9			
																															835.38	1120.2			
																															836.70	1121.6			
																															838.02	1122.9			
																															839.34	1124.2			
																															840.66	1125.5			
																															841.99	1126.8			
																															843.31	1128.2			
																															844.63	1129.5			
																															845.95	1130.8			
																															847.27	1132.1			
																															848.59	1133.4			
																															849.91	1134.8			
																															851.23	1136.1			
																															852.55	1137.4			
																															853.87	1138.7			
																															855.20	1140.0			
																															856.52	1141.4			
																															857.84	1142.7			
																															859.16	1144.0			
																															860.48	1145.3			
																															861.80	1146.6			
																															863.12	1148.0			
																															864.44	1149.3			
																															865.76	1150.6			
																															867.09	1151.9			
																															868.41	1153.2			
																															869.73	1154.6			
																															871.05	1155.9			
																															872.37	1157.2			
																															873.69	1158.5			
																															875.01	1159.9			
																															876.33	1161.2			
																															877.66	1162.5			
																															878.98	1163.8			
																															880.30	1165.1			
																															881.62	1166.5			
																															882.94	1167.8			
																															884.26	1169.1			
																															885.58	1170.4			
																															886.90	1171.7			
																															888.23	1173.1			
																															889.55	1174.4			
																															890.87	1175.7			
																															892.19	1177.0			
																															893.51	1178.3			
																															894.83	1179.7			
																															896.15	1181.0			
																															897.47	1182.3			
																															898.80	1183.6			
																															900.12	1184.9			
																															901.44	1186.3			
																															902.76	1187.6			
																															904.08	1188.9			
																															905.40	1190.2			
																															906.72	1191.6			
																															908.04	1192.9			
																															909.37	1194.2			
																															910.69	1195.5			
																															912.01	1196.8			
																															913.33	1198.2			
																															914.65	1199.5			
																															915.97	1200.8			
																															917.29	1202.1			
																															918.61	1203.4			
																															919.94	1204.8			
																															921.26	1206.1			
																															922.58	1207.4			
																															923.90	1208.7			
																															925.22	1210.0			
																															926.54	1211.4			
																															927.86	1212.7			
																															929.18	1214.0			
																															930.51	1215.3			
																															931.83	1216.6			
																															933.15	1218.0			
																															934.47	1219.3			
																															935.79	1220.6			
																															937.11	1221.9			
																															938.43	1223.2			
																															939.75	1224.6			
																															941.08	1225.9			
																															942.40	1227.2			
																															943.72	1228.5			
																															945.04	1229.9			
																															946.36	1231.2			
																															947.68	1232.5			
																															949.00	1233.8			
																															950.32	1235.1			
																															951.64	1236.5			
																															952.97	1237.8			
																															954.29	1239.1			
																															955.61	1240.4			
																															956.93	1241.7			
																															958.25	1243.1			
																															959.57	1244.4			
																															960.89	1245.7			
																															962.21	1247.0			
																															963.54	1248.3			
																															964.86	1249.7			
																															966.18	1251.0			
																															967.50	1252.3			
																															968.82	1253.6			
																															970.14	1254.9			
																															971.46	1256.3			
																															972.78	1257.6			
																															974.10	1258.9			
																															975.43	1260.2			
																															976.75	1261.6			
																															978.07	1262.9			
																															979.39	1264.2			
																															980.71	1265.5			
																															982.03	1266.8			
																															983.35	1268.2			
																															984.67	1269.5			
																															986.00	1270.8			
																															987.32	1272.1			
																															988.64	1273.4			
																															989.96	1274.8			
																															991.28	1276.1			
																															992.60	1277.4			
																															993.92	1278.7			
																															995.24	1280.0			
																															996.57	1281.4			
																															997.89	1282.7			
																															999.21	1284.0			
																															1000.5	1285.3			
																															1001.9	1286.6			
																															1003.2	1288.0			
																															1004.5	1289.3			
																															1005.8	1290.6			
																															1007.1	1291.9			
																															1008.5	1293.3			
																															1009.8	1294.6			
																															1011.1	1295.9			
																															1012.4	1297.2			
																															1013.7	1298.5			
																															1015.1	1299.9			
																															1016.4	1301.2			
																															1017.7	1302.5			
																															1019.0	1303.8			
																															1020.3	1305.1			
																															1021.7	1306.5			
																															1023.0				
																															1024.3				
																															1025.6				
																															1027.0				
																															1028.3				
																															1029.6				
																															1030.9				
																															1032.2				
																															1033.6				
																															1034.9				
																															1036.2				
																															1037.5				
																															1038.8				
																															1040.2				
																															1041.5				
																															1042.8				
																															1044.1				
																															1045.5				
																															1046.8				
																															1048.1				
																															1049.4				
																															1050.7				
																															1052.1				
																															1053.4				
																															1054.7				
																															1056.0				
																															1057.3				
																															1058.7				
																															1060.0				
																															1061.3				
																															1062.6				
																															1064.0				
																															1065.3				
																															1066.6				
																															1067.9				
																															1069.2				
																															1070.6				
																															1071.9				
																															1073.2				
																															1074.5				
																															1075.8				
																															1077.2				
																															1078.5				
																															1079.8				
																															1081.1				
																															1082.4				
																															1083.8				
																															1085.1				
																															1086.4				
																															1087.7				
																															1089.1				
																															1090.4				
																															1091.7				
																															1093.0				
																															1094.3				
																															1095.7				
																															1097.0				
																															1098.3				
																															1099.6				
																															1100.9				
																															1102.3				
																															1103.6				
																															1104.9				
																															1106.2				
																															1107.6				
																															1108.9				
																															1110.2				
																															1111.5				
																															1112.8				
																															1114.2				
																															1115.5				
																															1116.8				
																															1118.1				
																															1119.4				
																															1120.8				
																															1122.1				
																															1123.4				
																															1124.7				
																															1126.1				
																															1127.4				
																															1128.7				
																															1130.0				
																															1131.3				
																															1132.7				
																															1134.0				
																															1135.3				
																															1136.6				
																															1137.9				
																															1139.3				
																															1140.6				
																															1141.9				
																															1143.2				
																															1144.5				
																															1145.9				
																															1147.2				
																															1148.5				
																															1149.8				
																															1151.2				
																															1152.5				
																															1153.8				
																															1155.1				
																															1156.4				
																															1157.8				
																															1159.1				
																															1160.4				
																															1161.7				
																															1163.0				
																															1164.4				
																															1165.7				
																															1167.0				
																															1168.3				
																															1169.7				
																															1171.0				
																															1172.3				
																															1173.6				
																															1174.9				
																															1176.3				
																															1177.6				
																															1178.9				
																															1180.2				
																															1181.5				
																															1182.9				
																															1184.2				
																															1185.5				
																															1186.8				
																															1188.1				
																															1189.5				
																															1190.8				
																															1192.1				
																															1193.4				
																															1194.8				
																															1196.1				
																															1197.4				
																															1198.7				
																															1200.0				
																															1201.4				
																															1202.7				
																															1204.0				
																															1205.3				
																															1206.6				
																															1208.0				
																															1209.3				
																															1210.6				
																															1211.9				
																															1213.3				
																															1214.6				
																															1215.9				
																															1217.2				
																															1218.5				
																															1219.9				
																															1221.2				
																															1222.5				
																															1223.8				
																															1225.1				
																															1226.5				
																															1227.8				
																															1229.1				
																															1230.4				
																															1231.7				
																															1233.1				
																															1234.4				
																															1235.7				
																															1237.0				
																															1238.3				
																															1239.7				
																															1241.0				
																															1242.3				
																															1243.6				
																															1245.0				
																															1246.3				
																															1247.6				
																															1248.9				
																															1250.2				
																															1251.6				
																															1252.9				
																															1254.2				
																															1255.5				
																															1256.8				
																															1258.2				
																															1259.5				
																															1260.8				
																															1262.1				
																															1263.4				
																															1264.8				
																															1266.1				
																															1267.4				
																															1268.7				
																															1270.1				
																															1271.4				
																															1272.7				
																															1274.0				
																															1275.3				
																															1276.7				
																															1278.0				
																															1279.3				
																															1280.6				
																															1281.9				
																															1283.3				
																															1284.6				
																															1285.9				
																															1287.2				
																															1288.5				
																															1289.9				
																															1291.2				
																															1292.5				
																															1293.8				
																															1295.2				
																															1296.5				
																															1297.8				
																															1299.1				
																															1300.4				
																															1301.8				
																															1303.1				
																															1304.4				
																															1305.7				
																															1307.0				
																															1308.4				
																															1309.7				
																															1311.0				
																															1312.3				
																															1313.6				
																															1315.0				
																															1316.3				
																															1317.6				
																															1318.9				
																															1320.3				
																															1321.6				
																															1322.9				
																															1324.2				
																															1325.5				
																															1326.9				
																															1328.2				
																															1329.5				
																															1330.8				
																															1332.1				
																															1333.5				
																															1334.8				
																															1336.1				
																															1337.4				
																															1338.7				
																															1340.1				
																															1341.4				
																															1342.7				
																															1344.0				
																															1345.4				
																															1346.7				
																															1348.0				
																															1349.3				
																															1350.6				
																															1352.0				
																															1353.3				
																															1354.6				
																															1355.9				
																															1357.2				
																															1358.6				
																															1359.9				
																															1361.2				
																															1362.5				
																															1363.9				
																															1365.2				
																															1366.5				
																															1367.8				
																															1369.1				
																															1370.5				
																															1371.8				
																															1373.1				
																															1374.4				
																															1375.7				
																															1377.1				
																															1378.4				
																															1379.7				
																															1381.0				
																															1382.3				
																															1383.7				
																															1385.0				
																															1386.3				
																															1387.6				
																															1389.0				
																															1390.3				
																															1391.6				
																															1392.9				
																															1394.2				
																															1395.6				
																															1396.9				
																															1398.2				
																															1399.5				
																															1400.8				
																															1402.2				
																															1403.5				
																															1404.8				
																															1406.1				
																															1407.5				
																															1408.8				
																															1410.1				
																															1411.4				
																															1412.7				
																															1414.1				
																															1415.4				
																															1416.7				
																															1418.0				
																															1419.3				
																															1420.7				
																															1422.0				
																															1423.3				
																															1424.6				
																															1426.0				
																															1427.3				
																															1428.6				
																															1429.9				
																															1431.2				
																															1432.6				
																															1433.9				
																															1435.2				
																															1436.5				
																															1437.8				
																															1439.2				
																															1440.5				
																															1441.8				
																															1443.1				
																															1444.4				
																															1445.8				
																															1447.1				
																															1448.4				
																															1449.7				
																															1451.1				
																															1452.4				
																															1453.7				
																															1455.0				
																															1456.3				
																															1457.7				
																															1459.0				
																															1460.3				
																															1461.6				
																															1462.9				
																															1464.3				
																															1465.6				
																															1466.9				
																															1468.2				
																															1469.5				
																															1470.9				
																															1472.2				
																															1473.5				
																															1474.8				
																															1476.2				
																															1477.5				
																															1478.8				
																															1480.1				
																															1481.4				
																															1482.8				
																															1484.1				
																															1485.4				
																															1486.7				
																															1488.0				
																															1489.4				
																															1490.7				
																															1492.0				
																															1493.3				
																															1494.6				
																															1496.0				
																															1497.3				
																															1498.6				
																															1499.9				
																															1501.2				
																															1502.6				
																															1503.9				
																															1505.2				
																															1506.5				
																															1507.9				
																															1509.2				
																															1510.5				
																															1511.8				
																															1513.1				
																															1514.5				
																															1515.8				
																															1517.1				
																															1518.4				
																															1519.7				
																															1521.1				
																															1522.4				
																															1523.7				
																															1525.0				
																															1526.3				
																															1527.7				
																															1529.0				
																															1530.3				
																															1531.6				
																															1533.0				
																															1534.3				
																															1535.6				
																															1536.9				
																															1538.2				
																															1539.6				
																															1540.9				
																															1542.2				
																															1543.5				
																															1544.8				
																															1546.2				
																															1547.5				
																															1548.8				
																															1550.1				
																															1551.4				
																															1552.8				
																															1554.1				
																															1555.4				
																															1556.7				
																															1558.0				
																															1559.4				
																															1560.7				
																															1562.0				
																															1563.3				
																															1564.7				
																															1566.0				
																															1567.3				
																															1568.6				
																															1569.9				
																															1571.3				
																															1572.6				
																															1573.9				
																															1575.2				
																															1576.5				
																															1577.9				
																															1579.2				
																															1580.5				
																															1581.8				
																															1583.1				
																															1584.5				
																															1585.8				
																															1587.1				
																															1588.4				
																															1589.8				
																															1591.1				
																															1592.4				
																															1593.7				
																															1595.0				
																															1596.4				
																															1597.7				
																															1599.0				
																															1600.3				
																															1601.6				
																															1603.0				
																															1604.3				
																															1605.6				
																															1606.9				
																															1608.2				
																															1609.6				
																															1610.9				
																															1612.2				
																															1613.5				
																															1614.9				
																															1616.2				
																															1617.5				
																															1618.8				
																															1620.1				
																															1621.5				
																															1622.8				
																															1624.1				
																															1625.4				
																															1626.7				
																															1628.1				
																															1629.4				
																															1630.7				
																															1632.0				
																															1633.3				
																															1634.7				
																															1636.0				
																															1637.3				
																															1638.6				
																															1640.0				
																															1641.3				
																															1642.6				
																															1643.9				
																															1645.2				
																															1646.6				
																															1647.9				
																															1649.2				
																															1650.5				
																															1651.8				
																															1653.2				
																															1654.5				
																															1655.8				
																															1657.1				
																															1658.5				
																															1659.8				
																															1661.1				
																															1662.4				
																															1663.7				
																															1665.1				
																															1666.4				
																															1667.7				
																															1669.0				
																															1670.3				
																															1671.7				
																															1673.0				
																															1674.3				
																															1675.6				
																															1677.0				
																															1678.3				
																															1679.6				
																															1680.9				
																															1682.2				
																															1683.6				
																															1684.9				
																															1686.2				
																															1687.5				
																															1688.8				
																															1690.2				
																															1691.5				
																															1692.8				
																															1694.1				
																															1695.4				
																															1696.8				
																															1698.1				
																															1699.4				
																															1700.7				
																															1702.1				
																															1703.4				
																															1704.7				
																															1706.0				
																															1707.3				
																															1708.7				
																															1710.0				
																															1711.3				
																															1712.6				
																															1713.9				
																															1715.3				
																															1716.6				
																															1717.9				
																															1719.2				
																															1720.6				
																															1721.9				
																															1723.2				
																															1724.5				
																															1725.8				
																															1727.2				
																															1728.5				
																															1729.8				
																															1731.1				
																															1732.4				
																															1733.8				
																															1735.1				
																															1736.4				
																															1737.7				
																															1739.0				
																															1740.4				
																															1741.7				
																															1743.0				
																															1744.3				
																															1745.7				
																															1747.0				
																															1748.3				
																															1749.6				
																															1750.9				
																															1752.3				
																															1753.6				
																															1754.9				
																															1756.2				
																															1757.5				
																															1758.9				
																															1760.2				
																															1761.5				
																															1762.8				
																															1764.2				
																															1765.5				
																															1766.8				
																															1768.1				
																															1769.4				
																															1770.8				
																															1772.1				
																															1773.4				
																															1774.7				
																															1776.0				
																															1777.4				
																															1778.7				
																															1780.0				
																															1781.3				
																															1782.6				
																															1784.0				
																															1785.3				
																															1786.6				
																															1787.9				
																															1789.3				
																															1790.6				
																															1791.9				
																															1793.2				
																															1794.5				
																															1795.9				
																															1797.2				
																															1798.5				
																															1799.8				
																															1801.1				
																															1802.5				
																															1803.8				
																															1805.1				
																															1806.4				
																															1807.8				
																															1809.1				
																															1810.4				
																															1811.7				
																															1813.0				
																															1814.4				
																															1815.7				
																															1817.0				
																															1818.3				
																															1819.6				
																															1821.0				
																															1822.3				
																															1823.6				
																															1824.9				
																															1826.2				
																															1827.6				
																															1828.9				
																															1830.2				
																															1831.5				
																															1832.9				
																															1834.2				
																															1835.5				
																															1836.8				
																															1838.1				
																															1839.5				
																															1840.8				
																															1842.1				
																															1843.4				
																															1844.7				
																															1846.1				
																															1847.4				
																															1848.7				
																															1850.0				
																															1851.4				
																															1852.7				
																															1854.0				
																															1855.3				
																															1856.6				
																															1858.0				
																															1859.3				
																															1860.6				
																															1861.9				
																															1863.2				
																															1864.6				
																															1865.9				
																															1867.2				
																															1868.5				
																															1869.9				
																															1871.2				
																															1872.5				
																															1873.8				
																															1875.1				
																															1876.5				
																															1877.8				
																															1879.1				
																															1880.4				
																															1881.7				
																															1883.1				
																															1884.4				
																															1885.7				
																															1887.0				
																															1888.3				
																															1889.7				
																															1891.0				
																															1892.3				
																															1893.6				
																															1895.0				
																															1896.3				
																															1897.6				
																															1898.9				
																															1900.2				
																															1901.6				
																															1902.9				
																															1904.2				
																															1905.5				
																															1906.8				
																															1908.2				
																															1909.5				
																															1910.8				
																															1912.1				
																															1913.5				
																															1914.8				
																															1916.1				
																															1917.4				
																															1918.7				
																															1920.1				
																															1921.4				
																															1922.7				
																															1924.0				
																															1925.3				
																															1926.7				
																															1928.0				
																															1929.3				
																															1930.6				
																															1932.0				
																															1933.3				
																															1934.6				
																															1935.9				
																															1937.2				
																															1938.6				
																															1939.9				
																															1941.2				
																															1942.5				
																															1943.8				
																															1945.2				
																															1946.5				
																															1947.8				
																															1949.1				
																															1950.4				
																															1951.8				
																															1953.1				
																															1954.4				
																															1955.7				
																															1957.1				
																															1958.4				
																															1959.7				
																															1961.0				
																															1962.3				
																															1963.7				
																															1965.0				
																															1966.3				
																															1967.6				
																															1968.9				
																															1970.3				
																															1971.6				
																															1972.9				
																															1974.2				
																															1975.6				
																															1976.9				
																															1978.2				
																															1979.5				
																															1980.8				
																															1982.2				
																															1983.5				
																															1984.8				
																															1986.1				
																															1987.4				
																															1988.8				
																															1990.1				
																															1991.4				
																															1992.7				
																															1994.1				
																															1995.4				
																															1996.7				
																															1998.0				
																															1999.3				
																															2000.7				
																															2002.0				
																															2003.3				
																															2004.6				
																															2005.9				
																															2007.3				
																															2008.6				
																															2009.9				
																															2011.2				
																															2012.5				
																															2013.9				
																															2015.2				
																															2016.5				
																															2017.8				
																															2019.2				
																															2020.5				
																															2021.8				
																															2023.1				
																															2024.4				
																															2025.8				
																															2027.1				
																															2028.4				
																															2029.7				
																															2031.0				
																															2032.4				
																															2033.7				
																															2035.0				
																															2036.3				
																															2037.7				
																															2039.0				
																															2040.3				
																															2041.6				
																															2042.9				
																															2044.3				
																															2045.6				
																															2046.9				
																															2048.2				
																															2049.5				
																															2050.9				
																															2052.2				
																															2053.5				
																															2054.8				
																															2056.1				
																															2057.5				
																															2058.8				
																															2060.1				
																															2061.4				
																															2062.8				
																															2064.1				
																															2065.4				
																															2066.7				
																															2068.0				
																															2069.4				
																															2070.7				
																															2072.0				
																															2073.3				
																															2074.6				
																															2076.0				
																															2077.3				
																															2078.6				
																															2079.9				
																															2081.2				
																															2082.6				
																															2083.9				
																															2085.2				
																															2086.5				
																															2087.9				
																															2089.2				
																															2090.5				
																															2091.8				
																															2093.1				
																															2094.5				
																															2095.8				
																															2097.1				
																															2098.4				
																															2099.7				
																															2101.1				
																															2102.4				
																															2103.7				
																															2105.0				
																															2106.4				
																															2107.7				
																															2109.0				
																															2110.3				
																															2111.6				
																															2113.0				
																															2114.3				
																															2115.6				
																															2116.9				
																															2118.2				
																															2119.6				
																															2120.9				
																															2122.2				
																															2123.5				
																															2124.9				
																															2126.2				
																															2127.5				
																															2128.8				
																															2130.1				
																															2131.5				
																															2132.8				
																															2134.1				
																															2135.4				
																															2136.7				
																															2138.1				
																															2139.4				
																															2140.7				
																															2142.0				
																															2143.4				
																															2144.7				
																															2146.0				
																															2147.3				
																															2148.6				
																															2150.0				
																															2151.3				
																															2152.6				
																															2153.9				
																															2155.2				
																															2156.6				
																															2157.9				
																															2159.2				
																															2160.5				
																															2161.8				
																															2163.2				
																															2164.5				
																															2165.8				
																															2167.1				
																															2168.5				
																															2169.8				
																															2171.1				
																															2172.4				
																															2173.7				
																															2175.1				
																															2176.4				
																															2177.7				
																															2179.0				
																															2180.3				
																															2181.7				
																															2183.0				
																															2184.3				
																															2185.6				
																															2187.0				
																															2188.3				
																															2189.6				
																															2190.9				
																															2192.2				
																															2193.6				
																															2194.9				
																															2196.2				
																															2197.5				
																															2198.8				
																															2200.2				
																															2201.5				
																															2202.8				
																															2204.1				
																															2205.4				
																															2206.8				
																															2208.1				
																															2209.4				
																															2210.7				
																															2212.1				
																															2213.4				
																															2214.7				
																															2216.0				
																															2217.3				
																															2218.7				
																															2220.0				
																															2221.3				
																															2222.6				
																															2223.9				
																															2225.3				
																															2226.6				
																															2227.9				
																															2229.2				
																															2230.6				
																															2231.9				
																															2233.2				
																															2234.5				
																															2235.8				
																															2237.2				
																															2238.5				
																															2239.8				
																															2241.1				
																															2242.4				
																															2243.8				
																															2245.1				
																															2246.4				
																															2247.7				
																															2249.1				
																															2250.4				
																															2251.7				
																															2253.0				
																															2254.3				
																															2255.7				
