Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
22.051261E+0,290.536204E+0,290.910000E+0,-298.140196E-3,10.000000E+0,1.812642E+0,4.000198E+0,1.854080E+0,-17.750980E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
67.444858E+0,290.536204E+0,290.910000E+0,-222.129236E-3,13.000000E+0,1.812282E+0,4.137414E+0,1.852580E+0,-17.766260E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
112.298423E+0,290.157924E+0,290.910000E+0,-121.873177E-3,13.000000E+0,1.808792E+0,4.088246E+0,1.851078E+0,-17.768400E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
545.403195E+0,290.008661E+0,291.130000E+0,-48.757697E-3,6.000000E+0,1.801046E+0,4.169512E+0,1.843972E+0,-17.953560E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
590.306764E+0,290.008661E+0,291.020000E+0,0.000000E+0,5.000000E+0,1.802690E+0,4.204276E+0,1.844008E+0,-18.035180E+0,1.840000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
635.221333E+0,288.886072E+0,291.130000E+0,-96.929972E-3,5.000000E+0,1.795608E+0,4.216042E+0,1.843670E+0,-18.082260E+0,1.360000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
680.071898E+0,287.763207E+0,291.020000E+0,-145.448402E-3,0.000000E+0,1.799918E+0,4.171614E+0,1.843490E+0,-18.113300E+0,1.300000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
724.955465E+0,286.641943E+0,291.020000E+0,-145.448402E-3,0.000000E+0,1.800150E+0,4.226220E+0,1.844064E+0,-18.119520E+0,1.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
769.829031E+0,285.519854E+0,290.800000E+0,-48.518431E-3,0.000000E+0,1.799892E+0,4.197424E+0,1.845052E+0,-18.127680E+0,700.000000E-3,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
814.723599E+0,284.398015E+0,290.570000E+0,-24.516869E-3,0.000000E+0,1.802980E+0,4.149212E+0,1.847468E+0,-18.113680E+0,700.000000E-3,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
859.605166E+0,283.275651E+0,290.350000E+0,-73.538043E-3,0.000000E+0,1.805770E+0,4.196012E+0,1.851560E+0,-18.106700E+0,700.000000E-3,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
904.516736E+0,282.153612E+0,290.130000E+0,-173.796336E-3,0.000000E+0,1.814202E+0,4.238386E+0,1.857418E+0,-18.093400E+0,700.000000E-3,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
