Temperature             Resistance
(Kelvin)                (Ohms)

1.20268088579178E+00   7.33799821724486E+02
1.30103355646133E+00   6.83351600665661E+02
1.39842683076859E+00   6.40588401155309E+02
1.59804284572601E+00   5.71510166521289E+02
1.80126774311066E+00   5.19388707650520E+02
1.99603623151779E+00   4.80166950124361E+02
2.19638180732727E+00   4.47435986883019E+02
2.39997076988220E+00   4.19884414805777E+02
2.59976315498352E+00   3.97120021244270E+02
2.79891538619995E+00   3.77748446745560E+02
2.99763619899750E+00   3.61054942450766E+02
3.19666647911072E+00   3.46435606196558E+02
3.39954483509064E+00   3.33302923241999E+02
3.59533047676086E+00   3.21943088887800E+02
3.80090630054474E+00   3.11300127241288E+02
4.00172019004822E+00   3.01899519357745E+02
4.20438098907471E+00   2.93238379247657E+02
4.62479567527771E+00   2.77656038250498E+02
5.00792932510376E+00   2.65494101246497E+02
5.51376366615295E+00   2.51792102028252E+02
6.21474432945252E+00   2.36302160133371E+02
7.00874352455139E+00   2.22000374934020E+02
8.00483083724976E+00   2.07578428577372E+02
9.01972150802612E+00   1.95724568709752E+02
1.00523867607117E+01   1.85752987910605E+02
1.10591135025024E+01   1.77485637747296E+02
1.20611519813538E+01   1.70378568287836E+02
1.30706930160523E+01   1.64118804591020E+02
1.40518822669983E+01   1.58674010129494E+02
1.50534214973450E+01   1.53710734579367E+02
1.60583038330078E+01   1.49163623333217E+02
1.70443668365479E+01   1.45125247206376E+02
1.80404024124146E+01   1.41323958474784E+02
1.90257387161255E+01   1.37899104885481E+02
2.00319757461548E+01   1.34653570370778E+02
2.11058874130249E+01   1.31410039331783E+02
2.27272663116455E+01   1.26930843065812E+02
2.42407932281494E+01   1.23134736054517E+02
2.58723802566528E+01   1.19391686921273E+02
2.74564561843872E+01   1.16045619331533E+02
2.90695858001709E+01   1.12896302691379E+02
3.08821144104004E+01   1.09636409451575E+02
3.29965744018555E+01   1.06115463619501E+02
3.60243949890137E+01   1.01615655983921E+02
3.90264358520508E+01   9.76252382421993E+01
4.19578266143799E+01   9.41188705828887E+01
4.49725093841553E+01   9.08502096899504E+01
4.79713001251221E+01   8.78919360136546E+01
5.00082778930664E+01   8.60287951766630E+01
5.49670753479004E+01   8.19063213764341E+01
5.99643096923828E+01   7.82583503399626E+01
6.48793067932129E+01   7.50745114092222E+01
6.98737106323242E+01   7.21730895113328E+01
7.48357124328613E+01   6.95824508675202E+01
7.98607826232910E+01   6.71857014176497E+01
8.48500022888184E+01   6.50161648706832E+01
8.98120803833008E+01   6.30280911888340E+01
9.48305587768555E+01   6.11758977789488E+01
9.99358749389648E+01   5.94263100005199E+01
1.09919170379639E+02   5.63446050701524E+01
1.19930786132813E+02   5.36425419382190E+01
1.29929191589356E+02   5.12435034376562E+01
1.39952980041504E+02   4.90909068808018E+01
1.49924255371094E+02   4.71677667447920E+01
1.59906616210938E+02   4.54115610742818E+01
1.69909149169922E+02   4.38161551794821E+01
1.79870933532715E+02   4.23583678144542E+01
1.89873962402344E+02   4.10223182920342E+01
1.99893409729004E+02   3.97874742302470E+01
2.09874893188477E+02   3.86555643283303E+01
2.19876205444336E+02   3.76016476625992E+01
2.29898086547852E+02   3.66206879668143E+01
2.39864921569824E+02   3.57210439428450E+01
2.49850822448731E+02   3.48734516697597E+01
2.59846984863281E+02   3.40897359477676E+01
2.69852722167969E+02   3.33498067951161E+01
2.79866470336914E+02   3.26638071519633E+01
2.89861892700195E+02   3.20085511208655E+01
2.99860794067383E+02   3.14039931044947E+01
3.09874359130859E+02   3.08319553817026E+01
3.14872085571289E+02   3.05608904674867E+01
3.19861755371094E+02   3.02979172246864E+01
3.25825576782227E+02   2.99917984147387E+01
3.29672866821289E+02   2.97998487046029E+01
