Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,7.565415E-3,17.415000E-6,-114.940500E-3,5.500000E-6,50.000000E+0
40.000000E+0,46.046000E-3,57.200000E-6,-134.874000E-3,40.000000E-6,50.000000E+0
50.000000E+0,63.760150E-3,14.350000E-6,-168.754500E-3,53.500000E-6,50.000000E+0
60.000000E+0,36.162150E-3,214.850000E-6,-225.450000E-3,155.000000E-6,50.000000E+0
75.000000E+0,55.841900E-3,43.800000E-6,-281.615000E-3,10.000000E-6,50.000000E+0
100.000000E+0,126.920000E-3,129.000000E-6,-350.915500E-3,87.500000E-6,50.000000E+0
120.000000E+0,144.386500E-3,133.500000E-6,-429.904500E-3,38.500000E-6,50.000000E+0
150.000000E+0,218.565500E-3,312.500000E-6,-507.982500E-3,42.499999E-6,50.000000E+0
200.000000E+0,202.438500E-3,4.499999E-6,-321.411500E-3,72.500000E-6,50.000000E+0
250.000000E+0,74.764650E-3,472.450000E-6,-476.974500E-3,245.500000E-6,50.000000E+0
300.000000E+0,65.839400E-3,22.800000E-6,-380.827000E-3,9.999999E-6,50.000000E+0
400.000000E+0,87.203900E-3,471.800000E-6,-361.108500E-3,294.500000E-6,50.000000E+0
500.000000E+0,57.890000E-3,48.800000E-6,-205.551000E-3,103.000000E-6,50.000000E+0
600.000000E+0,28.913500E-3,28.000000E-6,-118.720000E-3,45.000000E-6,50.000000E+0
750.000000E+0,-523.699000E-6,1.002091E-3,-43.716850E-3,275.150000E-6,50.000000E+0
1.000000E+3,-15.730200E-3,100.900000E-6,-15.875550E-3,57.750000E-6,50.000000E+0
1.200000E+3,-18.620100E-3,113.200000E-6,-10.258600E-3,158.000000E-6,50.000000E+0
1.500000E+3,-12.453000E-3,28.100000E-6,-13.910250E-3,20.050000E-6,50.000000E+0
2.000000E+3,-6.421510E-3,74.640000E-6,-18.157200E-3,13.000000E-6,50.000000E+0
2.500000E+3,1.139286E-3,502.754000E-6,-19.925550E-3,84.750000E-6,50.000000E+0
3.000000E+3,3.832300E-3,20.180000E-6,-20.252050E-3,31.550000E-6,50.000000E+0
4.000000E+3,3.853380E-3,65.830000E-6,-14.044000E-3,183.600000E-6,50.000000E+0
5.000000E+3,4.116220E-3,82.710000E-6,-12.580250E-3,1.550000E-6,50.000000E+0
6.000000E+3,-5.433065E-3,45.135000E-6,-7.810610E-3,8.960000E-6,50.000000E+0
7.500000E+3,-9.141310E-3,221.720000E-6,-2.617030E-3,201.360000E-6,50.000000E+0
10.000000E+3,-10.328730E-3,555.670000E-6,-863.810500E-6,455.619500E-6,50.000000E+0
12.000000E+3,-6.316615E-3,241.255000E-6,-2.622250E-3,133.260000E-6,50.000000E+0
15.000000E+3,-3.159035E-3,19.565000E-6,-1.526990E-3,19.430000E-6,50.000000E+0
20.000000E+3,-2.240180E-3,7.210000E-6,281.841500E-6,2.014500E-6,50.000000E+0
25.000000E+3,-3.483105E-3,11.835000E-6,-2.149480E-3,66.850000E-6,50.000000E+0
30.000000E+3,1.534945E-3,3.037595E-3,799.464900E-6,879.515100E-6,50.000000E+0
40.000000E+3,-2.169000E-3,20.490000E-6,959.991500E-6,8.260500E-6,50.000000E+0
50.000000E+3,-4.606770E-3,13.420000E-6,-1.542205E-3,7.295000E-6,50.000000E+0
60.000000E+3,-5.030470E-3,36.760000E-6,-1.224900E-3,23.500000E-6,50.000000E+0
75.000000E+3,-5.174285E-3,3.615000E-6,-620.673500E-6,33.667500E-6,50.000000E+0
100.000000E+3,-5.282575E-3,26.985000E-6,-465.173000E-6,7.298000E-6,50.000000E+0
120.000000E+3,-4.862200E-3,1.470000E-6,132.183150E-6,33.358850E-6,50.000000E+0
150.000000E+3,-5.311810E-3,4.790000E-6,225.932000E-6,23.421000E-6,50.000000E+0
200.000000E+3,-32.967300E-3,12.700000E-6,2.018085E-3,6.195000E-6,50.000000E+0
