lnI, lnV, sqrt_V, S5_I, S5_V, lnS5_I, lnS5_V, sqrt_S5V, S10_I, S10_V, lnS10_I, lnS10_V, sqrt_S10V, S20_I, S20_V, lnS20_I, lnS20_V, sqrt_S20V, S50_I, S50_V, lnS50_I, lnS50_V, sqrt_S50V,
-6.76799, 1.22378, 1.84391, 0.00117000, 3.28000, -6.75075, 1.18784, 1.81108, 0.00117727, 3.32727, -6.74455, 1.20215, 1.82408, 0.00121667, 3.47619, -6.71164, 1.24594, 1.86445, 0.00142451, 4.29804, -6.55393, 1.45816, 2.07317
-6.68461, 1.33500, 1.94936, 0.00123000, 3.72000, -6.70074, 1.31372, 1.92873, 0.00126818, 3.63636, -6.67017, 1.29098, 1.90693, 0.00132143, 3.72381, -6.62904, 1.31475, 1.92972, 0.00149314, 4.53725, -6.50688, 1.51232, 2.13008
-6.68461, 1.38629, 2.00000, 0.00133000, 4.08000, -6.62258, 1.40610, 2.01990, 0.00135909, 3.96364, -6.60094, 1.37716, 1.99089, 0.00141667, 3.99048, -6.55945, 1.38391, 1.99762, 0.00156176, 4.78431, -6.46194, 1.56534, 2.18731
-6.60765, 1.52606, 2.14476, 0.00141000, 4.40000, -6.56417, 1.48160, 2.09762, 0.00145000, 4.30909, -6.53619, 1.46073, 2.07583, 0.00151667, 4.28571, -6.49124, 1.45529, 2.07020, 0.00163235, 5.02745, -6.41773, 1.61491, 2.24220
-6.40698, 1.52606, 2.14476, 0.00153000, 4.68000, -6.48249, 1.54330, 2.16333, 0.00155000, 4.63636, -6.46950, 1.53393, 2.15322, 0.00162143, 4.59048, -6.42445, 1.52398, 2.14254, 0.00170686, 5.28235, -6.37310, 1.66437, 2.29834
-6.46950, 1.60944, 2.23607, 0.00165000, 5.00000, -6.40698, 1.60944, 2.23607, 0.00165000, 4.98182, -6.40698, 1.60579, 2.23200, 0.00172143, 4.90476, -6.36460, 1.59021, 2.21467, 0.00178333, 5.53333, -6.32927, 1.71079, 2.35230
-6.29257, 1.64866, 2.28035, 0.00175000, 5.28000, -6.34814, 1.66393, 2.29783, 0.00176818, 5.29091, -6.33780, 1.66599, 2.30020, 0.00181667, 5.21905, -6.31075, 1.65231, 2.28452, 0.00185980, 5.78824, -6.28728, 1.75583, 2.40588
-6.29257, 1.72277, 2.36643, 0.00185000, 5.56000, -6.29257, 1.71560, 2.35797, 0.00188636, 5.56364, -6.27310, 1.71625, 2.35874, 0.00192619, 5.53333, -6.25221, 1.71079, 2.35230, 0.00193627, 6.04706, -6.24699, 1.79957, 2.45908
-6.29257, 1.79176, 2.44949, 0.00199000, 5.88000, -6.21962, 1.77156, 2.42487, 0.00202273, 5.85455, -6.20331, 1.76722, 2.41962, 0.00203095, 5.87619, -6.19925, 1.77091, 2.42409, 0.00201471, 6.30588, -6.20728, 1.84148, 2.51115
-6.14229, 1.79176, 2.44949, 0.00211000, 6.20000, -6.16107, 1.82455, 2.48998, 0.00215000, 6.14545, -6.14229, 1.81571, 2.47900, 0.00213095, 6.22857, -6.15119, 1.82915, 2.49571, 0.00210098, 6.55294, -6.16535, 1.87991, 2.55987
-6.09683, 1.88707, 2.56905, 0.00225000, 6.44000, -6.09683, 1.86253, 2.53772, 0.00225000, 6.49091, -6.09683, 1.87040, 2.54773, 0.00222619, 6.57143, -6.10746, 1.88273, 2.56348, 0.00218725, 6.79608, -6.12511, 1.91635, 2.60693
-6.01167, 1.91692, 2.60768, 0.00243000, 6.68000, -6.01986, 1.89912, 2.58457, 0.00236818, 6.80000, -6.04563, 1.91692, 2.60768, 0.00232619, 6.91429, -6.06352, 1.93359, 2.62950, 0.00226765, 7.05098, -6.08901, 1.95317, 2.65537
-5.97166, 1.91692, 2.60768, 0.00255000, 7.04000, -5.97166, 1.95161, 2.65330, 0.00248636, 7.10909, -5.99693, 1.96137, 2.66629, 0.00242143, 7.26667, -6.02340, 1.98330, 2.69568, 0.00235000, 7.30196, -6.05334, 1.98814, 2.70221
-5.89615, 1.97408, 2.68328, 0.00265000, 7.40000, -5.93320, 2.00148, 2.72029, 0.00259545, 7.45455, -5.95399, 2.00882, 2.73030, 0.00251667, 7.61905, -5.98482, 2.03065, 2.76026, 0.00243235, 7.55294, -6.01890, 2.02194, 2.74826
-5.89615, 2.05412, 2.79285, 0.00273000, 7.72000, -5.90345, 2.04381, 2.77849, 0.00271364, 7.80000, -5.90947, 2.05412, 2.79285, 0.00261667, 7.94286, -5.94585, 2.07227, 2.81831, 0.00251275, 7.79608, -5.98638, 2.05362, 2.79215
-5.89615, 2.12823, 2.89828, 0.00285000, 8.08000, -5.86044, 2.08939, 2.84253, 0.00280455, 8.16364, -5.87651, 2.09969, 2.85721, 0.00269286, 8.31429, -5.91715, 2.11798, 2.88345, 0.00259510, 8.04706, -5.95413, 2.08531, 2.83673
