Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
24.215385E+0	294.300000E+0	294.300000E+0	NaN	0.000000E+0	1.585699E+3	314.109574E+39				
28.322620E+0	295.000000E+0	294.300000E+0	NaN	0.000000E+0	1.571989E+3	311.300425E+39				
32.049833E+0	295.000000E+0	294.300000E+0	NaN	2.000000E+0	1.576124E+3	312.368993E+39				
35.770046E+0	295.000000E+0	294.300000E+0	NaN	6.000000E+0	1.583572E+3	313.782360E+39				
39.505260E+0	295.000000E+0	294.300000E+0	NaN	4.000000E+0	1.551123E+3	307.875843E+39				
43.238473E+0	295.000000E+0	294.300000E+0	NaN	4.000000E+0	1.580064E+3	313.206176E+39				
46.985687E+0	295.000000E+0	294.300000E+0	NaN	6.000000E+0	1.566292E+3	311.073722E+39				
50.699900E+0	295.000000E+0	294.410000E+0	0.000000E+0	6.000000E+0	1.560145E+3	309.251648E+39				
54.422112E+0	295.000000E+0	294.410000E+0	0.000000E+0	6.000000E+0	1.577797E+3	313.044907E+39				
58.155326E+0	295.000000E+0	294.410000E+0	294.849776E-3	7.000000E+0	1.565839E+3	310.666098E+39				
61.878539E+0	295.000000E+0	294.410000E+0	590.690847E-3	7.000000E+0	1.575383E+3	312.459603E+39				
65.596752E+0	295.000000E+0	294.410000E+0	590.690847E-3	8.000000E+0	1.556376E+3	309.246823E+39				
69.327965E+0	295.000000E+0	294.300000E+0	295.841071E-3	8.000000E+0	1.586631E+3	314.162350E+39				
73.060179E+0	295.000000E+0	294.300000E+0	0.000000E+0	7.000000E+0	1.576599E+3	311.796021E+39				
76.793392E+0	295.000000E+0	294.300000E+0	-295.324760E-3	7.000000E+0	1.590377E+3	314.313806E+39				
80.520606E+0	295.000000E+0	294.410000E+0	-590.095511E-3	8.000000E+0	1.553486E+3	308.011724E+39				
84.251819E+0	295.000000E+0	294.410000E+0	-590.095511E-3	8.000000E+0	1.587813E+3	314.295863E+39				
87.979032E+0	295.000000E+0	294.410000E+0	118.543984E-6	8.000000E+0	1.587148E+3	314.208170E+39				
91.709245E+0	295.000000E+0	294.410000E+0	589.857678E-3	8.000000E+0	1.579094E+3	313.057762E+39				
95.440459E+0	295.000000E+0	294.410000E+0	589.857678E-3	8.000000E+0	1.575479E+3	312.166295E+39				
99.171672E+0	295.000000E+0	294.410000E+0	294.968383E-3	9.000000E+0	1.585013E+3	313.416173E+39				
102.899885E+0	295.000000E+0	294.520000E+0	0.000000E+0	9.000000E+0	1.573728E+3	311.420751E+39				
106.658100E+0	295.000000E+0	294.520000E+0	0.000000E+0	9.000000E+0	1.572977E+3	311.932439E+39				
398.698804E+0	295.894726E+0	296.020000E+0	294.928843E-3	2.000000E+0	1.575522E+3	312.218421E+39				
485.415764E+0	295.000000E+0	296.130000E+0	294.928843E-3	7.000000E+0	1.570816E+3	311.130367E+39				
572.007717E+0	295.000000E+0	296.250000E+0	294.928843E-3	1.000000E+0	1.564553E+3	311.002457E+39				
658.653673E+0	295.000000E+0	296.020000E+0	294.928843E-3	1.000000E+0	1.572083E+3	311.886298E+39				
745.255626E+0	295.000000E+0	295.910000E+0	294.928843E-3	2.000000E+0	1.574337E+3	312.014936E+39				
772.179166E+0	295.000000E+0	295.790000E+0	294.928843E-3	2.000000E+0	1.574063E+3	311.754824E+39				
781.862720E+0	295.000000E+0	295.790000E+0	294.928843E-3	2.000000E+0	1.569864E+3	311.414879E+39				
