T,L1,R2,C2,R3,R1
280,9.925744023384064,10.351018507177988,1.3094637896321332e-09,-26.40598781004474,-15.009298333042478
260,10.363944538236758,10.398458490548682,1.427912086905381e-09,-26.60873029173178,-14.89679497186882
240,8.921082165218545,10.466265885609424,1.529174100294682e-09,-26.387784838058703,-15.021283548630675
220,8.315151166285421,10.504138071959181,1.7812799056955811e-09,-26.93419905950908,-14.718498877782189
200,6.946023951527309,10.712421667629087,2.7897115486061746e-09,-26.851558008510075,-14.79541883409939
180,5.691756238156933,10.835537914435317,3.6012394141246715e-09,-26.410537808496613,-15.13869724004617
160,5.4651699141766015,10.970915532679502,4.936236042857114e-09,-25.817091646384483,-15.662407862768035
140,4.644589985471115,11.189722247213336,7.322938584437954e-09,-25.033852966246993,-16.67109586208748
120,4.296921437046015,11.825041115674797,1.0203430548304615e-08,-23.85505088528897,-19.800821509096604
100,6.557796570841219,12.450863482645197,1.0858886282244606e-08,-19.847203953470217,-29.786591225905042
85,8.239759347037975,12.79345058999642,1.2671226224691337e-08,-18.36160145964123,-38.70570836017968
