T,R1,C1,L1,R2,C2,R3,C3
290,3.5576896898066837e-42,0.002507219336063154,1.441574027376303,6.816664157909223,9.242882624209946e-09,-4.9160822736434735,9.503286881723823e-93
270,9.7187394792125e-15,0.005416134111125843,1.2819222523497116,6.929195330808696,1.0570321647846886e-08,-4.926847829420422,5.77094123962462e-21
250,4.212550314512394e-12,0.02016756815014521,1.1896819133907472,7.532992486305229,1.2454029120274944e-08,-5.306882429494371,4.440830253407068e-11
230,4.661131558192038e-12,0.058930492249135095,1.14748027051661,8.153989254068819,1.3435430141765665e-08,-5.740713593140796,7.433115721861798e-10
210,1.1434404871767433e-12,0.034497804422440805,0.836198275253126,8.869356992072722,1.8160482699850653e-08,-6.243934719687226,6.967481854927351e-09
190,6.437982093951776e-14,0.008621992225493447,1.0111343436674836,11.222686189839438,1.7223051120206692e-08,-8.376123987298236,7.05159648549497e-09
170,1.891083862166324e-31,0.007004726140730033,1.2093181946193747,15.132528851386644,2.0178889646148333e-08,-11.98610662782336,1.0632635710932083e-08
150,5.5936231666939535e-12,0.029918501710309568,1.5008676317384582,19.580550470642997,2.3421606331109096e-08,-16.27198900976635,1.2475792665795609e-08
130,4.743848472895203e-12,0.05505901566029786,2.685518851105808,34.04857725055367,2.38310920382502e-08,-30.62292284691189,9.96114713547875e-09
110,2.9883590746069035e-10,0.02896307403242114,4.455099331467753,67.27655536138279,4.818647592382056e-08,-68.93434052258269,6.37703720137286e-09
90,1.9612937675502102e-10,0.13140010632205387,14.818517670678421,174.77492391770286,2.017193222286687e-08,-176.37723002550308,7.003160398053918e-10
70,1746.9221995106373,0.7107668013910059,51.56559909360934,351.289642204607,1.606163174493994e-08,-347.95260954667145,2.063059268615715e-11
50,3523.8047781630175,0.5557245389565701,29.583274702254368,485.1290651622766,2.3351335309088787e-08,-467.8206202428137,8.347837282081573e-11
30,7307.244770134072,0.3090217235079414,1.466622255940294,836.6080693356766,3.692378336906903e-08,-813.5447187829883,1.414057692712842e-10
11,7307.244770134072,0.3090217235079414,1.466622255940294,836.6080693356766,3.2236919058505637e-07,-813.5447187829883,1.4140576716267008e-10
