t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.6499987E-1	8.2375307E-5	1.0000000E-1	1.2139559E+3	8.1930310E-5	1.2205496E+3	9.9994659E-2	1.2138911E+3	5.3399999E-6	6.4825252E-2	9.9990368E-2	1.2204320E+3	9.6300000E-6	1.1753892E-1	3.0032098E+2	8.7844582E+0	-8.2268511E-5	1.2155319E+3	-9.9981546E-2	1.2153076E+3	-1.8450000E-5	2.2426564E-1	1.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0780001E+0	8.2037193E-5	1.0000000E-1	1.2189594E+3	8.1555787E-5	1.2261545E+3	9.9994421E-2	1.2188914E+3	5.5800001E-6	6.8017930E-2	9.9987030E-2	1.2259955E+3	1.2970000E-5	1.5903224E-1	3.0032098E+2	8.7844582E+0	-8.2265338E-5	1.2155787E+3	-9.9986553E-2	1.2154153E+3	-1.3450000E-5	1.6349535E-1	2.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.8899999E+0	1.0500490E-4	2.0000000E-1	1.9046730E+3	8.1595623E-5	1.2255560E+3	1.2824960E-1	1.2213678E+3	7.1750402E-2	6.8330524E+2	1.0000300E-1	1.2255928E+3	-3.0000001E-6	-3.6766678E-2	3.0032098E+2	8.7844582E+0	-8.1595732E-5	1.2255543E+3	-9.9987753E-2	1.2254042E+3	-1.2250000E-5	1.5013041E-1	3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7030001E+0	2.4802409E-4	3.0000001E-1	1.2095599E+3	8.2299513E-5	1.2150741E+3	2.9978850E-1	1.2087072E+3	2.1150000E-4	8.5273969E-1	9.9994659E-2	1.2150092E+3	5.3399999E-6	6.4884953E-2	3.0032098E+2	8.7844582E+0	-8.2330560E-5	1.2146158E+3	-9.9980347E-2	1.2143772E+3	-1.9650000E-5	2.3867200E-1	4.0000000E+0	1.0000000E+0	0.0000000E+0	0.0000000E+0
5.5929999E+0	3.3303551E-4	4.0000001E-1	1.2010731E+3	8.1405407E-5	1.2284196E+3	3.9966989E-1	1.2000820E+3	3.3010001E-4	9.9118561E-1	9.9982500E-2	1.2282046E+3	1.7500000E-5	2.1497343E-1	3.0032098E+2	8.7844381E+0	-8.2101316E-5	1.2180072E+3	-9.9974632E-2	1.2176982E+3	-2.5370000E-5	3.0900842E-1	5.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.4210000E+0	4.1983579E-4	5.0000000E-1	1.1909418E+3	8.1640763E-5	1.2248784E+3	4.9961901E-1	1.1900343E+3	3.8099999E-4	9.0749764E-1	9.9996567E-2	1.2248363E+3	3.4300001E-6	4.2013329E-2	3.0032098E+2	8.7844381E+0	-8.1543178E-5	1.2263441E+3	-9.9980347E-2	1.2261031E+3	-1.9650000E-5	2.4097662E-1	6.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.2339997E+0	5.0757389E-4	6.0000002E-1	1.1820939E+3	8.2307241E-5	1.2149600E+3	5.9953362E-1	1.1811750E+3	4.6640000E-4	9.1888100E-1	1.0000730E-1	1.2150486E+3	-7.3000001E-6	-8.8692077E-2	3.0032098E+2	8.7844381E+0	-8.1304141E-5	1.2299497E+3	-9.9982500E-2	1.2297344E+3	-1.7500000E-5	2.1524119E-1	7.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.0459995E+0	5.9696822E-4	6.9999999E-1	1.1725918E+3	8.2436163E-5	1.2130599E+3	6.9945037E-1	1.1716711E+3	5.4959999E-4	9.2065203E-1	1.0000490E-1	1.2131194E+3	-4.9000000E-6	-5.9439935E-2	3.0032098E+2	8.7844381E+0	-8.1492093E-5	1.2271129E+3	-9.9992990E-2	1.2270270E+3	-7.0100000E-6	8.6020619E-2	8.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.8589993E+0	6.8856147E-4	8.0000001E-1	1.1618425E+3	8.2414299E-5	1.2133817E+3	7.9935873E-1	1.1609111E+3	6.4129999E-4	9.3136197E-1	9.9983931E-2	1.2131866E+3	1.6070000E-5	1.9499043E-1	3.0032098E+2	8.7844381E+0	-8.2064478E-5	1.2185540E+3	-9.9987984E-2	1.2184075E+3	-1.2020000E-5	1.4647019E-1	9.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.6870003E+0	7.7962590E-4	8.9999998E-1	1.1543998E+3	8.1861690E-5	1.2215726E+3	8.9929098E-1	1.1534904E+3	7.0899999E-4	9.0941054E-1	1.0000490E-1	1.2216324E+3	-4.9000000E-6	-5.9857059E-2	3.0032098E+2	8.7844381E+0	-8.1457867E-5	1.2276284E+3	-9.9972010E-2	1.2272849E+3	-2.7990000E-5	3.4361321E-1	1.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0750000E+1	8.7375089E-4	1.0000000E+0	1.1444910E+3	8.1514969E-5	1.2267686E+3	9.9916899E-1	1.1435399E+3	8.3099998E-4	9.5107198E-1	9.9988937E-2	1.2266328E+3	1.1060000E-5	1.3568060E-1	3.0032098E+2	8.7844381E+0	-8.1727369E-5	1.2235803E+3	-9.9983223E-2	1.2233750E+3	-1.6780001E-5	2.0531677E-1	1.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.3281000E+1	7.7987759E-4	8.9999998E-1	1.1540272E+3	8.1623773E-5	1.2251333E+3	8.9929008E-1	1.1531169E+3	7.0989999E-4	9.1027105E-1	9.9987984E-2	1.2249861E+3	1.2020000E-5	1.4726102E-1	3.0032098E+2	8.7843542E+0	-8.1944498E-5	1.2203381E+3	-9.9970818E-2	1.2199821E+3	-2.9180001E-5	3.5609469E-1	1.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.4093000E+1	6.8758032E-4	8.0000001E-1	1.1635005E+3	8.2069193E-5	1.2184840E+3	7.9937160E-1	1.1625865E+3	6.2840001E-4	9.1392964E-1	1.0002280E-1	1.2187618E+3	-2.2800001E-5	-2.7781436E-1	3.0032098E+2	8.7843542E+0	-8.1472317E-5	1.2274108E+3	-9.9979162E-2	1.2271549E+3	-2.0840000E-5	2.5579241E-1	1.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.4906000E+1	5.9749308E-4	6.9999999E-1	1.1715616E+3	8.2611150E-5	1.2104904E+3	6.9944233E-1	1.1706283E+3	5.5770000E-4	9.3339992E-1	9.9998467E-2	1.2104718E+3	1.5300000E-6	1.8520502E-2	3.0032098E+2	8.7843542E+0	-8.1621809E-5	1.2251627E+3	-1.0001520E-1	1.2253490E+3	1.5200000E-5	-1.8622473E-1	1.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.5733999E+1	5.0890952E-4	6.0000002E-1	1.1789916E+3	8.2138868E-5	1.2174504E+3	5.9952122E-1	1.1780507E+3	4.7880001E-4	9.4083524E-1	9.9988937E-2	1.2173158E+3	1.1060000E-5	1.3465001E-1	3.0032098E+2	8.7843542E+0	-8.2300307E-5	1.2150623E+3	-9.9984407E-2	1.2148728E+3	-1.5590000E-5	1.8942821E-1	1.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.6546000E+1	4.2051249E-4	5.0000000E-1	1.1890253E+3	8.1707243E-5	1.2238817E+3	4.9962541E-1	1.1881345E+3	3.7460000E-4	8.9081776E-1	9.9997520E-2	1.2238514E+3	2.4799999E-6	3.0352268E-2	3.0032098E+2	8.7843542E+0	-8.2277358E-5	1.2154011E+3	-9.9977247E-2	1.2151246E+3	-2.2750000E-5	2.7650377E-1	1.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.7358999E+1	3.3332870E-4	4.0000001E-1	1.2000167E+3	8.1730701E-5	1.2235304E+3	3.9966559E-1	1.1990134E+3	3.3440001E-4	1.0032140E+0	9.9982023E-2	1.2233104E+3	1.7980001E-5	2.1999077E-1	3.0032098E+2	8.7843542E+0	-8.1935374E-5	1.2204741E+3	-9.9979639E-2	1.2202257E+3	-2.0359999E-5	2.4848853E-1	1.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.0202999E+1	2.4810040E-4	3.0000001E-1	1.2091879E+3	8.2215782E-5	1.2163115E+3	2.9979011E-1	1.2083419E+3	2.0990000E-4	8.4602845E-1	9.9990129E-2	1.2161914E+3	9.8700002E-6	1.2004995E-1	3.0032098E+2	8.7843962E+0	-8.1391059E-5	1.2286361E+3	-9.9992990E-2	1.2285500E+3	-7.0100000E-6	8.6127393E-2	1.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.1014999E+1	1.6516440E-4	2.0000000E-1	1.2109147E+3	8.2541090E-5	1.2115178E+3	1.9988661E-1	1.2102281E+3	1.1340000E-4	6.8658864E-1	9.9999189E-2	1.2115079E+3	8.1000002E-7	9.8132938E-3	3.0032098E+2	8.7843962E+0	-8.1629572E-5	1.2250463E+3	-9.9993713E-2	1.2249692E+3	-6.2899999E-6	7.7055410E-2	1.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.1827999E+1	8.2265236E-5	1.0000000E-1	1.2155802E+3	8.2522958E-5	1.2117839E+3	9.9969633E-2	1.2152111E+3	3.0370000E-5	3.6917171E-1	1.0000350E-1	1.2118264E+3	-3.5000000E-6	-4.2412437E-2	3.0032098E+2	8.7843962E+0	-8.2212238E-5	1.2163639E+3	-9.9992514E-2	1.2162728E+3	-7.4899999E-6	9.1105655E-2	2.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.2656000E+1	8.2175517E-5	1.0000000E-1	1.2169075E+3	8.1665523E-5	1.2245070E+3	9.9996328E-2	1.2168628E+3	3.6700001E-6	4.4660501E-2	9.9993229E-2	1.2244241E+3	6.7699998E-6	8.2899123E-2	3.0032098E+2	8.7843962E+0	-8.2366038E-5	1.2140927E+3	-9.9989653E-2	1.2139669E+3	-1.0350000E-5	1.2565859E-1	2.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.3468000E+1	-8.2242652E-5	-1.0000000E-1	1.2159142E+3	8.1968210E-5	1.2199851E+3	-9.9994183E-2	1.2158434E+3	-5.8199998E-6	7.0766203E-2	1.0000210E-1	1.2200107E+3	-2.1000001E-6	-2.5619688E-2	3.0032098E+2	8.7843962E+0	-8.1379483E-5	1.2288110E+3	-9.9993229E-2	1.2287278E+3	-6.7699998E-6	8.3190508E-2	2.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.4281000E+1	-1.0499670E-4	-2.0000000E-1	1.9048218E+3	8.2391642E-5	1.2137153E+3	-1.2861300E-1	1.2249242E+3	-7.1387000E-2	6.7989758E+2	9.9999897E-2	1.2137141E+3	1.0000000E-7	1.2137154E-3	3.0032098E+2	8.7843962E+0	-8.2078826E-5	1.2183409E+3	-9.9979401E-2	1.2180900E+3	-2.0600000E-5	2.5097823E-1	2.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.5093000E+1	-2.4560231E-4	-3.0000001E-1	1.2214869E+3	8.1471117E-5	1.2274288E+3	-2.9979041E-1	1.2206335E+3	-2.0960000E-4	8.5341221E-1	9.9991322E-2	1.2273223E+3	8.6800001E-6	1.0654082E-1	3.0032098E+2	8.7843962E+0	-8.2121267E-5	1.2177113E+3	-9.9982500E-2	1.2174982E+3	-1.7500000E-5	2.1309948E-1	2.4000000E+1	1.0000000E+0	0.0000000E+0	0.0000000E+0
2.5906000E+1	-3.2942020E-4	-4.0000001E-1	1.2142546E+3	8.1824379E-5	1.2221296E+3	-3.9967611E-1	1.2132714E+3	-3.2389999E-4	9.8324269E-1	1.0000590E-1	1.2222018E+3	-5.8999999E-6	-7.2105646E-2	3.0032098E+2	8.7843962E+0	-8.1421269E-5	1.2281803E+3	-9.9987507E-2	1.2280269E+3	-1.2490000E-5	1.5339972E-1	2.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.6718000E+1	-4.1286109E-4	-5.0000000E-1	1.2110610E+3	8.2227823E-5	1.2161334E+3	-4.9961880E-1	1.2101377E+3	-3.8119999E-4	9.2331296E-1	9.9987984E-2	1.2159872E+3	1.2020000E-5	1.4617924E-1	3.0032098E+2	8.7843962E+0	-8.1975159E-5	1.2198817E+3	-9.9992037E-2	1.2197847E+3	-7.9600004E-6	9.7102582E-2	2.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
