t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.6600027E-1	1.6444510E-7	1.0000000E-1	6.0810569E+5	1.7203300E-7	5.8128381E+5	1.0030530E-1	6.0996225E+5	-3.0530000E-4	-1.8565466E+3	1.0005090E-1	5.8157969E+5	-5.0899998E-5	-2.9587347E+2	1.2876337E+2	1.2376158E+1	-1.3091200E-7	7.6387194E+5	-1.0031220E-1	7.6625675E+5	3.1219999E-4	-2.3848081E+3	1.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0780001E+0	1.3289041E-7	2.0000000E-2	1.5049995E+5	-1.1908290E-7	-8.3975112E+5	1.9769430E-2	1.4876492E+5	2.3057000E-4	1.7350388E+3	9.9890947E-2	-8.3883537E+5	1.0905000E-4	-9.1574860E+2	1.2876337E+2	1.2376158E+1	-2.1904920E-7	4.5651844E+5	-1.0018520E-1	4.5736391E+5	1.8520000E-4	-8.4547217E+2	2.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.9060001E+0	-1.0141590E-7	3.9999999E-2	-3.9441547E+5	-9.9204499E-8	-1.0080188E+6	3.9929152E-2	-3.9371687E+5	7.0850001E-5	-6.9860840E+2	1.0041170E-1	-1.0121688E+6	-4.1169999E-4	4.1500132E+3	1.2876337E+2	1.2376158E+1	1.1133250E-7	-8.9821031E+5	-9.9900253E-2	-8.9731437E+5	-9.9750003E-5	-8.9596478E+2	3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7190003E+0	-9.8189048E-8	5.9999999E-2	-6.1106612E+5	1.9152620E-7	5.2212178E+5	6.0366388E-2	-6.1479756E+5	-3.6639001E-4	3.7314751E+3	1.0029630E-1	5.2366881E+5	-2.9629999E-4	-1.5470469E+3	1.2876337E+2	1.2376158E+1	1.2972940E-7	-7.7083531E+5	-9.9823952E-2	-7.6947825E+5	-1.7605000E-4	-1.3570555E+3	4.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.5940003E+0	2.2025650E-7	7.9999998E-2	3.6321287E+5	3.0990460E-8	3.2267995E+6	8.0160141E-2	3.6393994E+5	-1.6014000E-4	-7.2706140E+2	9.9832296E-2	3.2213882E+6	1.6770000E-4	5.4113428E+3	1.2876337E+2	1.2375450E+1	-1.4612840E-7	6.8432969E+5	-1.0030460E-1	6.8641412E+5	3.0459999E-4	-2.0844683E+3	5.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.4060001E+0	-1.1745230E-7	1.0000000E-1	-8.5140944E+5	-2.1862120E-7	-4.5741219E+5	9.9914551E-2	-8.5068194E+5	8.5450003E-5	-7.2752942E+2	9.9929333E-2	-4.5708894E+5	7.0670001E-5	-3.2325317E+2	1.2876337E+2	1.2375450E+1	-3.9280049E-8	2.5458215E+6	-9.9794634E-2	2.5405932E+6	-2.0537000E-4	5.2283540E+3	6.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.2190003E+0	-8.2663753E-8	1.2000000E-1	-1.4516641E+6	-2.1425740E-7	-4.6672834E+5	1.1988450E-1	-1.4502669E+6	1.1550000E-4	-1.3972267E+3	9.9969633E-2	-4.6658659E+5	3.0370000E-5	-1.4174539E+2	1.2876337E+2	1.2375450E+1	8.0383188E-8	-1.2440412E+6	-9.9796057E-2	-1.2415041E+6	-2.0394000E-4	-2.5370977E+3	7.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.0469999E+0	-1.7625869E-7	1.4000000E-1	-7.9428706E+5	1.1471000E-7	8.7176356E+5	1.4004371E-1	-7.9453494E+5	-4.3700002E-5	2.4793103E+2	1.0020540E-1	8.7355419E+5	-2.0540001E-4	-1.7906024E+3	1.2876337E+2	1.2375450E+1	2.0623651E-7	-4.8488022E+5	-9.9923372E-2	-4.8450866E+5	-7.6630000E-5	-3.7156372E+2	8.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.8590002E+0	1.3086201E-7	1.6000000E-1	1.2226620E+6	1.0064280E-7	9.9361306E+5	1.6024850E-1	1.2245610E+6	-2.4850000E-4	-1.8989470E+3	9.9724047E-2	9.9087119E+5	2.7595001E-4	2.7418752E+3	1.2876337E+2	1.2375450E+1	-2.0793119E-7	4.8092831E+5	-1.0022310E-1	4.8200125E+5	2.2310000E-4	-1.0729510E+3	9.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.6719999E+0	-2.9591551E-8	1.8000001E-1	-6.0828175E+6	-1.9825440E-7	-5.0440244E+5	1.7962340E-1	-6.0700910E+6	3.7659999E-4	-1.2726606E+4	9.9864721E-2	-5.0372006E+5	1.3528000E-4	-6.8235559E+2	1.2876337E+2	1.2375450E+1	-1.5386250E-7	6.4993094E+5	-9.9903584E-2	6.4930431E+5	-9.6420001E-5	6.2666339E+2	1.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
