t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.6499987E-1	2.0693940E-7	1.0000000E-1	4.8323325E+5	-8.5559009E-8	-1.1687840E+6	1.0011320E-1	4.8378028E+5	-1.1320000E-4	-5.4702002E+2	9.9925280E-2	-1.1679106E+6	7.4720003E-5	-8.7331537E+2	2.1792053E+2	9.9272003E+0	-2.3720800E-7	4.2157094E+5	-1.0021310E-1	4.2246931E+5	2.1309999E-4	-8.9836768E+2	1.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0779996E+0	1.3941499E-7	2.0000000E-2	1.4345659E+5	-8.5161332E-8	-1.1742419E+6	1.9797800E-2	1.4200623E+5	2.0220000E-4	1.4503461E+3	9.9970818E-2	-1.1738992E+6	2.9180001E-5	-3.4264377E+2	2.1792053E+2	9.9272003E+0	-1.3757810E-7	7.2685987E+5	-9.9684238E-2	7.2456475E+5	-3.1576000E-4	2.2951328E+3	2.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.9059997E+0	-1.4496500E-7	3.9999999E-2	-2.7592869E+5	-1.2793591E-7	-7.8164144E+5	3.9845709E-2	-2.7486434E+5	1.5429000E-4	-1.0643259E+3	1.0016200E-1	-7.8290769E+5	-1.6200000E-4	1.2662592E+3	2.1792053E+2	9.9272003E+0	4.8331461E-8	-2.0690458E+6	-9.9727631E-2	-2.0634102E+6	-2.7237000E-4	-5.6354600E+3	3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7179999E+0	-1.3399770E-7	5.9999999E-2	-4.4776887E+5	2.2764740E-7	4.3927581E+5	6.0223579E-2	-4.4943741E+5	-2.2358001E-4	1.6685361E+3	1.0025760E-1	4.4040741E+5	-2.5760001E-4	-1.1315746E+3	2.1792053E+2	9.9272003E+0	1.1276600E-9	-8.8679208E+7	-9.9672318E-2	-8.8388624E+7	-3.2768000E-4	-2.9058403E+5	4.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.6089997E+0	1.4108450E-7	7.9999998E-2	5.6703606E+5	-5.9677753E-8	-1.6756664E+6	8.0201857E-2	5.6846681E+5	-2.0186001E-4	-1.4307738E+3	1.0041310E-1	-1.6825886E+6	-4.1310000E-4	6.9221777E+3	2.1792053E+2	9.9269724E+0	9.0990277E-8	-1.0990185E+6	-9.9896669E-2	-1.0978829E+6	-1.0333000E-4	-1.1356158E+3	5.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.4219999E+0	-7.0452423E-8	1.0000000E-1	-1.4193976E+6	1.9739180E-7	5.0660666E+5	1.0044170E-1	-1.4256671E+6	-4.4169999E-4	6.2694795E+3	1.0028120E-1	5.0803125E+5	-2.8119999E-4	-1.4245779E+3	2.1792053E+2	9.9269724E+0	2.9334730E-8	-3.4089285E+6	-1.0031990E-1	-3.4198338E+6	3.1989999E-4	1.0905162E+4	6.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.2339997E+0	2.4894209E-7	1.2000000E-1	4.8203981E+5	1.4934380E-7	6.6959594E+5	1.2024590E-1	4.8302759E+5	-2.4590001E-4	-9.8777991E+2	9.9695683E-2	6.6755819E+5	3.0432001E-4	2.0377144E+3	2.1792053E+2	9.9269724E+0	-1.4964201E-7	6.6826156E+5	-1.0022710E-1	6.6977919E+5	2.2710000E-4	-1.5176221E+3	7.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.0620003E+0	1.8495140E-7	1.4000000E-1	7.5695562E+5	-1.6506480E-7	-6.0582269E+5	1.3979650E-1	7.5585531E+5	2.0350001E-4	1.1002891E+3	9.9865913E-2	-6.0501031E+5	1.3409001E-4	-8.1234766E+2	2.1792053E+2	9.9269724E+0	-2.3309779E-7	4.2900447E+5	-1.0016110E-1	4.2969559E+5	1.6110000E-4	-6.9112622E+2	8.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.8750000E+0	-9.1867719E-8	1.6000000E-1	-1.7416346E+6	-1.8312210E-7	-5.4608375E+5	1.5982629E-1	-1.7397439E+6	1.7370000E-4	-1.8907621E+3	9.9890232E-2	-5.4548431E+5	1.0977000E-4	-5.9943610E+2	2.1792053E+2	9.9269724E+0	-1.1729460E-7	8.5255419E+5	-9.9701881E-2	8.5001256E+5	-2.9811999E-4	2.5416345E+3	9.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.6870003E+0	-3.7368299E-8	1.8000001E-1	-4.8169170E+6	1.7538530E-7	5.7017319E+5	1.8045969E-1	-4.8292190E+6	-4.5970001E-4	1.2301871E+4	1.0033940E-1	5.7210837E+5	-3.3939999E-4	-1.9351678E+3	2.1792053E+2	9.9269724E+0	1.8771620E-7	-5.3271906E+5	-9.9988461E-2	-5.3265762E+5	-1.1540000E-5	-6.1475780E+1	1.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
