t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.4369998E+0	0.0000000E+0	1.0000000E-1	Inf	0.0000000E+0	Inf	2.9110911E-3	Inf	9.7088911E-2	Inf	2.1879671E-3	Inf	9.7812034E-2	Inf	2.2794115E+2	9.7561741E+0	0.0000000E+0	-Inf	2.3410320E-3	Inf	-1.0234103E-1	-Inf	1.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.9687000E+1	0.0000000E+0	2.0000000E-2	Inf	0.0000000E+0	Inf	2.7992730E-3	Inf	1.7200727E-2	Inf	2.6915071E-3	Inf	9.7308494E-2	Inf	2.2794115E+2	9.7548943E+0	0.0000000E+0	-Inf	-3.2823090E-3	-Inf	-9.6717693E-2	-Inf	2.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.6936996E+1	0.0000000E+0	3.9999999E-2	Inf	0.0000000E+0	Inf	3.1867030E-3	Inf	3.6813296E-2	Inf	3.0241010E-3	Inf	9.6975900E-2	Inf	2.2794115E+2	9.7535543E+0	0.0000000E+0	-Inf	-3.1175611E-3	-Inf	-9.6882440E-2	-Inf	3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.1420300E+2	0.0000000E+0	5.9999999E-2	Inf	0.0000000E+0	Inf	2.8033259E-3	Inf	5.7196673E-2	Inf	2.4466510E-3	Inf	9.7553350E-2	Inf	2.2794115E+2	9.7524204E+0	0.0000000E+0	-Inf	-2.8929710E-3	-Inf	-9.7107030E-2	-Inf	4.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.5145300E+2	0.0000000E+0	7.9999998E-2	Inf	0.0000000E+0	Inf	3.2289030E-3	Inf	7.6771095E-2	Inf	2.8805730E-3	Inf	9.7119428E-2	Inf	2.2794115E+2	9.7511044E+0	0.0000000E+0	-Inf	-2.5761130E-3	-Inf	-9.7423889E-2	-Inf	5.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.8870300E+2	0.0000000E+0	1.0000000E-1	Inf	0.0000000E+0	Inf	3.0305390E-3	Inf	9.6969463E-2	Inf	3.2932761E-3	Inf	9.6706726E-2	Inf	2.2794115E+2	9.7501163E+0	0.0000000E+0	-Inf	-2.4209020E-3	-Inf	-9.7579099E-2	-Inf	6.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.2596800E+2	0.0000000E+0	1.2000000E-1	Inf	0.0000000E+0	Inf	3.1929021E-3	Inf	1.1680710E-1	Inf	3.2880311E-3	Inf	9.6711971E-2	Inf	2.2794115E+2	9.7492523E+0	0.0000000E+0	-Inf	-3.1862259E-3	-Inf	-9.6813776E-2	-Inf	7.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.6321799E+2	0.0000000E+0	1.4000000E-1	Inf	0.0000000E+0	Inf	3.4823420E-3	Inf	1.3651766E-1	Inf	2.7382369E-3	Inf	9.7261764E-2	Inf	2.2794115E+2	9.7485857E+0	0.0000000E+0	-Inf	-2.0473001E-3	-Inf	-9.7952701E-2	-Inf	8.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.0046799E+2	0.0000000E+0	1.6000000E-1	Inf	0.0000000E+0	Inf	2.2282600E-3	Inf	1.5777174E-1	Inf	2.6822090E-3	Inf	9.7317792E-2	Inf	2.2794115E+2	9.7477884E+0	0.0000000E+0	-Inf	-2.0473001E-3	-Inf	-9.7952701E-2	-Inf	9.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.3771799E+2	0.0000000E+0	1.8000001E-1	Inf	0.0000000E+0	Inf	2.9869080E-3	Inf	1.7701310E-1	Inf	2.1965499E-3	Inf	9.7803451E-2	Inf	2.2794115E+2	9.7472019E+0	0.0000000E+0	-Inf	-2.5887489E-3	-Inf	-9.7411253E-2	-Inf	1.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.7496799E+2	0.0000000E+0	2.0000000E-1	Inf	0.0000000E+0	Inf	2.7592180E-3	Inf	1.9724078E-1	Inf	3.1023030E-3	Inf	9.6897699E-2	Inf	2.2794115E+2	9.7468243E+0	0.0000000E+0	-Inf	-2.1708009E-3	-Inf	-9.7829200E-2	-Inf	1.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.1223401E+2	0.0000000E+0	2.2000000E-1	Inf	0.0000000E+0	Inf	2.3527150E-3	Inf	2.1764728E-1	Inf	3.1158919E-3	Inf	9.6884109E-2	Inf	2.2794115E+2	9.7466583E+0	0.0000000E+0	-Inf	-2.6478770E-3	-Inf	-9.7352125E-2	-Inf	1.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.4948401E+2	0.0000000E+0	2.3999999E-1	Inf	0.0000000E+0	Inf	3.2150750E-3	Inf	2.3678492E-1	Inf	3.3817289E-3	Inf	9.6618272E-2	Inf	2.2794115E+2	9.7463617E+0	0.0000000E+0	-Inf	-2.0148749E-3	-Inf	-9.7985126E-2	-Inf	1.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.8673401E+2	0.0000000E+0	2.5999999E-1	Inf	0.0000000E+0	Inf	2.3431780E-3	Inf	2.5765681E-1	Inf	3.4894941E-3	Inf	9.6510507E-2	Inf	2.2794115E+2	9.7462978E+0	0.0000000E+0	-Inf	-3.0565260E-3	-Inf	-9.6943475E-2	-Inf	1.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.2400000E+2	0.0000000E+0	2.8000000E-1	Inf	0.0000000E+0	Inf	2.5193689E-3	Inf	2.7748063E-1	Inf	3.3049581E-3	Inf	9.6695043E-2	Inf	2.2794115E+2	9.7462778E+0	0.0000000E+0	-Inf	-2.1424289E-3	-Inf	-9.7857572E-2	-Inf	1.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.6125000E+2	0.0000000E+0	3.0000001E-1	Inf	0.0000000E+0	Inf	2.9025080E-3	Inf	2.9709750E-1	Inf	2.8796201E-3	Inf	9.7120382E-2	Inf	2.2794115E+2	9.7462120E+0	0.0000000E+0	-Inf	-1.9819741E-3	-Inf	-9.8018028E-2	-Inf	1.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.9851501E+2	0.0000000E+0	3.1999999E-1	Inf	0.0000000E+0	Inf	3.5536289E-3	Inf	3.1644636E-1	Inf	2.5196080E-3	Inf	9.7480394E-2	Inf	2.2794115E+2	9.7462778E+0	0.0000000E+0	-Inf	-3.3404829E-3	-Inf	-9.6659519E-2	-Inf	1.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.3576501E+2	0.0000000E+0	3.4000000E-1	Inf	0.0000000E+0	Inf	2.6881690E-3	Inf	3.3731183E-1	Inf	2.7940271E-3	Inf	9.7205974E-2	Inf	2.2794115E+2	9.7465916E+0	0.0000000E+0	-Inf	-2.8896329E-3	-Inf	-9.7110368E-2	-Inf	1.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.7303101E+2	0.0000000E+0	3.6000001E-1	Inf	0.0000000E+0	Inf	3.4482479E-3	Inf	3.5655177E-1	Inf	3.4432409E-3	Inf	9.6556760E-2	Inf	2.2794115E+2	9.7467623E+0	0.0000000E+0	-Inf	-2.2034650E-3	-Inf	-9.7796537E-2	-Inf	1.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.1028101E+2	0.0000000E+0	3.8000000E-1	Inf	0.0000000E+0	Inf	3.4217830E-3	Inf	3.7657821E-1	Inf	2.9840469E-3	Inf	9.7015955E-2	Inf	2.2794115E+2	9.7470541E+0	0.0000000E+0	-Inf	-2.9814241E-3	-Inf	-9.7018577E-2	-Inf	2.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.4754700E+2	0.0000000E+0	4.0000001E-1	Inf	0.0000000E+0	Inf	3.3164020E-3	Inf	3.9668360E-1	Inf	3.5042760E-3	Inf	9.6495725E-2	Inf	2.2794115E+2	9.7475157E+0	0.0000000E+0	-Inf	-2.3365021E-3	-Inf	-9.7663499E-2	-Inf	2.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.8479700E+2	0.0000000E+0	4.1999999E-1	Inf	0.0000000E+0	Inf	2.9838090E-3	Inf	4.1701618E-1	Inf	2.3074150E-3	Inf	9.7692586E-2	Inf	2.2794115E+2	9.7477655E+0	0.0000000E+0	-Inf	-3.4353731E-3	-Inf	-9.6564628E-2	-Inf	2.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.2206201E+2	0.0000000E+0	4.4000000E-1	Inf	0.0000000E+0	Inf	2.9911990E-3	Inf	4.3700880E-1	Inf	3.5243030E-3	Inf	9.6475698E-2	Inf	2.2794115E+2	9.7480402E+0	0.0000000E+0	-Inf	-1.9829271E-3	-Inf	-9.8017074E-2	-Inf	2.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.5931201E+2	0.0000000E+0	4.6000001E-1	Inf	0.0000000E+0	Inf	2.6872160E-3	Inf	4.5731279E-1	Inf	3.4260750E-3	Inf	9.6573927E-2	Inf	2.2794115E+2	9.7487297E+0	0.0000000E+0	-Inf	-3.0996799E-3	-Inf	-9.6900322E-2	-Inf	2.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.9656201E+2	0.0000000E+0	4.7999999E-1	Inf	0.0000000E+0	Inf	3.0038359E-3	Inf	4.7699615E-1	Inf	3.0641560E-3	Inf	9.6935846E-2	Inf	2.2794115E+2	9.7492123E+0	0.0000000E+0	-Inf	-1.9545560E-3	-Inf	-9.8045446E-2	-Inf	2.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.3382800E+2	0.0000000E+0	5.0000000E-1	Inf	0.0000000E+0	Inf	3.2982831E-3	Inf	4.9670172E-1	Inf	2.7318001E-3	Inf	9.7268201E-2	Inf	2.2794115E+2	9.7498436E+0	0.0000000E+0	-Inf	-2.1612640E-3	-Inf	-9.7838737E-2	-Inf	2.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.7107800E+2	0.0000000E+0	5.1999998E-1	Inf	0.0000000E+0	Inf	3.4568310E-3	Inf	5.1654315E-1	Inf	2.3169520E-3	Inf	9.7683050E-2	Inf	2.2794115E+2	9.7503262E+0	0.0000000E+0	-Inf	-1.9958019E-3	-Inf	-9.8004200E-2	-Inf	2.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0083280E+3	0.0000000E+0	5.4000002E-1	Inf	0.0000000E+0	Inf	3.5440919E-3	Inf	5.3645593E-1	Inf	2.8698440E-3	Inf	9.7130157E-2	Inf	2.2794115E+2	9.7512302E+0	0.0000000E+0	-Inf	-3.3698080E-3	-Inf	-9.6630193E-2	-Inf	2.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
