Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,307.891250E-3,178.339993E-3,-9.002978E-3,15.461193E-3,100.000000E+0
25.000000E+0,435.668500E-3,16.808375E-3,-46.846300E-3,3.588202E-3,100.000000E+0
30.000000E+0,464.550000E-3,18.677591E-3,-73.014575E-3,12.532684E-3,100.000000E+0
40.000000E+0,469.021750E-3,7.860033E-3,-107.113225E-3,19.398873E-3,100.000000E+0
50.000000E+0,409.579000E-3,7.713045E-3,-171.318250E-3,8.426925E-3,100.000000E+0
60.000000E+0,456.363000E-3,13.619390E-3,-120.309500E-3,3.547604E-3,100.000000E+0
75.000000E+0,554.114750E-3,5.630124E-3,-242.207500E-3,5.137420E-3,100.000000E+0
100.000000E+0,392.993250E-3,13.139114E-3,-274.841000E-3,7.899110E-3,100.000000E+0
120.000000E+0,476.273000E-3,18.072123E-3,-376.589000E-3,17.589305E-3,100.000000E+0
150.000000E+0,548.315500E-3,34.567771E-3,-427.412250E-3,67.829627E-3,100.000000E+0
200.000000E+0,412.922250E-3,1.510983E-3,13.984375E-3,888.819814E-6,100.000000E+0
250.000000E+0,260.838500E-3,4.902622E-3,-179.077500E-3,3.472276E-3,100.000000E+0
300.000000E+0,253.964750E-3,1.688980E-3,-78.512950E-3,2.145872E-3,100.000000E+0
400.000000E+0,272.527750E-3,3.049582E-3,-82.345200E-3,9.717025E-3,100.000000E+0
500.000000E+0,233.694750E-3,2.860997E-3,55.316625E-3,5.884958E-3,100.000000E+0
600.000000E+0,212.396500E-3,1.443643E-3,100.581200E-3,2.035186E-3,100.000000E+0
750.000000E+0,226.605500E-3,676.034947E-6,125.981250E-3,3.481095E-3,100.000000E+0
1.000000E+3,312.804250E-3,3.681872E-3,-55.427975E-3,1.965476E-3,100.000000E+0
1.200000E+3,269.519250E-3,409.988643E-6,-41.018625E-3,187.591409E-6,100.000000E+0
1.500000E+3,279.116750E-3,4.372657E-3,-62.483500E-3,910.863725E-6,100.000000E+0
2.000000E+3,263.749750E-3,1.055494E-3,-71.481375E-3,987.643120E-6,100.000000E+0
2.500000E+3,296.884250E-3,6.045762E-3,-79.172900E-3,2.446460E-3,100.000000E+0
3.000000E+3,281.032250E-3,191.696864E-6,-104.570750E-3,98.930215E-6,100.000000E+0
4.000000E+3,280.358250E-3,479.946026E-6,-146.498500E-3,246.116334E-6,100.000000E+0
5.000000E+3,253.329250E-3,225.807855E-6,-120.997500E-3,49.317847E-6,100.000000E+0
6.000000E+3,330.618250E-3,3.093394E-3,-44.845625E-3,3.739043E-3,100.000000E+0
7.500000E+3,332.677500E-3,342.152378E-6,-126.428500E-3,147.564393E-6,100.000000E+0
10.000000E+3,425.469750E-3,1.140431E-3,-41.280325E-3,2.854487E-3,100.000000E+0
12.000000E+3,460.101500E-3,668.833873E-6,-68.570725E-3,4.347628E-3,100.000000E+0
15.000000E+3,525.705250E-3,2.619229E-3,-122.457500E-3,4.729510E-3,100.000000E+0
20.000000E+3,939.692750E-3,11.535660E-3,67.520700E-3,3.323231E-3,100.000000E+0
25.000000E+3,4.315775E+0,12.850293E-3,1.064893E+0,8.251640E-3,100.000000E+0
30.000000E+3,5.680620E+0,20.850559E-3,451.262500E-3,84.690473E-3,100.000000E+0
40.000000E+3,2.717458E+0,10.153724E-3,-262.302000E-3,9.769328E-3,100.000000E+0
50.000000E+3,2.652378E+0,9.083781E-3,-330.224500E-3,633.051538E-6,100.000000E+0
60.000000E+3,2.635508E+0,18.133337E-3,-415.987500E-3,1.352280E-3,100.000000E+0
75.000000E+3,2.645433E+0,9.066825E-3,-572.223750E-3,1.483936E-3,100.000000E+0
100.000000E+3,2.673220E+0,6.523745E-3,-833.175000E-3,1.755118E-3,100.000000E+0
120.000000E+3,2.706773E+0,17.197176E-3,-1.066890E+0,17.248167E-3,100.000000E+0
150.000000E+3,2.670950E+0,10.297245E-3,-1.342035E+0,4.290656E-3,100.000000E+0
200.000000E+3,2.643603E+0,33.662053E-3,-1.862478E+0,16.778008E-3,100.000000E+0
