Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
19.197098E+0,283.077176E+0,280.900000E+0,NaN,25.000000E+0,24.780700E+3,-626.377800E-3,1.727002E+3,-85.026120E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
64.031662E+0,283.077176E+0,282.270000E+0,NaN,40.000000E+0,24.465920E+3,-257.879600E-3,1.726806E+3,-85.026540E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
108.925231E+0,281.582691E+0,283.130000E+0,NaN,23.000000E+0,24.328260E+3,-168.365120E-3,1.727322E+3,-85.054180E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
153.825799E+0,280.086239E+0,284.210000E+0,Inf,2.000000E+0,24.551160E+3,-671.710000E-3,1.727588E+3,-84.995700E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
198.726367E+0,280.000000E+0,284.320000E+0,Inf,0.000000E+0,24.316200E+3,-599.606800E-3,1.727066E+3,-85.037820E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
243.626935E+0,280.000000E+0,283.670000E+0,268.078475E+0,0.000000E+0,24.499280E+3,-387.526800E-3,1.726266E+3,-85.005400E+0,200.000000E+0,0.000000E+0,1.481500E+0,50.000000E+0,5.000000E+0,1.000000E+0
288.533503E+0,280.000000E+0,282.590000E+0,1.194187E+0,0.000000E+0,24.388380E+3,-108.741600E-3,1.726858E+3,-85.019980E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
333.440072E+0,280.000000E+0,281.630000E+0,576.863802E-3,0.000000E+0,24.601420E+3,-543.087800E-3,1.726984E+3,-84.982200E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
378.323639E+0,280.000000E+0,280.900000E+0,-240.505734E-3,1.000000E+0,24.605260E+3,-562.819800E-3,1.727318E+3,-85.032380E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
423.223207E+0,280.000000E+0,280.160000E+0,-959.812316E-3,6.000000E+0,24.447600E+3,-643.532920E-3,1.727476E+3,-85.065180E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
468.133776E+0,280.000000E+0,279.410000E+0,-1.215980E+0,14.000000E+0,24.792560E+3,-409.406720E-3,1.727988E+3,-85.095940E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
513.028344E+0,280.000000E+0,279.110000E+0,-1.158166E+0,24.000000E+0,24.672140E+3,-257.110000E-3,1.727908E+3,-85.118340E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
557.921911E+0,280.000000E+0,279.010000E+0,-1.035700E+0,28.000000E+0,25.005200E+3,-71.945200E-3,1.728568E+3,-85.133840E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
602.816479E+0,280.000000E+0,279.520000E+0,-893.106435E-3,24.000000E+0,25.027700E+3,-328.994460E-3,1.729650E+3,-85.177560E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
647.736049E+0,280.000000E+0,280.160000E+0,-654.749359E-3,24.000000E+0,25.298300E+3,-230.351500E-3,1.729378E+3,-85.199100E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
693.118644E+0,280.000000E+0,280.580000E+0,-231.612165E-3,21.000000E+0,25.270160E+3,435.733300E-3,1.729082E+3,-85.212640E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
737.973210E+0,280.000000E+0,280.790000E+0,258.311871E-3,19.000000E+0,25.423400E+3,-205.229420E-3,1.729294E+3,-85.228460E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
782.900779E+0,280.000000E+0,280.790000E+0,582.177853E-3,20.000000E+0,25.593840E+3,-197.197400E-3,1.730010E+3,-85.251680E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
827.789347E+0,280.000000E+0,280.790000E+0,630.483808E-3,22.000000E+0,25.566040E+3,-405.036000E-3,1.729904E+3,-85.267780E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
872.681915E+0,280.000000E+0,280.690000E+0,421.179310E-3,21.000000E+0,25.719280E+3,442.411400E-3,1.730414E+3,-85.302060E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
918.081511E+0,280.000000E+0,280.690000E+0,186.411960E-3,21.000000E+0,25.703980E+3,-495.619600E-3,1.730720E+3,-85.307980E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
962.944077E+0,280.000000E+0,280.690000E+0,24.503513E-3,22.000000E+0,26.116780E+3,-750.820800E-3,1.730636E+3,-85.313820E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.259553E+3,279.084581E+0,280.580000E+0,-44.426711E-3,26.000000E+0,27.218260E+3,-949.368600E-3,1.733008E+3,-85.510800E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.304475E+3,279.084581E+0,280.580000E+0,-44.426711E-3,14.000000E+0,26.918020E+3,-829.021000E-3,1.732930E+3,-85.502140E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.349366E+3,277.587195E+0,280.470000E+0,-19.702838E-3,18.000000E+0,27.426980E+3,-689.891600E-3,1.733260E+3,-85.521920E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.394260E+3,276.090810E+0,279.840000E+0,4.895117E-3,6.000000E+0,27.434140E+3,-346.301920E-3,1.733184E+3,-85.535400E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.439156E+3,274.594358E+0,279.310000E+0,-19.600186E-3,0.000000E+0,27.700300E+3,-337.310030E-3,1.733892E+3,-85.567460E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.484046E+3,273.097805E+0,278.370000E+0,-186.885640E-3,0.000000E+0,27.300640E+3,-529.169200E-3,1.733970E+3,-85.589780E+0,200.000000E+0,0.000000E+0,1.714500E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.528942E+3,271.601486E+0,277.340000E+0,-447.713553E-3,0.000000E+0,27.698380E+3,-70.843400E-3,1.733342E+3,-85.631180E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.573827E+3,270.104934E+0,276.300000E+0,-750.663016E-3,0.000000E+0,27.901840E+3,-7.472460E-3,1.733744E+3,-85.668480E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.618743E+3,270.000000E+0,275.480000E+0,-1.024646E+0,0.000000E+0,28.082080E+3,-935.686400E-3,1.735654E+3,-85.691840E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.663648E+3,270.000000E+0,274.460000E+0,-1.227387E+0,0.000000E+0,28.149480E+3,11.978800E-3,1.733380E+3,-85.666880E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.708537E+3,270.000000E+0,273.540000E+0,-1.314195E+0,0.000000E+0,28.857700E+3,-543.512400E-3,1.733814E+3,-85.780740E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.753438E+3,270.000000E+0,272.430000E+0,-1.285078E+0,0.000000E+0,29.173200E+3,-333.173600E-3,1.734272E+3,-85.743040E+0,200.000000E+0,0.000000E+0,1.365000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.798306E+3,270.000000E+0,271.420000E+0,-1.256056E+0,0.000000E+0,29.694740E+3,672.550200E-3,1.736422E+3,-85.937000E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.843214E+3,270.000000E+0,270.520000E+0,-1.293968E+0,5.000000E+0,30.227300E+3,359.416200E-3,1.737702E+3,-85.962960E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.888122E+3,270.000000E+0,269.540000E+0,-1.356588E+0,19.000000E+0,30.618880E+3,5.354460E-3,1.741250E+3,-86.081580E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.933011E+3,270.000000E+0,268.750000E+0,-1.349991E+0,40.000000E+0,31.541140E+3,-940.917200E-3,1.740978E+3,-86.140900E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.977914E+3,270.000000E+0,268.440000E+0,-1.316459E+0,49.000000E+0,32.188040E+3,-247.652200E-3,1.739108E+3,-86.224780E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.022812E+3,270.000000E+0,268.950000E+0,-1.238362E+0,45.000000E+0,33.047680E+3,372.267200E-3,1.740176E+3,-86.258640E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.067727E+3,270.000000E+0,269.830000E+0,-1.057870E+0,39.000000E+0,32.528900E+3,-187.017780E-3,1.740900E+3,-86.255320E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.112606E+3,270.000000E+0,270.330000E+0,-594.693773E-3,37.000000E+0,33.421020E+3,709.133400E-3,1.741210E+3,-86.342140E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.157999E+3,270.000000E+0,270.620000E+0,109.064100E-3,37.000000E+0,33.688040E+3,126.600000E-6,1.742214E+3,-86.312820E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.202873E+3,270.000000E+0,270.620000E+0,661.444159E-3,41.000000E+0,34.086780E+3,447.357960E-3,1.739522E+3,-86.348020E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.247765E+3,270.000000E+0,270.520000E+0,791.927562E-3,42.000000E+0,33.983680E+3,-367.490600E-3,1.741014E+3,-86.368700E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.292669E+3,270.000000E+0,270.520000E+0,546.649716E-3,45.000000E+0,34.420480E+3,-514.764560E-3,1.742854E+3,-86.503300E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.338067E+3,270.000000E+0,270.520000E+0,216.999613E-3,45.000000E+0,35.364160E+3,-190.325400E-3,1.743016E+3,-86.449880E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.382927E+3,270.000000E+0,270.520000E+0,19.700670E-3,47.000000E+0,35.048700E+3,637.889200E-3,1.741098E+3,-86.512620E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.679547E+3,269.024648E+0,270.520000E+0,-44.553039E-3,53.000000E+0,36.703040E+3,-1.241406E+0,1.744274E+3,-86.651960E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.724458E+3,269.024648E+0,270.620000E+0,-22.272673E-3,36.000000E+0,36.756780E+3,-207.583200E-3,1.743464E+3,-86.641080E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.769391E+3,267.527629E+0,270.330000E+0,0.000000E+0,50.000000E+0,36.853680E+3,576.582600E-3,1.743676E+3,-86.692400E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.814261E+3,266.029843E+0,269.440000E+0,-1.854490E-3,32.000000E+0,37.405500E+3,805.805200E-3,1.744394E+3,-86.685600E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.859148E+3,264.534191E+0,268.850000E+0,-44.149959E-3,22.000000E+0,37.972280E+3,-679.571400E-3,1.744514E+3,-86.706500E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.904092E+3,263.037972E+0,267.270000E+0,-306.947015E-3,22.000000E+0,37.672260E+3,-1.127660E+0,1.745672E+3,-86.743460E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.948950E+3,261.539820E+0,265.520000E+0,-634.875002E-3,24.000000E+0,38.154800E+3,-430.029000E-3,1.746214E+3,-86.773800E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.993852E+3,260.044568E+0,263.780000E+0,-1.075708E+0,27.000000E+0,38.544020E+3,841.622400E-3,1.743658E+3,-86.803640E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
