Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,3.781695E-3,2.183365E-3,-116.682750E-3,67.366820E-3,100.000000E+0
25.000000E+0,9.423538E-3,170.909302E-6,-194.002500E-3,107.532553E-6,100.000000E+0
30.000000E+0,14.000650E-3,257.565395E-6,-231.607500E-3,144.056413E-6,100.000000E+0
40.000000E+0,28.351200E-3,27.399361E-6,-308.932750E-3,56.166605E-6,100.000000E+0
50.000000E+0,46.607775E-3,82.307484E-6,-384.787000E-3,211.965799E-6,100.000000E+0
60.000000E+0,69.155425E-3,136.715679E-6,-459.999000E-3,104.256894E-6,100.000000E+0
75.000000E+0,111.019250E-3,132.684541E-6,-570.714500E-3,238.501048E-6,100.000000E+0
100.000000E+0,201.288250E-3,265.464098E-6,-748.061250E-3,289.746764E-6,100.000000E+0
120.000000E+0,291.454500E-3,249.682298E-6,-879.318500E-3,353.946677E-6,100.000000E+0
150.000000E+0,454.729500E-3,1.350344E-3,-1.054270E+0,308.220700E-6,100.000000E+0
200.000000E+0,403.887000E-3,738.677535E-6,-646.012750E-3,144.983404E-6,100.000000E+0
250.000000E+0,133.849250E-3,288.616852E-6,-954.066750E-3,559.888549E-6,100.000000E+0
300.000000E+0,127.318500E-3,1.391186E-3,-761.578500E-3,1.196207E-3,100.000000E+0
400.000000E+0,173.499750E-3,744.611770E-6,-729.966000E-3,372.969838E-6,100.000000E+0
500.000000E+0,112.478250E-3,929.019745E-6,-422.996750E-3,350.136670E-6,100.000000E+0
600.000000E+0,64.865400E-3,207.272659E-6,-241.896750E-3,250.745264E-6,100.000000E+0
750.000000E+0,298.942500E-6,111.729068E-6,-78.671675E-3,143.582230E-6,100.000000E+0
1.000000E+3,-30.726675E-3,798.596323E-6,-31.178400E-3,893.591621E-6,100.000000E+0
1.200000E+3,-36.853175E-3,288.126252E-6,-19.352925E-3,228.194198E-6,100.000000E+0
1.500000E+3,-23.874975E-3,208.766573E-6,-29.681750E-3,225.618001E-6,100.000000E+0
2.000000E+3,-10.410175E-3,270.360957E-6,-36.285325E-3,142.698938E-6,100.000000E+0
2.500000E+3,2.279415E-3,150.773015E-6,-40.863125E-3,70.377318E-6,100.000000E+0
3.000000E+3,5.821810E-3,702.565535E-6,-39.791275E-3,144.676663E-6,100.000000E+0
4.000000E+3,7.313122E-3,546.646031E-6,-28.253650E-3,586.465866E-6,100.000000E+0
5.000000E+3,5.984348E-3,325.631350E-6,-23.259275E-3,34.990240E-6,100.000000E+0
6.000000E+3,-10.067225E-3,152.163668E-6,-12.142275E-3,125.096131E-6,100.000000E+0
7.500000E+3,-16.805975E-3,161.235424E-6,-750.415250E-6,45.228039E-6,100.000000E+0
10.000000E+3,-19.210825E-3,1.184707E-3,1.131121E-3,684.467739E-6,100.000000E+0
12.000000E+3,-10.989975E-3,500.368541E-6,116.421525E-6,303.584898E-6,100.000000E+0
15.000000E+3,-3.554003E-3,67.929027E-6,1.562943E-3,52.954005E-6,100.000000E+0
20.000000E+3,-2.546037E-3,80.767328E-6,407.347000E-6,57.647737E-6,100.000000E+0
25.000000E+3,-2.595365E-3,100.005188E-6,687.020750E-6,46.968316E-6,100.000000E+0
30.000000E+3,584.675000E-6,6.536873E-3,-233.816250E-6,2.852523E-3,100.000000E+0
40.000000E+3,-2.380555E-3,26.657556E-6,1.001165E-3,28.663043E-6,100.000000E+0
50.000000E+3,-3.149650E-3,12.140542E-6,618.231250E-6,28.774034E-6,100.000000E+0
60.000000E+3,-3.966650E-3,21.173895E-6,745.846500E-6,19.209390E-6,100.000000E+0
75.000000E+3,-5.530477E-3,32.684747E-6,908.013250E-6,12.019997E-6,100.000000E+0
100.000000E+3,-8.882520E-3,26.966039E-6,1.151765E-3,33.333024E-6,100.000000E+0
120.000000E+3,-12.475925E-3,29.164394E-6,1.306095E-3,42.183837E-6,100.000000E+0
150.000000E+3,-18.988225E-3,33.168236E-6,1.695300E-3,25.759040E-6,100.000000E+0
200.000000E+3,-33.346600E-3,38.628940E-6,2.267038E-3,32.008309E-6,100.000000E+0
