Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
8.283473E+0	300.000000E+0	300.220000E+0	NaN	72.000000E+0	30.761304E+0	1.954783E+0				
12.793732E+0	300.000000E+0	300.220000E+0	NaN	67.000000E+0	30.573195E+0	1.758909E+0				
17.137980E+0	300.000000E+0	300.220000E+0	NaN	69.000000E+0	30.835604E+0	1.775735E+0				
20.968199E+0	300.000000E+0	300.220000E+0	NaN	70.000000E+0	30.639805E+0	1.806482E+0				
24.798419E+0	300.000000E+0	300.220000E+0	NaN	72.000000E+0	30.675288E+0	1.784374E+0				
28.624637E+0	300.000000E+0	300.340000E+0	NaN	72.000000E+0	30.803909E+0	1.775504E+0				
32.458857E+0	300.000000E+0	300.340000E+0	NaN	72.000000E+0	30.565602E+0	1.747196E+0				
36.292076E+0	300.000000E+0	300.340000E+0	313.461696E-3	72.000000E+0	30.631371E+0	1.747667E+0				
40.108294E+0	300.000000E+0	300.340000E+0	626.759706E-3	74.000000E+0	30.694348E+0	1.709343E+0				
43.948514E+0	300.000000E+0	300.340000E+0	626.759706E-3	75.000000E+0	30.726124E+0	1.707349E+0				
48.352766E+0	300.000000E+0	300.340000E+0	313.298010E-3	75.000000E+0	30.743661E+0	1.731140E+0				
52.185985E+0	300.000000E+0	300.340000E+0	0.000000E+0	74.000000E+0	30.673332E+0	1.797347E+0				
56.019204E+0	300.000000E+0	300.340000E+0	0.000000E+0	75.000000E+0	30.889002E+0	1.686650E+0				
59.852423E+0	300.000000E+0	300.340000E+0	0.000000E+0	76.000000E+0	30.878167E+0	1.612095E+0				
63.679642E+0	300.000000E+0	300.340000E+0	0.000000E+0	76.000000E+0	30.612963E+0	1.769133E+0				
67.512862E+0	300.000000E+0	300.340000E+0	0.000000E+0	77.000000E+0	30.688059E+0	1.810519E+0				
71.421085E+0	300.000000E+0	300.340000E+0	0.000000E+0	78.000000E+0	30.695637E+0	1.766904E+0				
75.248304E+0	300.000000E+0	300.340000E+0	0.000000E+0	78.000000E+0	30.840042E+0	1.767130E+0				
79.076523E+0	300.000000E+0	300.340000E+0	0.000000E+0	78.000000E+0	30.648017E+0	1.653957E+0				
