Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
26.499516E+0,290.000000E+0,291.020000E+0,-274.852726E-3,11.000000E+0,1.703648E+0,3.923062E+0,1.832474E+0,-17.403680E+0,2.650000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
459.390275E+0,290.910000E+0,290.910000E+0,-122.667360E-3,6.000000E+0,1.639936E+0,3.581824E+0,1.832100E+0,-17.708480E+0,2.650000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
504.272842E+0,290.910000E+0,290.910000E+0,NaN,12.000000E+0,1.631428E+0,3.536510E+0,1.831624E+0,-17.766240E+0,1.720000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
549.161410E+0,289.787936E+0,290.910000E+0,NaN,11.000000E+0,1.599790E+0,3.630598E+0,1.830510E+0,-17.859660E+0,1.780000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
594.038977E+0,288.665722E+0,291.240000E+0,NaN,4.000000E+0,1.555724E+0,3.605386E+0,1.829480E+0,-17.980060E+0,2.650000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
638.923544E+0,287.543782E+0,291.350000E+0,130.314140E-6,0.000000E+0,1.532552E+0,3.759362E+0,1.829884E+0,-18.119360E+0,1.600000E+0,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
683.794111E+0,286.421668E+0,291.350000E+0,24.507583E-3,0.000000E+0,1.475938E+0,4.132408E+0,1.831062E+0,-18.236840E+0,940.000000E-3,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
728.684678E+0,285.299904E+0,291.130000E+0,171.561272E-3,0.000000E+0,1.474310E+0,3.246374E+0,1.833128E+0,-18.370060E+0,700.000000E-3,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
773.567245E+0,284.177640E+0,290.910000E+0,196.072405E-3,0.000000E+0,1.455294E+0,4.244962E+0,1.835260E+0,-18.363820E+0,700.000000E-3,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
818.452813E+0,283.055576E+0,290.680000E+0,73.529029E-3,0.000000E+0,1.459468E+0,4.300824E+0,1.837832E+0,-18.378320E+0,700.000000E-3,200.000000E+0,120.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
