Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,1e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
7.400e-06,0.808
7.500e-06,0.816
7.600e-06,0.824
7.700e-06,0.816
7.800e-06,0.808
7.900e-06,0.8
8.000e-06,0.808
8.100e-06,0.824
8.200e-06,0.808
8.300e-06,0.816
8.400e-06,0.808
8.500e-06,0.8
8.600e-06,0.8
8.700e-06,0.816
8.800e-06,0.808
8.900e-06,0.8
9.000e-06,0.8
9.100e-06,0.808
9.200e-06,0.808
9.300e-06,0.816
9.400e-06,0.808
9.500e-06,0.8
9.600e-06,0.808
9.700e-06,0.8
9.800e-06,0.816
9.900e-06,0.808
1.000e-05,0.816
1.010e-05,0.8
1.020e-05,0.808
1.030e-05,0.8
1.040e-05,0.784
1.050e-05,0.68
1.060e-05,0.64
1.070e-05,0.552
1.080e-05,0.504
1.090e-05,0.408
1.100e-05,0.328
1.110e-05,0.264
1.120e-05,0.184
1.130e-05,0.096
1.140e-05,0.08
1.150e-05,0.08
1.160e-05,0.08
1.170e-05,0.08
1.180e-05,0.072
1.190e-05,0.056
1.200e-05,0.08
1.210e-05,0.072
1.220e-05,0.08
1.230e-05,0.08
1.240e-05,0.064
1.250e-05,0.088
1.260e-05,0.08
1.270e-05,0.08
1.280e-05,0.08
1.290e-05,0.08
1.300e-05,0.088
1.310e-05,0.096
1.320e-05,0.08
1.330e-05,0.08
1.340e-05,0.072
1.350e-05,0.064
1.360e-05,0.08
1.370e-05,0.072
1.380e-05,0.072
1.390e-05,0.088
1.400e-05,0.072
1.410e-05,0.088
1.420e-05,0.056
1.430e-05,0.08
1.440e-05,0.08
1.450e-05,0.088
1.460e-05,0.08
1.470e-05,0.088
1.480e-05,0.08
1.490e-05,0.064
1.500e-05,0.072
1.510e-05,0.072
1.520e-05,0.072
1.530e-05,0.08
1.540e-05,0.064
1.550e-05,0.088
1.560e-05,0.088
1.570e-05,0.088
1.580e-05,0.072
1.590e-05,0.08
1.600e-05,0.088
1.610e-05,0.072
1.620e-05,0.096
1.630e-05,0.08
1.640e-05,0.08
1.650e-05,0.08
1.660e-05,0.064
1.670e-05,0.048
1.680e-05,0.072
1.690e-05,0.08
1.700e-05,0.072
1.710e-05,0.08
1.720e-05,0.064
1.730e-05,0.072
1.740e-05,0.088
1.750e-05,0.072
1.760e-05,0.08
1.770e-05,0.072
1.780e-05,0.08
1.790e-05,0.096
1.800e-05,0.08
1.810e-05,0.08
1.820e-05,0.088
1.830e-05,0.072
1.840e-05,0.072
1.850e-05,0.08
1.860e-05,0.04
1.870e-05,0.088
1.880e-05,0.072
1.890e-05,0.088
1.900e-05,0.072
1.910e-05,0.08
1.920e-05,0.08
1.930e-05,0.088
1.940e-05,0.096
1.950e-05,0.104
1.960e-05,0.08
1.970e-05,0.072
1.980e-05,0.064
1.990e-05,0.08
2.000e-05,0.088
